,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.0,0.8982806205749512,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-0.3238234519958496,3.0,7.0,03-17,0.083742629397999
01-03,0.0,0.0,0.8982806205749512,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-0.3238234519958496,3.0,7.0,03-18,0.083742629397999
01-04,0.0,0.0,0.8982806205749512,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-1.0009081363677979,3.0,7.0,03-19,0.02218947627327643
01-05,0.0,0.0,0.8982806205749512,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-1.0009081363677979,3.0,7.0,03-20,0.02218947627327643
01-06,0.0,0.0,0.8982806205749512,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-1.0009081363677979,3.0,7.0,03-21,0.02218947627327643
01-07,0.0,0.0,0.8982806205749512,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-1.0009081363677979,3.0,7.0,03-22,0.02218947627327643
01-08,0.0,0.0,0.6697592735290545,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-1.0009081363677979,3.0,7.0,03-23,0.001414808360013095
01-09,0.0,0.3627586364746094,0.6697592735290545,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.1343846321105957,-1.0009081363677979,4.0,6.0,03-24,0.03439286622134122
01-10,0.0,0.3627586364746094,0.6697592735290545,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-0.8537156581878662,4.0,6.0,03-25,0.04166558655825528
01-11,0.0,0.3627586364746094,0.3674540519714373,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-0.8537156581878662,4.0,6.0,03-26,0.014183293689380993
01-12,0.0,0.3627586364746094,0.06514644622802912,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-0.8537156581878662,4.0,6.0,03-27,-0.013299215923656117
01-13,0.0,0.3627586364746094,0.06514644622802912,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-0.8537156581878662,4.0,6.0,03-28,-0.013299215923656117
01-14,0.0,0.3627586364746094,0.06514644622802912,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.0597848892211923,4.0,6.0,03-29,-0.032032782381231216
01-15,0.0,0.3627586364746094,0.06514644622802912,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.1481001377105713,4.0,6.0,03-30,-0.040061441334811126
01-16,0.0,0.3627586364746094,0.06514644622802912,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.1481001377105713,4.0,6.0,03-31,-0.040061441334811126
01-17,0.0,0.3627586364746094,0.06514644622802912,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.2364156246185303,4.0,6.0,04-01,-0.048090121962807396
01-18,0.0,0.3627586364746094,-0.1457958221435547,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.2364156246185303,3.0,7.0,04-02,-0.06726669181476956
01-19,0.0,0.3627586364746094,-0.1633744239807129,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.2364156246185303,3.0,7.0,04-03,-0.0688647465272385
01-20,0.0,0.3627586364746094,-0.1633744239807129,0.0,0.8197374343872066,-0.3573522567749037,-0.46777820587158203,0.4864894151687622,0.0,-0.20157718658447266,-1.2364156246185303,3.0,8.0,04-04,-0.0688647465272385
