,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-4.799999713897704,0.6599998474121094,-0.8799996376037598,0.8199996948242188,0.350000381469723,-0.8299999237060565,0.0,0.6499996185302734,0.23999977111816762,0.35000038146972656,1.279998779296875,-4.510000228881836,7.0,5.0,03-17,-0.5558334191640218
01-03,-3.470000267028806,0.75,-0.8799996376037598,0.8199996948242188,0.2700004577636719,-0.810000419616701,0.6500005722045898,0.20999908447265625,0.23999977111816762,0.5700016021728551,1.2900009155273438,-4.690000534057614,8.0,4.0,03-18,-0.4208332300186148
01-04,-2.8100004196166974,0.75,-0.6299996376037598,1.0999994277954084,0.05000019073486328,-0.6599998474121094,0.4499998092651385,0.20999908447265625,0.20000076293945668,0.9200000762939524,1.1399993896484375,-1.9299983978271484,8.0,4.0,03-19,-0.10083329677581683
01-05,-2.8100004196166974,1.119999885559082,-0.7100000381469709,1.079999923706053,0.3100004196166992,-0.629999160766598,0.4499998092651385,0.12999916076660156,0.9600009918212891,0.639999389648441,0.6100006103515625,-2.3499984741210938,8.0,4.0,03-20,-0.09999982515970778
01-06,-3.0399999618530273,1.2100000381469727,-0.23999977111816406,1.2799997329711914,0.38000011444091797,-0.629999160766598,0.7799997329711932,0.6399993896484375,0.3600006103515625,0.4599990844726598,0.06000137329101207,-2.3499984741210938,8.0,4.0,03-21,-0.09083310763041134
01-07,-3.540000438690181,1.0199995040893555,0.32999992370605646,0.8500003814697266,0.38000011444091797,-0.6399993896484304,0.6500005722045898,1.6000003814697266,-0.9899997711181641,0.4799995422363317,0.06000137329101207,-2.159999847412106,8.0,4.0,03-22,-0.16333313783009706
01-08,-3.8299994468688956,0.869999885559082,0.18000030517578125,1.3400001525878924,0.4099998474121094,-0.21999931335449574,0.5099992752075195,1.7500009536743182,-1.399999618530277,0.4799995422363317,-0.6599998474121129,-2.1200008392333984,7.0,5.0,03-23,-0.22416659196217878
01-09,-2.4800000190734863,0.819999694824217,0.07999992370605469,1.3400001525878924,0.3000001907348615,-0.48000144958496094,0.6999998092651385,1.8400001525878924,-1.399999618530277,0.220001220703125,-0.629999160766598,-3.559999465942383,7.0,5.0,03-24,-0.27083321412404365
01-10,-2.9600000381469727,0.9299993515014666,0.07999992370605469,1.219999313354494,0.23999977111816406,-0.48999977111816406,0.75,1.8400001525878924,-1.7299995422363352,-0.7199993133545028,-1.5900001525878977,-4.979999542236328,6.0,6.0,03-25,-0.6174999872843441
01-11,-2.4699997901916495,0.9299993515014666,-0.06999969482421697,0.9099998474121076,0.36999988555908203,-0.3400001525878942,0.6400003433227557,1.8400001525878924,-1.789999008178711,-2.0100002288818324,-1.2800006866455078,-3.3199996948242188,5.0,7.0,03-26,-0.5491666396458939
01-12,-2.4699997901916495,1.1099996566772496,-0.16000080108642933,0.9600000381469727,0.34000015258788885,-0.6400003433227539,0.6400003433227557,1.8700008392333984,-1.2100009918212926,-1.399999618530277,-0.620000839233402,-3.1000003814697266,5.0,7.0,03-27,-0.39000014464060545
01-13,-2.369999408721923,1.079999923706053,-0.13000011444091975,1.2200002670288086,0.34000015258788885,-0.6400003433227539,0.5900001525878924,2.25,-1.639999389648441,-1.5400009155273438,-0.6400012969970668,-3.1000003814697266,5.0,7.0,03-28,-0.38166677951812766
01-14,-1.5900001525878897,0.4200000762939471,-0.6799993515014631,0.8099994659423828,0.34000015258788885,-0.6699991226196289,0.8400001525878906,2.110000610351566,-0.5300006866455078,-1.5400009155273438,-0.6400012969970668,-3.1800003051757777,5.0,7.0,03-29,-0.35916678110758354
01-15,-2.5299997329711914,0.3200006484985334,-0.06999969482421875,0.880000114440918,0.34000015258788885,-1.0199995040893537,1.0100002288818342,2.3700008392333984,-0.5799999237060547,-1.5400009155273438,-0.6800003051757777,-1.3000011444091797,5.0,7.0,03-30,-0.23333326975504556
01-16,-2.7199997901916495,0.5,0.2200002670288086,0.880000114440918,0.34999942779541016,-0.8299999237060511,0.939999580383299,2.6699991226196254,-0.5799999237060547,-1.5400009155273438,-0.8199996948242223,-2.320001602172855,6.0,6.0,03-31,-0.27083361148834295
01-17,-1.3900003433227557,0.5,0.2200002670288086,0.880000114440918,0.1400003433227539,-0.7000007629394531,1.0999994277954102,2.730000495910641,-0.5799999237060547,-1.6200008392333984,-1.2000007629394531,-1.6499996185302805,6.0,6.0,04-01,-0.13083346684773867
01-18,-1.2900004386901873,0.5,0.2200002670288086,0.5699996948242205,0.020000457763671875,-0.7000007629394496,1.0999994277954102,2.730000495910641,0.0,-1.2900009155273402,-0.9300003051757812,-1.2400016784667969,6.0,6.0,04-02,-0.025833646456400256
01-19,-1.2900004386901873,0.5,0.6200008392334002,1.0799999237060547,-0.07999992370605469,-0.6700000762939418,1.0999994277954102,2.730000495910641,-0.2999992370605504,-2.2900009155273438,-0.9100017547607422,-2.0,5.0,7.0,04-03,-0.1258334716161095
01-20,-1.2900004386901873,0.350000381469723,1.0500001907348633,0.8299999237060582,-0.23999977111816406,-0.6700000762939418,1.0999994277954102,2.840001106262209,-1.3100013732910156,-2.0,-0.9100017547607422,-2.0,5.0,7.0,04-04,-0.18750019868214896
01-21,-1.3599996566772488,-0.2599992752075213,1.3299999237060565,0.8100004196166992,-0.23999977111816406,-0.6700000762939418,1.119999885559082,3.089999198913574,-1.239999771118164,-1.9099998474121094,-0.9100017547607422,-2.0,4.0,8.0,04-05,-0.18666672706603996
01-22,-1.299999713897705,-0.09999942779541016,1.310000419616701,0.8100004196166992,-0.23999977111816406,-0.7700004577636754,0.5399999618530273,2.9199991226196254,-1.7299995422363281,-1.9099998474121094,-0.9100017547607422,-1.4699993133544922,4.0,8.0,04-06,-0.23749999205271446
01-23,-2.240000247955324,0.06999969482421875,1.2900009155273455,0.8100004196166992,-0.0900001525878924,-0.7199993133544957,0.6200008392333984,2.6400003433227557,-1.7299995422363281,-1.8700008392333984,-0.6700000762939453,-2.1200008392333984,5.0,7.0,04-07,-0.33416656653086374
01-24,-2.619999885559082,0.06999969482421875,1.2900009155273455,0.869999885559082,0.0,-0.42000007629394354,0.42000007629394887,2.7200002670288104,-2.2600002288818253,-1.1900005340576172,-0.3400001525878906,-1.4500007629394496,5.0,7.0,04-08,-0.24250006675720023
01-25,-2.619999885559082,0.06999969482421875,1.3700008392334002,0.5900001525878924,-0.01999950408935547,-0.14000034332275568,0.38000011444091975,2.7200002670288104,-2.280000686645508,-1.409999847412113,-0.6300010681152344,-1.8699989318847656,5.0,7.0,04-09,-0.3199999332427977
01-26,-2.619999885559082,0.1099996566772461,1.0699996948242205,0.9500007629394513,-0.12000083923339844,-0.2600002288818377,0.38000011444091975,2.1800003051757812,-2.2000007629394496,-1.619998931884762,-1.2000007629394531,-1.8699989318847656,5.0,7.0,04-10,-0.4333333174387608
01-27,-2.810000419616699,0.14999961853027344,0.7799997329711914,0.7699995040893572,0.07999992370605469,-0.2600002288818377,0.5699996948242188,1.7299995422363281,-1.970001220703125,-1.0900001525878906,-0.8700008392333984,-1.8699989318847656,6.0,6.0,04-11,-0.3991669813791911
01-28,-3.390000343322754,0.48999977111816406,0.9999999999999982,0.7300004959106428,0.07999992370605469,-0.46000003814697266,0.9099998474121094,1.4499988555908168,-1.3200016021728551,-1.1700000762939418,-0.8700008392333984,-1.8999996185302734,6.0,6.0,04-12,-0.3708336353302008
01-29,-2.1800003051757812,0.6700000762939435,1.1100006103515625,0.9600000381469709,0.07000064849853338,-0.7399997711181658,0.7600002288818342,1.2799997329711914,-1.3200016021728551,-1.1700000762939418,-0.8099994659423828,-1.7999992370605433,6.0,6.0,04-13,-0.2641665935516362
01-30,-1.3899998664855975,1.140000343322754,0.9000005722045881,0.9600000381469709,0.06999969482422053,-0.8200006484985352,1.4100008010864276,1.6399993896484375,-1.3200016021728551,-0.9499988555908168,-0.6000003814697266,-0.39999961853027344,6.0,6.0,04-14,0.05333332220713283
01-31,-2.1500000953674316,1.5900001525878924,0.9000005722045881,0.9200000762939418,0.07999992370605646,-0.3299999237060547,0.8099994659423828,2.299999237060547,-1.3300018310546875,-0.5699996948242223,-0.12999916076660156,-1.4300003051757812,6.0,6.0,04-15,0.05499986807505245
02-01,-1.9299998283386222,1.5900001525878924,0.7800006866455078,0.75,-0.5500001907348633,0.27000045776367365,1.0600004196167028,2.299999237060547,-1.6300010681152273,-1.149999618530277,-0.4799995422363281,-1.649999618530277,6.0,6.0,04-16,-0.05333324273427261
02-02,-1.9299998283386222,1.8099994659423846,0.9200000762939453,0.31999969482421875,-0.25,0.27000045776367365,1.0600004196167028,2.6799993515014666,-1.7200012207031214,-0.7600002288818395,-0.4300003051757848,-2.6099987030029332,6.0,6.0,04-17,-0.053333401679992454
02-03,-1.8099999427795401,1.5500001907348633,0.9200000762939453,0.15000057220459162,-0.40999984741211115,0.27000045776367365,0.7000007629394567,2.6999988555908168,-2.069999694824215,-0.01000022888183949,-0.4300003051757848,-2.6099987030029332,6.0,6.0,04-18,-0.08749981721242306
02-04,-1.8199996948242188,1.6000003814697248,0.6099996566772443,0.5399999618530273,-0.40999984741211115,-0.029999732971191406,0.779998779296875,2.539999961853029,-1.8699989318847656,-0.15999984741210938,-0.4300003051757848,-2.909999847412106,5.0,7.0,04-19,-0.12999995549519885
02-05,-2.4499998092651367,1.7600002288818377,0.5599994659423846,0.30999946594238104,-0.3400001525878906,-0.039999961853027344,0.0,2.9799995422363317,-1.739999771118164,-0.15999984741210938,-0.30999946594238637,-3.2700004577636754,4.0,8.0,04-20,-0.22500006357828792
02-06,-3.700000286102294,2.1500005722045916,0.5599994659423846,0.30999946594238104,-0.4300003051757795,0.15999984741210938,0.029999732971191406,3.050000190734865,-1.739999771118164,-0.3500003814697301,-0.42999839782714844,-2.340000152587894,6.0,6.0,04-21,-0.22750000158945727
02-07,-3.440000057220459,2.430000305175785,0.5599994659423846,0.319999694824217,-0.48999977111816406,-0.1100006103515625,0.31999969482421875,3.1899995803833026,-1.7199993133544886,-0.470001220703125,-1.0799999237060547,-1.8799991607666016,5.0,7.0,04-22,-0.19750010967254564
