,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-5.489999771118164,0.5200004577636719,2.930000305175781,4.309999465942384,6.520000457763673,1.0699996948242188,-6.170000076293945,-4.290000915527344,3.570001602172852,0.6599998474121094,-3.3500003814697266,-10.080000877380373,7.0,5.0,03-17,-0.8166666825612386
01-03,-6.579999923706055,0.6300010681152344,2.930000305175781,4.309999465942384,6.1000022888183585,0.8400001525878906,-4.8899993896484375,-4.0900001525878915,3.570001602172852,-0.8899993896484375,-2.2800006866455083,-11.969999313354492,6.0,6.0,03-18,-1.0266661643981934
01-04,-5.8999996185302725,0.6300010681152344,2.979999542236328,4.309999465942384,6.6000003814697275,1.8400001525878904,-4.199998855590819,-4.0900001525878915,3.75,-1.5,-1.329999923706055,-11.5,6.0,6.0,03-19,-0.7008331616719564
01-05,-5.8999996185302725,1.1200008392333984,3.549999237060547,4.819999694824219,6.1000003814697275,1.5600013732910156,-4.199998855590819,-4.4099998474121085,3.2300014495849614,-0.7800006866455078,-2.2199993133544917,-13.099999904632568,6.0,6.0,03-20,-0.8524996042251587
01-06,-6.3400001525878915,1.010000228881836,4.480001449584961,4.819999694824219,6.719999313354492,1.5600013732910156,-3.5399990081787114,-3.9400005340576167,4.190000534057616,-0.720001220703125,-2.3099994659423833,-13.099999904632568,6.0,6.0,03-21,-0.5974998076756796
01-07,-5.329999923706055,2.34000015258789,5.149999618530273,4.049999237060547,6.719999313354492,1.270000457763672,-4.05999755859375,-2.8299999237060547,2.229999542236328,0.5699996948242188,-2.3099994659423833,-13.269999980926515,7.0,5.0,03-22,-0.4558332363764445
01-08,-5.189999580383301,2.1700000762939453,4.970001220703125,5.279998779296875,8.270000457763674,1.479999542236328,-2.80000114440918,-2.34000015258789,2.149999618530273,0.5699996948242188,-2.520000457763672,-12.28999948501587,7.0,5.0,03-23,-0.020833452542622883
01-09,-4.410000801086426,2.260000228881836,5.180000305175781,5.279998779296875,7.0,2.0,-2.7800006866455083,-2.200000762939453,2.149999618530273,1.0400009155273438,-2.8900012969970703,-13.010000705718994,7.0,5.0,03-24,-0.03166703383127848
01-10,-3.5699996948242188,1.6900005340576172,5.180000305175781,4.959999084472656,7.029998779296875,1.3499984741210938,-3.3499984741210938,-2.200000762939453,2.289999008178711,0.3299999237060547,-3.4699993133544917,-13.580000400543213,7.0,5.0,03-25,-0.2783335447311401
01-11,-3.909999847412109,1.6900005340576172,4.770000457763672,4.3400001525878915,6.8799991607666025,1.9300003051757808,-3.799999237060547,-2.200000762939453,1.6799983978271484,-0.020000457763671875,-3.930000305175781,-12.499999523162842,6.0,6.0,03-26,-0.4225000937779744
01-12,-3.909999847412109,1.1100006103515625,4.89000129699707,4.520000457763672,7.279998779296875,1.770000457763672,-3.799999237060547,-3.180000305175781,2.0799999237060547,0.4099998474121094,-4.1599998474121085,-11.469999313354492,7.0,5.0,03-27,-0.371666431427002
01-13,-4.010000228881837,0.8600006103515625,2.789999008178711,5.9099979400634775,7.279998779296875,1.770000457763672,-4.3100013732910165,-2.59000015258789,1.5,0.75,-4.780000686645508,-11.469999313354492,7.0,5.0,03-28,-0.5250004132588705
01-14,-1.920000076293945,1.3400001525878906,-0.04000091552734375,5.290000915527344,7.279998779296875,0.6699981689453125,-2.2199993133544917,-2.489999771118164,0.7899990081787109,0.75,-4.780000686645508,-11.43000030517578,6.0,6.0,03-29,-0.5633336702982584
01-15,-4.1599998474121085,1.739999771118164,0.1100006103515625,5.120000839233398,7.009998321533202,0.970001220703125,-2.05999755859375,-0.6000003814697266,0.8699989318847656,0.75,-4.729999542236328,-10.880001068115234,7.0,5.0,03-30,-0.4883332252502442
01-16,-4.4099998474121085,1.1300010681152344,0.04999923706054688,5.120000839233398,7.6599979400634775,1.020000457763672,-1.8700008392333984,-0.6800003051757812,0.8699989318847656,0.75,-3.8099994659423833,-11.649999618530273,7.0,5.0,03-31,-0.4850001335144043
01-17,-3.5599994659423833,1.1300010681152344,0.04999923706054688,5.120000839233398,8.049997329711914,1.6200027465820312,-1.8400001525878904,-0.6499996185302734,0.8699989318847656,0.75,-2.7800006866455083,-11.540000438690186,7.0,5.0,04-01,-0.2316666841506958
01-18,-2.510000228881836,1.1300010681152344,0.04999923706054688,4.489999771118164,6.700000762939452,2.09000015258789,-1.8400001525878904,-0.6499996185302734,0.6599998474121094,1.5,-1.7000007629394531,-10.669999599456787,7.0,5.0,04-02,-0.06249996026357015
01-19,-2.510000228881836,1.1300010681152344,0.69000244140625,4.3899993896484375,6.260000228881836,2.0999984741210938,-1.8400001525878904,-0.6499996185302734,0.04999923706054688,0.9300003051757812,-1.0500011444091797,-10.869999885559082,7.0,5.0,04-03,-0.11416665712992352
01-20,-2.510000228881836,1.1999988555908203,1.3199996948242188,4.450000762939453,5.059999465942383,2.0999984741210938,-1.8400001525878904,-0.07999992370605469,-0.9499988555908204,1.4099998474121094,-1.3400001525878906,-10.869999885559082,6.0,6.0,04-04,-0.17083350817362467
01-21,-2.34999942779541,1.8399982452392576,1.8999977111816408,4.430000305175781,5.059999465942383,2.0999984741210938,-3.2399997711181636,0.3399982452392578,-0.9800014495849608,1.010000228881836,-1.3400001525878906,-10.869999885559082,7.0,5.0,04-05,-0.17500066757202148
01-22,-1.2300004959106443,2.239999771118164,1.7999992370605469,4.430000305175781,5.059999465942383,1.720001220703125,-3.8799972534179688,-1.7000007629394531,-1.520000457763672,1.010000228881836,-1.3400001525878906,-11.34000015258789,6.0,6.0,04-06,-0.3958332538604736
01-23,-1.5399999618530271,2.009998321533203,1.4199981689453125,4.430000305175781,4.69999885559082,2.0999984741210938,-3.8600006103515625,-1.8199996948242188,-1.520000457763672,1.3500003814697266,-1.2199993133544922,-11.839999675750732,6.0,6.0,04-07,-0.482500433921814
01-24,-1.6999988555908203,2.209999084472656,1.4199981689453125,4.720001220703125,3.520000457763672,2.8500003814697266,-4.5600013732910165,-2.1200008392333984,-2.0,1.0599994659423828,-0.4899997711181641,-11.09000015258789,6.0,6.0,04-08,-0.5150001843770345
01-25,-1.6999988555908203,2.209999084472656,1.6699981689453125,5.690000534057617,2.990001678466797,3.2399997711181636,-4.0600013732910165,-2.1200008392333984,-1.7199993133544922,0.4899997711181641,-0.720001220703125,-10.539999961853027,6.0,6.0,04-09,-0.38083354632059735
