,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-9.153358459472656,1.4673328399658203,0.21451759338378906,-1.4965057373046875,1.97430419921875,-0.21385574340820312,16.526138305664062,-3.897838592529297,-3.412738800048828,6.674938201904298,3.3988037109375,-11.487312316894533,6.0,6.0,03-17,0.04953543345133463
01-03,-7.546274185180664,1.4673328399658203,0.21451759338378906,-1.4965057373046875,2.6406173706054688,0.31650543212890625,17.279354095458984,-4.096340179443359,-3.412738800048828,6.287300109863281,4.159454345703125,-14.356658935546875,7.0,5.0,03-18,0.12138032913208008
01-04,-7.2667808532714835,1.4673328399658203,0.21451759338378906,-0.8461894989013672,2.994354248046875,0.9238624572753906,18.103439331054688,-4.096340179443359,-4.344322204589844,5.946937561035156,1.829383850097656,-11.645614624023438,7.0,5.0,03-19,0.27338171005249023
01-05,-7.2667808532714835,1.1668777465820312,2.004602432250977,-0.5171070098876953,3.5948638916015625,0.667236328125,18.103439331054688,-4.042205810546875,-4.630256652832031,6.107666015625,1.916046142578125,-15.435142517089846,7.0,5.0,03-20,0.13910325368245444
01-06,-6.987283706665039,1.5581741333007812,1.7013168334960938,-0.29773521423339844,3.5290603637695312,0.667236328125,18.590805053710934,-4.4572486877441415,-5.4696006774902335,5.493114471435547,1.4827728271484375,-15.435142517089846,7.0,5.0,03-21,0.031289100646972656
01-07,-5.135656356811523,1.8586196899414065,1.9602241516113281,-0.5484447479248047,3.5290603637695312,0.5218124389648438,18.936389923095703,-4.8271751403808585,-5.7832069396972665,5.5592994689941415,1.4827728271484375,-15.880393981933596,7.0,5.0,03-22,0.13944180806477866
01-08,-5.862339019775392,2.410625457763672,1.442426681518555,-0.5484447479248047,3.1835556030273438,0.2566261291503906,26.30005645751953,-4.294834136962892,-5.9676666259765625,5.5592994689941415,1.2324295043945312,-15.92986297607422,7.0,5.0,03-23,0.6484893163045248
01-09,-4.751363754272461,1.4323997497558594,1.235309600830078,-0.5484447479248047,3.1506576538085938,0.6244583129882812,30.23442459106445,-3.6993331909179688,-5.9676666259765625,4.774566650390625,-29.07763671875,-15.959537506103516,6.0,6.0,03-24,-1.5460138320922852
01-10,-4.744377136230469,0.8734073638916016,1.235309600830078,-1.222272872924805,3.3563003540039062,0.9324188232421876,35.25872802734375,-3.6993331909179688,-5.414253234863281,3.5927391052246094,-22.944366455078125,-14.960220336914062,6.0,6.0,03-25,-0.6446599960327148
01-11,-4.227315902709962,0.8734073638916016,1.2796955108642578,-0.9010391235351562,3.3316268920898438,0.6928977966308594,30.76611328125,-3.6993331909179688,-4.823944091796875,2.99710464477539,-23.21396255493164,-10.448402404785156,6.0,6.0,03-26,-0.6144293149312338
01-12,-4.227315902709962,0.8734073638916016,2.1451473236083984,-0.4701042175292969,3.398544311523437,1.5271797180175781,30.76611328125,-2.742919921875,-3.0161209106445312,4.386924743652344,-20.103992462158203,-7.826408386230469,6.0,6.0,03-27,0.3925379117329915
01-13,-4.926040649414063,0.7336616516113281,1.6569442749023438,-0.015668869018554688,3.398544311523437,1.5271797180175781,29.22426605224609,-2.409076690673828,-3.7724533081054688,4.8691139221191415,-20.56100082397461,-7.826408386230469,6.0,6.0,03-28,0.15825510025024414
01-14,-3.39582633972168,-0.15372085571289062,1.4038314819335938,0.3745594024658203,3.398544311523437,1.5271797180175781,29.311546325683594,0.15056610107421875,-3.2988014221191406,4.8691139221191415,-20.56100082397461,-6.094902038574219,7.0,5.0,03-29,0.6275908152262369
01-15,-4.087568283081056,0.6459674835205078,0.8321113586425781,-0.428741455078125,2.2057418823242188,1.4477272033691406,28.445697784423828,0.83746337890625,-3.41094970703125,4.8691139221191415,-21.321643829345703,-4.264450073242188,7.0,5.0,03-30,0.4808724721272786
01-16,-4.297187805175781,0.1158905029296875,1.0226764678955078,-0.428741455078125,2.384105682373047,1.8058662414550781,27.80196762084961,2.3769302368164062,-3.41094970703125,4.8691139221191415,-21.12030792236328,-4.1090087890625,7.0,5.0,03-31,0.5841962496439616
01-17,-3.4936428070068364,0.1158905029296875,1.0226764678955078,-0.428741455078125,2.336124420166016,1.4512519836425781,25.247764587402344,0.906696319580078,-3.41094970703125,6.803688049316406,-21.764759063720703,-1.7530975341796875,7.0,5.0,04-01,0.5860751469930013
01-18,-3.3818492889404297,0.1158905029296875,1.0226764678955078,-0.7667560577392578,0.8239898681640625,0.33008575439453125,25.247764587402344,0.906696319580078,-3.176738739013672,8.022285461425781,-22.461898803710934,-2.2858428955078125,7.0,5.0,04-02,0.3663585980733236
01-19,-3.3818492889404297,0.1158905029296875,1.0221824645996094,-0.5980644226074219,0.4512748718261719,-0.0889892578125,25.247764587402344,0.906696319580078,-3.129322052001953,6.9904518127441415,-20.953510284423828,-7.555839538574219,6.0,6.0,04-03,-0.08110952377319336
01-20,-3.3818492889404297,-0.5059890747070312,1.0683059692382812,-0.2651214599609375,1.4663963317871094,-0.0889892578125,25.247764587402344,2.08868408203125,-2.787750244140625,7.642772674560548,-19.97793960571289,-7.555839538574219,5.0,7.0,04-04,0.24587043126424155
01-21,-4.485847473144531,-0.6666965484619141,0.6986255645751953,-1.168191909790039,1.4663963317871094,-0.0889892578125,23.322044372558594,-0.5878448486328125,-2.692840576171875,7.642772674560548,-19.97793960571289,-7.555839538574219,4.0,8.0,04-05,-0.34119590123494464
01-22,-6.2815818786621085,-0.3033561706542969,0.2829799652099609,-1.168191909790039,1.4663963317871094,0.0507049560546875,23.046714782714844,-1.9689750671386719,-3.0666580200195312,7.642772674560548,-19.97793960571289,-8.612983703613281,5.0,7.0,04-06,-0.7408431371053059
01-23,-5.352262496948242,-0.12651824951171875,0.29822540283203125,-1.168191909790039,2.204673767089844,0.33495330810546875,24.08578109741211,-0.9705772399902344,-3.0666580200195312,6.687854766845702,-20.523372650146484,-10.600509643554688,5.0,7.0,04-07,-0.6830501556396484
01-24,-5.799457550048827,-0.11931991577148438,0.29822540283203125,-0.7059192657470703,2.095500946044922,0.2994956970214844,23.919551849365234,-0.5322456359863281,-2.826847076416016,7.9809417724609375,-19.49097442626953,-7.6588287353515625,5.0,7.0,04-08,-0.21165641148885087
01-25,-5.799457550048827,-0.11931991577148438,2.125295639038086,-0.6818161010742188,1.4596405029296875,0.610443115234375,24.500717163085927,-0.5322456359863281,-3.4759178161621094,7.215496063232423,-19.127765655517575,-4.678482055664063,5.0,7.0,04-09,0.12471564610799153
01-26,-5.799457550048827,-0.4197673797607422,1.4752540588378906,-0.853790283203125,1.803985595703125,0.9072914123535156,24.500717163085927,-1.217975616455078,-3.40407943725586,7.793510437011719,-20.23202133178711,-4.678482055664063,5.0,7.0,04-10,-0.010401248931884766
01-27,-6.414337158203125,-0.6880855560302734,1.7079601287841797,-0.5565719604492188,1.6697616577148438,0.9072914123535156,22.91455841064453,2.6943588256835938,-3.2253456115722656,6.992179870605469,-19.802772521972656,-4.678482055664063,6.0,6.0,04-11,0.1267096201578776
01-28,-5.946199417114258,-0.3071022033691406,1.7290782928466797,-0.6047630310058594,1.6697616577148438,1.0270538330078125,24.85797119140625,2.24209976196289,-2.660751342773437,5.079124450683594,-19.802772521972656,-5.5491790771484375,6.0,6.0,04-12,0.14452679951985678
01-29,-5.058799743652344,0.3007946014404297,1.711687088012695,-0.5244331359863281,1.4394302368164062,0.2264633178710937,21.028804779052734,4.098377227783203,-2.660751342773437,5.079124450683594,-20.987060546875,-4.279960632324219,7.0,5.0,04-13,0.031139691670735683
01-30,-4.814247131347656,-0.1324176788330078,1.711687088012695,-0.5244331359863281,1.002460479736328,0.12734222412109375,17.511356353759766,3.9581375122070312,-2.660751342773437,5.362762451171875,-20.217758178710934,-4.282241821289063,6.0,6.0,04-14,-0.2465085983276367
01-31,-4.1225013732910165,-0.19003677368164065,1.711687088012695,-0.5244331359863281,1.3672828674316406,0.7877082824707031,16.660232543945312,4.670417785644531,-2.393268585205078,6.673755645751952,-18.427059173583984,-4.384040832519531,6.0,6.0,04-15,0.15247869491577148
02-01,-4.367057800292969,-0.19003677368164065,1.711687088012695,-1.5236549377441406,3.4004745483398438,0.4852027893066406,16.427787780761722,4.670417785644531,-2.747173309326172,5.970458984375,-18.578655242919922,-3.753463745117188,6.0,6.0,04-16,0.12549893061319986
02-02,-4.367057800292969,-0.19003677368164065,0.8919162750244141,-1.6843128204345703,4.647697448730469,0.4852027893066406,16.427787780761722,0.9259681701660156,-2.5815162658691406,7.956104278564452,-20.760082244873047,-5.433464050292969,6.0,6.0,04-17,-0.30681610107421875
02-03,-4.751361846923828,-0.5463905334472656,0.7969379425048828,-1.0566272735595703,4.228218078613281,0.4852027893066406,17.641773223876953,-0.2755622863769531,-2.4649810791015625,9.295623779296877,-20.760082244873047,-5.433464050292969,5.0,7.0,04-18,-0.23672612508138025
02-04,-4.877130508422852,-0.6124076843261719,0.7321128845214844,-1.0485897064208984,4.228218078613281,0.7418479919433594,17.115943908691403,-0.24542999267578125,-2.2158203125,9.946060180664062,-20.760082244873047,-7.620109558105469,5.0,7.0,04-19,-0.38461558024088544
02-05,-5.471059799194336,-0.2420749664306641,0.8083362579345703,-1.0244884490966797,3.989654541015625,2.100044250488281,17.326297760009766,-0.7652969360351562,-1.9728317260742188,9.946060180664062,-22.14657211303711,-12.758438110351562,5.0,7.0,04-20,-0.8508640925089518
02-06,-5.659708023071289,-0.1372699737548828,0.8083362579345703,-1.0244884490966797,3.466999053955078,2.3673572540283203,19.015792846679688,-0.29174041748046875,-1.9728317260742188,10.191879272460938,-20.284652709960934,-10.681961059570312,5.0,7.0,04-21,-0.3501906394958496
02-07,-5.862342834472656,-0.3245353698730469,0.8083362579345703,-0.7267589569091797,4.129505157470703,1.9628257751464844,17.509227752685547,0.01873016357421875,-1.7145805358886719,9.49970245361328,-19.16379165649414,-12.141220092773438,6.0,6.0,04-22,-0.5004084904988607
02-08,-5.624771118164063,-0.3245353698730469,0.8157386779785156,-0.9827156066894532,3.945590972900391,2.2023487091064453,17.34829330444336,0.01873016357421875,-1.6492767333984375,9.61541748046875,-16.37469482421875,-13.366615295410154,6.0,6.0,04-23,-0.3647074699401856
02-09,-5.624771118164063,-0.4852428436279297,1.119527816772461,-0.7946681976318359,4.718963623046875,2.080118179321289,17.34829330444336,0.5510711669921875,-1.1288490295410156,11.840076446533205,-16.505805969238278,-19.796615600585934,6.0,6.0,04-24,-0.5564918518066406
02-10,-4.9959144592285165,-0.4753532409667969,1.4454536437988281,-1.1683807373046875,5.0713157653808585,2.080118179321289,17.755908966064453,1.6377716064453125,-1.7868537902832031,10.311248779296877,-16.837501525878903,-19.796615600585934,6.0,6.0,04-25,-0.5632335344950358
02-11,-5.044832229614258,-0.8247222900390625,1.148151397705078,-1.925811767578125,5.0713157653808585,1.6866188049316406,16.054695129394528,2.774642944335937,-2.421737670898437,12.310379028320312,-16.837501525878903,-19.707557678222656,6.0,6.0,04-26,-0.6430300076802572
02-12,-4.960981369018555,-1.091207504272461,0.9215087890625,-1.652688980102539,4.133522033691406,1.3723106384277344,15.03183364868164,3.199504852294922,-2.56192398071289,12.310379028320312,-19.76451873779297,-16.791618347167972,6.0,6.0,04-27,-0.8211566607157389
02-13,-4.143466949462892,-1.650299072265625,1.0358524322509766,-1.652688980102539,4.4304161071777335,1.8690776824951167,15.471202850341795,4.952373504638672,-2.56192398071289,13.634025573730467,-18.794811248779297,-15.000167846679688,6.0,6.0,04-28,-0.200867493947347
02-14,-4.716419219970703,-1.974403381347656,1.0358524322509766,-0.4852619171142578,3.774005889892578,1.7388343811035156,12.383026123046875,3.6556396484375,-1.5104331970214844,16.669330596923828,-18.58666229248047,-13.445075988769533,6.0,6.0,04-29,-0.12179724375406906
02-15,-4.555715560913086,-1.974403381347656,1.0358524322509766,-0.2640972137451172,4.053699493408203,1.303447723388672,12.18633270263672,3.6556396484375,-1.2047157287597656,15.477893829345705,-18.89057922363281,-9.70343017578125,6.0,6.0,04-30,0.09332704544067384
02-16,-4.555715560913086,-1.974403381347656,1.239910125732422,-0.26369667053222656,3.760986328125,1.4344100952148438,12.18633270263672,3.6556396484375,-0.8810386657714844,14.492183685302734,-19.496524810791016,-8.013427734375,6.0,6.0,05-01,0.13205464680989584
02-17,-4.555715560913086,-1.9373149871826167,1.298015594482422,0.012304306030273438,3.54287338256836,1.4344100952148438,12.18633270263672,3.123554229736328,-1.2056922912597656,14.824649810791016,-19.984310150146484,-8.013427734375,7.0,5.0,05-02,0.06047328313191733
02-18,-4.3670616149902335,-1.72125244140625,0.8252811431884766,-0.2313671112060547,3.54287338256836,1.4344100952148438,13.122661590576172,2.0639686584472656,-1.5315666198730469,15.188129425048828,-19.984310150146484,-8.013427734375,6.0,6.0,05-03,0.027361551920572918
02-19,-4.010700225830078,-1.7911319732666016,0.9866676330566406,-0.1831645965576172,3.54287338256836,1.4454307556152344,13.435577392578125,1.0434951782226562,-1.4941864013671875,15.188129425048828,-19.984310150146484,-10.892433166503906,6.0,6.0,05-04,-0.2261460622151693
02-20,-3.8220539093017583,-2.7815017700195312,0.9714183807373048,-0.1831645965576172,3.4215011596679688,1.2900352478027344,14.226287841796875,-0.0495758056640625,-1.4941864013671875,15.188129425048828,-21.187217712402344,-12.812896728515625,5.0,7.0,05-05,-0.6027687390645345
02-21,-3.4237747192382812,-2.327749252319336,0.9714183807373048,-0.1831645965576172,3.108734130859375,1.3598785400390625,13.34378433227539,-0.3326606750488281,-1.4941864013671875,15.34564971923828,-21.459941864013672,-13.393104553222654,5.0,7.0,05-06,-0.7070930798848472
02-22,-3.109344482421875,-2.327749252319336,0.9714183807373048,-0.25347900390625,2.2910728454589844,0.8646163940429688,13.039798736572266,-0.3326606750488281,-1.864341735839844,16.016090393066403,-21.30224609375,-8.72100830078125,5.0,7.0,05-07,-0.3939860661824544
02-23,-3.109344482421875,-2.292808532714844,0.9025859832763672,-0.5694618225097656,1.5057029724121094,0.8035049438476562,13.039798736572266,0.3079566955566406,-2.100017547607422,15.269184112548828,-22.48455047607422,-8.931007385253906,6.0,6.0,05-08,-0.6382047335306803
02-24,-2.4106159210205083,-2.911785125732422,1.5276775360107422,-0.3067455291748047,1.75738525390625,0.8035049438476562,12.74738311767578,0.07867431640625,-2.318939208984375,13.90351104736328,-22.601619720458984,-8.931007385253906,6.0,6.0,05-09,-0.7218813896179199
02-25,-2.885751724243164,-2.91823959350586,0.931396484375,-0.7777309417724609,1.75738525390625,0.8035049438476562,12.531852722167967,-1.1734123229980469,-2.6250228881835938,12.60263442993164,-22.601619720458984,-8.940902709960938,5.0,7.0,05-10,-1.107992172241211
02-26,-1.7188739776611328,-3.0405635833740234,0.5136051177978516,-0.7616653442382812,1.8889961242675781,0.9980506896972656,12.86623764038086,-0.37679290771484375,-2.6156768798828125,12.60263442993164,-24.45026779174805,-6.440162658691406,5.0,7.0,05-11,-0.8778732617696127
02-27,-1.4743232727050781,-3.0405635833740234,0.20105552673339844,-0.7616653442382812,1.7817230224609375,0.8665542602539062,13.3262939453125,0.5396385192871094,-2.6156768798828125,13.122642517089846,-25.30120849609375,-2.6029586791992188,6.0,6.0,05-12,-0.4965407053629558
02-28,-0.20961952209472656,-2.464374542236328,0.20105552673339844,-1.0594005584716797,0.7381019592285156,0.6523475646972656,12.89468002319336,0.16522979736328125,-2.77248764038086,13.90290069580078,-22.635875701904297,-3.0801467895507812,6.0,6.0,05-13,-0.3056324323018392
02-29,0.0,0.0,0.0,-0.2091617584228516,0.0,0.0,0.0,0.16522979736328125,0.0,0.0,0.0,-2.8925323486328125,1.0,2.0,05-14,-0.2447053591410319
03-01,-0.13974571228027344,-2.464374542236328,0.37119102478027344,0.42545509338378906,1.1473922729492188,1.0715065002441406,13.10031509399414,-1.2152557373046875,-2.8357086181640625,15.593673706054688,-25.12788391113281,-3.66253662109375,6.0,6.0,05-15,-0.31133095423380536
03-02,-0.13974571228027344,-2.8626499176025386,0.2506332397460937,0.02011680603027344,1.0504798889160156,1.3072395324707031,13.10031509399414,-2.6214256286621094,-2.335311889648437,14.71987533569336,-23.602256774902344,-3.66253662109375,6.0,6.0,05-16,-0.39793888727823895
03-03,-0.06987190246582031,-3.5081844329833984,-0.3293342590332031,-0.18596267700195312,1.0504798889160156,1.3072395324707031,13.082592010498047,-1.4385337829589844,-2.374408721923828,12.91010284423828,-26.93869400024414,-4.869644165039063,4.0,8.0,05-17,-0.947018305460612
03-04,0.3563499450683594,-3.4073524475097656,0.03290367126464844,0.1835479736328125,1.0504798889160156,0.9051856994628906,12.120887756347654,-1.6311073303222656,-1.2889060974121094,15.84664535522461,-26.93869400024414,-5.484733581542969,7.0,5.0,05-18,-0.6878994305928549
03-05,1.8725910186767576,-3.351449966430664,-0.15474510192871094,0.1835479736328125,0.6227035522460938,1.3064537048339844,10.514793395996094,-1.4193572998046875,-1.2608718872070312,15.84664535522461,-27.72822189331055,-6.134849548339844,6.0,6.0,05-19,-0.8085633913675944
03-06,2.159076690673828,-3.1598892211914062,0.4627189636230469,-0.16120529174804688,-0.4162750244140625,0.8530807495117188,9.252857208251953,-0.9444923400878906,-1.2608718872070312,15.667011260986328,-26.0803337097168,-1.0169754028320312,5.0,7.0,05-20,-0.3871081670125325
03-07,2.3337535858154297,-2.9150104522705083,0.4627189636230469,-0.291900634765625,-0.61614990234375,1.84768295288086,9.492420196533203,-0.9444923400878906,-1.1501846313476562,17.82967758178711,-21.953739166259766,-6.017387390136719,5.0,7.0,05-21,-0.1602176030476888
03-08,2.6272220611572266,-2.9150104522705083,0.12245559692382812,-0.055469512939453125,-0.2424888610839844,1.4011802673339844,10.02886962890625,0.34576416015625,0.572723388671875,15.116851806640625,-23.14253234863281,-4.607383728027344,7.0,5.0,05-22,-0.06231816609700521
03-09,2.6272220611572266,-2.803213119506836,-0.05671119689941406,0.22133255004882807,0.07883453369140625,1.8726310729980469,10.02886962890625,0.3782768249511719,1.4724159240722656,14.437950134277346,-22.518169403076172,-4.607383728027344,8.0,4.0,05-23,0.09433794021606444
03-10,3.123321533203125,-2.8968429565429688,-0.05671119689941406,0.03579902648925781,-0.4497032165527344,1.8726310729980469,9.98455810546875,0.3179588317871094,0.5096244812011719,9.64690399169922,-22.29379272460937,-4.468864440917969,7.0,5.0,05-24,-0.3895931243896485
03-11,3.3259525299072266,-3.2165489196777344,0.13488006591796875,0.06792831420898438,-0.4497032165527344,1.8384132385253904,8.371826171875,-0.5725784301757812,0.15546798706054688,9.245162963867188,-22.29379272460937,-1.5896148681640625,7.0,5.0,05-25,-0.41521724065144855
03-12,2.9416522979736333,-3.628803253173828,1.3788337707519531,0.06792831420898438,-0.5648727416992188,1.444915771484375,4.5291900634765625,0.5427207946777344,0.11809158325195312,9.245162963867188,-23.843955993652344,6.360595703125,9.0,3.0,05-26,-0.11737839380900066
03-13,2.5783100128173837,-3.821001052856445,1.881948471069336,0.3499794006347656,-0.6964874267578125,2.1324462890625,6.808708190917969,0.5427207946777344,0.11809158325195312,8.469882965087889,-22.28417205810547,7.8504180908203125,9.0,3.0,05-27,0.32757043838500977
03-14,3.423778533935547,-3.3528461456298837,1.881948471069336,0.7495765686035156,-1.8879508972167969,2.7951812744140625,7.92242431640625,0.5427207946777344,0.2195472717285156,8.536067962646483,-19.77705383300781,12.008392333984375,9.0,3.0,05-28,1.0884822209676106
03-15,3.598453521728516,-3.3528461456298837,0.7723865509033203,0.3129005432128906,-3.226573944091797,2.279102325439453,6.8763580322265625,2.5457763671875,0.6161651611328125,8.367107391357424,-20.424266815185547,13.828392028808596,9.0,3.0,05-29,1.016079584757487
03-16,3.598453521728516,-3.5415019989013667,1.7561912536621094,0.4853458404541016,-3.3268585205078125,2.523571014404297,6.8763580322265625,2.7442779541015625,-0.08824539184570312,7.998931884765625,-20.65131378173828,13.828392028808596,8.0,4.0,05-30,1.0169668197631836
03-17,3.4936428070068364,-3.5415019989013667,0.8167648315429688,0.6254825592041016,-3.578533172607422,2.523571014404297,5.609203338623047,2.870594024658203,0.3083686828613281,7.5277862548828125,-20.72936248779297,12.324455261230467,9.0,3.0,05-31,0.6875392595926919
03-18,2.480485916137696,-4.2506656646728525,1.2531986236572266,0.7781162261962891,-3.578533172607422,2.4808006286621094,4.785118103027344,2.441394805908203,-0.2430229187011719,7.068656921386719,-20.72936248779297,17.733985900878906,8.0,4.0,06-01,0.8516810735066732
03-19,2.0961856842041016,-4.394710540771484,0.5549888610839844,0.7781162261962891,-4.244853973388672,2.5540809631347656,2.314640045166016,2.5042266845703125,-0.2897453308105469,7.068656921386719,-20.04576110839844,20.51398468017578,8.0,4.0,06-02,0.7841507593790691
03-20,3.2490940093994136,-4.402448654174805,0.4177722930908203,1.138528823852539,-4.55657958984375,2.9376182556152344,-4.71807861328125,1.2714271545410156,-0.2897453308105469,7.588661193847656,-19.58321762084961,21.416309356689453,7.0,5.0,06-03,0.3724451065063477
03-21,2.3407421112060547,-4.265604019165038,0.4177722930908203,1.146554946899414,-5.5273094177246085,3.42972183227539,-8.536140441894531,1.2714271545410156,-0.10526657104492188,8.450309753417969,6.474323272705077,19.91786193847656,8.0,4.0,06-04,2.0845327377319336
