,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-45.17240853145204,5.392908444225529,0.7930022366622765,-4.788167151257865,5.369130838737558,-0.6466632203484992,32.479969184792125,-7.0924372358293954,-6.904274589297192,10.979783885248217,4.355872087139283,-18.300763991758476,6.0,6.0,-1.9611706702615408
01-03,-37.049747120901365,5.392908444225529,0.7930022366622765,-4.788167151257865,7.064258762071934,0.9462888652787412,33.13509006899125,-7.4806472778969635,-6.904274589297192,10.295708450567805,5.248450762920939,-24.019199401065375,7.0,5.0,-1.4471939958083575
01-04,-35.194591520786226,5.392908444225529,0.7930022366622765,-2.689907784091373,8.097885045309184,2.7586252591606812,34.175310676404926,-7.4806472778969635,-8.71092863150786,9.672454588500743,2.3142528150933033,-19.005323082620322,7.0,5.0,-0.8230799359621748
01-05,-35.194591520786226,4.28864465290417,7.161731166872944,-1.6360928232911005,9.549823190942694,2.007718944484517,34.175310676404926,-7.381775652676866,-9.358688506496224,9.967596555812655,2.4450152091076545,-26.85025625442941,7.0,5.0,-0.9021303634291891
01-06,-33.84094842025701,5.604421942513981,6.1744945961356965,-0.9378111150599104,9.39142050540062,2.007718944484517,35.095349566153146,-8.158544490427316,-11.055183394204445,9.041396172029184,1.9026450075068568,-26.85025625442941,7.0,5.0,-0.9687747450128416
01-07,-23.747975098347087,6.68509622067913,6.901045366086748,-1.7473712537336372,9.39142050540062,1.5701333838162959,35.293144840875456,-8.835676888900453,-11.732785589238329,9.140371367557961,1.9026450075068568,-27.624790831804933,7.0,5.0,-0.2337285808417805
01-08,-28.013352841146965,8.603483988830261,5.172415712140723,-1.7473712537336372,8.471976589383418,0.7828790173530898,42.4000004359654,-7.874273385371818,-12.152511649192311,9.140371367557961,1.5814167787102384,-27.710841474965537,7.0,5.0,-0.11215055953909836
01-09,-21.621618671226354,5.236278344466273,4.462849413849615,-1.7473712537336372,8.356975077534155,1.8961027071073455,45.82941103531247,-6.674260872135545,-12.152511649192311,7.850152196513653,-57.41445903747498,-27.657745778159647,6.0,6.0,-4.469683207261581
01-10,-21.9670040409134,3.2594525416826565,4.462849413849615,-3.894152533988275,8.890821683640645,2.8049411617804645,49.64441691579995,-6.674260872135545,-11.025542349407774,5.960783116957722,-42.660224795340746,-25.04970608630013,6.0,6.0,-3.0206354870312357
01-11,-19.11532770087952,3.2594525416826565,4.6231951547021914,-2.8416053286238583,8.754862481642903,2.0844090596211853,46.24400689124943,-6.674260872135545,-9.752003427323688,5.066322813499285,-44.52446893991151,-16.28121717425391,6.0,6.0,-2.4297195417275317
