,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.4754538536071775,1.2584753036499023,-0.9222984313964844,5.211530685424805,-0.7687587738037109,1.1450252532958984,-2.1494817733764653,0.8502178192138672,-1.1424617767333984,-0.04201698303222656,0.4374294281005859,-9.502645492553713,5.0,7.0,03-17,-0.5917032162348429
01-03,-1.4754538536071775,1.2584753036499023,-0.9222984313964844,5.211530685424805,-0.2063426971435547,1.9591217041015625,-1.2383947372436523,0.9762401580810548,-1.1424617767333984,-0.1830902099609375,0.4374294281005859,-10.476972103118896,5.0,7.0,03-18,-0.4835180441538493
01-04,-1.4754538536071775,1.2584753036499023,-0.3290424346923828,5.44605827331543,-0.6376323699951172,2.0619220733642583,-0.7757272720336914,0.9762401580810548,-1.1251344680786133,-0.4571056365966797,0.6107940673828125,-10.814045429229736,5.0,7.0,03-19,-0.4383876323699951
01-05,-1.4754538536071775,1.201289176940918,-0.030839920043945312,4.74626350402832,-0.6689338684082031,1.776906967163086,-0.7757272720336914,1.4254951477050781,-1.4089612960815432,-1.0244216918945312,-0.24127960205078125,-10.756261825561523,4.0,8.0,03-20,-0.6026603778203329
01-06,-1.4754538536071775,1.0726089477539062,-0.2973976135253906,4.799560546875,-0.5917415618896484,1.776906967163086,-0.22763347625732425,1.945077896118164,-1.0376300811767578,-0.9710330963134766,-0.24127960205078125,-10.756261825561523,4.0,8.0,03-21,-0.500356396039327
01-07,-1.4754538536071775,1.0726089477539062,0.26605224609375,4.360929489135741,-0.5917415618896484,1.8478126525878904,-0.4870967864990234,2.0688848495483403,-0.4676761627197266,-0.9710330963134766,-0.24127960205078125,-10.975688934326172,5.0,7.0,03-22,-0.4661401510238648
01-08,-1.4754538536071775,1.0297174453735352,0.18451690673828125,4.820976257324219,-0.5687160491943359,1.1450557708740234,-0.09805011749267578,1.909585952758789,-1.2733421325683594,-0.9710330963134766,-0.5253047943115234,-10.25465202331543,5.0,7.0,03-23,-0.5063916444778442
01-09,-1.4754538536071775,1.0944671630859375,0.4651203155517578,4.820976257324219,-1.2996578216552734,1.3656063079833984,0.32108211517333984,2.175727844238281,-1.2733421325683594,-1.121297836303711,-0.6642646789550781,-9.532352447509766,6.0,6.0,03-24,-0.4269490639368693
01-10,-0.512263298034668,1.0944671630859375,0.4651203155517578,5.098766326904297,-1.707620620727539,1.198747634887695,0.9420576095581056,2.175727844238281,-1.2733421325683594,-1.121297836303711,-1.287282943725586,-9.638290405273438,6.0,6.0,03-25,-0.38043419520060223
01-11,-0.609980583190918,1.0944671630859375,0.260040283203125,4.525764465332031,-1.984413146972656,1.9484062194824217,0.04107475280761719,2.175727844238281,-1.2733421325683594,-1.6353836059570312,-1.639326095581055,-8.967761039733887,6.0,6.0,03-26,-0.5053938229878744
01-12,-0.609980583190918,1.0944671630859375,0.1883716583251953,4.608821868896484,-1.876867294311524,2.4234447479248047,0.04107475280761719,2.025976181030273,-1.2733421325683594,-1.9535942077636719,-1.6485881805419922,-7.436485290527344,6.0,6.0,03-27,-0.368058443069458
01-13,-0.609980583190918,1.0944671630859375,0.5854434967041016,4.820764541625977,-1.876867294311524,2.4234447479248047,0.2828779220581055,1.8472442626953125,-1.6002302169799805,-2.590015411376953,-1.6485881805419922,-7.436485290527344,6.0,6.0,03-28,-0.3923270702362061
01-14,-0.609980583190918,1.1232423782348633,0.5270309448242188,3.2035045623779297,-1.876867294311524,2.2580108642578125,0.8639488220214844,1.4214754104614258,-1.6002302169799805,-2.590015411376953,-1.6485881805419922,-7.436485290527344,6.0,6.0,03-29,-0.5304128328959147
01-15,-0.609980583190918,0.3596534729003906,0.3855705261230469,2.773632049560547,-1.6005496978759766,1.7439823150634766,0.7083635330200195,2.0072889328002934,-0.9158439636230468,-2.590015411376953,-1.6394271850585938,-7.341081619262695,6.0,6.0,03-30,-0.5598673025767008
01-16,-0.609980583190918,0.3739480972290039,0.8581733703613281,2.773632049560547,-1.224313735961914,1.7439823150634766,0.934101104736328,1.8658571243286133,-0.9158439636230468,-2.590015411376953,-1.7221899032592771,-8.082643508911133,6.0,6.0,03-31,-0.5496077537536621
01-17,-0.609980583190918,0.3739480972290039,0.8581733703613281,2.773632049560547,-1.1915550231933594,2.907455444335937,0.4977712631225586,2.042285919189453,-0.9158439636230468,-2.5281391143798837,-1.045392990112305,-8.246364593505861,6.0,6.0,04-01,-0.4236675103505452
01-18,-0.609980583190918,0.3739480972290039,0.8581733703613281,1.2558097839355469,-1.330484390258789,2.8373336791992188,0.4977712631225586,2.042285919189453,-1.4576950073242188,-2.4592437744140625,-0.8879051208496094,-8.246364593505861,6.0,6.0,04-02,-0.5938626130421957
01-19,-0.609980583190918,0.3739480972290039,1.085947036743164,1.2497081756591797,-1.569841384887695,3.043182373046875,0.4977712631225586,2.042285919189453,-0.9330482482910156,-2.2294273376464844,-0.7582035064697266,-7.630002021789551,6.0,6.0,04-03,-0.4531383514404297
01-20,-0.609980583190918,0.3739480972290039,1.0798282623291016,0.8142452239990234,-2.0715351104736333,3.043182373046875,0.4977712631225586,2.3585901260375977,-0.9330482482910156,-2.2294273376464844,-0.7582035064697266,-7.630002021789551,6.0,6.0,04-04,-0.5053859551747639
01-21,-0.609980583190918,0.6185503005981445,1.448678970336914,0.6339244842529297,-2.0715351104736333,3.043182373046875,0.4089422225952149,1.942453384399414,-0.9330482482910156,-2.5050029754638667,-0.7582035064697266,-7.630002021789551,6.0,6.0,04-05,-0.5343367258707682
01-22,-0.609980583190918,0.9278841018676758,1.2207965850830078,0.6339244842529297,-2.0715351104736333,2.1071853637695312,0.5870561599731445,1.6332368850708008,-1.0023555755615234,-2.5050029754638667,-0.7582035064697266,-7.630002021789551,6.0,6.0,04-06,-0.6222496827443441
01-23,-0.609980583190918,1.5498151779174805,1.1174182891845703,0.6339244842529297,-1.85009765625,2.4792156219482417,1.0355405807495115,2.0126495361328125,-1.0023555755615234,-2.8408908843994136,-0.9527530670166016,-7.918923377990723,6.0,6.0,04-07,-0.5288697878519694
01-24,-0.609980583190918,1.5498151779174805,1.1174182891845703,0.7840900421142578,-2.420867919921875,2.8327789306640625,1.1426429748535156,2.289902687072754,-1.0023555755615234,-2.556425094604492,-0.008037567138671875,-7.2832984924316415,6.0,6.0,04-08,-0.3470264275868733
01-25,-0.609980583190918,1.5498151779174805,1.227277755737305,0.8356552124023438,-2.2442073822021484,2.682586669921875,1.0533580780029297,2.289902687072754,-1.9413986206054688,-3.2827968597412114,-0.3270759582519531,-6.994379997253418,6.0,6.0,04-09,-0.4801036516825358
01-26,-0.609980583190918,1.5498151779174805,1.044172286987305,-0.2392005920410156,-1.736806869506836,2.959686279296875,1.0533580780029297,2.1068744659423837,-1.7005767822265625,-3.1678867340087886,-0.3270759582519531,-6.994379997253418,5.0,7.0,04-10,-0.5051667690277101
01-27,-0.609980583190918,1.9358434677124023,1.1135787963867188,-0.315765380859375,-1.0498695373535156,2.959686279296875,1.5611515045166016,1.9806060791015625,-1.6231708526611328,-3.1678867340087886,-0.6698532104492188,-6.994379997253418,5.0,7.0,04-11,-0.4066700140635173
01-28,-0.5890407562255859,1.9358434677124023,0.6046619415283203,-0.3911800384521485,-1.0498695373535156,2.7548694610595703,1.8996744155883791,1.9003658294677728,-1.3307418823242188,-3.1678867340087886,-0.6698532104492188,-6.994379997253418,5.0,7.0,04-12,-0.4247947533925374
01-29,-0.5890407562255859,1.7488012313842771,0.4785251617431641,-0.3911800384521485,-1.3952713012695312,3.0463466644287114,2.49692440032959,2.212862968444824,-1.3307418823242188,-3.1678867340087886,-0.6698532104492188,-6.578860282897949,5.0,7.0,04-13,-0.34494781494140625
01-30,-0.5890407562255859,1.6624717712402344,0.32346343994140625,-0.3911800384521485,-1.033710479736328,2.1207504272460938,2.4968690872192383,2.6420841217041016,-1.3307418823242188,-3.1678867340087886,-0.3280963897705078,-6.578860282897949,5.0,7.0,04-14,-0.3478231430053711
01-31,-0.5890407562255859,1.7775745391845703,0.32346343994140625,-0.3761672973632813,-1.6191463470458984,2.105855941772461,1.6760950088500977,2.81851577758789,-1.485555648803711,-3.1678867340087886,-0.3280963897705078,-6.057765960693359,5.0,7.0,04-15,-0.41017953554789227
02-01,-0.5890407562255859,1.7775745391845703,-0.14527511596679688,-0.7215309143066406,-3.185466766357422,2.2844600677490234,2.268631935119629,2.81851577758789,-1.485555648803711,-3.1678867340087886,-0.8594989776611328,-5.836259841918945,4.0,8.0,04-16,-0.5701110363006592
02-02,-0.5890407562255859,1.7775745391845703,-0.4046974182128906,0.0006847381591796875,-2.460489273071289,2.2844600677490234,2.268631935119629,3.4840784072875977,-1.485555648803711,-2.6198596954345703,-1.174581527709961,-6.356315612792969,5.0,7.0,04-17,-0.4395925203959147
02-03,-0.5890407562255859,1.7775745391845703,-0.4856777191162109,-0.6601924896240234,-2.83869743347168,2.2844600677490234,1.6479997634887695,3.585963249206543,-1.433950424194336,-2.4872722625732417,-1.174581527709961,-6.356315612792969,4.0,8.0,04-18,-0.5608108838399252
02-04,-0.5890407562255859,1.3272085189819336,-1.6672401428222656,-0.34319305419921875,-2.83869743347168,1.4415225982666016,2.4303436279296875,3.0368757247924805,-1.1243228912353516,-1.198282241821289,-1.174581527709961,-6.356315612792969,4.0,8.0,04-19,-0.5879769325256348
02-05,-0.5890407562255859,1.4985513687133791,-1.0191574096679688,-0.3884372711181641,-3.0075645446777344,1.6384658813476562,1.8476305007934568,3.676955223083496,-1.2889270782470703,-1.198282241821289,-1.348663330078125,-7.157697677612305,4.0,8.0,04-20,-0.6113472779591879
02-06,-0.5890407562255859,1.377028465270996,-1.0191574096679688,-0.3884372711181641,-3.1075096130371094,1.5380134582519531,1.6058225631713867,3.876540184020996,-1.2889270782470703,-0.6767749786376953,-1.348663330078125,-6.262046813964844,4.0,8.0,04-21,-0.5235960483551025
02-07,-0.5890407562255859,1.4921340942382812,-1.0191574096679688,-0.1932411193847656,-3.0316066741943364,0.9391365051269532,0.3899316787719727,3.960556983947754,-1.3663311004638672,-0.6767749786376953,-1.348663330078125,-5.714181900024414,4.0,8.0,04-22,-0.5964365005493164
02-08,-0.5890407562255859,1.4921340942382812,-0.7921142578125,0.0018711090087890625,-3.4014968872070312,1.1039791107177734,0.6172018051147461,3.960556983947754,-1.3663311004638672,-0.6767749786376953,-0.7768363952636719,-5.714181900024414,5.0,7.0,04-23,-0.5117527643839518
02-09,-0.5890407562255859,1.4706830978393557,-0.5634441375732422,0.145233154296875,-3.501575469970703,0.9535503387451172,0.6172018051147461,4.226780891418457,-1.3061275482177734,-0.6767749786376953,-0.8235607147216797,-5.714181900024414,5.0,7.0,04-24,-0.4801046848297119
02-10,-0.5890407562255859,1.19903564453125,-0.08550262451171875,0.6783027648925781,-3.501575469970703,0.9535503387451172,0.996027946472168,4.293338775634767,-1.5641517639160156,-0.8800697326660156,-0.8235607147216797,-5.714181900024414,5.0,7.0,04-25,-0.4198189576466878
