,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-58.76288578707677,-4.641356068608219,4.3478287911369655,19.54023030504882,26.536308086891985,0.8498575533404166,7.0866137790421675,-15.202704117714338,-9.302316297384024,12.427747457121177,18.18181677438852,-35.71428824849688,7.0,5.0,-2.8877623143591813
01-03,-66.31579148141962,-1.2244886043219934,4.3478287911369655,19.54023030504882,27.747251685583283,0.8498575533404166,7.0866137790421675,-15.202704117714338,-9.302316297384024,0.5780341244511894,13.698633045075484,-35.71428824849688,7.0,5.0,-4.492594955471545
01-04,-54.90196555085212,-1.2244886043219934,4.3478287911369655,19.54023030504882,26.123591103557917,0.8498575533404166,12.158814452732365,-15.202704117714338,-9.302316297384024,0.5780341244511894,13.698633045075484,-72.41379806459601,7.0,5.0,-6.312356938293778
01-05,-54.90196555085212,-1.6326514724293246,8.908044283921447,19.54023030504882,26.123591103557917,0.8498575533404166,12.158814452732365,-15.202704117714338,-12.558138090704182,0.0,13.698633045075484,-72.41379806459601,6.0,6.0,-6.285840546051627
01-06,-54.90196555085212,-2.904561441900115,8.908044283921447,29.830511871749877,26.123591103557917,0.8498575533404166,12.158814452732365,-15.202704117714338,-6.607933772149558,1.1627895694091224,13.698633045075484,-72.41379806459601,7.0,5.0,-4.941560088952127
01-07,-50.961542164785754,-7.9497828645282755,8.045976145262136,29.830511871749877,26.123591103557917,0.8498575533404166,12.158814452732365,-15.202704117714338,-6.607933772149558,3.682716064475138,13.698633045075484,-72.41379806459601,7.0,5.0,-4.895471728965052
01-08,-50.961542164785754,-9.205011737874845,12.068967643447484,29.830511871749877,19.943821616823566,0.8498575533404166,12.903230577494734,-15.202704117714338,-6.607933772149558,3.682716064475138,13.698633045075484,-72.41379806459601,7.0,5.0,-5.117770957059485
01-09,-45.33333551316034,-14.34783343331365,17.297299909626474,29.830511871749877,16.66667131420222,0.8498575533404166,12.903230577494734,-15.202704117714338,-6.607933772149558,3.682716064475138,-6.8493083575181215,-72.41379806459601,6.0,6.0,-6.627052163963598
01-10,-47.572810949440175,-14.84716848260419,17.297299909626474,29.830511871749877,16.66667131420222,0.8498575533404166,12.903230577494734,-15.202704117714338,-6.607933772149558,3.682716064475138,-30.645160670086945,-72.41379806459601,6.0,6.0,-8.83827406380853
01-11,-49.01960875977925,-14.84716848260419,16.216219873477062,29.830511871749877,16.66667131420222,0.8498575533404166,12.903230577494734,-15.202704117714338,-6.607933772149558,3.682716064475138,-30.645160670086945,-72.41379806459601,6.0,6.0,-9.048930551015903
01-12,-49.01960875977925,-13.537115630722306,16.216219873477062,29.830511871749877,16.66667131420222,0.2849000139722797,12.903230577494734,-15.202704117714338,-6.607933772149558,1.9830009577943053,-30.645160670086945,-72.41379806459601,6.0,6.0,-9.128482200529831
01-13,-46.07843036424282,-11.111111111111109,16.216219873477062,29.830511871749877,16.66667131420222,0.2849000139722797,12.903230577494734,-15.202704117714338,-6.607933772149558,1.9830009577943053,-30.645160670086945,-72.41379806459601,6.0,6.0,-8.68121695760086
01-14,-37.692309808449004,-13.537115630722306,15.284972285074756,29.830511871749877,16.66667131420222,0.2849000139722797,12.903230577494734,-15.202704117714338,-0.44052821794189095,1.9830009577943053,-30.645160670086945,-72.41379806459601,6.0,6.0,-7.748194124101862
01-15,-46.464652108265746,-9.36170372503174,13.031915180307536,29.830511871749877,16.66667131420222,0.2849000139722797,12.406953160986488,-15.202704117714338,-0.44052821794189095,1.9830009577943053,-30.645160670086945,-72.41379806459601,6.0,6.0,-8.360382867051998
01-16,-58.94737243652344,-8.510640672344481,14.173227558084335,29.830511871749877,7.917887804414548,0.2849000139722797,12.406953160986488,-15.202704117714338,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-72.41379806459601,6.0,6.0,-9.829235094748991
01-17,-27.490042224785405,-8.510640672344481,14.173227558084335,29.830511871749877,6.158358734932872,0.2849000139722797,12.406953160986488,-22.661874853400445,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-9.700153943358519
01-18,-25.000004656612983,-8.510640672344481,14.173227558084335,25.08474568052218,6.158358734932872,0.2849000139722797,12.406953160986488,-22.661874853400445,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-9.888131328613127
01-19,-25.000004656612983,-8.510640672344481,9.186349340919676,15.789467520110398,6.158358734932872,0.2849000139722797,12.406953160986488,-22.661874853400445,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-11.078311026744498
01-20,-25.000004656612983,-4.166662527455388,7.7333323160807295,14.285709420028914,6.158358734932872,0.2849000139722797,12.406953160986488,-14.046825249308887,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-10.244789974739476
01-21,-11.403510826629867,-1.6326514724293246,7.7333323160807295,14.285709420028914,6.158358734932872,0.2849000139722797,12.406953160986488,-14.046825249308887,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-8.900581234322047
01-22,-9.401712815402313,0.0,9.866663614908854,14.285709420028914,6.158358734932872,0.2849000139722797,12.406953160986488,-14.046825249308887,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-8.41993283578163
01-23,-11.00918169666191,0.0,12.207787060620866,14.285709420028914,6.158358734932872,0.2849000139722797,12.406953160986488,-23.5507281743987,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-9.150786865834746
01-24,-17.037038149002957,-0.8403352926397583,12.207787060620866,14.285709420028914,2.14067075385622,0.2849000139722797,12.406953160986488,-23.5507281743987,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-10.057943509672867
01-25,-17.037038149002957,-0.8403352926397583,12.207787060620866,14.285709420028914,0.6116202153874915,0.2849000139722797,12.406953160986488,-23.5507281743987,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,6.0,6.0,-10.185364387878595
01-26,-17.037038149002957,0.840345310226634,12.207787060620866,14.285709420028914,0.6116202153874915,0.2849000139722797,12.406953160986488,-23.5507281743987,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,7.0,5.0,-10.04530767097306
01-27,-13.88888864360229,0.4166662527455388,12.05128249018541,14.285709420028914,0.6116202153874915,0.2849000139722797,12.406953160986488,-22.661874853400445,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,7.0,5.0,-9.757239404432863
01-28,-16.72727411443537,4.166672461562456,12.05128249018541,10.447759866236506,0.6116202153874915,0.2849000139722797,12.406953160986488,-22.661874853400445,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,7.0,5.0,-10.00110013908358
01-29,-4.878044052774629,10.980391240220747,6.923076264721888,10.447759866236506,0.6116202153874915,0.2849000139722797,12.406953160986488,-20.070429186195934,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,7.0,5.0,-8.657251115578578
01-30,6.39625362202836,10.0,6.923076264721888,10.447759866236506,0.6116202153874915,0.2849000139722797,18.09744737227872,-20.070429186195934,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,8.0,4.0,-7.325217728422371
01-31,7.199996948242188,10.0,6.923076264721888,10.447759866236506,0.6116202153874915,0.2849000139722797,18.09744737227872,-20.070429186195934,-0.44052821794189095,1.9830009577943053,-29.03225899486958,-93.10345465448059,8.0,4.0,-7.2582391179045525
02-01,7.199996948242188,10.0,8.205132406060331,10.447759866236506,0.6116202153874915,0.2849000139722797,18.09744737227872,-20.070429186195934,5.785128119441005,1.9830009577943053,-29.03225899486958,-93.10345465448059,9.0,3.0,-6.632596411344442
02-02,7.199996948242188,10.0,7.692312394843656,10.447759866236506,0.6116202153874915,0.2849000139722797,18.09744737227872,-20.070429186195934,5.785128119441005,-4.531725013912553,-9.589039865544988,-93.10345465448059,8.0,4.0,-5.597956982477687
02-03,4.8000030517578125,11.877392921050653,10.256412450927039,-2.2388037792902336,1.5151500920837588,0.2849000139722797,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-9.589039865544988,-93.10345465448059,8.0,4.0,-4.561159598861216
02-04,11.538461538461537,16.34981171278812,7.179492383626977,-2.2388037792902336,1.5151500920837588,0.2849000139722797,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-9.589039865544988,-93.10345465448059,8.0,4.0,-3.883329831266122
02-05,11.363636527836487,17.647061023470208,7.948722400451992,-2.2388037792902336,1.5151500920837588,0.2849000139722797,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-9.589039865544988,-93.10345465448059,8.0,4.0,-3.725691971525951
02-06,16.38513943459357,17.24137269548109,7.948722400451992,-2.2388037792902336,0.6116202153874915,-2.941173583166078,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-3.896108017862197,-75.00000465661297,7.0,5.0,-1.7021425589856367
02-07,11.371234551333316,13.599996566772461,7.948722400451992,-2.2388037792902336,-5.3797415587942075,-2.941173583166078,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-1.265821543245696,-75.00000465661297,6.0,6.0,-2.703505584946809
02-08,11.5191920993095,13.599996566772461,7.948722400451992,-2.2388037792902336,-5.3797415587942075,-2.941173583166078,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-1.265821543245696,-75.00000465661297,6.0,6.0,-2.6911757892821284
02-09,11.5191920993095,12.799997329711914,5.835544554993933,-2.2388037792902336,-5.3797415587942075,-2.941173583166078,18.09744737227872,2.112674105382526,5.785128119441005,-4.531725013912553,-1.265821543245696,-75.00000465661297,6.0,6.0,-2.9339405461586785
02-10,14.858095166829328,15.01975811539629,5.835544554993933,-11.83673290648299,-5.3797415587942075,-2.941173583166078,18.09744737227872,2.112674105382526,9.163347408261801,-4.531725013912553,-1.265821543245696,-75.00000465661297,6.0,6.0,-2.989027711589325
02-11,12.698415341500926,18.972332984249576,5.835544554993933,-11.83673290648299,-5.3797415587942075,-2.941173583166078,18.09744737227872,2.112674105382526,13.962268326875636,-4.531725013912553,-1.265821543245696,-71.8750075669961,6.0,6.0,-2.179293290609691
02-12,16.153849088228668,20.54263515746346,5.585107411691755,-11.83673290648299,-4.74683078717136,0.2849000139722797,18.09744737227872,2.112674105382526,13.962268326875636,-4.531725013912553,-1.265821543245696,-71.8750075669961,7.0,5.0,-1.4597696951596362
02-13,8.730161493387326,13.306448434195607,5.585107411691755,-11.83673290648299,2.6470632371604235,0.2849000139722797,18.09744737227872,2.112674105382526,13.962268326875636,-4.531725013912553,2.5316506313829312,-71.8750075669961,9.0,3.0,-1.7488120384220356
02-14,14.173230061166567,11.157023653486783,5.585107411691755,-11.83673290648299,2.6470632371604235,1.6853916782002771,18.09744737227872,2.112674105382526,13.962268326875636,-4.531725013912553,2.5316506313829312,-71.8750075669961,9.0,3.0,-1.3576340841471672
02-15,14.173230061166567,11.157023653486783,5.585107411691755,-11.83673290648299,2.6470632371604235,1.6853916782002771,18.09744737227872,2.112674105382526,13.962268326875636,-4.531725013912553,2.5316506313829312,-71.8750075669961,9.0,3.0,-1.3576340841471672
02-16,14.173230061166567,11.157023653486783,8.505158566784853,-4.980847496782949,2.6470632371604235,1.6853916782002771,18.09744737227872,2.112674105382526,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,9.0,3.0,-0.6495288973607979
02-17,14.173230061166567,10.41666625274554,5.9278353682891005,-4.980847496782949,6.760563739730456,1.6853916782002771,18.09744737227872,-6.106873771734768,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-1.2681728951761528
02-18,17.037038449887874,13.223147172434556,5.9278353682891005,-4.980847496782949,6.760563739730456,1.6853916782002771,18.09744737227872,-6.106873771734768,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-0.7956487861419579
02-19,15.895064919392073,11.157023653486783,10.025065022841275,-4.980847496782949,6.760563739730456,1.6853916782002771,18.09744737227872,-6.870231855708343,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-0.7851675760473734
02-20,27.464786414895748,9.442061622916343,10.025065022841275,-4.980847496782949,6.760563739730456,1.6853916782002771,18.09744737227872,-19.148938976407113,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-0.9871632140278348
02-21,28.676473991268548,6.637172389398307,10.025065022841275,-4.980847496782949,5.915494111766199,1.6853916782002771,18.09744737227872,-19.148938976407113,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-1.1903524877869591
02-22,33.10344959127492,6.637172389398307,10.025065022841275,-11.83673290648299,5.915494111766199,1.6853916782002771,18.09744737227872,-19.148938976407113,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-1.3927616385947648
02-23,33.10344959127492,5.309729471922889,8.18414743316795,-11.83673290648299,7.222222148636239,7.161803243833402,18.09744737227872,-19.148938976407113,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,8.0,4.0,-1.0915300473152307
02-24,29.65517372920595,-6.28019896779725,11.645570445416,-12.295079724630456,7.222222148636239,7.161803243833402,18.09744737227872,-20.00000202909437,13.962268326875636,-5.810399337269257,2.5316506313829312,-71.8750075669961,7.0,5.0,-2.1653793106798784
02-25,33.802818698652274,-2.8985595716481827,12.311557969560294,-6.5573706418013025,7.222222148636239,7.161803243833402,18.09744737227872,-20.00000202909437,13.962268326875636,-8.124999580904847,2.5316506313829312,-71.8750075669961,7.0,5.0,-1.1971809166021077
02-26,36.53846553561711,0.9302316297384028,10.552765685456409,-6.5573706418013025,7.222222148636239,7.161803243833402,18.09744737227872,-20.00000202909437,13.962268326875636,-8.124999580904847,2.5316506313829312,-71.8750075669961,8.0,4.0,-0.7967104370814813
