,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-2.642830848693848,-0.3297958374023437,-1.248212814331055,0.8938713073730469,5.046687126159668,-2.3962364196777344,0.07540702819824219,-2.2047080993652344,1.2707653045654297,-1.285358428955078,1.5838966369628906,-4.702986717224121,5.0,7.0,03-17,-0.4949584801991781
01-03,-2.711298942565918,-0.2175235748291016,-1.248212814331055,0.8938713073730469,4.644526481628418,-2.347665786743164,-0.26810455322265625,-2.0096797943115234,1.2707653045654297,-2.1969623565673837,2.5808162689208984,-5.639760971069336,4.0,8.0,03-18,-0.6041024525960287
01-04,-2.718146324157715,-0.2175235748291016,-1.4223814010620115,0.99151611328125,4.155628204345703,-1.0766868591308594,-0.05864906311035156,-2.0096797943115234,0.5048236846923828,-3.299999237060547,2.1242828369140625,-5.123579978942871,4.0,8.0,03-19,-0.6791996161142985
01-05,-2.718146324157715,-0.3438291549682617,-1.6618585586547852,0.5558528900146484,4.636646270751953,-1.100973129272461,-0.05864906311035156,-2.399744033813477,0.7050094604492188,-3.8013839721679688,1.7888717651367188,-6.01255989074707,4.0,8.0,03-20,-0.8675636450449625
01-06,-3.122105598449707,-0.7437925338745117,-2.09002685546875,0.5182914733886719,4.4868202209472665,-1.100973129272461,0.2429676055908203,-2.4506206512451167,1.392620086669922,-4.585355758666992,2.096332550048828,-6.01255989074707,5.0,7.0,03-21,-0.9473668734232584
01-07,-2.861927032470703,-0.1824378967285156,-1.4659194946289062,0.5783853530883789,4.4868202209472665,-1.2466888427734375,-0.3016166687011719,-1.83160400390625,0.7746467590332031,-4.676519393920898,2.096332550048828,-5.840497970581055,4.0,8.0,03-22,-0.8725855350494385
01-08,-2.21833610534668,-0.04209995269775391,-1.5892925262451172,0.5708742141723633,4.305456161499023,-0.1942901611328125,-0.1759471893310547,-1.2719478607177734,0.7833499908447266,-4.676519393920898,2.0870132446289062,-5.8500566482543945,4.0,8.0,03-23,-0.6893163522084554
01-09,-1.3077230453491209,-0.4069795608520508,-1.2336978912353516,0.5708742141723633,3.9821510314941406,0.5019149780273438,0.8629531860351562,-1.3991432189941406,0.7833499908447266,-5.259943008422852,2.003162384033203,-5.343433380126953,6.0,6.0,03-24,-0.5205428600311279
01-10,-0.7873706817626953,-0.6245050430297852,-1.2336978912353516,0.5633602142333984,4.565675735473633,0.17000389099121094,0.8629550933837891,-1.3991432189941406,0.2872276306152344,-6.071269989013673,1.8913593292236328,-5.467700004577637,6.0,6.0,03-25,-0.6035920778910319
01-11,-0.8147602081298828,-0.6245050430297852,-1.3788394927978516,0.4431772232055664,3.8717555999755855,0.2509574890136719,0.1843204498291016,-1.3991432189941406,0.1218547821044922,-5.396678924560547,2.5155982971191406,-5.18093204498291,6.0,6.0,03-26,-0.6172662576039633
01-12,-0.8147602081298828,-0.5473203659057617,-1.3498048782348633,0.5408258438110352,3.2882289886474614,0.1942901611328125,0.1843204498291016,-1.8400840759277344,0.4961185455322266,-5.879833221435548,2.841693878173828,-5.209609031677246,6.0,6.0,03-27,-0.6746611595153809
01-13,-0.7052125930786133,-0.7227449417114258,-1.4296350479125977,0.8938665390014648,3.2882289886474614,0.1942901611328125,-0.3351287841796875,-1.7807273864746094,0.35686302185058594,-4.293647766113281,2.2640399932861333,-5.209609031677246,5.0,7.0,03-28,-0.6232847372690836
01-14,-0.0684652328491211,-1.0525350570678709,-1.6981449127197266,0.9088897705078124,3.2882289886474614,-0.08905029296875,-1.131052017211914,-2.493017196655273,0.36556243896484375,-4.293647766113281,2.2640399932861333,-5.027990341186523,4.0,8.0,03-29,-0.7522651354471842
01-15,0.0,-0.7788772583007812,-1.1538715362548828,1.4647397994995115,3.5799942016601562,0.6800174713134766,-1.5667190551757812,-1.5772151947021484,0.017408370971679688,-4.293647766113281,1.788869857788086,-5.066225051879883,5.0,7.0,03-30,-0.5754605134328207
