,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.5049738883972168,0.29256606101989746,0.27338218688964844,0.9061007499694824,0.7325305938720703,1.7536706924438477,2.339184761047364,-3.5893239974975586,1.9497652053833008,0.6392965316772461,1.8830890655517576,-2.8709135055541988,9.0,3.0,03-17,0.31703120470046997
01-03,-0.4964685440063477,0.3206183910369873,0.27338218688964844,0.9061007499694824,0.7176685333251953,1.902151107788086,2.4364538192749023,-3.602686882019043,1.9497652053833008,0.2895469665527344,2.015460968017578,-4.15822696685791,9.0,3.0,03-18,0.21281379461288447
01-04,-0.4847352504730225,0.3206183910369873,0.2353363037109375,0.9055562019348145,0.6779055595397949,2.198272705078125,2.4126882553100586,-3.602686882019043,1.5758781433105469,0.3855257034301758,1.4906835556030271,-3.601386070251465,9.0,3.0,03-19,0.2094713846842448
01-05,-0.4847352504730225,0.3246254920959473,0.21457147598266602,0.8410696983337402,0.5926065444946289,2.1211891174316406,2.4126882553100586,-3.7326583862304688,1.4067831039428709,0.04583168029785156,0.8440923690795898,-4.483269691467285,9.0,3.0,03-20,0.008566200733184814
01-06,-0.4389796257019043,0.3085963726043701,0.17708253860473633,0.7852759361267091,0.7102108001708984,2.1211891174316406,2.3076047897338867,-3.5370302200317383,1.3655328750610352,0.2052164077758789,0.7826995849609375,-4.483269691467285,9.0,3.0,03-21,0.02534407377243042
01-07,-0.40602970123291016,0.2765357494354248,0.2119159698486328,0.6047582626342773,0.7102108001708984,2.0291728973388667,2.147770881652832,-2.748854637145996,0.8643741607666016,0.21328449249267573,0.7826995849609375,-4.511374473571777,9.0,3.0,03-22,0.014538665612538656
01-08,-0.3795349597930908,0.27252769470214844,0.19050168991088867,0.6283087730407715,0.6851234436035156,1.7288532257080078,2.087499618530273,-2.3954973220825195,0.8569459915161133,0.21328449249267573,0.6019258499145508,-4.115748405456543,9.0,3.0,03-23,0.03118250767389933
01-09,-0.20873284339904785,0.2965736389160156,0.22073984146118164,0.6283087730407715,0.7377848625183105,1.053081512451172,1.8966255187988281,-1.1494417190551758,0.8569459915161133,-0.015970230102539062,0.2705888748168945,-4.43011474609375,8.0,4.0,03-24,0.013032456239064535
01-10,-0.2365963459014893,0.26851844787597656,0.22073984146118164,0.5497822761535645,0.7580466270446777,0.3609771728515625,1.449506759643555,-1.1494417190551758,0.7039995193481445,-0.42569637298583984,-0.2699413299560547,-4.478480339050293,7.0,5.0,03-25,-0.1873821218808492
01-11,-0.2405061721801757,0.26851844787597656,0.13619613647460938,0.4935340881347656,0.8653273582458496,0.7563066482543945,0.8850364685058594,-1.1494417190551758,1.0044794082641602,-0.7707395553588867,-0.33036231994628906,-3.370025634765625,7.0,5.0,03-26,-0.12097307046254475
