,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-36.986297790676325,-8.64661354915915,4.835847862974185,23.360434912686852,12.371135169338801,11.857141767229352,2.4205726339729208,0.7042253521126761,8.145138535653771,19.166666666666668,10.142992597596427,-33.1353949371626,9.0,3.0,1.1863207684361317
01-03,-53.42465091275122,-8.64661354915915,4.835847862974185,23.360434912686852,12.50859535835246,11.857141767229352,2.4205726339729208,0.7042253521126761,8.145138535653771,19.166666666666668,10.142992597596427,-33.1353949371626,9.0,3.0,-0.17208697598563796
01-04,-53.42465091275122,-8.64661354915915,4.835847862974185,13.821143842613662,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,19.166666666666668,10.142992597596427,-28.08501231015757,9.0,3.0,-0.7492241133935297
01-05,-53.42465091275122,-8.64661354915915,4.835847862974185,13.821143842613662,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,19.166666666666668,10.142992597596427,-28.08501231015757,9.0,3.0,-0.7492241133935297
01-06,-53.42465091275122,-8.64661354915915,4.835847862974185,16.205965317890392,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,19.166666666666668,10.142992597596427,-28.08501231015757,9.0,3.0,-0.5504889904538027
01-07,-53.42465091275122,-19.924808876140727,4.835847862974185,16.205965317890392,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,18.70600046254643,10.142992597596427,-28.08501231015757,9.0,3.0,-1.5287274513789535
01-08,-53.42465091275122,-19.924808876140727,5.29800828168264,16.205965317890392,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,18.70600046254643,10.142992597596427,-47.4999979922646,9.0,3.0,-3.1081295566621687
01-09,-11.999998092651367,-19.924808876140727,5.29800828168264,16.205965317890392,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,18.70600046254643,10.142992597596427,-46.53594571780535,9.0,3.0,0.4242625345510902
01-10,-11.999998092651367,-19.924808876140727,5.29800828168264,16.205965317890392,12.50859535835246,10.94285692487444,2.4205726339729208,0.7042253521126761,6.622686172182134,12.789140274270725,10.142992597596427,-60.097120606219825,9.0,3.0,-1.1989070551730918
01-11,-11.999998092651367,-19.924808876140727,5.29800828168264,16.205965317890392,12.50859535835246,1.0945594923448572,2.4205726339729208,0.7042253521126761,6.622686172182134,12.789140274270725,10.142992597596427,-44.49599874751269,9.0,3.0,-0.7195050196582949
01-12,-11.999998092651367,-19.924808876140727,5.29800828168264,17.10455574065417,12.50859535835246,0.8231721464755395,2.4205726339729208,0.7042253521126761,6.622686172182134,12.789140274270725,10.142992597596427,-44.49599874751269,9.0,3.0,-0.6672380965837567
01-13,-11.999998092651367,-19.924808876140727,6.126912889093897,17.10455574065417,12.50859535835246,0.8231721464755395,2.4205726339729208,0.7042253521126761,6.622686172182134,12.789140274270725,10.142992597596427,-44.49599874751269,9.0,3.0,-0.5981627126328188
