,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,0.0,-25.000007761021628,25.37313618726889,-4.347830593924006,-27.65957986461249,-35.48386569573905,-15.789474509759634,0.0,-66.66667287548397,-27.99999713897705,1.0,9.0,-16.143117477477176
01-03,0.0,0.0,-25.000007761021628,26.865672040129045,-14.285719692031313,-10.000002384185793,-35.48386569573905,-15.789474509759634,0.0,-73.91304291488994,-17.857147038591133,1.0,9.0,-15.0421443596445
01-04,0.0,-33.33333333333333,-16.666660043928626,25.757577262743496,-6.153849680748341,-17.021279428921552,-35.48386569573905,-41.176465947735316,-2.7027000903735274,-73.91304291488994,-14.285711244660995,1.0,9.0,-19.54357555614429
01-05,0.0,-25.000007761021628,-6.896555622182588,38.2352966957026,-11.290321340173895,-17.021279428921552,-25.80644603078253,-41.176465947735316,7.317073525310204,-73.91304291488994,-14.285711244660995,2.0,8.0,-15.43976909721415
01-06,0.0,-36.363642521141024,11.111116630059485,44.736843137199536,-11.290321340173895,-23.40425208123251,-5.405400180747055,-33.33332505491078,7.317073525310204,-81.81818551268462,-14.285711244660995,3.0,7.0,-12.97598224027106
01-07,0.0,-25.000007761021628,23.076917198752767,44.736843137199536,-11.290321340173895,-22.222228109100875,-2.6315764707211,-41.176465947735316,7.317073525310204,-81.81818551268462,-28.571433133008515,3.0,7.0,-12.507216764834856
01-08,0.0,-25.000007761021628,23.076917198752767,35.526313725600914,-9.523809974335943,-22.222228109100875,5.2631529414422,-50.0,7.317073525310204,-81.81818551268462,-11.538462420187088,4.0,6.0,-11.719930580565824
01-09,0.0,-25.000007761021628,23.076917198752767,37.97468402182858,-1.5151500099837776,-10.000002384185793,2.7027000903735274,-50.0,7.317073525310204,-36.363642521141024,-30.7692369413096,4.0,6.0,-7.506969525579705
01-10,0.0,-25.000007761021628,23.076917198752767,41.66666371008697,-9.523809974335943,-10.000002384185793,2.7027000903735274,-25.000004656612983,7.317073525310204,-30.43478542555027,-54.5454570084564,4.0,7.0,-7.249155698694506
01-11,0.0,-25.000007761021628,37.49999611948919,42.352941671457245,-11.290321340173895,-10.000002384185793,2.7027000903735274,-37.50000232830649,7.317073525310204,-57.14286829338628,-30.7692369413096,4.0,7.0,-7.439066149250317
01-12,0.0,-25.000007761021628,38.77550896283541,43.023255652772725,-11.290321340173895,-10.000002384185793,5.405408235428679,-23.529406608594797,2.439022085483674,-57.14286829338628,-30.7692369413096,4.0,7.0,-6.1898771265592245
01-13,0.0,-25.000007761021628,41.66666511446234,43.023255652772725,-11.290321340173895,-10.000002384185793,5.405408235428679,-22.22221670327385,2.5641002128344392,-57.14286829338628,-30.7692369413096,4.0,7.0,-5.796838564350259
01-14,0.0,-25.000007761021628,44.230768789906456,43.023255652772725,-12.903223015391266,-22.222228109100875,5.405408235428679,0.0,2.5641002128344392,-57.14286829338628,-30.7692369413096,4.0,7.0,-4.80127556629703
01-15,12.499997671693508,-36.363642521141024,52.459018876302004,43.023255652772725,-12.903223015391266,0.0,-11.428569239013012,0.0,2.5641002128344392,-85.71428470060125,-54.5454570084564,4.0,7.0,-8.218982188272753
01-16,12.499997671693508,-50.00000372529024,52.459018876302004,40.47618861776896,-12.903223015391266,0.0,-11.428569239013012,0.0,2.5641002128344392,-90.47619926145586,-50.000006773255116,4.0,7.0,-9.709881512346056
01-17,12.499997671693508,-50.00000372529024,52.459018876302004,40.47618861776896,-16.666660043928626,4.000002145767212,-8.333325054910778,0.0,-5.555550036607184,-42.85715299398753,-50.000006773255116,4.0,7.0,-5.816135574222527
01-18,12.499997671693508,-50.00000372529024,56.716420234086115,43.7500023283064,-16.666660043928626,4.000002145767212,-8.333325054910778,0.0,2.5000050291418283,-42.85715299398753,-26.923086622057944,5.0,6.0,-2.301254639198185
01-19,12.499997671693508,-36.363642521141024,58.571429057997115,40.96385308560685,-14.754093715305945,4.000002145767212,-8.333325054910778,-11.111108351636926,4.87805143982653,-47.6190533632596,-26.923086622057944,5.0,6.0,-2.1991796570382727
01-20,12.499997671693508,-50.00000372529024,57.97101555689872,38.74999972060324,-14.754093715305945,4.000002145767212,-12.500006984919464,-11.111108351636926,5.128200425668879,-34.78260728722486,-26.923086622057944,5.0,6.0,-2.8837901059821673
01-21,22.22222498169641,-29.99999329447756,55.38461503192517,38.74999972060324,-14.754093715305945,-4.166668994973155,-3.0303000199675556,5.2631529414422,11.90475801897145,-34.78260728722486,-26.923086622057944,5.0,6.0,1.8061818873301296
01-22,41.66666511446234,-18.18181448731539,55.38461503192517,38.74999972060324,-22.807016993493576,-11.111114054550438,-3.0303000199675556,5.2631529414422,11.90475801897145,-34.78260728722486,-26.923086622057944,5.0,6.0,3.2848410329813293
01-23,50.0,-29.99999329447756,55.38461503192517,40.00000223517415,-18.64407104995203,-18.604646972091025,-3.0303000199675556,5.2631529414422,11.90475801897145,-7.142860944173759,-23.076924840374176,5.0,6.0,5.641248282406987
01-24,41.66666511446234,-29.99999329447756,55.38461503192517,38.74999972060324,-16.129035979478314,-22.222228109100875,-21.428572188834753,5.2631529414422,19.565217813832547,42.592594432242045,-30.43478542555027,6.0,5.0,7.5461481870059774
01-25,41.66666511446234,-29.99999329447756,60.0,37.50000093132256,-16.129035979478314,-22.222228109100875,-21.428572188834753,-22.22221670327385,25.999999046325684,47.36841830080122,-52.173907691454495,5.0,6.0,4.39628449329927
01-26,41.66666511446234,-62.49999767169351,59.09090909090909,40.00000223517415,-16.129035979478314,-22.222228109100875,-7.142860944173759,-22.22221670327385,25.999999046325684,39.99999761581421,-52.173907691454495,5.0,6.0,2.2152114548646087
01-27,36.36363574788589,-29.99999329447756,58.20895608694628,40.00000223517415,-16.129035979478314,-13.333334216365133,6.249994179233777,-38.88888336994052,25.999999046325684,37.49999611948919,-52.173907691454495,6.0,5.0,4.890675351212633
01-28,50.0,-62.49999767169351,61.19403224077429,40.00000223517415,-11.290321340173895,-21.42857294909813,16.666666666666664,-38.88888336994052,25.999999046325684,37.49999611948919,-34.78260728722486,6.0,5.0,5.679119426390824
01-29,41.66666511446234,-85.71427811165249,61.19403224077429,40.00000223517415,-9.375000582076623,-19.04762276446209,11.111116630059485,-38.88888336994052,25.999999046325684,37.49999611948919,-34.78260728722486,6.0,5.0,2.696674479175323
01-30,41.66666511446234,-62.49999767169351,61.19403224077429,40.00000223517415,-7.6923098084490045,-24.99999813735488,11.111116630059485,-38.88888336994052,25.999999046325684,42.85714372601521,-44.999993667006585,6.0,5.0,3.977070576215151
01-31,30.00000074505805,-62.49999767169351,58.20895608694628,37.66233751154164,-15.384619616898009,-23.809523133734164,11.111116630059485,-11.111108351636926,29.411760580993363,36.956524696827785,-25.000007761021628,6.0,5.0,5.958676337858392
02-01,30.00000074505805,-62.49999767169351,56.92307515962582,42.30769171987529,-20.96774100513042,-23.809523133734164,11.111116630059485,-11.111108351636926,52.70270411771435,27.50000316649671,-50.00000372529024,6.0,5.0,4.7414743319404025
02-02,30.00000074505805,-29.99999329447756,57.57575908092532,41.55844165897225,-20.96774100513042,-23.809523133734164,22.22222498169641,-11.111108351636926,54.99999888241293,37.99999952316284,-50.00000372529024,6.0,5.0,9.860732305632588
02-03,41.66666511446234,-29.99999329447756,56.060609070941545,36.6197180733797,-20.96774100513042,-16.666672579826056,6.451616314521787,-11.111108351636926,53.84615031925165,37.99999952316284,-50.00000372529024,6.0,5.0,9.44538540539624
02-04,56.24999883584676,-44.4444334065477,56.060609070941545,36.6197180733797,-17.741937654695683,-19.04762276446209,22.22222498169641,-11.111108351636926,54.99999888241293,37.99999952316284,-24.99999813735488,6.0,5.0,13.346131732067535
02-05,56.24999883584676,-11.111108351636926,56.060609070941545,36.6197180733797,-24.99999503294646,-24.99999813735488,19.444449963392817,-11.111108351636926,54.99999888241293,37.99999952316284,-19.04762276446209,6.0,5.0,15.464085610099938
02-06,63.157894117680286,-11.111108351636926,56.060609070941545,42.30769171987529,-14.754093715305945,-39.53488694454536,16.666666666666664,-11.111108351636926,54.99999888241293,39.99999761581421,-8.695650202114809,6.0,5.0,17.08963731892281
02-07,56.24999883584676,-11.111108351636926,56.060609070941545,43.20987568016442,-13.846159489197344,-32.55813566654556,14.285709420028914,-11.111108351636926,51.351350045186756,42.00000166893005,8.333331781129008,7.0,4.0,18.44221496756461
02-08,56.24999883584676,-11.111108351636926,58.20895608694628,42.30769171987529,-7.246378564303781,-26.666668432730265,14.285709420028914,-11.111108351636926,53.24675023083254,42.00000166893005,-19.04762276446209,6.0,5.0,17.37420195433544
02-09,56.24999883584676,-55.55555003660718,59.99999914850506,41.55844165897225,-8.82352966957026,-26.666668432730265,14.285709420028914,-11.111108351636926,51.282050106417216,42.00000166893005,-19.04762276446209,6.0,5.0,13.106520143972142
02-10,65.00000037252902,-42.857144377669506,64.78873133020865,41.55844165897225,-8.82352966957026,-31.11110875635965,0.0,-5.555550036607184,51.282050106417216,42.00000166893005,-19.04762276446209,5.0,6.0,14.294024502944408
02-11,61.11111249084821,-19.99999552965171,63.513512533890065,41.55844165897225,-4.411760452090707,-39.024389712034704,6.249994179233777,-16.66665838824411,53.08642047986154,42.00000166893005,-9.523814930126678,6.0,5.0,16.17207854541709
02-12,68.18181787394296,-44.4444334065477,61.428569239013,41.55844165897225,-4.411760452090707,-41.46341179751837,42.85714103251085,-16.66665838824411,53.08642047986154,50.0,-4.347821861674596,6.0,5.0,18.70711857983865
02-13,69.56521781383253,-29.99999329447756,61.428569239013,26.666665077209476,0.0,-39.024389712034704,10.714286094417377,-16.66665838824411,53.08642047986154,50.0,4.166662786155852,7.0,4.0,17.266980008703037
02-14,68.18181787394296,-29.99999329447756,59.99999914850506,23.28767291062047,2.777783296726149,-36.585367626551026,10.714286094417377,-5.555550036607184,50.617283360112495,50.0,4.166662786155852,8.0,3.0,17.964054046622234
02-15,68.18181787394296,-19.99999552965171,63.88889164836308,21.91781123911685,1.4084494035883508,-39.9999985098839,10.714286094417377,-11.111108351636926,48.71794607277207,47.916665502513425,-26.086950606344434,7.0,4.0,15.049801348836105
02-16,68.18181787394296,-33.33332505491078,62.5,26.25000437721604,0.0,-39.9999985098839,10.714286094417377,-5.263160784158717,45.33333381017049,48.97959282973167,-20.83333255723117,6.0,5.0,14.775383461753993
