,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.0472140312194824,1.3296127319335938,-1.9052581787109373,2.852855682373047,-1.2455644607543943,-2.343255043029785,-0.3462677001953125,0.8843107223510742,0.4979486465454102,-0.017162322998046875,-0.34586644172668457,-1.6424219608306885,4.0,8.0,03-17,-0.2773568630218506
01-03,-1.2217504978179932,1.3296127319335938,-1.9052581787109373,2.852855682373047,-1.8582506179809568,-1.9865198135375977,-0.022581100463867188,1.0738062858581543,0.4979486465454102,0.16303443908691406,-0.15076208114624026,-2.3754804134368896,5.0,7.0,03-18,-0.3002787431081136
01-04,-1.0181255340576172,1.3296127319335938,-1.9052581787109373,3.143965721130371,-1.9861745834350584,-1.860613822937012,0.8731956481933594,1.0738062858581543,0.42325782775878906,-0.11154937744140624,-0.505497932434082,-2.115662336349488,5.0,7.0,03-19,-0.22158696254094445
01-05,-1.0181255340576172,1.167902946472168,-1.9052581787109373,2.9240131378173837,-1.831316947937012,-2.14739990234375,0.8731956481933594,1.0738062858581543,0.7967185974121094,-0.7722606658935547,-0.6385231018066406,-2.1991753578186035,5.0,7.0,03-20,-0.3063685894012451
01-06,-1.047215223312378,1.0900444984436035,-2.0722780227661133,2.807575225830078,-1.6899309158325195,-2.14739990234375,0.7075891494750977,1.531752109527588,1.1120872497558594,0.403289794921875,-0.6385231018066406,-2.1991753578186035,6.0,6.0,03-21,-0.17851537466049194
01-07,-0.7912294864654541,1.341592788696289,-2.0351619720458984,2.639378547668457,-1.6899309158325195,-2.574081420898437,-0.4215421676635742,2.218672275543213,0.9461030960083008,0.9267120361328124,-0.6385231018066406,-2.1991753578186035,5.0,7.0,03-22,-0.189765473206838
01-08,-0.8203182220458984,1.371540069580078,-1.1258325576782229,2.792597770690918,-1.5216093063354492,-2.14040756225586,-0.2935733795166016,2.723991870880127,0.7714242935180664,0.9267120361328124,-0.5498390197753906,-2.1809678077697754,5.0,7.0,03-23,-0.003856817881266276
01-09,-0.6341474056243896,1.2577433586120603,-0.9270153045654296,2.792597770690918,-1.2253646850585938,-1.944552421569824,0.08280277252197266,3.3409409523010254,0.7714242935180664,0.9696159362792968,-0.5985143184661865,-2.01096773147583,6.0,6.0,03-24,0.15621360143025714
01-10,-0.17453598976135254,1.3737149238586426,-0.9270153045654296,2.792597770690918,-1.2320947647094729,-2.4551687240600586,0.647369384765625,3.3409409523010254,0.8959131240844727,0.6886978149414062,-0.6787350177764893,-2.4709677696228027,6.0,6.0,03-25,0.15005970001220706
01-11,-0.1467914581298828,1.3737149238586426,-1.050734519958496,2.7279071807861333,-0.3703041076660156,-1.874604225158692,0.2829704284667969,3.3409409523010254,0.8199644088745117,0.6292972564697266,-0.9703774452209472,-2.0440324544906616,6.0,6.0,03-26,0.2264959116776785
01-12,-0.1467914581298828,1.3737149238586426,-1.050734519958496,2.67507266998291,-0.10221290588378906,-1.6941947937011719,0.2829704284667969,3.1514463424682617,0.8556709289550781,0.8511104583740234,-0.9080958366394044,-1.6640324592590332,6.0,6.0,03-27,0.3019936482111613
01-13,-0.373687744140625,1.3737149238586426,-0.7730216979980469,2.67507266998291,-0.10221290588378906,-1.6941947937011719,-0.003078460693359375,2.5880236625671387,0.0026683807373046875,0.0319671630859375,-1.0895185470581057,-1.6640324592590332,5.0,7.0,03-28,0.08097501595815022
01-14,0.047666311264038086,1.5533909797668457,-0.8676977157592773,2.6589317321777344,-0.10221290588378906,-1.6522245407104492,-0.2970523834228516,2.1211886405944824,0.3776674270629883,0.0319671630859375,-1.0895185470581057,-1.636194944381714,6.0,6.0,03-29,0.09549260139465332
01-15,-0.0012602806091308596,1.5583081245422363,-0.8613862991333008,2.5334491729736333,0.20749378204345706,-1.1102800369262695,0.06031990051269531,2.4537982940673837,0.2257709503173828,0.0319671630859375,-1.107255458831787,-1.870337724685669,7.0,5.0,03-30,0.17671563227971396
01-16,-0.07252144813537598,1.291149616241455,-0.8613862991333008,2.5334491729736333,0.021628379821777344,-0.3835134506225586,-0.15275192260742188,2.636390209197998,0.2257709503173828,0.0319671630859375,-1.2940998077392578,-1.870337724685669,6.0,6.0,03-31,0.17547873655954996
01-17,0.297663688659668,1.291149616241455,-0.8613862991333008,2.5334491729736333,0.11071109771728516,-0.07633304595947266,0.16621780395507812,2.968256950378418,0.2257709503173828,-0.3933525085449219,-1.0467989444732666,-2.1703377962112427,7.0,5.0,04-01,0.2537508904933929
01-18,0.203216552734375,1.291149616241455,-0.8613862991333008,2.5334491729736333,0.3054475784301758,-0.3789148330688477,0.16621780395507812,2.968256950378418,0.04813957214355469,-1.1163387298583984,-0.8079080581665039,-2.1253830194473267,7.0,5.0,04-02,0.185495525598526
01-19,0.203216552734375,1.291149616241455,-0.8613862991333008,2.7249765396118164,0.1889476776123047,-1.0518598556518557,0.16621780395507812,2.968256950378418,-0.1675701141357422,-0.9906177520751952,-0.6503047943115234,-2.1253830194473267,6.0,6.0,04-03,0.14130360881487528
01-20,0.203216552734375,1.5036625862121582,0.518071174621582,2.343301773071289,-0.09917831420898438,-1.0518598556518557,0.16621780395507812,3.3563356399536133,-0.8075113296508789,-2.006124496459961,-0.6412339210510254,-2.1253830194473267,6.0,6.0,04-04,0.11329288283983867
01-21,0.4279546737670897,1.8510408401489256,0.518071174621582,3.0347270965576167,-0.09917831420898438,-1.0518598556518557,-0.42284679412841797,3.0440359115600586,-0.9969987869262696,-1.814912796020508,-0.6412339210510254,-2.1253830194473267,5.0,7.0,04-05,0.14361801743507385
