,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,1.58587646484375,-4.693768501281738,1.7595787048339844,0.2037038803100586,-0.9490394592285156,-1.513593673706055,-1.499892234802246,-0.6767768859863281,-1.369184494018555,1.2300052642822266,-4.978693008422852,4.0,7.0,03-17,-0.9084819952646892
01-03,0.0,1.7460613250732422,-4.693768501281738,1.7595787048339844,0.47259521484375,-0.6743192672729492,-0.7694778442382812,-1.758493423461914,-0.6767768859863281,-1.635671615600586,1.7693157196044922,-5.614479064941406,4.0,7.0,03-18,-0.8396196365356445
01-04,0.0,1.7460613250732422,-4.348073959350587,1.5465364456176758,0.9777860641479492,-0.7825450897216797,-0.3466892242431641,-1.758493423461914,-0.6678695678710938,-2.0308055877685547,1.3624649047851562,-5.643823146820068,4.0,7.0,03-19,-0.8287876049677529
01-05,0.0,1.7460613250732422,-4.140650749206543,1.6964540481567385,1.2466726303100586,-0.8241672515869141,-0.3466892242431641,-1.71539306640625,-0.8904991149902344,-2.0308055877685547,1.1353874206542969,-5.643823146820068,4.0,7.0,03-20,-0.8139543930689493
01-06,0.0,1.702375411987305,-4.171380996704103,2.311915397644043,1.4259347915649414,-0.8241672515869141,0.2198524475097656,-0.6982250213623047,-1.086408615112305,-2.1778297424316406,1.1353874206542969,-5.643823146820068,5.0,6.0,03-21,-0.6505307753880819
01-07,0.0,1.9280967712402344,-3.649002075195313,1.9884061813354488,1.4259347915649414,-0.6576671600341797,-0.3128662109375,-0.5172061920166016,-1.6830425262451172,-2.33404541015625,1.1353874206542969,-5.360165119171144,4.0,7.0,03-22,-0.6696807940800985
01-08,0.0,1.9077157974243164,-3.5184059143066406,1.8069200515747068,1.5400114059448242,-1.989651679992676,-0.11838531494140625,-0.05172061920166016,-1.8433303833007808,-2.33404541015625,1.1353874206542969,-5.5362277030944815,4.0,7.0,03-23,-0.750144362449646
01-09,0.0,1.871307373046875,-3.5337677001953125,1.8069200515747068,1.6540842056274414,-1.989651679992676,0.2198505401611328,-0.27584362030029297,-1.8433303833007808,-2.2421531677246094,1.1353874206542969,-6.103545665740968,5.0,6.0,03-24,-0.7750618855158488
01-10,0.0,1.4868507385253906,-3.5337677001953125,2.2408981323242188,1.8414926528930664,-2.514122009277344,-0.2705860137939453,-0.27584362030029297,-1.7899036407470703,-2.435126304626465,1.1353874206542969,-5.389509201049805,4.0,7.0,03-25,-0.7920191287994385
01-11,0.0,1.4868507385253906,-3.6105899810791016,2.3513641357421875,0.464447021484375,-2.3392963409423837,-0.14374542236328125,-0.27584362030029297,-1.593994140625,-2.674044609069824,1.1353874206542969,-4.5385332107543945,4.0,7.0,03-26,-0.8114998340606691
01-12,0.0,0.7660017013549805,-3.4953536987304688,2.6512022018432617,-0.20847797393798828,-1.9384307861328125,-0.14374542236328125,-0.0861978530883789,-1.9412841796875,-3.399989128112793,1.1353874206542969,-4.430939674377441,3.0,8.0,03-27,-0.9243189493815104
01-13,0.0,0.6771669387817383,-4.071514129638672,2.201449394226074,-0.20847797393798828,-1.9384307861328125,-0.12683486938476562,-0.4223852157592773,-2.021430969238281,-3.032422065734864,1.1353874206542969,-4.430939674377441,3.0,8.0,03-28,-1.0198693275451658
01-14,0.0,0.6771669387817383,-3.46541690826416,2.3829259872436523,-0.20847797393798828,-2.304725646972656,-0.11745262145996095,-1.2585287094116209,-2.0631141662597656,-3.032422065734864,1.1353874206542969,-4.430939674377441,3.0,8.0,03-29,-1.0571331183115642
01-15,0.0,0.6771669387817383,-2.963307380676268,2.6985454559326167,-0.03736400604248047,-2.121572494506836,-0.3801078796386719,-0.4210271835327149,-2.207727432250977,-3.032422065734864,1.1353874206542969,-4.3331260681152335,3.0,8.0,03-30,-0.9154628912607828
01-16,0.0,2.0795545578002934,-2.3024682998657227,2.6985454559326167,0.02631187438964844,-2.2694244384765625,-0.4482784271240233,-0.4324188232421875,-2.207727432250977,-3.032422065734864,1.397970199584961,-4.290252685546875,4.0,7.0,03-31,-0.7317175070444742
01-17,0.0,2.0795545578002934,-2.3024682998657227,2.6985454559326167,-0.25887393951416016,-2.41094970703125,-0.9741802215576172,-0.6953020095825195,-2.207727432250977,-2.653670310974121,1.5035266876220703,-4.540252685546875,3.0,8.0,04-01,-0.8134831587473551
01-18,0.0,2.0795545578002934,-2.3024682998657227,2.6038646697998047,-0.7347230911254883,-2.0010995864868164,-0.9741802215576172,-0.6953020095825195,-1.9522819519042969,-2.760845184326172,1.5035266876220703,-4.540252685546875,3.0,8.0,04-02,-0.8145172595977783
01-19,0.0,2.0795545578002934,-2.457961082458496,2.714330673217773,-1.1129541397094729,-2.0010995864868164,-0.9741802215576172,-0.6953020095825195,-2.4705047607421875,-2.6539735794067383,1.2859115600585938,-4.540252685546875,3.0,8.0,04-03,-0.902202606201172
01-20,0.0,1.7140245437622068,-2.571803092956543,2.4065990447998047,-1.318643569946289,-2.0010995864868164,-0.9741802215576172,-0.34658241271972656,-1.9153251647949217,-2.647225379943848,1.2859115600585938,-4.540252685546875,3.0,8.0,04-04,-0.9090480804443359
01-21,0.0,1.6368389129638672,-2.32486343383789,2.0594167709350586,-1.318643569946289,-2.0010995864868164,-0.7694072723388672,-1.028219223022461,-1.8359832763671875,-2.4043455123901367,1.2859115600585938,-4.540252685546875,3.0,8.0,04-05,-0.936720609664917
01-22,0.0,1.6368389129638672,-2.463423728942871,2.0594167709350586,-1.318643569946289,-1.7592620849609375,-0.4212741851806641,-1.8656511306762693,-2.061941146850586,-2.4043455123901367,1.2859115600585938,-5.730252742767334,3.0,8.0,04-06,-1.0868855714797974
01-23,0.0,1.6382951736450195,-2.9532241821289062,2.0594167709350586,-0.6355953216552734,-1.8674869537353518,-0.07274436950683594,-1.9549884796142576,-2.061941146850586,-2.312453269958496,1.5066165924072266,-5.566593647003174,3.0,8.0,04-07,-1.0183915694554646
01-24,0.0,1.6382951736450195,-2.9532241821289062,1.7516908645629885,-1.4884843826293943,-1.7128953933715818,-0.4866886138916016,-1.8410730361938483,-2.1955127716064453,-2.5628461837768555,0.8726902008056641,-5.366593837738037,3.0,8.0,04-08,-1.1953868468602498
01-25,0.0,1.6382951736450195,-3.1068649291992188,1.254587173461914,-1.5690126419067385,-1.1725406646728516,-0.4866886138916016,-1.8410730361938483,-2.723306655883789,-2.7498273849487305,0.8726902008056641,-5.166593551635742,3.0,8.0,04-09,-1.2541945775349934
01-26,0.0,1.6382951736450195,-3.4825496673583984,1.625444412231445,-1.6341180801391602,-1.0046634674072266,-0.4866886138916016,-1.849692344665528,-3.0561208724975586,-2.5236473083496094,0.8726902008056641,-5.166593551635742,3.0,8.0,04-10,-1.2556370099385579
01-27,0.0,2.1683835983276367,-3.606944084167482,0.9705286026000975,-0.9759130477905272,-1.0046634674072266,-0.4866886138916016,-1.885030746459961,-3.0115995407104488,-2.2989978790283203,0.8726902008056641,-5.166593551635742,3.0,8.0,04-11,-1.2020690441131592
01-28,0.0,2.277604103088379,-2.1877012252807617,0.883732795715332,-0.9759130477905272,-1.0046634674072266,-0.055438995361328125,-0.2454261779785156,-3.0558576583862305,-2.588584899902344,0.8726902008056641,-5.078561782836914,3.0,8.0,04-12,-0.9298433462778728
01-29,0.0,2.277604103088379,-1.9206695556640625,1.3019304275512695,-1.073695182800293,-1.0046634674072266,-0.3852195739746094,0.5358028411865234,-3.0558576583862305,-2.588584899902344,0.8726902008056641,-5.3800930976867685,4.0,7.0,04-13,-0.8683963219324747
01-30,0.0,1.7358760833740234,-2.138360977172852,1.3019304275512695,-1.15533447265625,-2.0998449325561523,-0.3852195739746094,0.9275579452514648,-3.0558576583862305,-2.404802322387696,0.8726902008056641,-4.740808486938477,4.0,7.0,04-14,-0.9285144805908204
01-31,0.0,1.7358760833740234,-2.138360977172852,1.2624797821044922,-1.017131805419922,-2.649289131164551,1.7096672058105469,1.3832149505615234,-2.8777570724487305,-2.3242292404174805,0.28607177734375,-4.9603705406188965,5.0,6.0,04-15,-0.7991524140040079
02-01,0.0,1.7358760833740234,-2.3688278198242188,0.8916254043579102,-1.5579280853271484,-2.3149776458740234,1.7096672058105469,1.3832149505615234,-1.1680021286010742,-2.746933937072754,0.3996105194091797,-4.8519015312194815,5.0,6.0,04-16,-0.7407147487004598
