,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.006741505116224289,-0.0007825568318367004,0.05739951133728027,0.09031450748443604,0.13187026977539062,-0.10277676582336426,0.0,0.0,0.6111643314361572,0.16905856132507324,0.0,6.0,6.0,03-17,0.0802491136516134
01-03,0.0,0.006741505116224289,-0.0007825568318367004,0.05739951133728027,0.09031450748443604,0.13187026977539062,0.0,0.0,0.0,0.6111643314361572,0.16905856132507324,0.0,6.0,6.0,03-18,0.08881384413689375
01-04,-0.002471886575222016,0.006741505116224289,-0.0007825568318367004,0.05090147256851196,0.09031450748443604,0.17419886589050293,0.0,0.0,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,6.0,6.0,03-19,-0.0777905077363054
01-05,-0.002471886575222016,0.006741505116224289,-0.00626024603843689,0.09097281098365784,0.09031450748443604,0.17419886589050293,0.0,0.0,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,6.0,6.0,03-20,-0.07490770363559325
01-06,-0.002471886575222016,0.008539255708456041,-0.00808621197938919,0.0904313325881958,0.09031450748443604,0.17419886589050293,0.0,0.0,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,6.0,6.0,03-21,-0.07495517811427514
01-07,-0.0031460560858249664,0.008539255708456041,-0.0067820101976394645,0.0839332640171051,0.09031450748443604,0.091169536113739,0.0,0.0,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,6.0,6.0,03-22,-0.08236329195400079
01-08,-0.0038201995193958282,0.008539255708456041,0.0007825344800949098,0.09205582737922667,0.09031450748443604,0.0879133939743042,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-23,-0.05792231423159441
01-09,-0.0038201995193958282,0.008539255708456041,0.0007825344800949098,0.09205582737922667,0.06517535448074341,0.09279745817184447,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-24,-0.059610238298773766
01-10,-0.0038201995193958282,0.008539255708456041,0.0007825344800949098,0.08285021781921388,0.06517535448074341,0.09279745817184447,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-25,-0.06037737242877484
01-11,-0.002921314910054207,0.008539255708456041,0.0007825344800949098,0.07960118353366852,0.04562276601791382,0.09279745817184447,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-26,-0.06220260060702761
01-12,-0.002921314910054207,0.008539255708456041,0.0007825344800949098,0.07418616116046907,0.05958878993988038,0.09279745817184447,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-27,-0.06149001714463035
01-13,-0.002921314910054207,0.008539255708456041,0.0007825344800949098,0.06985412538051605,0.05958878993988038,0.09279745817184447,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-28,-0.0618510201262931
01-14,-0.002921314910054207,0.008539255708456041,0.0007825344800949098,0.08447475731372832,0.05958878993988038,0.08465737104415894,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-29,-0.06131097472583255
01-15,-0.002921314910054207,0.007865097373723984,0.0007825344800949098,0.0774352103471756,0.05958878993988038,0.04721271991729736,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-30,-0.06507417109484474
01-16,-0.0022471752017736435,0.003370773047208786,0.0007825344800949098,0.0774352103471756,0.05679571628570556,0.02767646312713623,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,03-31,-0.06725329735005896
01-17,-0.0022471752017736435,0.003370773047208786,0.0007825344800949098,0.0774352103471756,0.05679571628570556,0.02767646312713623,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,04-01,-0.06725329735005896
01-18,-0.0022471752017736435,0.003370773047208786,0.0007825344800949098,0.08122576773166656,0.04748499393463135,0.08465754985809326,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,8.0,4.0,04-02,-0.0629648872030278
01-19,-0.0022471752017736435,0.003370773047208786,-0.0018259137868881226,0.0644390732049942,0.052140355110168464,0.08465754985809326,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,7.0,5.0,04-03,-0.064193202337871
01-20,-0.0022471752017736435,0.0060673803091049186,-0.0018259137868881226,0.05090142786502838,0.054002463817596436,0.08465754985809326,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,7.0,5.0,04-04,-0.06494144645209114
01-21,0.0,0.016179651021957397,-0.0018259137868881226,0.0579410046339035,0.054002463817596436,0.08465754985809326,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,7.0,5.0,04-05,-0.06332486122846602
01-22,0.0006741546094417572,0.016179651021957397,0.004695214331150055,0.0579410046339035,0.054002463817596436,0.08465754985809326,0.0,0.2815349102020264,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,9.0,3.0,04-06,-0.06272525433450937
01-23,0.0006741546094417572,0.016179651021957397,0.004695214331150055,0.0579410046339035,0.054002463817596436,0.08465754985809326,0.0,0.3180114030838013,0.0,0.6111643314361572,0.16905856132507324,-2.032610893249512,9.0,3.0,04-07,-0.05968554659436146
01-24,0.0022471752017736435,0.016179651021957397,0.004695214331150055,0.0579410046339035,0.03165662288665772,0.08465754985809326,0.0,0.3180114030838013,0.0,0.6111643314361572,0.16905856132507324,-1.9566254615783687,9.0,3.0,04-08,-0.05508449564998349
01-25,0.0022471752017736435,0.016179651021957397,0.011998891830444336,0.05469198524951935,0.017690539360046387,0.04721289873123169,0.0,0.3180114030838013,0.0,0.6111643314361572,0.16905856132507324,-1.9566254615783687,9.0,3.0,04-09,-0.059030835361530386
01-26,0.0022471752017736435,0.016179651021957397,0.011998891830444336,0.03952990472316742,0.015828251838684082,0.04721289873123169,0.0,0.3180114030838013,0.03810322284698486,0.6111643314361572,0.16905856132507324,-1.9566254615783687,10.0,2.0,04-10,-0.05727426412825784
01-27,0.0022471752017736435,0.012359444051980972,0.011998891830444336,0.033573344349861145,0.3757984638214111,0.04721289873123169,0.0,0.3180114030838013,0.03810322284698486,0.6111643314361572,0.16905856132507324,-1.9566254615783687,10.0,2.0,04-11,-0.0280914770749708
01-28,0.0022471752017736435,0.012359444051980972,0.011998891830444336,0.22466225922107694,0.3757984638214111,0.06837713718414308,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,0.16905856132507324,-1.9566254615783687,11.0,1.0,04-12,-0.02945594163611532
01-29,0.0022471752017736435,0.012359444051980972,0.021650180220603943,0.22466225922107694,0.3757984638214111,0.07814538478851317,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,0.16905856132507324,-1.9566254615783687,11.0,1.0,04-13,-0.0278376469699045
01-30,0.0011235848069190981,0.012359444051980972,0.021650180220603943,0.22466225922107694,0.3757984638214111,0.09028393030166626,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-14,0.2707581405217449
01-31,0.0011235848069190981,0.008539255708456041,0.021650180220603943,0.21762274205684665,0.37486732006073,1.1511956453323364,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-15,0.3581848793352644
02-01,0.0011235848069190981,0.008539255708456041,0.021650180220603943,0.22414027154445648,0.37486732006073,1.1511956453323364,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-16,0.3587280067925652
02-02,0.0011235848069190981,0.008539255708456041,0.02086764574050904,0.2511219829320908,0.32458925247192383,1.1511956453323364,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-17,0.3567214325691263
02-03,0.0011235848069190981,0.008539255708456041,0.02086764574050904,0.2352937012910843,0.32755202054977417,1.1511956453323364,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-18,0.3556493064388633
02-04,0.0011235848069190981,0.008539255708456041,0.11615171283483505,0.231569305062294,0.32755202054977417,1.1511956453323364,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-19,0.3632792790109913
02-05,0.0011235848069190981,0.004044901579618454,0.11615171283483505,0.2455355674028397,0.3284832239151001,1.1370501518249512,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-20,0.3629674138501287
02-06,0.0011235848069190981,0.004044901579618454,0.11615171283483505,0.2455355674028397,0.3507035970687866,1.2042412757873535,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-21,0.370418371943136
02-07,0.0011235848069190981,0.004044901579618454,0.11615171283483505,0.23632994294166565,0.3943803310394287,1.2042412757873535,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-22,0.3732909644022584
02-08,0.0011235848069190981,0.004044901579618454,0.11615171283483505,0.2420487850904465,0.3926040530204773,1.2042412757873535,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-23,0.3736195114130775
02-09,0.0011235848069190981,0.004494350403547287,0.11615171283483505,0.23555074632167816,0.4065702557563782,1.2678956985473633,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-24,0.3795838477090001
02-10,0.0011235848069190981,0.004494350403547287,0.12305869162082672,0.23479105532169345,0.4317533373832703,1.2678956985473633,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.3436450958251953,3.4831931591033936,-1.698625564575195,11.0,1.0,04-25,0.3821947118267417
02-11,0.0011235848069190981,0.004494350403547287,0.12253700941801073,0.21991339325904846,0.4317533373832703,1.2678956985473633,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.182673454284668,3.4831931591033936,-1.698625564575195,11.0,1.0,04-26,0.36749712967624265
02-12,0.0011235848069190981,0.004494350403547287,0.1217544674873352,0.21991339325904846,0.4317533373832703,1.253243267536163,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.182673454284668,3.4831931591033936,-1.698625564575195,11.0,1.0,04-27,0.3662108819310864
02-13,0.0011235848069190981,0.004494350403547287,0.1217544674873352,0.21991339325904846,0.4154585003852844,1.1577616333961491,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.182673454284668,3.4831931591033936,-1.698625564575195,11.0,1.0,04-28,0.3568961760029197
02-14,0.0011235848069190981,0.004494350403547287,0.1217544674873352,0.2204548865556717,0.4154585003852844,1.1821823120117188,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.182673454284668,3.4831931591033936,-1.698625564575195,11.0,1.0,04-29,0.35897635699560243
02-15,0.0011235848069190981,0.004494350403547287,0.1217544674873352,0.2144126892089844,0.4154585003852844,1.1577616333961491,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.182673454284668,3.4831931591033936,-1.698625564575195,11.0,1.0,04-30,0.35643778399874765
02-16,0.0011235848069190981,0.004494350403547287,0.11158151179552077,0.21832779049873352,0.4154585003852844,1.193125069141388,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.2363307476043701,3.4831931591033936,-1.698625564575195,11.0,1.0,05-01,0.363334690220654
02-17,0.0011235848069190981,0.006292082369327545,0.11079895496368407,0.24649778008460999,0.4154585003852844,1.193125069141388,0.03889250755310058,0.3180114030838013,0.03810322284698486,0.2363307476043701,3.4831931591033936,-1.698625564575195,11.0,1.0,05-02,0.3657667872806389
02-18,0.0011235848069190981,0.006292082369327545,0.11079895496368407,0.2315148413181305,0.4154585003852844,1.193125069141388,0.03889250755310058,0.2590594291687012,0.03810322284698486,0.2363307476043701,3.4831931591033936,-1.698625564575195,11.0,1.0,05-03,0.35960554455717403
02-19,0.0022471752017736435,0.006292082369327545,0.11679840832948685,0.2482741773128509,0.4154585003852844,1.217545747756958,-0.12675952911376953,0.2590594291687012,0.03810322284698486,0.2363307476043701,3.4831931591033936,-1.698625564575195,10.0,2.0,05-04,0.34982646303251386
02-20,0.0022471752017736435,0.011235874146223068,0.11679840832948685,0.2482741773128509,0.3893882036209105,1.310278832912445,-0.12675952911376953,0.2590594291687012,0.03810322284698486,0.2363307476043701,3.4831931591033936,-1.698625564575195,10.0,2.0,05-05,0.35579367804651457
02-21,0.0022471752017736435,0.011235874146223068,0.11679840832948685,0.2482741773128509,0.3893882036209105,1.310278832912445,-0.12675952911376953,0.2590594291687012,0.03810322284698486,0.2363307476043701,3.4831931591033936,-1.698625564575195,10.0,2.0,05-06,0.35579367804651457
02-22,0.007865110412240028,0.011235874146223068,0.11679840832948685,0.2258621454238892,0.3921816349029541,1.2996694445610046,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.08302450180053711,3.4831931591033936,-1.698625564575195,10.0,2.0,05-07,0.3367660267588993
02-23,0.007865110412240028,0.011235874146223068,0.11679840832948685,0.22025614976882926,0.3921816349029541,1.2996694445610046,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.08302450180053711,3.4831931591033936,-1.698625564575195,10.0,2.0,05-08,0.3362988604543109
02-24,0.007865110412240028,0.011235874146223068,0.10298220068216324,0.20680418610572807,0.3921816349029541,1.2996694445610046,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-09,0.3455244872408609
02-25,0.007865110412240028,0.011235874146223068,0.10298220068216324,0.20654717087745667,0.3921816349029541,1.3078094124794006,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-10,0.3461813999650379
02-26,0.007865110412240028,0.007865104824304579,0.10298220068216324,0.1963053047657013,0.4117341041564941,1.260769546031952,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-11,0.3427563972460727
02-27,0.007865110412240028,0.007865104824304579,0.10488786548376083,0.1963053047657013,0.3977680206298828,1.260769546031952,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-12,0.3417513623523216
02-28,0.007865110412240028,0.007865104824304579,0.10488786548376083,0.20496943593025208,0.3977680206298828,1.2200687527656555,-0.17717504501342773,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-13,0.33908164051050943
02-29,0.0,0.0,0.0,0.1959820091724396,0.0,0.0,0.0,0.2590594291687012,0.0,0.0,0.0,-1.698625564575195,2.0,1.0,05-14,-0.10363201051950456
03-01,0.007865110412240028,0.007865104824304579,0.10488786548376083,0.1872125267982483,0.3977680206298828,1.2200687527656555,-0.22038841247558594,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-15,0.3340007841276626
03-02,0.007865110412240028,0.007865104824304579,0.10097517818212508,0.17883291840553284,0.3977680206298828,1.2200687527656555,-0.22038841247558594,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-16,0.3329764261531333
03-03,0.007865110412240028,0.007865104824304579,0.10097517818212508,0.17071044445037842,0.3977680206298828,1.2200687527656555,-0.22038841247558594,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-17,0.3322995533235371
03-04,0.007865110412240028,0.007865104824304579,0.10097517818212508,0.17536595463752747,0.3977680206298828,1.2200687527656555,-0.22038841247558594,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-18,0.33268751250579953
03-05,0.007865110412240028,0.0017977356910705566,0.09967096894979477,0.17536595463752747,0.3977680206298828,1.2200687527656555,-0.22038841247558594,0.2590594291687012,0.03810322284698486,0.22100019454956046,3.4831931591033936,-1.698625564575195,10.0,2.0,05-19,0.33207321430866915
03-06,0.007865110412240028,0.0017977356910705566,0.09967096894979477,0.1926940232515335,0.4392459392547608,1.2766502499580383,-0.22038841247558594,0.2590594291687012,0.03810322284698486,-0.3901641368865967,3.3141345977783203,-1.698625564575195,9.0,3.0,05-20,0.27667026361450553
03-07,0.007865110412240028,0.0017977356910705566,0.09967096894979477,0.18101856112480166,0.4392459392547608,1.2837231755256653,-0.22038841247558594,0.2590594291687012,0.03810322284698486,-0.3901641368865967,3.3141345977783203,-1.698625564575195,9.0,3.0,05-21,0.2762867189012468
03-08,0.007865110412240028,0.0017977356910705566,0.09967096894979477,0.1899201273918152,0.4392459392547608,1.2306776642799375,-0.22038841247558594,0.2590594291687012,0.03810322284698486,-0.3901641368865967,3.3141345977783203,-1.698625564575195,9.0,3.0,05-22,0.2726080568196873
