,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.4909687042236328,-0.8180122375488281,-1.7096452713012695,0.8747224807739258,0.983656883239746,3.2587671279907227,-0.9618425369262696,6.0,4.0,03-17,0.16691658713600852
01-03,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-1.7096452713012695,0.8747224807739258,0.983656883239746,3.2587671279907227,-1.7718429565429688,6.0,4.0,03-18,0.13290535319935193
01-04,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-1.7096452713012695,0.8747224807739258,0.983656883239746,2.0395221710205083,-1.7718429565429688,6.0,4.0,03-19,0.022064902565696026
01-05,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-1.7096452713012695,0.8747224807739258,0.983656883239746,2.0395221710205083,-5.571843147277832,6.0,4.0,03-20,-0.32338966022838245
01-06,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-1.8930711746215816,0.8747224807739258,0.983656883239746,2.0395221710205083,-5.571843147277832,6.0,4.0,03-21,-0.3400647423484109
01-07,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-1.8930711746215816,0.8747224807739258,0.983656883239746,2.0395221710205083,-5.571843147277832,6.0,4.0,03-22,-0.3400647423484109
01-08,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-1.8930711746215816,0.8747224807739258,0.983656883239746,2.0395221710205083,-4.771842956542969,6.0,4.0,03-23,-0.2673374522816051
01-09,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.9268455505371094,-0.8180122375488281,-2.029793739318848,0.8747224807739258,0.983656883239746,2.0395221710205083,-4.771842956542969,6.0,4.0,03-24,-0.2797667763449929
01-10,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.7095632553100586,-1.0419559478759766,-2.029793739318848,0.8747224807739258,1.5124254226684568,2.0395221710205083,-4.771842956542969,6.0,4.0,03-25,-0.2718083641745828
01-11,0.0,0.041106224060058594,0.05023860931396485,-0.3738775253295897,0.7095632553100586,-1.0419559478759766,-2.029793739318848,0.5458745956420898,1.5124254226684568,2.0395221710205083,-4.821843147277832,6.0,4.0,03-26,-0.30624909834428266
