,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-4.5,0.7000000476837158,0.2999999523162842,0.0,3.0,-2.6999998092651367,0.039999961853027344,0.0,0.0,0.0,-1.910000026226044,4.0,8.0,03-17,-0.4224999894698461
01-03,0.0,-4.5,0.7000000476837158,0.2999999523162842,0.0,3.0,-2.6999998092651367,0.039999961853027344,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-18,-0.39249997834364575
01-04,0.0,-4.5,0.7000000476837158,0.2999999523162842,0.0,2.0,-2.6999998092651367,0.039999961853027344,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-19,-0.4758333116769791
01-05,0.0,-4.5,0.7000000476837158,0.2999999523162842,0.0,2.5,-2.6999998092651367,0.039999961853027344,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-20,-0.4341666450103124
01-06,0.0,-4.5,0.7000000476837158,0.2999999523162842,0.19999998807907104,2.5,-2.6999998092651367,0.029999971389770508,0.0,0.0,0.0,-1.5499998927116394,5.0,7.0,03-21,-0.4183333118756612
01-07,0.0,-4.5,0.7000000476837158,0.2999999523162842,0.19999998807907104,2.5,-2.5999999046325684,-0.020000040531158447,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-22,-0.4141666541496913
01-08,0.0,-4.5,3.6000001430511475,0.2999999523162842,0.19999998807907104,2.5,-2.5999999046325684,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-23,-0.17083330949147546
01-09,0.0,-4.5,1.7000000476837158,0.2999999523162842,0.19999998807907104,4.599999904632568,-2.9999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-24,-0.18749998013178507
01-10,0.0,-4.5,1.7000000476837158,0.2999999523162842,0.19999998807907104,4.599999904632568,-3.4999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-25,-0.2291666467984517
01-11,0.0,-4.5,1.7000000476837158,1.399999976158142,0.19999998807907104,5.5,-3.4999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-26,-0.06249997019767761
01-12,0.0,-4.5,1.7000000476837158,1.399999976158142,0.19999998807907104,5.5,-3.4999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-27,-0.06249997019767761
01-13,0.0,-4.5,1.7000000476837158,1.399999976158142,0.19999998807907104,5.5,-3.4999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-28,-0.06249997019767761
01-14,0.0,-4.5,1.7000000476837158,1.399999976158142,0.19999998807907104,5.5,-3.4999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-29,-0.06249997019767761
01-15,0.0,-4.5,1.7000000476837158,1.399999976158142,0.19999998807907104,6.0,-3.4999997615814213,0.0,0.0,0.0,0.0,-1.5499998927116394,4.0,8.0,03-30,-0.020833303531010944
01-16,0.0,-0.5,1.9000000953674319,1.399999976158142,0.19999998807907104,6.0,-3.5999999046325684,0.1499999761581421,0.0,0.0,0.0,-1.5499998927116394,5.0,7.0,03-31,0.3333333532015483
01-17,0.0,-0.5,1.9000000953674319,1.399999976158142,0.19999998807907104,5.699999809265138,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,5.0,7.0,04-01,0.29833334187666577
01-18,0.0,-0.5,1.9000000953674319,1.399999976158142,0.19999998807907104,5.499999761581421,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,5.0,7.0,04-02,0.2816666712363561
01-19,0.0,-0.5,1.7999999523162842,1.399999976158142,0.0,5.499999761581421,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,4.0,8.0,04-03,0.2566666603088379
01-20,0.0,-0.5,1.7999999523162842,1.399999976158142,0.0,5.499999761581421,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,4.0,8.0,04-04,0.2566666603088379
01-21,0.0,-0.5,1.7999999523162842,1.399999976158142,0.0,5.499999761581421,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,4.0,8.0,04-05,0.2566666603088379
01-22,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,5.499999761581421,-3.1999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,4.0,8.0,04-06,0.3233333230018616
01-23,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,5.499999761581421,-3.5999999046325684,0.1499999761581421,0.0,0.0,0.0,-1.569999933242798,4.0,8.0,04-07,0.28999998172124225
01-24,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,5.499999761581421,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.550000011920929,4.0,8.0,04-08,0.28333331644535065
01-25,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,3.6999998092651367,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.550000011920929,4.0,8.0,04-09,0.13333332041899362
01-26,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,3.6999998092651367,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.550000011920929,4.0,8.0,04-10,0.13333332041899362
01-27,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,3.6999998092651367,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.550000011920929,4.0,8.0,04-11,0.13333332041899362
01-28,0.0,-0.5,2.0999999046325684,1.399999976158142,0.0,3.6999998092651367,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.550000011920929,4.0,8.0,04-12,0.13333332041899362
01-29,0.0,-0.5,2.0999999046325684,2.8000000715255737,0.0,3.5,-3.6999998092651367,0.1499999761581421,0.0,0.0,0.0,-1.550000011920929,4.0,8.0,04-13,0.2333333442608516
01-30,0.0,-0.5,2.0999999046325684,2.8000000715255737,0.0,3.5,-3.6999998092651367,-0.14000004529953006,0.0,0.0,0.0,-1.5,3.0,9.0,04-14,0.21333334346612293
01-31,0.0,-0.5,2.0999999046325684,2.8000000715255737,0.0,3.5,-3.6999998092651367,-0.14000004529953006,0.0,0.0,0.0,-1.0999999046325684,3.0,9.0,04-15,0.24666668474674225
02-01,0.0,-0.5,2.0999999046325684,2.8000000715255737,0.0,3.5,-3.6999998092651367,-0.14000004529953006,0.0,-0.6999999731779099,0.0,-1.0999999046325684,3.0,9.0,04-16,0.18833335364858309
02-02,0.0,-0.5,2.0999999046325684,2.8000000715255737,0.4999999403953552,3.5,-3.6999998092651367,-0.14000004529953006,0.0,-0.6999999731779099,0.0,-0.9499999284744264,4.0,8.0,04-17,0.2425000133613745
02-03,0.0,-0.5,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.6999998092651367,-0.05000001192092896,0.0,-0.6999999731779099,0.0,-0.9499999284744264,3.0,9.0,04-18,0.18333333854873976
02-04,0.0,-0.5,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.6999998092651367,-0.05000001192092896,0.0,-0.6999999731779099,0.0,-0.8500000238418579,3.0,9.0,04-19,0.19166666393478712
02-05,0.0,-0.5,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.6999998092651367,-0.20999997854232788,0.0,-0.6999999731779099,0.0,-0.10000002384185792,3.0,9.0,04-20,0.24083333338300386
02-06,0.0,0.0,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.6999998092651367,-0.20999997854232788,0.0,-0.6999999731779099,0.0,-0.1499999761581421,3.0,9.0,04-21,0.27833333735664684
02-07,0.0,0.0,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.8000001907348633,-0.20999997854232788,0.0,0.0,0.0,-0.1499999761581421,3.0,9.0,04-22,0.3283333033323288
02-08,0.0,0.0,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.8000001907348633,-0.20999997854232788,0.0,17.220000073313713,0.0,-0.1499999761581421,4.0,8.0,04-23,1.7633333094418049
02-09,0.0,0.0,2.0999999046325684,2.4999998807907104,0.0,3.5,-3.8000001907348633,-0.20999997854232788,0.0,17.220000073313713,0.0,-0.25,4.0,8.0,04-24,1.7549999741216498
