,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-0.19426417350769049,0.08563446998596191,0.07402706146240234,-0.297271728515625,-0.021144628524780273,-0.5087721347808838,0.1891942024230957,0.6174416542053223,0.008684396743774414,0.053310394287109375,0.15370869636535645,-0.5487512350082397,7.0,5.0,03-17,-0.0323502520720164
01-03,-0.17483758926391602,0.11857175827026367,0.07402706146240234,-0.297271728515625,-0.04228901863098145,-0.5741856098175049,0.2837908267974853,0.6259002685546875,0.008684396743774414,-0.05330991744995117,0.15370869636535645,-0.5391240119934082,6.0,6.0,03-18,-0.03469457228978475
01-04,-0.16188669204711914,0.11857175827026367,0.026918649673461914,-0.24196481704711914,-0.09162616729736328,-0.5669171810150146,0.2837908267974853,0.6259002685546875,0.008684396743774414,-0.008885622024536133,0.15370869636535645,-0.4524791240692138,6.0,6.0,03-19,-0.025515417257944744
01-05,-0.16188669204711914,0.16468286514282227,0.17497539520263672,-0.2073988914489746,-0.10572314262390137,-0.5451128482818604,0.2837908267974853,0.6089839935302734,0.03473830223083496,-0.04442524909973145,0.15370869636535645,-0.462106466293335,6.0,6.0,03-20,-0.00881443421045939
01-06,-0.16188669204711914,0.0658724308013916,0.23554396629333496,-0.2004854679107666,-0.11981964111328125,-0.5451128482818604,0.3232064247131348,0.5666931867599487,-0.01736927032470703,-0.07108020782470703,0.1627504825592041,-0.462106466293335,5.0,7.0,03-21,-0.018649508555730183
01-07,-0.2590188980102539,0.03293633460998535,0.2355434894561768,-0.03456616401672363,-0.11981964111328125,-0.4869673252105713,0.3310890197753906,0.5159448385238647,0.04342246055603026,-0.11550498008728027,0.1627504825592041,-0.3850889205932617,6.0,6.0,03-22,-0.0066066086292266854
01-08,-0.2590188980102539,-0.09880924224853516,0.19516491889953613,0.02074003219604492,-0.09162712097167967,-0.4724307060241699,0.2680246829986572,0.5244023799896239,0.04342246055603026,-0.11550498008728027,0.2170004844665528,-0.35620713233947754,6.0,6.0,03-23,-0.010403593381245932
01-09,-0.4532833099365234,-0.17126893997192386,0.1547863483428955,0.02074003219604492,0.0,-0.34160423278808594,0.3941540718078613,0.5159444808959961,0.04342246055603026,-0.11550498008728027,0.1627497673034668,-0.4524791240692138,6.0,6.0,03-24,-0.020195285479227703
01-10,-0.16188669204711914,-0.2305550575256348,0.1547863483428955,0.02765345573425293,-0.021144866943359368,-0.2834591865539551,0.3941540718078613,0.5159444808959961,-0.008685111999511719,-0.14216017723083496,0.25316691398620605,-0.4235974550247192,5.0,7.0,03-25,0.0061847269535064715
01-11,-0.12950944900512695,-0.2305550575256348,0.141326904296875,0.04148006439208984,-0.05638575553894042,-0.3779451847076416,0.3153231143951416,0.5159444808959961,-0.01736927032470703,-0.1510453224182129,0.2170004844665528,-0.2599349021911621,5.0,7.0,03-26,0.0006941755612691244
01-12,-0.12950944900512695,-0.2700791358947754,0.1278667449951172,0.3733170032501221,0.028192758560180664,-0.399749755859375,0.3153231143951416,0.3806145191192627,-0.01736927032470703,-0.1510453224182129,0.1627504825592041,-0.31769824028015137,6.0,6.0,03-27,0.00855112075805664
01-13,-0.12950944900512695,-0.2964284420013428,0.1278667449951172,0.3180115222930908,0.028192758560180664,-0.399749755859375,0.15766119956970215,0.4144473075866699,0.06079196929931641,-0.3020901679992676,0.13562536239624026,-0.31769824028015137,7.0,5.0,03-28,-0.016906599203745525
01-14,-0.16188669204711914,-0.3293642997741699,0.12113618850708008,0.32492494583129883,0.028192758560180664,-0.3924810886383057,0.19707703590393064,0.3806147575378418,-0.08684539794921875,-0.3020901679992676,0.13562536239624026,-0.3850886821746826,6.0,6.0,03-29,-0.03918210665384928
01-15,-0.2266416549682617,-0.263491153717041,-0.03364992141723633,0.2765316963195801,0.028192758560180664,-0.4651627540588379,0.08671379089355469,0.42290544509887695,-0.05210709571838379,-0.3020901679992676,0.06329202651977539,-0.2695620059967041,5.0,7.0,03-30,-0.06125575304031373
01-16,-0.246067762374878,-0.3293650150299072,0.09421753883361816,0.2765316963195801,0.007048368453979492,-0.4360902309417725,0.03941535949707031,0.43982088565826416,-0.05210709571838379,-0.3020901679992676,0.0813753604888916,-0.2791891098022461,6.0,6.0,03-31,-0.058875014384587615
01-17,-0.19426417350769049,-0.3293650150299072,0.09421753883361816,0.2765316963195801,0.08457803726196289,-0.4360902309417725,-0.023649215698242188,0.43982088565826416,-0.05210709571838379,-0.14215946197509766,0.0813753604888916,-0.17328977584838867,5.0,7.0,04-01,-0.031200120846430462
01-18,-0.11655902862548828,-0.3293650150299072,0.09421753883361816,0.15209150314331055,0.13391590118408206,-0.5160400867462158,-0.023649215698242188,0.43982088565826416,-0.05210709571838379,-0.15104436874389648,0.06329154968261719,-0.17328977584838867,5.0,7.0,04-02,-0.03989310065905253
01-19,-0.11655902862548828,-0.3293650150299072,0.11440777778625487,0.24196505546569824,0.19735002517700195,-0.5160400867462158,-0.023649215698242188,0.43982088565826416,0.04342222213745117,-0.15104436874389648,0.02712488174438477,-0.31769824028015137,6.0,6.0,04-03,-0.03252209226290385
01-20,-0.11655902862548828,-0.4018235206604004,0.17497563362121582,0.17283248901367188,0.19735002517700195,-0.5160400867462158,-0.023649215698242188,0.5413182973861694,0.09552979469299316,-0.1599295139312744,0.02712488174438477,-0.31769824028015137,6.0,6.0,04-04,-0.027214040358861286
01-21,0.04532814025878906,-0.1317460536956787,0.22208380699157715,0.06221890449523927,0.19735002517700195,-0.5160400867462158,-0.007883071899414062,0.5244027376174927,0.05210733413696289,-0.07996535301208496,0.02712488174438477,-0.31769824028015137,7.0,5.0,04-05,0.0064402520656585685
01-22,-0.03237771987915039,-0.1317460536956787,0.17497563362121582,0.06221890449523927,0.19735002517700195,-0.5015039443969727,-0.023649215698242188,0.3636984825134277,0.05210733413696289,-0.07996535301208496,0.02712488174438477,-0.2695622444152832,6.0,6.0,04-06,-0.013444105784098308
01-23,0.03885293006896973,-0.16468214988708496,0.2759232521057129,0.06221890449523927,0.05638527870178223,-0.4651632308959961,-0.05518198013305664,0.3890731334686279,0.05210733413696289,-0.08885049819946289,-0.05424952507019043,-0.1444082260131836,6.0,6.0,04-07,-0.008164564768473307
01-24,0.03237748146057129,-0.03293561935424805,0.2759232521057129,0.06913256645202638,0.09162640571594237,-0.5233080387115479,-0.07883048057556152,0.4313633441925049,0.05210733413696289,-0.1510457992553711,0.009041786193847656,-0.17328953742980954,7.0,5.0,04-08,0.0001802245775858561
01-25,0.03237748146057129,-0.03293561935424805,0.269193172454834,0.02073979377746582,0.09162664413452147,-0.4869673252105713,-0.07883048057556152,0.4313633441925049,-0.0607917308807373,-0.035540103912353516,-0.13562536239624026,-0.231053113937378,5.0,7.0,04-09,-0.01803694168726604
01-26,0.03237748146057129,-0.05269742012023927,0.2086246013641357,0.07604670524597168,0.1550607681274414,-0.5087721347808838,-0.07883048057556152,0.3552398681640625,-0.07816076278686522,-0.035540103912353516,-0.28029227256774897,-0.231053113937378,5.0,7.0,04-10,-0.036499738693237305
01-27,0.03237748146057129,-0.17126870155334473,0.2961130142211914,-0.006913900375366211,0.1550607681274414,-0.5087721347808838,-0.07883048057556152,0.4651962518692017,-0.09553003311157228,0.008884906768798828,-0.2260422706604004,-0.231053113937378,5.0,7.0,04-11,-0.030064851045608517
01-28,-0.06475400924682617,-0.10539650917053224,0.2893822193145752,-0.006913185119628906,0.1550607681274414,-0.4869673252105713,0.10248041152954104,0.4313637018203736,-0.09553003311157228,0.017769813537597656,-0.2260422706604004,-0.1444079875946045,5.0,7.0,04-12,-0.011162867148717243
01-29,-0.12950944900512695,0.03952336311340332,0.20862507820129395,0.11061334609985353,0.10572361946105956,-0.581453800201416,0.11824655532836915,0.3298659324645996,-0.09553003311157228,0.017769813537597656,-0.11754202842712402,-0.19254398345947266,7.0,5.0,04-13,-0.015517632166544598
01-30,-0.09713196754455566,-0.06587386131286621,0.20189476013183594,0.11061334609985353,0.14096498489379886,-0.4360904693603516,0.11824655532836915,0.3044917583465576,-0.09553003311157228,0.10662007331848143,-0.2622087001800537,-0.2791893482208252,6.0,6.0,04-14,-0.021099408467610683
01-31,-0.16188669204711914,-0.032937288284301765,0.20189476013183594,0.12443900108337402,0.1691575050354004,-0.3924813270568848,0.14189553260803225,0.2452847957611084,-0.09553003311157228,0.07996511459350586,-0.2170002460479737,-0.1347811222076416,6.0,6.0,04-15,-0.00599833329518636
02-01,-0.09713196754455566,-0.032937288284301765,0.11440730094909668,0.11061215400695801,0.1621086597442627,-0.4942362308502197,0.20496034622192386,0.2452847957611084,-0.14763736724853516,0.1510450839996338,-0.17179155349731445,-0.009627103805541992,6.0,6.0,04-16,0.002921402454376221
02-02,-0.09713196754455566,-0.09880924224853516,0.1547861099243164,0.14517879486083984,0.19735002517700195,-0.4942362308502197,0.20496034622192386,0.2452847957611084,-0.07816076278686522,0.14216017723083496,-0.17179155349731445,-0.019254446029663086,6.0,6.0,04-17,0.010861337184906006
02-03,-0.09713196754455566,-0.09880948066711426,0.20189428329467773,0.006913661956787109,0.17620539665222168,-0.4942362308502197,0.11036300659179688,0.2452847957611084,-0.10421466827392578,0.14216017723083496,-0.17179155349731445,-0.019254446029663086,6.0,6.0,04-18,-0.008551418781280521
02-04,-0.12950944900512695,-0.0658731460571289,0.08075737953186035,0.03456568717956543,0.17620539665222168,-0.3561406135559082,0.13401269912719727,0.16916203498840332,-0.04342317581176758,0.14216017723083496,-0.17179155349731445,-0.009627342224121094,6.0,6.0,04-19,-0.003291825453440348
02-05,-0.16188669204711914,-0.03293657302856445,0.09421801567077637,0.08987259864807129,0.2114462852478028,-0.2907266616821289,0.09459710121154784,0.25374293327331543,-0.04342317581176758,0.14216017723083496,-0.19891667366027832,-0.048135995864868164,6.0,6.0,04-20,0.009167611598968506
02-06,-0.2590188980102539,-0.03293657302856445,0.09421801567077637,0.08987259864807129,0.2396395206451416,-0.3706769943237305,0.13401246070861814,0.2537431716918945,-0.04342317581176758,0.14216017723083496,-0.19891667366027832,0.03850865364074707,7.0,5.0,04-21,0.007265190283457438
02-07,-0.19426417350769049,0.0,0.09421801567077637,0.1036994457244873,0.29602575302124023,-0.3706769943237305,0.2286093235015869,0.2537431716918945,-0.13026857376098633,0.3020901679992676,-0.25316739082336426,0.009627103805541992,7.0,5.0,04-22,0.028302987416585282
02-08,-0.2395925521850586,0.0,0.11440682411193848,0.08987259864807129,0.2537355422973633,-0.3706769943237305,0.2286093235015869,0.2537431716918945,-0.09553003311157228,0.2310099601745605,-0.2983753681182861,-0.10589957237243652,6.0,6.0,04-23,0.005108575026194255
02-09,-0.2395925521850586,-0.03293657302856445,0.1615152359008789,0.08987259864807129,0.21849465370178225,-0.443359375,0.2286093235015869,0.21145272254943848,-0.06947660446166992,0.31985998153686523,-0.2983753681182861,-0.10589957237243652,6.0,6.0,04-24,0.003347039222717285
02-10,-0.2395925521850586,-0.09880948066711426,0.1615152359008789,0.07604622840881348,0.28192901611328125,-0.443359375,0.2286093235015869,0.2283685207366944,-0.06947660446166992,0.2843198776245117,-0.2622087001800537,-0.10589957237243652,6.0,6.0,04-25,0.003453493118286133
02-11,-0.12950944900512695,0.03293657302856445,0.20189452171325686,0.055306434631347656,0.28192901611328125,-0.443359375,0.15766167640686035,0.2283685207366944,-0.07816100120544434,0.2576649188995361,-0.2622087001800537,-0.09627223014831544,7.0,5.0,04-26,0.017187575499216717
02-12,-0.12950944900512695,0.013173818588256836,0.2557332515716553,0.055306434631347656,0.2396399974822998,-0.443359375,0.11036348342895508,0.2283685207366944,-0.1128988265991211,0.2576649188995361,-0.162750244140625,-0.10589909553527832,7.0,5.0,04-27,0.017152786254882812
02-13,-0.12950944900512695,-0.08563518524169922,0.3970603942871094,0.055306434631347656,0.16915678977966309,-0.443359375,0.08671450614929199,0.2283685207366944,-0.1128988265991211,0.2576649188995361,-0.162750244140625,0.048135995864868164,7.0,5.0,04-28,0.02568787336349488
02-14,0.03237748146057129,-0.1580955982208252,0.3970603942871094,0.08296036720275879,0.19735002517700195,-0.4651634693145752,0.05518198013305664,0.2283685207366944,-0.1128988265991211,0.22212505340576166,-0.13562512397766113,-0.06739068031311035,7.0,5.0,04-29,0.023020843664805096
02-15,-0.03237724304199219,-0.1580955982208252,0.32976245880126953,0.006913185119628906,0.2607839107513428,-0.3634090423583984,0.09459757804870604,0.2283685207366944,-0.10421442985534668,0.2665500640869141,-0.19891691207885745,-0.06739068031311035,6.0,6.0,04-30,0.02188098430633545
02-16,-0.03237724304199219,-0.1580955982208252,0.2557344436645508,0.08987259864807129,0.28192830085754395,-0.3634090423583984,0.09459757804870604,0.2283685207366944,0.0,0.25766468048095703,-0.1808335781097412,-0.1540355682373047,6.0,6.0,05-01,0.026617924372355144
02-17,-0.03237724304199219,0.0,0.2691938877105713,-0.062219858169555664,0.2678318023681641,-0.3634090423583984,0.09459757804870604,0.12687134742736814,-0.026053667068481445,0.13327479362487793,-0.2170002460479737,-0.1540355682373047,5.0,7.0,05-02,0.0030561486879984536
02-18,-0.08418107032775879,-0.0658726692199707,0.1884357929229737,0.05530595779418945,0.2678318023681641,-0.3634090423583984,0.04729866981506349,0.10149717330932616,-0.026053667068481445,0.13327479362487793,-0.2170002460479737,-0.1540355682373047,6.0,6.0,05-03,-0.009742339452107748
