,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-1.4291386604309082,1.4370779991149902,0.3969826698303223,2.159587144851685,0.1905517578125,0.00713348388671875,-0.5519990921020508,-1.3280000686645508,-0.8559989929199219,-1.2799997329711914,-0.07999992370605469,-7.8999996185302725,5.0,7.0,03-17,-0.7694835861523946
01-03,-2.0643115043640137,1.8499402999877932,0.3969826698303223,2.159587144851685,0.015878677368164062,-0.02480697631835937,-0.7200002670288086,-1.1920003890991209,-0.8559989929199219,-1.4159994125366209,0.1700000762939453,-9.610000610351562,5.0,7.0,03-18,-0.9408941070238748
01-04,-2.21516489982605,1.8499402999877932,0.47637939453125,2.421595811843872,0.11115550994873047,-0.00928974151611328,-0.9119997024536132,-1.1920003890991209,-0.6639995574951172,-1.3119993209838867,-0.5899991989135742,-8.519999504089355,4.0,8.0,03-19,-0.8796151081720988
01-05,-2.21516489982605,2.048431873321533,0.6272330284118652,2.572449207305908,-0.1190948486328125,0.13471031188964844,-0.9119997024536132,-1.1359996795654297,0.167999267578125,-1.079999923706055,-0.8599996566772461,-9.399999618530273,5.0,7.0,03-20,-0.8476195534070333
01-06,-2.1675269603729252,1.8737592697143557,0.5398964881896973,2.0722506046295166,0.3096466064453125,0.13471031188964844,-0.5679998397827148,-1.1359996795654297,0.039999961853027344,-0.88800048828125,-0.5900001525878906,-9.399999618530273,6.0,6.0,03-21,-0.8149386246999105
01-07,-1.6593885421752932,1.6832075119018557,0.381103515625,2.159586906433105,0.3096466064453125,0.1505899429321289,-0.2239999771118164,-0.8719997406005859,-0.5920000076293945,-0.9040002822875975,-0.5900001525878906,-8.709999084472656,5.0,7.0,03-22,-0.7389377752939859
01-08,-1.651449203491211,1.3497419357299805,0.34140539169311523,2.1675267219543457,0.3652238845825195,0.2059869766235352,-0.34399986267089844,-0.5599994659423828,-0.7119998931884766,-0.9040002822875975,-0.5900001525878906,-7.579999923706055,5.0,7.0,03-23,-0.659296989440918
01-09,-1.7387852668762207,1.4132590293884275,0.3572850227355957,2.1675267219543457,0.28582763671875,-0.2811079025268555,-0.15199947357177734,-0.5840005874633789,-0.7119998931884766,-0.8080005645751953,-0.75,-7.859999656677246,4.0,8.0,03-24,-0.7218329111735026
01-10,-0.8733625411987305,1.6673283576965332,0.3572850227355957,2.127828359603882,0.4049224853515625,-0.10510826110839844,0.0,-0.5840005874633789,-0.8000001907348633,-1.4959993362426758,-0.880000114440918,-8.109999656677246,4.0,8.0,03-25,-0.6909255385398865
01-11,-0.9368796348571776,1.6673283576965332,0.4128623008728027,2.000793933868408,0.5081386566162109,-0.2654705047607422,-0.10400009155273438,-0.5840005874633789,-0.5120000839233398,-1.9840002059936523,0.07999992370605469,-5.710000038146973,5.0,7.0,03-26,-0.4522689978281657
01-12,-0.9368796348571776,1.5799922943115234,0.4366812705993652,2.056371688842773,0.7780866622924805,-0.06547069549560547,-0.10400009155273438,-0.4480009078979492,0.12800025939941406,-1.7919988632202148,0.2799997329711914,-6.289999961853027,6.0,6.0,03-27,-0.3647681872049968
01-13,-1.0083365440368652,1.5164747238159182,0.3890433311462401,2.056371688842773,0.7780866622924805,-0.06547069549560547,-0.18400001525878906,-0.048000335693359375,-0.07200050354003906,-1.5120000839233398,0.5299997329711914,-6.289999961853027,5.0,7.0,03-28,-0.3258193333943685
01-14,-1.0242161750793457,1.2465267181396484,0.5240178108215332,2.0643115043640137,0.7780866622924805,-0.11310863494873047,0.4640007019042969,-0.2239999771118164,0.768000602722168,-1.5120000839233398,0.5299997329711914,-6.060000419616699,7.0,5.0,03-29,-0.21319846312205
01-15,-1.286224603652954,1.3815007209777832,0.3969826698303223,2.0643115043640137,0.7939662933349609,-0.26474666595458984,0.4399995803833008,0.06400012969970703,0.5120000839233398,-1.5120000839233398,0.4700002670288086,-3.7800006866455083,8.0,4.0,03-30,-0.0600175658861796
01-16,-1.278285264968872,0.944819450378418,0.3572845458984375,2.0643115043640137,0.7383880615234375,-0.09656524658203124,0.5439996719360352,-0.0800008773803711,0.5120000839233398,-1.5120000839233398,0.06999969482421875,-6.510000228881836,7.0,5.0,03-31,-0.3538373907407125
01-17,-0.8733625411987305,0.944819450378418,0.3572845458984375,2.0643115043640137,0.8892412185668945,-0.1675395965576172,0.14400005340576172,0.15199947357177734,0.5120000839233398,-1.256000518798828,0.5100002288818359,-5.25999927520752,8.0,4.0,04-01,-0.16527044773101807
01-18,-1.1512503623962402,0.944819450378418,0.3572845458984375,2.096069812774658,0.428741455078125,-0.2555398941040039,0.14400005340576172,0.15199947357177734,1.3120012283325195,-1.1520013809204102,0.8799991607666016,-4.8800010681152335,8.0,4.0,04-02,-0.09365646044413248
01-19,-1.1512503623962402,0.944819450378418,0.4843192100524902,1.8737592697143557,0.0714569091796875,-0.1995401382446289,0.14400005340576172,0.15199947357177734,1.8799991607666016,-1.4879999160766602,1.3399991989135742,-5.710000991821289,8.0,4.0,04-03,-0.13820322354634604
01-20,-1.1512503623962402,0.8654227256774902,0.4525604248046875,1.8975782394409182,0.1190948486328125,-0.1995401382446289,0.14400005340576172,0.2719993591308594,1.6160001754760742,-1.0400009155273438,1.5899991989135742,-5.710000991821289,8.0,4.0,04-04,-0.09534478187561037
01-21,-0.34140491485595703,0.7622075080871582,0.5398964881896973,1.8658199310302732,0.1190948486328125,-0.1995401382446289,0.4240007400512695,0.4479999542236328,2.1439990997314453,-1.0640010833740234,1.5899991989135742,-5.710000991821289,8.0,4.0,04-05,0.048172553380330406
01-22,-0.31758642196655273,0.6907501220703125,0.4446206092834473,1.8658199310302732,0.1190948486328125,-0.08832359313964844,0.15999984741210938,0.17600059509277344,2.06399917602539,-1.0640010833740234,1.5899991989135742,-5.9800004959106445,8.0,4.0,04-06,-0.02830227216084798
01-23,0.03175830841064453,0.9130606651306152,0.5398964881896973,1.8658199310302732,0.08733654022216797,-0.08799934387207031,0.37600040435791016,0.5200004577636719,2.06399917602539,-0.9200000762939452,1.9700002670288088,-6.75999927520752,9.0,3.0,04-07,0.04998946189880371
01-24,0.3096466064453125,0.8654227256774902,0.5398964881896973,1.8658199310302732,-0.007939338684082031,-0.12800025939941406,0.4479999542236328,0.5360002517700195,1.8079996109008791,-0.3839998245239258,2.180000305175781,-5.329999923706055,8.0,4.0,04-08,0.2252372105916341
01-25,0.3096466064453125,0.8654227256774902,0.5557761192321777,1.8023023605346682,-0.12703514099121094,0.07999992370605469,0.34399986267089844,0.5360002517700195,1.648000717163086,-0.6880006790161133,1.760000228881836,-6.119999885559082,9.0,3.0,04-09,0.08050942420959473
