,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-87.50001164153244,36.84210588231973,7.500002483526767,-55.73770121376675,-247.82607850595772,34.04255201099896,-98.01980526689678,50.0,46.42857427955882,-62.027029095120966,-76.71916850033097,-20.895529234494518,5.0,7.0,-39.49267406680799
01-03,-50.0,40.00000223517415,7.500002483526767,-55.73770121376675,-230.434771341277,24.757284230873605,-135.45455315142627,42.85714190681372,46.42857427955882,-58.620697096894034,-71.27072535794173,-34.545455315142625,5.0,7.0,-39.54340819504178
01-04,-50.0,40.00000223517415,13.888891648363074,-49.18032316343343,-247.82607850595772,33.94077908800315,-153.92156638955558,42.85714190681372,39.56044031020615,-9.773367278148946,-66.07773074799945,-38.40831648533671,5.0,7.0,-37.0783439484893
01-05,-50.0,30.00000074505805,13.513516561230883,-18.57142355369064,-282.60869283531935,33.638443428736856,-153.92156638955558,42.85714190681372,40.38461758892913,-5.797102544718872,-50.751885438078034,-14.285716186372545,5.0,7.0,-34.6285555597472
01-06,-12.500006984919464,33.333330968069575,17.525777471902867,-29.999996806894046,-282.60869283531935,33.638443428736856,-152.94117593349335,14.285716186372545,41.31944610623727,-13.986010415390167,-52.00909716433818,-14.285716186372545,5.0,7.0,-34.85233184711733
01-07,-150.00000931322597,38.260868663823906,22.680411579277248,-42.857144377669506,-282.60869283531935,31.350113450864395,-153.26085889197927,24.210526444781518,44.23273342511989,-14.788730399070925,-52.00909716433818,-28.57141906813729,5.0,7.0,-46.94677487382278
01-08,-25.000007761021628,35.78947215694468,12.154696450987856,-33.33333002196431,-334.7826143293616,21.83907396302902,-168.8172073161096,13.513515724469226,40.2914425470345,-14.788730399070925,-70.58377825344189,-10.84337768485996,5.0,7.0,-44.54673707694705
01-09,-8.333331781129008,36.84210588231973,11.666673289404711,-33.33333002196431,-334.7826143293616,4.081633428840149,-54.83871829180347,24.324327045500578,40.2914425470345,-13.52112433664912,-65.61265491428371,-33.333340232019374,5.0,7.0,-35.545744309509246
01-10,-27.2727285042282,40.00000223517415,11.666673289404711,-33.33333002196431,-360.8695588794683,-6.0869542682554005,-62.307685474319705,24.324327045500578,38.43352022890246,-10.869565921604991,-64.17910862696637,-73.3703227278167,4.0,8.0,-43.65539430213684
01-11,-27.2727285042282,40.00000223517415,11.666673289404711,-39.199995994567864,-360.8695588794683,0.0,-75.8333280299687,24.324327045500578,42.906573390895296,-22.058812250419265,-49.28057339455228,-64.47368388804621,4.0,8.0,-43.340925415023015
01-12,-27.2727285042282,36.99999992549419,11.111116630059485,-60.00000238418579,-247.82607850595772,0.0,-75.8333280299687,32.43243396309408,39.28571286022059,-36.363642521141024,-37.93103536867786,-58.22785809944168,4.0,8.0,-35.30211750289438
01-13,-18.18181448731539,30.000001655684514,11.111116630059485,-41.46340665613046,-247.82607850595772,0.0,-45.83333268658154,3.2258083898492145,43.859646485636304,-24.999991268851275,-56.862744525137956,-58.22785809944168,4.0,8.0,-33.766554422348875
01-14,-66.66666666666666,38.181814487315386,6.976749424421008,-62.60162394788568,-247.82607850595772,-2.0408205157368053,-71.23288432708887,6.249996816768463,38.159325750897054,-24.999991268851275,-56.862744525137956,-39.240512298174146,4.0,8.0,-40.15861963134145
01-15,-66.66666666666666,38.09523843313292,11.111116630059485,-33.33333002196431,-201.7391193786281,-15.789474509759634,-61.29031838113305,22.368419440231023,43.894387653576786,-24.999991268851275,-55.52941197095033,-17.647049800335406,4.0,8.0,-30.127183320107374
01-16,-88.88888336994052,26.31578823536055,3.0303090509739805,-33.33333002196431,-193.91302953483032,-31.76470856353071,-113.48314442134622,23.684212783676557,43.894387653576786,-24.999991268851275,-51.99999284744272,-19.189507380315057,4.0,8.0,-38.3873241403861
01-17,9.999997764825855,26.31578823536055,3.0303090509739805,-33.33333002196431,-204.3478267911702,-34.000001341104486,-71.81817873942948,19.44444408513789,43.894387653576786,-55.44348154870228,-64.5901684396148,-61.7647028611941,5.0,7.0,-35.217730246108715
01-18,0.0,26.31578823536055,3.0303090509739805,-80.0000044703483,-247.82607850595772,-78.57143807472028,-71.81817873942948,19.44444408513789,52.941174435281155,-40.474098962158315,-54.47154483856469,-62.16216352275029,4.0,8.0,-44.46598260893129
01-19,0.0,26.31578823536055,3.0303090509739805,-45.4545429915436,-221.73913395585092,-82.92683148440821,-71.81817873942948,19.44444408513789,50.85284273372348,-37.93103536867786,-68.37607347864673,-61.073828691523644,4.0,8.0,-40.80635338374038
01-20,0.0,45.378154522533634,13.888891648363074,-33.33333333333333,-221.73913395585092,-82.92683148440821,-71.81817873942948,-6.250004092726263,47.89156420341566,-37.043790447526334,-65.54621519905885,-61.073828691523644,3.0,9.0,-39.381058797462046
01-21,-9.090907243657695,45.78816017641781,11.764703304297399,-66.66667287548397,-221.73913395585092,-82.92683148440821,-46.78899631281707,-16.666669253673795,47.058828685522634,-50.80320398896296,-65.54621519905885,-61.073828691523644,3.0,9.0,-43.05756390326661
01-22,-25.000004656612983,35.00000335276122,3.1249970896168886,-66.66667287548397,-221.73913395585092,-105.47946323975336,-49.253743013342934,-19.99999689559145,46.902657395712204,-50.80320398896296,-65.54621519905885,-61.42857161863725,3.0,9.0,-48.40744563376703
01-23,14.285716566504258,30.00000074505805,8.82352966957026,-66.66667287548397,-291.30436261457385,-111.42857325320341,-51.85184865801594,0.0,46.902657395712204,-43.89557338275652,-58.750000582076595,-55.63910227224506,4.0,8.0,-48.293685771792546
01-24,47.058821982578436,22.22222498169641,8.82352966957026,-66.66667287548397,-334.7826143293616,-111.8181787394295,-35.65891069916333,-16.666669253673795,36.87315397580782,-30.841121104869572,-60.86956697792547,-52.307688339927566,4.0,8.0,-49.552807642515155
01-25,47.058821982578436,22.22222498169641,7.647056709523866,-66.66667287548397,-317.39130716468065,-77.14285349359321,-29.62962681905403,-16.666669253673795,29.714288329591547,-40.39855342656863,-69.60351916842332,-28.57141906813729,4.0,8.0,-44.952352438852046
01-26,47.058821982578436,35.55555997071425,0.0,-33.33333333333333,-256.5217482852124,-129.62961992036847,-29.62962681905403,-19.99999689559145,15.625001818989318,-47.27272850422821,-57.3581582534994,-28.57141906813729,3.0,9.0,-42.00643727559521
