,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-25.0000015685433,-24.190061725178257,13.392857370936143,10.227273589323355,3.0612296202803058,7.547168792800635,0.6097584377790879,0.0,11.339281479618915,6.8018310297431,-0.7142884390694755,-19.676324230427863,7.0,5.0,-1.3834396368947794
01-03,-25.0000015685433,-21.052631578947366,13.392857370936143,10.227273589323355,3.225807496220317,10.062889724416905,1.2195052453833148,0.0,11.339281479618915,6.8018310297431,0.7741003264035908,-26.37264082555408,8.0,4.0,-1.2818106425832585
01-04,-25.0000015685433,-21.052631578947366,10.714284193759037,12.222221162584093,7.4074082993586865,10.062889724416905,1.339825288259967,0.0,11.607144757801207,6.8018310297431,0.7741003264035908,-26.462651889378247,8.0,4.0,-0.9654650212118612
01-05,-25.0000015685433,-21.052631578947366,11.504426272494793,10.28707765544407,7.872693579718909,10.062889724416905,1.339825288259967,0.0,13.83928765295723,8.650743527358754,0.5681812794001605,-27.72727446122603,8.0,4.0,-0.8045652190554925
01-06,-18.42105411756734,-15.0,13.392857370936143,16.666666666666664,8.333333333333332,10.062889724416905,1.339825288259967,0.0,16.51785231518494,8.392512652961912,0.5681812794001605,-27.72727446122603,8.0,4.0,1.1771491710305544
01-07,-13.157901176125138,-15.0,13.392857370936143,16.666666666666664,8.333333333333332,8.805029258608771,1.339825288259967,1.1627950817908759,16.51785231518494,8.392512652961912,0.5681812794001605,-27.72727446122603,9.0,3.0,1.6078231341493
01-08,-10.256412450927039,-15.0,9.2727314342152,14.772729119978619,0.8333365122477213,8.805029258608771,1.339825288259967,1.1627950817908759,15.765765223949357,8.392512652961912,0.5681812794001605,-27.72727446122603,9.0,3.0,0.6607682449382922
01-09,-10.256412450927039,-21.052631578947366,9.2727314342152,14.772729119978619,0.0,8.805029258608771,3.166872444260292,-1.7441815334505686,15.765765223949357,8.392512652961912,-0.14204870647760254,-28.31050625997929,6.0,6.0,-0.11084503298397674
01-10,-10.256412450927039,-15.0,9.2727314342152,14.772729119978619,0.0,8.860763008253327,2.557856725593517,-1.7441815334505686,14.864869509005521,8.650743527358754,-0.7142884390694755,-51.77610806639093,6.0,6.0,-1.7092747637860892
01-11,-10.256412450927039,-15.0,9.2727314342152,14.772729119978619,0.0,8.860763008253327,2.557856725593517,-1.7441815334505686,12.162165180853588,7.682373130838331,-0.7142884390694755,-53.138527803425845,6.0,6.0,-2.128732635595028
01-12,-10.256412450927039,-15.0,8.181814713911576,14.772729119978619,-5.833331743876139,8.860763008253327,2.557856725593517,1.1627950817908759,12.162165180853588,7.741934253323463,-0.7142884390694755,-52.972968848975924,7.0,5.0,-2.4447452832619683
01-13,-10.256412450927039,-15.0,8.181814713911576,15.730333466704868,-5.833331743876139,8.860763008253327,2.9232673183944486,3.409093002642436,12.162165180853588,7.741934253323463,1.0526289019668311,-52.972968848975924,8.0,4.0,-2.0000594331440467
01-14,-10.256412450927039,-16.161620637590065,8.695652173913043,15.730333466704868,-5.833331743876139,8.860763008253327,2.9232673183944486,1.1627950817908759,10.360365159305704,7.741934253323463,1.0526289019668311,-52.5405368289432,8.0,4.0,-2.355346858140323
01-15,-12.435900555246288,-16.161620637590065,8.695652173913043,15.730333466704868,5.666669209798178,6.9620276467766615,2.9232673183944486,0.3516967633097665,10.360365159305704,7.741934253323463,1.0526289019668311,-46.979157249961006,9.0,3.0,-1.3410086291086996
01-16,-12.435900555246288,-20.0,6.249998403446988,15.730333466704868,-5.833331743876139,6.369426828972722,2.9232673183944486,0.3516967633097665,10.360365159305704,7.741934253323463,-0.7132626571351842,-35.76923464882317,7.0,5.0,-2.0853922843019017
01-17,-15.384612563093807,-20.0,6.249998403446988,15.730333466704868,-5.833331743876139,7.547168792800635,0.6234496847642808,0.3516967633097665,10.360365159305704,6.229506946000897,-1.0638270529935836,-36.05769363028063,7.0,5.0,-2.6039121478259184
01-18,-15.384612563093807,-20.0,6.249998403446988,15.730333466704868,-7.445009620653844,7.547168792800635,0.6234496847642808,0.3516967633097665,10.360365159305704,6.535947630939015,-2.127654105987167,-35.76923464882317,7.0,5.0,-2.7772959197738945
01-19,-15.384612563093807,-20.0,6.249998403446988,12.666665183173285,-8.361770647679107,7.547168792800635,0.6234496847642808,0.3516967633097665,10.279534063457435,6.557377049180328,-1.7730495974209397,-44.67212658228343,7.0,5.0,-3.826305787528714
01-20,-15.384612563093807,-22.448977208643985,6.249998403446988,12.666665183173285,-8.361770647679107,7.547168792800635,0.6234496847642808,3.9548063998117216,8.675797496008284,5.639342010998335,-1.7730495974209397,-44.67212658228343,7.0,5.0,-3.940275719009811
