,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,78.74999940395354,0.0,53.33333333333334,-23.99999618530273,-64.28571367750361,11.111107431811952,25.0,-24.999991268851275,-233.33334575096802,81.81818085607172,0.0,33.333330746326205,6.0,6.0,-5.272757925927403
01-03,78.74999940395354,0.0,53.33333333333334,-23.99999618530273,-42.857145289985546,12.777772553172975,25.0,-24.999991268851275,-233.33334575096802,81.81818085607172,0.0,33.333330746326205,6.0,6.0,-3.34815513352081
01-04,-70.00000476837158,0.0,63.33333333333333,-6.6666682561238595,-28.571427355007227,12.777772553172975,25.0,-24.999991268851275,-233.33334575096802,81.81818085607172,0.0,33.333330746326205,5.0,7.0,-12.275734992534812
01-05,-70.00000476837158,0.0,55.17241379310346,-90.0,-81.81817787737894,12.777772553172975,25.0,-24.999991268851275,-233.33334575096802,-809.090927563423,0.0,33.333330746326205,4.0,8.0,-98.57991084469916
01-06,-70.00000476837158,0.0,48.27586206896552,-30.0,-81.81817787737894,12.777772553172975,25.0,-24.999991268851275,-233.33334575096802,-809.090927563423,0.0,33.333330746326205,4.0,8.0,-94.15462348837734
01-07,-100.0,-50.0,58.620689655172406,-87.5,-81.81817787737894,12.777772553172975,25.0,-24.999991268851275,-233.33334575096802,-809.090927563423,0.0,33.333330746326205,4.0,8.0,-104.75088745882911
01-08,-50.0,-50.0,53.33333333333334,-36.36363636363637,-81.81817787737894,1.8749981839210064,25.0,75.0,-233.33334575096802,-809.090927563423,0.0,33.333330746326205,5.0,7.0,-89.33870210765213
01-09,0.0,-50.0,54.838709677419345,-36.36363636363637,-18.181811285413147,21.49999737739563,25.0,75.0,-233.33334575096802,-809.090927563423,0.0,33.333330746326205,5.0,7.0,-78.10814026352493
01-10,-50.0,-50.0,54.838709677419345,-36.36363636363637,-36.36363340803421,21.49999737739563,25.0,75.0,-233.33334575096802,-809.090927563423,0.0,33.333330746326205,5.0,7.0,-83.78995877374334
01-11,-50.0,-50.0,35.483870967741936,-66.66666666666666,-35.71428632249638,21.49999737739563,25.0,75.0,-233.33334575096802,-81.8181787394295,0.0,33.333330746326205,5.0,7.0,-27.267939865674723
