,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.4699997901916504,1.1200008392333984,0.875,3.6949996948242183,1.3400001525878906,-1.4500007629394531,6.305000305175781,0.8200035095214844,-0.80999755859375,1.2000007629394531,6.4199981689453125,-19.43000030517578,9.0,3.0,03-17,0.04625038305918376
01-03,0.6100001335144043,1.255000114440918,0.875,3.6949996948242183,1.145000457763672,-1.3849983215332031,7.2550010681152335,1.4099998474121094,-0.80999755859375,0.6599998474121094,9.139999389648438,-30.2400016784668,9.0,3.0,03-18,-0.5324997504552206
01-04,0.7899999618530273,1.255000114440918,1.260000228881836,3.450000762939453,0.6200008392333984,-0.7849998474121094,7.979999542236327,1.4099998474121094,-1.19000244140625,0.06999969482421875,7.269996643066406,-29.14999771118164,9.0,3.0,03-19,-0.585000197092692
01-05,0.7899999618530273,0.984999656677246,1.3700008392333984,3.424999237060547,0.5550003051757812,-0.12999725341796875,7.979999542236327,1.0199966430664062,-0.6800003051757812,-1.3100013732910156,7.80999755859375,-31.79999542236328,8.0,4.0,03-20,-0.8320833841959635
01-06,0.6399998664855957,0.8000001907348633,1.5,3.4149990081787114,0.8549995422363281,-0.12999725341796875,8.304996490478517,1.4199981689453125,-1.3199996948242188,-0.6500015258789062,8.05999755859375,-31.79999542236328,8.0,4.0,03-21,-0.7420835892359415
01-07,0.8000001907348633,0.8049993515014648,1.2650012969970703,3.5699996948242188,0.8549995422363281,-0.6499977111816406,8.290000915527344,3.0100021362304688,-2.6599998474121094,-0.8400001525878906,8.05999755859375,-31.529998779296875,8.0,4.0,03-22,-0.7520829836527506
01-08,0.5099997520446777,0.979999542236328,1.0900001525878906,3.6100006103515625,0.9050006866455078,-0.5349998474121094,7.485000610351562,2.46999740600586,-2.310001373291016,-0.8400001525878906,8.009998321533201,-27.46999740600586,8.0,4.0,03-23,-0.5079168081283569
01-09,1.1449999809265137,1.1000003814697266,1.959999084472656,3.6100006103515625,1.2099990844726562,-0.4449996948242188,8.790000915527344,1.5600013732910156,-2.310001373291016,-0.7099990844726562,8.380001068115233,-32.5,8.0,4.0,03-24,-0.6841664711634318
01-10,0.8649997711181641,1.0400009155273438,1.959999084472656,3.4950008392333984,1.420000076293945,-0.9500007629394532,8.84499740600586,1.5600013732910156,-1.9900016784667969,-2.049999237060547,7.769996643066406,-33.61000442504883,8.0,4.0,03-25,-0.9704174995422364
01-11,0.7849998474121094,1.0400009155273438,2.21500015258789,4.045000076293944,0.8400001525878906,-0.2550010681152344,7.769996643066406,1.5600013732910156,-2.25,-3.689998626708984,8.570003509521483,-26.20000457763672,8.0,4.0,03-26,-0.46416680018107104
01-12,0.7849998474121094,1.2350006103515625,2.6900005340576167,3.875,1.1900005340576172,-0.7900009155273438,7.769996643066406,-0.07999801635742188,-1.2199974060058594,-2.60000228881836,9.59000015258789,-25.270004272460934,7.0,5.0,03-27,-0.2354170481363932
01-13,0.8949999809265137,0.41499996185302734,2.2450008392333984,4.2749996185302725,1.1900005340576172,-0.7900009155273438,7.4499969482421875,0.960002899169922,-0.6199989318847656,-3.10000228881836,9.369998931884766,-25.270004272460934,8.0,4.0,03-28,-0.24833389123280844
01-14,1.6750001907348633,0.5200004577636719,2.09000015258789,4.2749996185302725,1.1900005340576172,-0.9599990844726562,7.330001831054687,-0.6199989318847656,-0.6500015258789062,-3.10000228881836,9.369998931884766,-25.18000030517578,7.0,5.0,03-29,-0.3383333683013916
01-15,1.2450003623962402,0.6700000762939453,1.9300003051757808,4.1599998474121085,1.2849998474121094,-1.395000457763672,7.7449989318847665,0.9599990844726562,-0.4599990844726562,-3.10000228881836,8.659996032714844,-21.63999938964844,8.0,4.0,03-30,0.004999438921610515
01-16,0.9000000953674316,0.4899997711181641,1.8600006103515625,4.1599998474121085,1.2800006866455078,-0.7950019836425781,7.6850013732910165,1.0,-0.4599990844726562,-3.10000228881836,10.189998626708984,-26.240005493164066,8.0,4.0,03-31,-0.25250065326690674
01-17,1.1099996566772459,0.4899997711181641,1.8600006103515625,4.1599998474121085,1.2250003814697266,-0.7600021362304688,6.739997863769531,1.4599990844726562,-0.4599990844726562,-2.759998321533203,10.05999755859375,-25.76000213623047,8.0,4.0,04-01,-0.2195839087168376
01-18,1.1399998664855957,0.4899997711181641,1.8600006103515625,3.8449993133544917,1.029998779296875,0.18000030517578125,6.739997863769531,1.4599990844726562,-0.2900009155273437,-3.200000762939453,9.260002136230467,-26.790000915527344,9.0,3.0,04-02,-0.3562504053115845
01-19,1.1399998664855957,0.4899997711181641,1.970001220703125,3.9349994659423833,1.6349983215332031,0.009998321533203123,6.739997863769531,1.4599990844726562,0.5,-5.019996643066406,8.879997253417969,-29.90999984741211,10.0,2.0,04-03,-0.6808337767918905
01-20,1.1399998664855957,0.4899997711181641,2.0349998474121094,4.259998321533203,1.354999542236328,0.009998321533203123,6.739997863769531,2.7800025939941406,0.779998779296875,-3.4099998474121094,8.94000244140625,-29.90999984741211,10.0,2.0,04-04,-0.3991668621699016
01-21,1.3849997520446775,0.2799997329711914,1.7649993896484375,4.7849998474121085,1.354999542236328,0.009998321533203123,5.864997863769531,1.9900016784667969,0.5600013732910156,-2.579998016357422,8.94000244140625,-29.90999984741211,10.0,2.0,04-05,-0.4629164934158325
01-22,1.2849998474121094,0.8500003814697266,1.454999923706055,4.7849998474121085,1.354999542236328,-0.2550010681152344,5.825000762939452,1.0800018310546875,0.4600028991699219,-2.579998016357422,8.94000244140625,-27.529998779296875,9.0,3.0,04-06,-0.3608325322469075
01-23,1.170000076293945,1.1000003814697266,1.4499988555908203,4.7849998474121085,1.825000762939453,-0.9199981689453124,3.1499977111816406,2.3300018310546875,0.4600028991699219,-2.859996795654297,7.919998168945312,-30.70000076293945,9.0,3.0,04-07,-0.8574995994567871
01-24,1.0949997901916504,1.255000114440918,1.4499988555908203,4.629999160766602,1.614999771118164,-2.2750015258789062,2.9749984741210938,3.1200027465820312,-0.21999740600585935,-1.69000244140625,10.290000915527344,-24.23999786376953,8.0,4.0,04-08,-0.166249950726827
01-25,1.0949997901916504,1.255000114440918,1.3699989318847656,4.594999313354492,0.654998779296875,-1.3649978637695312,3.555000305175781,3.1200027465820312,-0.7800025939941406,-2.209999084472656,8.110000610351562,-20.020004272460934,8.0,4.0,04-09,-0.051666935284932464
01-26,1.0949997901916504,1.1849994659423828,1.4150009155273438,4.920000076293945,0.6949996948242188,-0.8649978637695312,3.555000305175781,2.220001220703125,-0.4399986267089844,0.7099990844726562,8.220001220703125,-20.020004272460934,9.0,3.0,04-10,0.22416675090789795
01-27,1.0199999809265137,1.2100000381469729,1.3700008392333984,4.7849998474121085,0.8899993896484375,-0.8649978637695312,3.4450035095214844,3.539997100830078,1.8300018310546875,2.389999389648437,8.580001831054688,-20.020004272460934,10.0,2.0,04-11,0.6812501351038615
01-28,0.9200000762939452,1.3199996948242188,1.8800010681152344,4.1499996185302725,0.8899993896484375,-0.7049980163574219,4.174999237060547,1.75,1.979999542236328,2.3999977111816406,8.580001831054688,-19.88999938964844,10.0,2.0,04-12,0.6208333969116211
01-29,1.1750001907348633,1.3499994277954102,2.1199998855590816,5.405000686645508,1.1000003814697266,-0.6699981689453125,3.6449966430664062,0.13000106811523438,1.979999542236328,2.3999977111816406,8.44000244140625,-15.150001525878904,10.0,2.0,04-13,0.9937498569488524
01-30,1.2850003242492676,1.25,2.1400003433227544,5.405000686645508,1.2900009155273438,-1.5900001525878906,4.7350006103515625,-1.9000015258789065,1.979999542236328,2.229999542236328,7.720001220703125,-11.959999084472654,9.0,3.0,04-14,1.0487502018610635
01-31,1.2150001525878906,1.3050003051757812,2.1400003433227544,5.6850013732910165,1.4850006103515625,-0.9050025939941406,4.305000305175781,-1.19000244140625,2.6599998474121094,2.6199989318847656,8.510002136230469,-13.06999969482422,9.0,3.0,04-15,1.2299999396006267
02-01,1.1100001335144043,1.3050003051757812,1.7800006866455078,6.194999694824219,0.4249992370605469,-0.04000091552734375,4.145000457763672,-1.19000244140625,3.680000305175781,3.240001678466797,8.050003051757812,-12.340003967285154,9.0,3.0,04-16,1.3633331855138142
02-02,1.1100001335144043,1.1949996948242188,1.885000228881836,7.0049991607666025,1.2350006103515625,-0.04000091552734375,4.145000457763672,-0.4900016784667969,3.6399993896484375,3.659999847412109,8.1199951171875,-13.459999084472654,9.0,3.0,04-17,1.5004160801569622
02-03,0.9149999618530272,1.3499994277954102,2.010000228881836,5.665000915527344,1.039999008178711,-0.04000091552734375,3.895000457763672,0.6000022888183594,3.020000457763672,5.140003204345703,8.1199951171875,-13.459999084472654,10.0,2.0,04-18,1.5212500890096028
02-04,0.9199995994567872,1.5749998092651367,1.614999771118164,5.184999465942383,1.039999008178711,-0.8800010681152344,3.900001525878906,2.21999740600586,2.6199989318847656,4.8100013732910165,8.1199951171875,-15.829994201660154,10.0,2.0,04-19,1.274583061536153
02-05,0.9650001525878906,1.5999994277954102,1.905000686645508,6.020000457763673,0.9849987030029296,0.15000152587890625,2.799999237060547,6.3999977111816415,3.310001373291016,4.8100013732910165,6.3600006103515625,-14.04999542236328,11.0,1.0,04-20,1.7712504863739014
02-06,0.41499996185302734,1.6750001907348633,1.905000686645508,6.020000457763673,0.8350009918212891,-1.104999542236328,3.470001220703125,6.760002136230469,3.310001373291016,3.8899993896484375,6.2700042724609375,-9.050003051757812,10.0,2.0,04-21,2.0329173405965166
02-07,0.5450000762939453,1.739999771118164,1.905000686645508,5.960000991821289,1.270000457763672,-1.779998779296875,3.959999084472656,6.760002136230469,3.799999237060547,4.760002136230469,6.9199981689453125,-11.099998474121094,10.0,2.0,04-22,2.0616671244303384
02-08,0.9249997138977052,1.739999771118164,1.520000457763672,5.045000076293945,1.135000228881836,-1.825000762939453,3.930000305175781,6.760002136230469,4.8600006103515625,4.229999542236328,5.650001525878906,-14.80999755859375,10.0,2.0,04-23,1.5966671705245972
02-09,0.9249997138977052,1.5999994277954102,1.9499988555908203,4.979999542236328,1.625,-2.2050018310546875,3.930000305175781,6.480003356933594,4.799999237060547,3.579998016357422,6.0,-10.080001831054688,10.0,2.0,04-24,1.9654162327448528
02-10,1.3350000381469729,2.439999580383301,1.920000076293945,4.870000839233398,1.845001220703125,-2.2050018310546875,2.75,5.5,4.8899993896484375,2.430000305175781,6.400001525878906,-10.080001831054688,10.0,2.0,04-25,1.841249942779541
02-11,1.684999942779541,2.3500003814697266,1.760000228881836,4.399999618530273,1.845001220703125,-2.055000305175781,4.0349998474121085,2.7600021362304688,4.849998474121094,2.329998016357422,6.400001525878906,-10.06000518798828,10.0,2.0,04-26,1.69166632493337
02-12,1.6649999618530271,2.3949995040893555,1.5099983215332031,5.125,1.7850017547607422,-1.410003662109375,5.924999237060548,1.9099998474121092,5.450000762939453,2.329998016357422,6.6399993896484375,-13.419998168945312,10.0,2.0,04-27,1.6587495803833008
02-13,1.5349998474121094,1.825000762939453,1.8049983978271484,5.125,2.334999084472656,-1.6200027465820312,5.079998016357422,1.3100013732910156,5.450000762939453,2.040000915527344,6.599998474121094,-14.349998474121096,10.0,2.0,04-28,1.427916367848714
02-14,1.9250001907348635,1.670000076293945,1.8049983978271484,5.190000534057617,2.2250003814697266,-2.049999237060547,4.595001220703125,0.4900016784667969,4.979999542236328,3.389999389648437,6.6100006103515625,-11.540000915527346,10.0,2.0,04-29,1.6075001557668047
02-15,2.0199999809265137,1.670000076293945,2.0049991607666016,6.0900001525878915,3.1200008392333984,-1.6650009155273438,4.635002136230469,0.4900016784667969,4.4399986267089835,1.779998779296875,6.200004577636719,-10.540000915527344,10.0,2.0,04-30,1.6870836814244587
02-16,2.0199999809265137,1.670000076293945,1.6550006866455078,4.454999923706055,3.1949996948242188,-1.6749992370605469,4.635002136230469,0.4900016784667969,3.3300018310546875,1.0900001525878906,7.480003356933594,-12.370002746582033,10.0,2.0,05-01,1.3312506278355916
02-17,2.0199999809265137,1.7250003814697266,1.3500003814697266,4.459999084472656,2.8449993133544917,-1.6749992370605469,4.635002136230469,-1.210002899169922,2.8300018310546875,2.1599998474121094,7.319999694824219,-12.370002746582033,9.0,3.0,05-02,1.174166480700175
02-18,2.4050002098083496,1.3599996566772459,1.3400001525878906,4.700000762939453,2.8449993133544917,-1.6749992370605469,3.0800018310546875,-0.7299995422363281,2.959999084472656,0.7299995422363281,7.319999694824219,-12.370002746582033,9.0,3.0,05-03,0.9970832268397012
02-19,2.139999866485596,1.9099998474121092,1.7649993896484375,4.829999923706055,2.8449993133544917,-1.0999984741210938,3.705001831054688,-0.30999755859375,3.049999237060547,0.7299995422363281,7.319999694824219,-13.409996032714846,9.0,3.0,05-04,1.122917215029399
02-20,2.3299999237060547,1.5650005340576172,1.8999996185302732,4.829999923706055,3.5349998474121094,-1.4750022888183594,3.6949996948242183,-2.6199989318847656,3.049999237060547,0.7299995422363281,7.080001831054688,-14.80999755859375,9.0,3.0,05-05,0.817500114440918
02-21,2.5300002098083496,1.6599998474121094,1.8999996185302732,4.829999923706055,4.260000228881837,-0.8199996948242188,2.6199989318847656,-2.479999542236328,3.049999237060547,0.030002593994140625,7.350006103515625,-15.470001220703125,9.0,3.0,05-06,0.7883338530858358
02-22,2.430000305175781,1.6599998474121094,1.8999996185302732,4.1599998474121085,4.155000686645509,-1.4899978637695312,2.139999389648437,-2.479999542236328,3.2600021362304688,2.279998779296875,6.7599945068359375,-11.6199951171875,9.0,3.0,05-07,1.0962502161661785
