,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.36683350801467896,-0.1252601146697998,0.3936748504638672,0.20578467845916748,-0.0460362434387207,0.11368989944458008,0.1154460906982422,-0.6522946357727051,0.4877338409423828,2.4181108474731445,-0.029702186584472656,-0.9000000953674316,7.0,5.0,03-17,0.1956650366385778
01-03,0.3220977783203125,-0.15210163593292236,0.3936748504638672,0.20578467845916748,-0.11048686504364014,0.11368989944458008,0.1154460906982422,-0.5549371242523193,0.4877338409423828,2.27066421508789,0.4257388114929199,-1.1100001335144043,8.0,4.0,03-18,0.20060870051383967
01-04,0.3131505250930786,-0.15210163593292236,0.3847277164459229,0.22367894649505607,-0.12890148162841794,0.1421118974685669,0.1154460906982422,-0.5549371242523193,0.2048482894897461,2.27066421508789,0.3861346244812012,-1.1100001335144043,8.0,4.0,03-19,0.17456849416097006
01-05,0.3131505250930786,-0.1342073678970337,0.3489388227462769,0.10736608505249023,-0.11048686504364014,0.1421118974685669,0.1154460906982422,-0.5841441154479979,0.2438673973083496,2.0642409324646,0.2871260643005371,-1.6500000953674316,8.0,4.0,03-20,0.09528411428133647
01-06,0.3131505250930786,-0.08947157859802246,0.3399918079376221,0.10736608505249023,0.00920724868774414,0.1421118974685669,0.1154460906982422,-0.4575796127319336,0.4194521903991699,1.9659428596496584,0.3069276809692383,-1.6500000953674316,9.0,3.0,03-21,0.12687875827153525
01-07,0.3578862547874451,-0.10736596584320067,0.3310445547103882,0.10736608505249023,0.00920724868774414,0.1421118974685669,0.1154460906982422,-0.506258487701416,0.22435760498046875,1.9659428596496584,0.3069276809692383,-1.6500000953674316,9.0,3.0,03-22,0.10805547734101613
01-08,0.33999186754226685,0.08947157859802246,0.3220976591110229,0.10736608505249023,0.00920724868774414,0.12316370010375975,0.048102617263793945,-0.4770512580871582,0.2438669204711914,1.9659428596496584,0.31682920455932617,-1.0999999046325684,10.0,2.0,03-23,0.1657490481932958
01-09,0.33999186754226685,0.1252603530883789,0.3399918079376221,0.10736608505249023,-0.06445086002349854,0.11368918418884275,0.14430761337280273,-0.4770512580871582,0.2438669204711914,1.8184976577758791,0.34653139114379883,-1.0700001716613772,9.0,3.0,03-24,0.16400004923343658
01-10,0.2684147357940674,0.10736608505249023,0.3399918079376221,0.10736608505249023,-0.06445086002349854,0.07579326629638672,0.13468694686889648,-0.4770512580871582,0.15607500076293945,1.8184976577758791,0.297027587890625,-1.0399999618530271,9.0,3.0,03-25,0.14364309112230936
01-11,0.25946760177612305,0.10736608505249023,0.3399918079376221,0.09841907024383544,-0.05524349212646485,0.01894831657409668,0.13468694686889648,-0.4770512580871582,0.3609232902526856,1.6907110214233398,0.3762345314025879,-0.9899997711181641,9.0,3.0,03-26,0.1553711791833242
