,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-0.3053569793701172,0.5132780075073242,1.3679656982421875,-0.6165027618408203,0.2156391143798828,0.9877910614013672,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-17,-0.1801499453457919
01-03,0.0,-0.3053569793701172,0.5132780075073242,1.3679656982421875,-0.6165027618408203,0.2156391143798828,0.9877910614013672,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-18,-0.1801499453457919
01-04,0.0,-0.2770833969116211,1.366745948791504,1.0259780883789062,-0.6165027618408203,0.2156391143798828,0.9877910614013672,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-19,-0.1310814077203924
01-05,0.0,-0.2770833969116211,1.366745948791504,1.342632293701172,-0.6165027618408203,0.2156391143798828,0.9877910614013672,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-20,-0.10229466178200462
01-06,0.0,-0.2770833969116211,1.366745948791504,1.342632293701172,-0.6165027618408203,0.6886501312255859,1.7121715545654297,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-21,0.006559111855246804
01-07,0.0,-0.2770833969116211,1.366745948791504,1.342632293701172,-0.6165027618408203,0.6190910339355469,1.7121715545654297,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-22,0.0002355575561523437
01-08,0.0,-0.2770833969116211,1.366745948791504,1.342632293701172,-0.6165027618408203,0.6190910339355469,1.7121715545654297,-2.593813896179199,-1.033893585205078,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-23,0.0002355575561523437
01-09,0.0,-0.2770833969116211,1.366745948791504,1.342632293701172,-0.6165027618408203,0.6190910339355469,1.7121715545654297,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-24,-0.04187193783846768
01-10,0.0,-0.2770833969116211,1.366745948791504,1.342632293701172,-0.6165027618408203,0.6190910339355469,1.7121715545654297,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,5.0,5.0,03-25,-0.04187193783846768
01-11,0.0,-0.05089282989501953,1.366745948791504,2.0709457397460938,-0.6165027618408203,-0.020864486694335938,1.7121715545654297,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,4.0,6.0,03-26,-0.013276620344682171
01-12,0.0,-0.05089282989501953,1.366745948791504,2.1849441528320312,-0.6165027618408203,-0.020864486694335938,1.8950996398925781,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,4.0,6.0,03-27,0.013716697692871094
01-13,0.0,-0.05089282989501953,0.948960304260254,2.1849441528320312,-0.6165027618408203,-0.020864486694335938,-0.5999908447265625,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,3.0,7.0,03-28,-0.2510902231389826
01-14,0.0,-0.05089282989501953,0.901214599609375,2.1849441528320312,-0.6165027618408203,-0.020864486694335938,-0.21950721740722656,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,3.0,7.0,03-29,-0.22084132107821372
01-15,0.0,-0.05089282989501953,0.901214599609375,2.1849441528320312,-0.3314533233642578,-0.020864486694335938,-0.21950721740722656,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,3.0,7.0,03-30,-0.19492773576216266
01-16,0.0,-0.05089282989501953,0.901214599609375,2.1849441528320312,-0.3314533233642578,-0.020864486694335938,-0.21950721740722656,-2.593813896179199,-1.4970760345458984,-0.8154153823852539,0.2986593246459961,3.0,7.0,03-31,-0.19492773576216266
01-17,0.0,-0.05089282989501953,0.901214599609375,2.1849441528320312,0.09281349182128906,-0.020864486694335938,-0.21950721740722656,-2.593813896179199,-1.88581657409668,-0.8154153823852539,0.2986593246459961,4.0,6.0,04-01,-0.1916980743408203
01-18,0.0,-0.05089282989501953,1.0742998123168943,2.444597244262696,0.05966758728027344,-0.020864486694335938,-0.21950721740722656,-2.593813896179199,-1.88581657409668,-0.8154153823852539,-0.4431734085083008,3.0,7.0,04-02,-0.2228108319369229
