,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,33.0,-67.0,-26.0,45.5,-31.0,0.0,9.800000190734863,-0.75,0.7999999523162842,0.039999961853027344,0.4000000953674317,-0.6899999380111694,6.0,6.0,03-17,-2.9916666448116302
01-03,19.0,-70.0,-26.0,45.5,-25.5,2.0,9.25,-0.7999997138977051,0.7999999523162842,0.0,0.4700000286102295,-0.9700000286102296,6.0,6.0,03-18,-3.854166646798451
01-04,5.5,-70.0,-23.5,63.0,-27.0,-1.0,8.799999237060547,-0.7999997138977051,0.7999999523162842,-0.009999990463256836,0.4100000858306885,-1.1099998950958252,5.0,7.0,03-19,-3.742500027020773
01-05,5.5,-65.0,-34.0,57.0,-33.5,-1.5,8.799999237060547,-0.9499998092651368,0.5,-0.019999980926513672,0.3299999237060547,-1.2299998998641968,5.0,7.0,03-20,-5.339166710774103
01-06,8.5,-63.0,-20.5,56.0,-32.5,-1.5,9.049999713897703,-0.8499999046325684,0.6000001430511475,-0.020000100135803226,0.3399999141693115,-1.2299998998641968,5.0,7.0,03-21,-3.7591666777928663
01-07,-17.5,-66.0,-13.5,67.5,-32.5,-4.0,9.050000190734863,-0.6500000953674316,0.5,-0.030000090599060062,0.3399999141693115,-1.3000000715255735,4.0,8.0,03-22,-4.840833346048991
01-08,-16.5,-65.5,-18.5,60.5,-36.5,-2.0,7.75,-0.9000000953674316,0.5999999046325684,-0.030000090599060062,0.2799999713897705,-1.2000001072883606,4.0,8.0,03-23,-6.000000034769378
01-09,-11.5,-71.0,-5.5,60.5,-28.5,-1.0,7.800000190734862,-0.8500003814697266,0.5999999046325684,-0.10000002384185792,0.15999984741210938,-1.350000083446503,4.0,8.0,03-24,-4.228333378831547
01-10,0.0,-73.0,-5.5,54.5,-31.0,-2.0,7.65000057220459,-0.8500003814697266,0.5999999046325684,-0.18000006675720215,0.04999995231628418,-1.380000114440918,4.0,8.0,03-25,-4.259166677792867
01-11,-15.5,-73.0,-5.5,27.0,-33.0,-2.5,5.800000190734862,-0.8500003814697266,0.04999995231628418,-0.20000004768371585,0.07999992370605469,-1.4000000953674316,4.0,8.0,03-26,-8.251666704813639
01-12,-15.5,-74.5,-14.5,33.0,-42.0,-3.5,5.800000190734862,-0.6500000953674316,0.25,-0.2400000095367432,0.10000014305114746,-1.2700001001358032,4.0,8.0,03-27,-9.417499989271164
01-13,-12.0,-172.5,-9.0,27.0,-42.0,-3.5,5.849999904632568,-0.6999998092651367,0.35000014305114746,-0.19999992847442627,0.05000019073486328,-1.2700001001358032,4.0,8.0,03-28,-17.32666663328807
01-14,8.0,-230.0,-8.5,26.0,-42.0,-3.5,7.25,-0.75,0.04999995231628418,-0.19999992847442627,0.05000019073486328,-1.3100000619888306,5.0,7.0,03-29,-20.409166653951008
01-15,4.0,-178.5,-4.0,24.0,-47.0,-3.5,8.0,-0.5,0.14999985694885254,-0.19999992847442627,-0.019999980926513672,-1.3200000524520874,4.0,8.0,03-30,-16.57416667540868
01-16,-5.0,-188.5,25.5,24.0,-41.0,-5.0,7.1499996185302725,-0.5499997138977051,0.14999985694885254,-0.19999992847442627,-0.06999993324279785,-1.3100000619888306,4.0,8.0,03-31,-15.402500013510384
