,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,-6.429999828338622,7.380000114440918,-2.299999237060547,0.5200004577636719,6.979999542236327,6.670001983642577,1.5800018310546875,2.4399986267089844,-4.540000915527344,1.7999954223632812,-2.69000244140625,-48.099998474121094,7.0,5.0,03-17,-3.0575002431869507
01-03,-5.669999599456787,6.689999580383301,-2.299999237060547,0.5200004577636719,6.010000228881836,5.689998626708984,2.9399948120117188,3.1599998474121094,-4.540000915527344,1.6500015258789062,1.69000244140625,-52.43000030517578,8.0,4.0,03-18,-3.0491668780644736
01-04,-5.429999828338623,6.689999580383301,-2.700000762939453,1.8699989318847656,5.350000381469727,5.8600006103515625,1.9499969482421875,3.1599998474121094,-5.459999084472656,1.6199951171875,-1.9499969482421875,-57.02999687194824,7.0,5.0,03-19,-3.839166839917501
01-05,-5.429999828338623,5.579999923706055,-3.1800003051757812,1.5600013732910156,6.1299991607666025,5.30999755859375,1.9499969482421875,3.7099990844726562,-4.1399993896484375,0.7699966430664062,-1.8900070190429688,-66.3199977874756,7.0,5.0,03-20,-4.662501136461893
01-06,-6.0400004386901855,6.260000228881836,-2.3799991607666016,2.4100017547607417,6.829999923706055,5.30999755859375,3.5199966430664062,3.6399993896484375,-3.8800048828125,1.970001220703125,-3.4000015258789062,-66.3199977874756,7.0,5.0,03-21,-4.340000589688619
01-07,-6.87000036239624,4.9800004959106445,-1.980001449584961,3.09000015258789,6.829999923706055,5.979999542236327,4.55999755859375,7.779998779296875,-6.0,1.4300003051757812,-3.4000015258789062,-65.38999748229979,7.0,5.0,03-22,-4.082500338554381
01-08,-8.290000438690187,6.100000381469728,-2.75,2.6299991607666016,6.8799991607666025,4.209999084472656,2.80999755859375,9.299999237060547,-4.330001831054688,1.4300003051757812,-2.549995422363281,-66.02000236511229,7.0,5.0,03-23,-4.2150004307429
01-09,-7.449999809265138,6.420001029968263,-3.0799999237060547,2.6299991607666016,6.6599998474121085,0.5300025939941406,2.270004272460937,8.870002746582031,-4.330001831054688,1.4599990844726562,-2.7600021362304688,-63.44999694824219,7.0,5.0,03-24,-4.3524993260701486
01-10,-7.09999942779541,6.4900007247924805,-3.0799999237060547,3.0799999237060547,6.480001449584961,-0.6300010681152344,1.7099990844726562,8.870002746582031,-6.7100067138671875,-4.6300048828125,-1.7400054931640625,-61.05999755859375,5.0,7.0,03-25,-4.860000928243001
01-11,-6.8899993896484375,6.4900007247924805,-2.5699996948242188,1.9300003051757808,5.9099998474121085,0.6000022888183594,-0.3600006103515625,8.870002746582031,-7.540000915527344,-9.05999755859375,-1.9499969482421875,-53.88999938964844,5.0,7.0,03-26,-4.871665716171265
01-12,-6.8899993896484375,6.910000801086426,-2.4099998474121094,2.019998550415039,5.80000114440918,-0.4699974060058594,-0.3600006103515625,9.630001068115234,-6.069999694824219,-9.919998168945312,-2.420005798339844,-50.290000915527344,4.0,8.0,03-27,-4.5391666889190665
01-13,-6.279999732971191,5.710000038146973,-2.4499988555908203,2.539999008178711,5.80000114440918,-0.4699974060058594,-0.850006103515625,11.68000030517578,-5.9499969482421875,-9.30999755859375,-1.3800048828125,-50.290000915527344,4.0,8.0,03-28,-4.270833492279054
01-14,-4.87000036239624,5.979999542236327,-2.4299983978271484,2.700000762939453,5.80000114440918,-2.6199989318847656,0.9199981689453124,10.009998321533203,-3.0,-9.30999755859375,-1.3800048828125,-51.25,5.0,7.0,03-29,-4.120833516120912
01-15,-6.12000036239624,6.739999771118164,-2.149999618530273,3.659999847412109,5.8300018310546875,-2.6100006103515625,3.919998168945313,12.240001678466795,-3.8899993896484375,-9.30999755859375,-2.6699981689453125,-52.7400016784668,5.0,7.0,03-30,-3.9249996741612754
01-16,-7.449999809265138,6.44999885559082,-1.1800003051757812,3.659999847412109,6.1300010681152335,-4.25,2.44000244140625,13.479999542236328,-3.8899993896484375,-9.30999755859375,-7.760002136230469,-56.70000076293945,5.0,7.0,03-31,-4.8649998505910235
01-17,-7.139999866485598,6.44999885559082,-1.1800003051757812,3.659999847412109,6.249998092651367,-2.4399986267089844,-0.779998779296875,14.639999389648438,-3.8899993896484375,-8.669998168945312,-6.959999084472656,-59.53999710083008,4.0,8.0,04-01,-4.9666662613550825
01-18,-6.759999752044678,6.44999885559082,-1.1800003051757812,4.090000152587892,6.179998397827148,-1.0099983215332031,-0.779998779296875,14.639999389648438,-3.220001220703125,-6.8300018310546875,-4.719993591308594,-54.2400016784668,4.0,8.0,04-02,-3.948333223660788
01-19,-6.759999752044678,6.44999885559082,-1.3899993896484375,2.3500003814697266,4.179998397827148,-0.6800003051757812,-0.779998779296875,14.639999389648438,-3.3799972534179688,-9.730003356933594,-0.5699996948242188,-60.14000129699707,4.0,8.0,04-03,-4.650833566983541
01-20,-6.759999752044678,5.999999046325684,-1.239999771118164,2.1599998474121094,3.4599990844726562,-0.6800003051757812,-0.779998779296875,14.740001678466795,-3.8899993896484375,-7.680000305175781,0.8600006103515625,-60.14000129699707,5.0,7.0,04-04,-4.495833277702332
01-21,-5.62999963760376,6.380000114440918,-1.0,3.0699996948242188,3.4599990844726562,-0.6800003051757812,-5.199996948242188,11.389999389648438,-2.9899978637695312,-6.8800048828125,0.8600006103515625,-60.14000129699707,5.0,7.0,04-05,-4.78000017007192
01-22,-6.1599998474121085,6.140000343322754,-2.3700008392333984,3.0699996948242188,3.4599990844726562,-2.729999542236328,-10.45999526977539,9.129997253417967,-2.69000244140625,-6.8800048828125,0.8600006103515625,-59.91999626159668,5.0,7.0,04-06,-5.71250017484029
01-23,-5.96999979019165,6.589999198913574,-2.8900012969970703,3.0699996948242188,4.299999237060547,-3.549999237060547,-12.979999542236328,9.140003204345703,-2.69000244140625,-7.980003356933594,1.7600021362304688,-61.98999786376953,5.0,7.0,04-07,-6.099166671435039
01-24,-6.639999866485598,6.070000648498535,-2.8900012969970703,2.6100006103515625,3.729999542236328,-1.7800025939941406,-14.050003051757812,8.700000762939451,-3.1200027465820312,1.6399993896484375,0.8800048828125,-57.88000106811523,6.0,6.0,04-08,-5.2275003989537545
01-25,-6.639999866485598,6.070000648498535,-2.8600006103515625,1.020000457763672,4.549999237060547,-1.959999084472656,-13.070003509521484,8.700000762939451,-3.3699951171875,2.549995422363281,0.44000244140625,-53.14999771118164,6.0,6.0,04-09,-4.809999744097391
01-26,-6.639999866485598,6.160000801086426,-4.790000915527344,-0.3000011444091797,4.490001678466797,-0.75,-13.070003509521484,7.9099998474121085,-4.5,1.959999084472656,-0.3499984741210937,-53.14999771118164,4.0,8.0,04-10,-5.252500017484028
01-27,-5.570000171661377,7.399999618530272,-7.1699981689453125,-2.010000228881836,5.030000686645508,-0.75,-11.250003814697266,5.450000762939453,-2.9000015258789062,1.80999755859375,-0.0800018310546875,-53.14999771118164,4.0,8.0,04-11,-5.2658337354660025
