,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-143.99998982747394,15.415611851576912,7.444284890778291,15.462043031199881,-12.407721726007994,10.085319613929672,9.903435814739858,-1.304834022015738,-4.226832774749088,-10.962209608059132,30.146035214103428,-38.736768334363006,6.0,6.0,-10.265135489695073
01-03,-126.50601786683931,18.257855063942106,7.444284890778291,15.462043031199881,-10.257398529731876,13.421350130369305,14.417173760632926,1.538045530767344,-4.226832774749088,-10.878112003114405,29.367656330878223,-50.66397606427169,7.0,5.0,-8.551994041678192
01-04,-118.60465245223688,18.257855063942106,8.060695830440038,16.12485752243614,-10.788329115718604,13.457910777124688,15.509405667189569,1.538045530767344,-5.9804135135773535,-10.506600182265238,27.272726576779753,-26.74055798039071,7.0,5.0,-6.033254689625763
01-05,-118.60465245223688,17.507926472614027,4.945827883658738,13.923794414550017,-8.893127225786111,13.26144921545404,15.509405667189569,2.6713481969277173,-5.962701539165728,-13.179162126685975,27.309317910767994,-47.89814264793806,7.0,5.0,-8.284059685887554
01-06,-144.18606112535056,15.666710836650374,6.08716158341557,13.09211621039474,-7.175050943834242,13.26144921545404,18.689161746053713,6.6808069358718445,-4.756948162956069,-13.757792869742858,26.04422846224975,-47.89814264793806,7.0,5.0,-9.854363396644311
01-07,-105.2631614170797,13.74291078190016,9.374647837201438,13.411166583220973,-7.175050943834242,12.447979105331529,15.729833993284744,9.839572607047645,-4.092947665112058,-13.053092061049668,26.04422846224975,-47.73645745837698,7.0,5.0,-6.394197514601368
01-08,-79.64601664105363,15.184114210386571,10.609535134900774,12.693214470248735,-7.4380195291863025,11.835378304657526,13.8888870200386,10.969122992396299,-4.147951804800371,-13.053092061049668,24.017198004891466,-60.69756874304266,7.0,5.0,-5.482099886801056
01-09,-68.1415820907846,17.754608561222778,11.371126065021198,12.693214470248735,-9.691576130164997,12.132634173419525,15.387946614741368,11.34733015296601,-4.147951804800371,-12.455754365233119,25.075049605567816,-77.23235591001662,7.0,5.0,-5.492275888151023
01-10,-67.30769171987528,16.78642828649479,11.371126065021198,11.608151994966752,-9.694405903983869,13.5811767578125,17.649593036001516,11.34733015296601,-5.099076309066097,-14.090910824862393,13.466699047143884,-102.15286075092258,7.0,5.0,-8.544536680691964
01-11,-62.61681396131648,16.78642828649479,10.894009395517577,10.55308239959613,-9.699387727338127,17.95824742334141,16.133276595075742,11.34733015296601,-6.812785592350358,-22.208973711711522,10.526320347799604,-94.12658305107792,7.0,5.0,-8.43882078691693
01-12,-62.61681396131648,18.46812590541466,8.04066460348655,10.375209150022377,-7.571060070835063,17.159445831297337,16.133276595075742,11.373910370735246,-6.122986650804036,-16.12829177170507,11.693301119991407,-82.91985604613161,7.0,5.0,-6.842922910397411
01-13,-48.59812848102261,14.977069886545484,10.563860805358944,10.566157386399247,-7.571060070835063,17.159445831297337,16.17710965850098,11.972012826086333,-7.009971591870366,-14.319195857848316,10.95471008106504,-82.91985604613161,7.0,5.0,-5.670653797704553
01-14,-39.62264037774505,16.239044979292494,10.680816435664356,10.418390444230528,-7.571060070835063,15.792765330176625,18.683193868824,11.232952210483962,-5.697400695359559,-14.319195857848316,10.95471008106504,-84.01718215435038,7.0,5.0,-4.76880048386678
01-15,-71.87498654756334,14.292322495421304,11.208426776502883,9.052676432655252,-6.369509312641838,16.640432561850062,19.67567237647804,12.566699951970234,-7.9901257781794275,-14.319195857848316,11.342311957099211,-74.84162317955013,7.0,5.0,-6.718074843650506
01-16,-82.41758184176167,10.561004928350473,11.80486896697274,9.052676432655252,-6.237010276584373,17.267434836864602,21.16944484514415,16.65361743516733,-7.9901257781794275,-14.319195857848316,10.896913686898818,-82.50581542210467,7.0,5.0,-8.005314003702091
01-17,-56.84210314975211,10.561004928350473,11.80486896697274,9.052676432655252,-7.214633182124807,15.799325578391302,20.488967915607226,17.599999212449593,-7.9901257781794275,-17.516520448614173,10.130921328113867,-81.06266168503943,7.0,5.0,-6.265689990097459
01-18,-46.078427247660024,10.561004928350473,11.80486896697274,8.873937953153225,-9.786012604030637,14.32913740513981,20.488967915607226,17.599999212449593,-9.460942158866821,-17.418899125381582,10.225478329147569,-80.12939298363627,7.0,5.0,-5.749189950729559
01-19,-46.078427247660024,10.561004928350473,13.314449099186106,8.072968305696028,-9.954093557889344,14.763434492244954,20.488967915607226,17.599999212449593,-8.433729402384646,-23.96794283326957,9.572547225537006,-97.16741851125704,7.0,5.0,-7.602353364449103
01-20,-46.078427247660024,10.386589133733917,14.143291197811616,7.239765175734885,-8.657325503810942,14.763434492244954,20.488967915607226,21.28395268946518,-10.825895791284141,-21.58495858166616,9.771720840232518,-97.16741851125704,7.0,5.0,-7.186358682570669
01-21,-58.490561510980065,17.206450708549987,10.36075490393357,12.06809321311266,-8.657325503810942,14.763434492244954,10.413407480250523,23.08067169169139,-9.785589483431497,-20.26836323712986,9.771720840232518,-97.16741851125704,7.0,5.0,-8.058727076382816
01-22,-59.61539108137197,19.6108208430702,7.549433109222122,12.06809321311266,-8.657325503810942,14.792953471678247,12.25577341376269,18.716184552164744,-9.0660835381224,-20.26836323712986,9.771720840232518,-90.99618137461194,7.0,5.0,-7.819863774316992
01-23,-54.62963623874089,22.94161139349959,6.7445396311069254,12.06809321311266,-8.989797057301924,13.605008007125006,17.01244979203694,23.261031617382148,-9.0660835381224,-20.33898183322249,10.360084099841165,-91.57386006821936,7.0,5.0,-6.550461748458552
01-24,-58.25242725937686,26.00425361776269,6.7445396311069254,11.906920615021294,-9.82294801805842,12.940402361909534,11.849845169188994,23.18442495366099,-11.851448058915903,-17.76898302779481,9.907366460053877,-72.21968151555734,7.0,5.0,-5.614811255916586
01-25,-58.25242725937686,26.00425361776269,4.562485659151047,11.136128549913657,-9.357629063919573,8.756840413600871,13.204186874468428,23.18442495366099,-14.709815698800721,-18.961097907718987,8.570276239005437,-70.86092703281507,7.0,5.0,-6.393608387922343
01-26,-58.25242725937686,28.23278415407716,3.6191535518398648,9.714342632115118,-8.578057334448326,7.728799833205963,13.204186874468428,21.587221573269893,-15.228014623006125,-19.870158781794654,9.102038947903381,-70.86092703281507,7.0,5.0,-6.633421455380103
01-27,-62.135934240913436,27.693411154611546,0.9718619404597147,8.152800279145604,-8.424441224125804,7.728799833205963,13.716321238792153,20.702730661650342,-16.309587915643903,-18.09524633343569,9.324100398920123,-70.86092703281507,7.0,5.0,-7.294675936679036
01-28,-69.52380923547263,33.52047097278073,-1.5956239655754896,7.246538370456174,-8.424441224125804,7.2445165140800345,17.229134055268712,22.852872333272934,-12.466986647149177,-18.122026878690807,9.324100398920123,-73.88836037305356,6.0,6.0,-7.216967973274063
