,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,0.0,-9.651474864993084,-1.06811232311223,8.493868686184799,-8.88030720095441,8.442773277794776,5.336427427540941,7.096772407269786,7.692300638503318,14.637301403031609,-14.262017027435215,6.0,4.0,1.6215938567118442
01-03,0.0,-9.651474864993084,-1.06811232311223,9.540326901035652,-8.245444770770824,9.94475099308147,4.672903651826002,7.096772407269786,6.1511406170976715,5.848791881061988,-20.738133857155848,6.0,4.0,0.32286551230368943
01-04,0.0,-7.3726566745632445,-0.09936397391079144,9.424081188143406,-9.6466069654705,9.444448516202,4.672903651826002,6.047520580723791,4.3936730665363815,4.466857928293724,-9.791334376354019,6.0,4.0,1.049047540129704
01-05,0.0,-2.1711438054146237,1.7871379949987491,6.4544652764523525,-9.229303435507378,9.444448516202,7.476639158288872,4.0598304314021325,3.571425226269879,4.37318053784311,-3.012052562105707,7.0,3.0,2.0686024853117626
01-06,0.0,-5.091388395451647,1.298698648346812,5.955556233723957,-9.229303435507378,10.370369127584931,11.009174412262675,5.756929160604955,2.3508157234848155,7.213581562926485,-3.012052562105707,7.0,3.0,2.420216406897264
01-07,0.0,-3.8709733984846735,0.4547275852065371,5.955556233723957,-8.277829556122905,7.850468855714689,9.722223601959318,4.741374925044588,2.1739109777848307,7.213581562926485,-3.012052562105707,7.0,3.0,2.0864534750588293
01-08,0.0,-6.970512288016804,0.5137376160488629,5.777778625488281,-8.551990854180072,7.578555618781285,16.43519093408974,5.5555504611412845,2.1739109777848307,11.45685888419433,-1.9202380326022797,7.0,3.0,2.9135310857026786
01-09,0.0,-7.779584915947789,0.5137376160488629,8.290153936256878,-8.76338693015378,8.471455850629658,16.70480091011521,5.5555504611412845,0.36231849629747176,7.613469791143925,-3.1111116762514466,7.0,3.0,2.5324912308436613
01-10,0.0,-7.779584915947789,0.5532526328151863,8.93471140906605,-5.4205623594722985,8.592318248977175,16.70480091011521,6.410250532086098,2.8368767943217823,9.83847403705676,-8.281245704274689,7.0,3.0,2.9444810531584977
01-11,0.0,-7.374398905979418,2.62136361906619,9.372316061353072,-4.0854253125226005,7.235619223491459,16.70480091011521,7.2033832810176275,0.9009043066040484,8.985505463620814,-3.1157276747523346,7.0,3.0,3.4953037247285517
01-12,0.0,-6.141525714016693,3.9481300464237936,9.495298065536149,-4.570897924864251,7.235619223491459,16.93363364982082,7.822407696978356,4.545450377297415,7.100591757714818,-6.269110853265832,7.0,3.0,3.6454178477378214
01-13,0.0,-8.021392266326046,4.2887584503726615,9.495298065536149,-4.570897924864251,5.009276208063431,16.321834834347314,7.172989286253205,3.3274966015957927,7.782668684647138,-6.269110853265832,7.0,3.0,3.1397200987599607
01-14,0.0,-6.434971443175619,1.6821302230126485,9.495298065536149,-5.037315399629802,7.155961103385472,15.704384303005021,8.141959699196386,3.3274966015957927,7.782668684647138,-7.492358575128902,7.0,3.0,3.1204775693131164
01-15,0.0,-4.037681173650904,4.128956671266698,7.527806407381879,-4.400751634674152,4.972375496540735,18.949774895852453,9.278346765230056,3.3274966015957927,11.306901430196396,3.2122908376404067,8.0,2.0,4.933228754307215
01-16,0.0,-4.037681173650904,4.128956671266698,8.680854783548096,-3.1657392760919176,6.593408992659677,18.552039762608462,9.278346765230056,3.3274966015957927,7.5555589463975705,3.6161366733333233,8.0,2.0,4.957216249717893
01-17,0.0,-4.037681173650904,4.128956671266698,6.608695706257524,-1.1204471316808544,1.5094414653619204,18.36734627677749,9.278346765230056,2.613233876506814,8.491946269178559,8.108106714865881,8.0,2.0,4.904358676373924
01-18,0.0,-4.037681173650904,5.949009627450367,6.568712277522695,-1.605286489643009,1.5094414653619204,18.36734627677749,11.83673290648299,5.317323273350545,6.4896761593595365,9.59459498644397,8.0,2.0,5.453624482677783
01-19,0.0,-4.266306032657255,5.257190430073202,6.152513476279942,-1.4137592689155989,1.5094414653619204,18.36734627677749,9.433958303239443,4.15944145427235,1.9047675994156248,6.302518454900652,8.0,2.0,4.309737468977071
01-20,0.0,-3.443522778234473,5.50131189535725,8.064520438037663,-1.4137592689155989,1.5094414653619204,17.67442314350114,9.93788875063134,5.9931570603577855,3.588143908713876,6.302518454900652,8.0,2.0,4.883102097246504
01-21,0.0,-0.9549786042911635,5.547111186870001,8.064520438037663,-1.4137592689155989,0.0,16.312058016765505,9.58333374725446,6.791173250163433,3.588143908713876,6.302518454900652,7.0,3.0,4.8927382844998935
01-22,0.0,-2.9689579978862795,5.547111186870001,8.064520438037663,0.7400548186303945,2.3897079609102225,14.685311925975313,10.330578186710511,6.791173250163433,3.588143908713876,8.743173884072421,9.0,1.0,5.264619778381595
01-23,0.0,-4.463307497689913,5.547111186870001,6.319385073095652,1.6744170449371572,2.1937822698687457,12.887827075860464,10.330578186710511,3.735140834950789,7.142857671735974,7.994581889414874,9.0,1.0,4.851124885068568
01-24,0.0,-4.463307497689913,6.838905971250769,9.991535030239689,1.8399247079805496,0.732600028819828,12.679419969781302,9.504132719934235,4.923598784834312,5.687205969247995,11.833547992729507,9.0,1.0,5.4152330615571165
01-25,0.0,-6.489594517364929,4.659633935819136,10.972575324808137,2.2222201618146937,-0.3703700106166909,12.679419969781302,6.512613544338441,5.299144407405111,6.7398165746500505,11.47327386815521,8.0,2.0,4.881703023526405
01-26,0.0,-7.960885902130244,3.505746504324625,13.606556339053734,4.693142705201736,-0.3703700106166909,11.961717275480131,6.0542790013058765,4.9572643859938985,7.153966569635617,11.47327386815521,8.0,2.0,5.0067900669458085
01-27,0.0,-6.098575822484325,1.7175556107922263,14.655873390356104,4.693142705201736,-1.2962906219996235,13.679238598980376,6.680588188096433,4.521743110988451,8.575810132066364,11.47327386815521,8.0,2.0,5.327487196377542
01-28,0.0,-4.827581444195009,0.1888572340756481,14.655873390356104,5.2346584263354075,-2.597409031366773,14.383563880827296,7.261418444080409,2.1390438420732365,8.575810132066364,11.212517926465866,8.0,2.0,5.111522981883504
01-29,0.0,-4.359668776183816,1.0114257381944287,15.060731291342938,1.7479284725815225,-1.8621956566793696,11.21280970137772,7.261418444080409,2.1390438420732365,8.882088543764924,8.07947176296735,8.0,2.0,4.470277578501758
01-30,0.0,-5.509636445175158,1.0114257381944287,15.936256637630134,-3.1221273189325887,-5.461392937439952,10.204077660664934,7.261418444080409,2.4955497324569618,4.9689467207783045,6.747638465534132,7.0,3.0,3.13928697252651
01-31,0.0,-5.509636445175158,1.3111057017765375,15.31745775847016,1.353789302834175,-7.289717260516109,13.913040864219685,7.883819520901344,3.3928582224310846,1.8808759154637988,7.547168962554017,8.0,2.0,3.6182511402690487
02-01,0.0,-11.129477441662324,0.05544520636898802,16.09561903302897,1.8884873865745602,-8.097925291380283,13.913040864219685,5.672278251698683,2.342344323842356,6.787334514853799,6.072872044960919,8.0,2.0,3.0545471720459414
02-02,0.0,-10.204081434053666,0.983297517465378,14.41153237325285,1.8884873865745602,-8.097925291380283,14.13043196575397,4.6610127112467,3.763441595309153,6.363637611557318,9.019608478675686,8.0,2.0,3.3563129922183337
02-03,0.0,-7.75862700182976,2.3051621678137018,15.226013436824768,1.8884873865745602,-3.7664837713275756,12.147503829953875,5.219206722149673,5.197132003909039,6.363637611557318,9.019608478675686,8.0,2.0,4.167421896754663
02-04,0.0,-9.997292841319032,1.8792199158201035,15.226013436824768,4.136693088462017,-3.8314232594049966,16.812226937843338,4.631574530350535,7.029878582511475,6.363637611557318,8.496733166853797,8.0,2.0,4.613387379045392
02-05,0.0,-6.33113119827126,0.1855974469565125,15.54322169558376,5.934455965967763,-4.882812609139368,19.264066851332696,5.0314417626380585,7.029878582511475,4.393938879445667,10.677079598341676,8.0,2.0,5.1677942704879065
02-06,0.0,-6.33113119827126,0.1855974469565125,13.658145906234768,2.9729765431561788,-2.8957548327861833,15.859031600439868,5.0314417626380585,7.732865602735987,2.607363140970252,11.096604720165058,8.0,2.0,4.537921881112658
02-07,0.0,-6.33113119827126,-1.0579094301450822,11.219507571418287,0.4468270961627137,0.5660416741266188,16.95652146871238,3.983229727048213,4.456327879682003,3.793626619292642,12.997347798827336,8.0,2.0,4.275489927895805
02-08,0.0,-4.1059563750839,-1.4021299083071292,11.093118070127726,-0.8093517371033828,0.378071475817325,16.95652146871238,3.99159764883229,7.079647586119533,5.454547556307063,5.040876767090909,7.0,3.0,3.970631141137528
02-09,0.0,-4.626711812014097,-1.3696074010853636,12.167606373971655,-1.7241362524507406,0.378071475817325,19.347823585589524,5.0526267603824015,5.545615998525983,5.589122234974695,7.682124316433425,7.0,3.0,4.367503207285893
02-10,0.0,-2.342527620980748,0.2803735693882304,11.237780368023547,-1.7241362524507406,0.378071475817325,19.068738134579302,5.020925469058606,4.121864197459124,5.01519646705693,7.682124316433425,8.0,2.0,4.4307645567622735
02-11,0.0,-2.8683247731114565,-0.8872476641148387,11.237780368023547,-2.177856318885146,1.3333366030738467,17.832951558617122,6.790121700416957,5.1418434169881015,5.01519646705693,7.28477055417571,7.0,3.0,4.427506537476433
02-12,0.0,1.4414382734738518,-0.9245553325965636,9.201951646381282,-2.8985479077830645,-8.076924840374168,14.516131158780176,6.016596504665039,5.1418434169881015,3.7993921413177234,10.212201390214316,7.0,3.0,3.4935933137333355
02-13,0.0,1.18709383278797,-0.9245553325965636,10.146100276999046,-4.4239656429368095,-8.061421750839862,6.759905930809483,6.016596504665039,6.028363187933787,3.6418853171205807,5.093835288173914,7.0,3.0,2.3148943283742347
02-14,0.0,1.18709383278797,-0.07396574919599859,10.109724484177883,-6.162465902636394,-6.994326809588014,6.32318459326851,8.091293141766155,6.129595486765556,5.8734920832462905,6.878306678072914,7.0,3.0,2.8510847126058976
02-15,0.0,1.0322571118341604,3.559812451524106,12.557431309710982,-5.457910904011157,-7.6045551544644105,6.32318459326851,7.231412612303028,6.017701714140938,2.7190306865605245,4.411763674660127,8.0,2.0,2.7991025541388006
02-16,0.0,5.674999783188111,5.11711990360157,9.07692509148946,-5.16605348661449,-7.6045551544644105,6.32318459326851,9.316766384539656,0.3527333449276805,3.0120453808230603,5.548217526681621,8.0,2.0,2.877398487949161
02-17,0.0,0.05071912407564805,7.434745307800099,7.51174071521988,-5.16605348661449,-7.6045551544644105,2.9197109508376267,9.336105188294775,-0.8880943673421268,3.5928110372100743,5.548217526681621,7.0,3.0,2.0668497128817003
02-18,0.0,5.555558914915578,8.798587079258867,7.51174071521988,-5.16605348661449,-11.045363388933296,-0.7334897763319028,10.83333250549108,-1.6100120446162614,3.5928110372100743,5.548217526681621,6.0,4.0,2.116848098389195
02-19,0.0,6.4704460274641855,8.798587079258867,7.51174071521988,0.7880903279071809,-11.776440095740524,0.4819272401665552,10.647176536664997,-1.6100120446162614,3.5928110372100743,1.9151828670516025,8.0,2.0,2.438137244598777
02-20,0.0,6.900728478444089,8.798587079258867,7.830851707713682,1.1363625706416651,-11.95218938072246,-3.4063226748823423,10.647176536664997,-1.6100120446162614,3.003000207918189,3.6684779351707504,7.0,3.0,2.274241855962833
02-21,0.0,6.900728478444089,8.798587079258867,9.508965504938221,0.0,-14.68812977646698,-4.422600018347099,10.647176536664997,0.1776239552142354,2.9985050047168986,6.26703036218315,7.0,3.0,2.38071701150967
02-22,0.0,6.900728478444089,9.43763920175072,9.282373131380533,-1.7497858926035046,-14.68812977646698,-4.422600018347099,10.647176536664997,0.7092191985804456,3.587447621862007,8.87096562279707,7.0,3.0,2.5977303730965704
02-23,0.0,9.700598227913202,8.512145680303773,6.996849050891575,-3.011518088177792,-14.68812977646698,-4.176894159377717,10.187105549839348,2.4604545707858048,-0.15174130217206194,8.502019575935387,6.0,4.0,2.2118990299522308
