,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,end_day_sum,avg
01-02,0.0,-9.0,-0.1900000125169754,0.0014999997802078724,0.021000001579523087,-0.19999998807907104,-0.060000002384185784,-0.1550000011920929,-0.030000001192092892,-0.08900001645088196,0.20099997520446775,-0.006400004029273987,3.0,8.0,03-17,-0.7922416707733646
01-03,0.0,-8.5,-0.1900000125169754,0.0014999997802078724,0.0029899999499320984,-0.10000002384185792,-0.060000002384185784,-0.21299999952316284,-0.030000001192092892,-0.06999999284744263,0.25,-0.01600000262260437,3.0,8.0,03-18,-0.7437091695998485
01-04,0.0,-8.5,-0.14999999105930328,0.0014999997802078724,0.0029899999499320984,-0.10000002384185792,-0.2500000298023224,-0.21299999952316284,-0.05000001192092896,-0.06999999284744263,0.30000001192092896,-0.0069999992847442636,3.0,8.0,03-19,-0.7529591697190577
01-05,0.0,-6.5,-0.11000001430511476,0.0014999997802078724,0.02499999850988388,-0.10000002384185792,-0.2500000298023224,-0.21299999952316284,0.059899985790252686,-0.06999999284744263,0.23199999332427976,-0.04399999976158142,4.0,7.0,03-20,-0.5807166735564048
01-06,0.0,-4.520000457763672,-0.060000017285346985,0.0014999997802078724,0.02499999850988388,-0.10000002384185792,-0.2500000298023224,-0.21299999952316284,0.05000001192092896,-0.06999999284744263,0.1980000138282776,-0.04399999976158142,4.0,7.0,03-21,-0.415208374732174
01-07,0.0,-5.0,-0.009999990463256836,0.0014999997802078724,0.02499999850988388,0.0,-0.2500000298023224,-0.1550000011920929,0.020000040531158447,-0.06999999284744263,0.1980000138282776,-0.04050000011920929,4.0,7.0,03-22,-0.4400833301478997
01-08,0.0,-8.0,-0.030000001192092892,0.0014999997802078724,0.015999998897314068,0.009999990463256836,-0.2500000298023224,-0.12000000476837157,-0.019999980926513672,-0.06999999284744263,0.1980000138282776,0.007399991154670715,5.0,6.0,03-23,-0.6880916679510847
01-09,0.0,-5.399999618530273,-0.01000000536441803,0.0014999997802078724,0.015999998897314068,0.0,0.07999998331069946,-0.10000000894069673,-0.019999980926513672,-0.06999999284744263,0.18000000715255735,-0.01589998602867126,4.0,7.0,03-24,-0.44486663362476975
01-10,0.0,-5.8999996185302725,-0.01000000536441803,0.0014999997802078724,0.015999998897314068,0.0,0.0,-0.10000000894069673,-0.02499997615814209,-0.009999990463256836,0.13050001859664914,0.008900001645088196,4.0,7.0,03-25,-0.490674965044794
01-11,0.0,-5.8999996185302725,-0.040000006556510925,0.0014999997802078724,0.02299999818205833,0.009999990463256836,0.0,-0.10000000894069673,-0.13999998569488525,-0.009999990463256836,0.17240002751350406,0.013999998569488524,5.0,6.0,03-26,-0.4974249663064256
