,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ups,downs,avg
01-02,-9.741782618682075,4.397168953613687,5.378488692215553,1.6594987717706784,-1.9961392462779528,0.4109617674589348,1.3532733682302964,0.4065056094269542,2.3970085344919347,-6.872589624951184,5.896226291315857,-27.14657577562963,8.0,4.0,-1.988162939751412
01-03,-14.730532766991676,4.32931585341058,5.378488692215553,1.6594987717706784,-4.253930520705563,0.6139164633332388,1.5714304787772044,0.16300290967810735,2.3970085344919347,-6.481482639779331,6.640627881279173,-36.108519755556046,8.0,4.0,-3.2350980081730114
01-04,-11.655011758648815,4.32931585341058,4.780878133913982,0.5558996270479699,-5.629135141205058,1.2253189696603666,0.9345802722284278,0.16300290967810735,1.730621090267176,-7.358635325279032,5.090059114362948,-33.20894941478471,8.0,4.0,-3.2535046391123377
01-05,-11.655011758648815,3.5486160013147034,4.890943592339216,0.2486073035922878,-7.294432274767486,0.34340789350182976,0.9345802722284278,0.16300290967810735,2.3203553436279245,-7.686333558399482,2.3901342577822065,-43.51758800712832,8.0,4.0,-4.609476502073282
01-06,-14.685317483517995,4.163727236494134,4.986878217164661,-3.0927804644246315,-6.4473717645265145,0.34340789350182976,1.2221429055268684,1.1326811774853536,1.7254279336288458,-7.30381151838513,2.7649815491127603,-43.51758800712832,7.0,5.0,-4.892301860422344
01-07,-14.588232601390164,3.8297868598833325,7.544758818880483,0.18844053283556966,-6.4473717645265145,-0.2747250048093087,-0.07178230429617605,1.7699136092313832,1.2810856852268306,-7.220499199631798,2.7649815491127603,-45.628141194791965,6.0,6.0,-4.737648751189631
01-08,-14.754101106675394,3.470253364656897,8.564229514334151,-2.3840198108627932,-6.381580784215183,-1.2405192878162752,-0.7117396899492842,2.8000030517578125,0.9826089589163144,-7.220499199631798,2.7649815491127603,-50.98445876460333,5.0,7.0,-5.424570183748009
01-09,-15.97222291209077,3.7455812527169616,6.140916566691146,-2.3840198108627932,-7.161624045926248,-0.3431722153887561,-0.8583751299193702,4.621513266065478,0.9826089589163144,-6.8322989644563075,3.8167937819853983,-53.312298347024715,5.0,7.0,-5.629716466607807
01-10,-15.109566948266414,3.335700936401228,6.140916566691146,-3.4793749500734306,-6.745243932020947,-1.5120293068373991,-0.21383241066644296,4.621513266065478,1.058196481424615,-7.433488490725293,3.8167937819853983,-61.361145590062186,5.0,7.0,-6.406796716340356
01-11,-14.844649299696831,3.335700936401228,5.753072578929495,-4.190842095023837,-7.385621570940932,-0.5460745787656238,-0.572252360514553,4.621513266065478,1.209371526441216,-7.6802470584454365,3.3820178809899506,-46.66666160570853,5.0,7.0,-5.298722698355698
01-12,-14.844649299696831,3.619589945768488,6.472491989289958,-5.548391034526209,-7.282183857121482,-0.06792985751445138,-0.572252360514553,4.621513266065478,1.2039115716430788,-6.8181807990086565,4.374518085229795,-37.49999443986536,5.0,7.0,-4.361796399187562
01-13,-21.97929681605553,3.991443168928624,5.90909006463311,-5.4333712602904765,-7.282183857121482,-0.06792985751445138,-1.0729655015467532,4.936312249361528,1.1261232880400074,-7.456827522232812,4.227518686078716,-37.49999443986536,5.0,7.0,-5.050173483132075
01-14,-13.522352898597902,3.5688793135723302,6.9364158309204615,-3.7796356133155418,-7.282183857121482,0.4755478751948732,-1.4388544491240811,4.3338680593883465,0.8245922720639771,-7.456827522232812,4.227518686078716,-37.220146191507936,6.0,6.0,-4.194431541223421
01-15,-14.03508496746789,2.3255860695907784,7.775649113973322,-4.180067937181627,-8.257473957343475,0.6101705260195975,-1.0729655015467532,5.5555598214095125,1.0471229956700905,-7.456827522232812,5.9953933353047,-29.5414407647156,6.0,6.0,-3.4361982323766798
01-16,-15.5580623703011,3.3285097561850816,7.480818737919388,-4.180067937181627,-6.800519554863852,0.06821438598855956,-2.0773636179124355,6.4903805741425264,1.0471229956700905,-7.456827522232812,5.538463592529297,-29.74404155562211,6.0,6.0,-3.4886143763065824
01-17,-9.89010528354413,3.3285097561850816,7.480818737919388,-4.180067937181627,-5.286909624264623,-1.6506174122959054,-1.7216695266635098,6.863524940182241,1.0471229956700905,-5.694231772917791,6.422019552656749,-29.28126976949007,5.0,7.0,-2.7135729453120097
01-18,-8.695654427396825,3.3285097561850816,7.480818737919388,-3.2567064741454383,-4.5717968471023,-1.7857092562801191,-1.7216695266635098,6.863524940182241,1.1922492287816349,-4.563032781613455,5.564020949724426,-30.43477561829741,5.0,7.0,-2.550018443225524
01-19,-8.695654427396825,3.3285097561850816,8.205132406060331,-1.6352216045264865,-4.020096649380322,-1.7158545314781912,-1.7216695266635098,6.863524940182241,0.6741584270874931,-5.2959524695856635,4.417364193836882,-32.07546862638597,5.0,7.0,-2.639269009338745
01-20,-8.695654427396825,2.0923518689505585,6.511929168131611,-2.2264594265274944,-3.75939490201325,-1.7158545314781912,-1.7216695266635098,8.76494314543366,1.8615040530092368,-5.542545003040813,4.490107588830514,-32.07546862638597,5.0,7.0,-2.6680175515958724
01-21,-7.459454923062711,4.139899459176137,6.430868088322139,-2.619807395564738,-3.75939490201325,-1.7158545314781912,-1.7921147198436385,7.987220155250862,1.868460372658571,-5.214008221043443,4.490107588830514,-32.07546862638597,5.0,7.0,-2.47662897126281
01-22,-9.848483441055183,5.2556802210790465,4.633206362910144,-2.619807395564738,-3.75939490201325,-0.6858736762208961,-3.0913034499837235,6.4903805741425264,1.7950618786271455,-5.214008221043443,4.490107588830514,-31.344617998646,5.0,7.0,-2.8249210382448218
01-23,-12.472396340290771,3.352355575484612,4.263565031842127,-2.619807395564738,-3.0491585589511985,-0.4098324080282439,-2.7797601621205583,5.675459833388298,1.7950618786271455,-4.124511418190109,4.1825038252131765,-34.77460692518464,5.0,7.0,-3.4134272553145752
01-24,-11.111105339661796,2.377521044561944,4.263565031842127,-3.897767573293072,-3.1442678820703467,-0.06848818456340988,-2.8469723352320617,5.675459833388298,0.9723269674918316,-5.0702073921812385,4.265045047492326,-33.24275442912183,5.0,7.0,-3.485637100945602
01-25,-11.111105339661796,2.377521044561944,3.4883719497514654,-3.755564592494845,1.1384093947145302,1.0211002233831212,-2.9202268413538994,5.675459833388298,0.8955215595166096,-4.676542361945793,3.4246632510030817,-27.510922486266466,7.0,5.0,-2.662776197116979
01-26,-11.111105339661796,2.9538893662222714,3.7371189450592666,-5.49450170086301,2.3423387302327363,1.289881780637549,-2.9202268413538994,3.9168646055409466,0.5939118197486194,-4.3512076503206005,2.6133754543147494,-27.510922486266466,7.0,5.0,-2.8283819430591364
01-27,-11.873639611682115,4.344726911215298,4.722398005840844,-6.4094211795660225,0.18416626739972544,1.289881780637549,-4.202280300505223,5.586590775602104,0.2962960137261285,-4.027888953599866,3.0604409171384686,-27.510922486266466,7.0,5.0,-2.8783043216716315
01-28,-9.021738488191906,6.343545307109985,3.4883719497514654,-5.678856766082858,0.18416626739972544,0.6109925438593083,-4.985753640790961,5.506780487533847,0.36955056704855704,-4.2701877783231454,3.0604409171384686,-27.94759705302138,7.0,5.0,-2.695023807214074
01-29,-6.060610752038273,7.904021732736711,4.743594273699388,-5.061652786300955,0.18416626739972544,0.7432473576616937,-7.071426936558313,4.292527544737408,0.36955056704855704,-4.2701877783231454,2.677883978329484,-27.045654058368978,7.0,5.0,-2.382878382498058
01-30,-9.795477407414287,7.22891232393945,3.818771261304976,-5.061652786300955,-1.2461107317540403,0.6093442775797825,-6.290208211851765,3.6565980996560867,0.36955056704855704,-4.037263194635671,2.8330844360283534,-21.14754068886711,6.0,6.0,-2.421832671272219
01-31,-8.04347593978127,6.433163926051588,3.818771261304976,-5.5807957097156455,-2.31250524520874,1.0094187213717198,-6.138469968789459,3.8858032074465547,0.4434550415856284,-4.195803936711297,3.650186738864528,-21.991697730991195,6.0,6.0,-2.4184958028810506
02-01,-8.396941087055593,6.433163926051588,2.847893759321858,-4.043640332809078,-2.0547941138221617,0.8119072241346971,-7.055432095129047,3.8858032074465547,0.8124051476156133,-3.6632912690855655,3.802281479122074,-19.82127942493828,6.0,6.0,-2.203493631595612
02-02,-8.396941087055593,6.147245680823267,2.2092277128207227,-4.0103485383522335,-0.12368866833212686,0.8119072241346971,-7.055432095129047,5.154636290462434,0.95870287918909,-2.7972001544552265,3.905055225846647,-19.62692693648096,6.0,6.0,-1.9019802055440276
02-03,-9.487457778851976,5.74300196129657,2.8534405439728587,-2.9544059141773946,0.5528264667809123,0.8119072241346971,-7.919362135395522,4.289117992917813,0.4444475527162905,-1.5491852178854049,3.905055225846647,-19.62692693648096,7.0,5.0,-1.911461751260456
02-04,-8.845735213933727,6.326384788599678,2.7759803605886355,-3.642170662734807,0.5528264667809123,-0.06766054846081931,-7.3994233284905135,5.071318138878106,-0.07435114515724531,-1.8648001029701509,3.905055225846647,-19.140305525386374,5.0,7.0,-1.8669067955366383
02-05,-8.855288062160614,6.349207332173099,3.3779461258484225,-4.5776858413614745,-0.12284121358449256,-0.33829628983905163,-7.9023015477065295,5.974844441252201,-0.5227759001449599,-1.8648001029701509,3.5222053856601128,-21.699671116123934,4.0,8.0,-2.221621399079781
02-06,-8.423323042027375,4.542178223785354,3.3779461258484225,-4.5776858413614745,-0.4294577021432749,0.06761479991635523,-7.4154046617164875,7.698347034379923,-0.5227759001449599,-3.651905759192565,2.623457959777167,-19.451168528101874,5.0,7.0,-2.180181440915066
02-07,-10.05405735325169,4.335262824094223,3.3779461258484225,-4.384270116963142,0.6138758492911315,-0.6097571218988301,-8.069163374096956,7.334387088272935,-0.6721373906346051,-3.5937502444721723,2.9230778033916764,-20.179011420734962,5.0,7.0,-2.4147997775961643
02-08,-9.462366627880495,4.335262824094223,1.5296352934147175,-5.501614487306842,1.2883380018521176,-1.151762016651567,-7.991358021894138,7.334387088272935,0.2965156599829343,-3.283816087151069,3.8138826322954,-21.864691396260262,6.0,6.0,-2.55479892810267
02-09,-9.462366627880495,4.335262824094223,-0.19392199388082626,-5.286909624264623,3.075996569533384,-0.6743114091988223,-7.991358021894138,8.832806455863533,-0.3722951297423105,-2.5019522734842674,5.287007714245748,-21.663921252584405,4.0,8.0,-2.2179968974327497
02-10,-9.569885713928269,4.263006835860248,-0.06422754706385905,-5.236268855773505,2.7828250012894507,-0.6743114091988223,-7.991358021894138,8.603000363254319,-0.8948537429121587,-2.2709471531515764,5.215416509883467,-21.663921252584405,4.0,8.0,-2.291793748851604
02-11,-12.646127028204846,4.332132598873302,0.5798978732817579,-7.033244268853467,2.7828250012894507,-1.1463255372118832,-7.6149386503782015,9.047990677252075,-1.851851851851852,-2.431375840130974,5.215416509883467,-21.99341022063891,5.0,7.0,-2.7299175613908395
02-12,-8.860761531110105,4.473303758419566,0.19392815854986276,-7.791371918558791,1.9963696914583904,-1.8132941428066092,-7.49819733550132,9.748433166362858,-2.23048472110911,-2.431375840130974,5.215416509883467,-22.840531633828665,5.0,7.0,-2.6532138198642863
02-13,-4.407136286067879,4.6043122821042815,0.0,-7.791371918558791,2.8313325897737847,-0.7372631106887331,-7.8757235590353325,9.112332200511043,-2.23048472110911,-2.1176506491268383,5.589122234974695,-24.32660198218155,4.0,8.0,-2.279094409950369
02-14,-2.125396519747444,4.259928782220592,0.0,-8.113336794726973,4.713603526637501,1.0673772505346366,-9.090910967481976,9.183674233231613,-1.858736085838348,-2.2798738660778883,5.287007714245748,-22.647787356518073,5.0,7.0,-1.8003708402933842
02-15,-2.234043049672028,4.259928782220592,-0.4533720880891201,-5.818407121239625,6.089554971723413,1.3981360302717298,-9.248552881929331,9.183674233231613,-1.412643395925804,-1.4901927873200058,4.913073628273165,-23.745820598073408,5.0,7.0,-1.5465553563774004
02-16,-2.234043049672028,4.259928782220592,1.1046138564103614,-5.0890596510534865,7.9196226155183105,1.0026712443033738,-9.248552881929331,9.183674233231613,-2.0740720960829,-1.4913699958484474,5.19578007724044,-22.1122139478647,6.0,6.0,-1.1319184011271834
02-17,-2.234043049672028,4.479767909851869,-0.9746563689672276,-4.968151225778267,7.701417664060521,1.0026712443033738,-9.248552881929331,9.040884811814646,-2.1402210905599968,-1.882351146024816,5.19578007724044,-22.1122139478647,5.0,7.0,-1.3449723336271264
02-18,4.338622811506621,4.89561042741567,-0.5817721463115152,-6.461927497200451,7.701417664060521,1.0026712443033738,-7.3593108443712865,8.883648511941962,-2.2844541384546795,-2.2029876642865327,5.19578007724044,-22.1122139478647,6.0,6.0,-0.7487429585017148
02-19,13.264246461868145,5.823861500479207,0.9708713293337444,-5.583750939000063,7.701417664060521,1.3368971173472657,-6.7577321665643275,8.962266661878301,-1.4619868772186173,-2.2029876642865327,5.19578007724044,-20.684039227079566,7.0,5.0,0.547070328171543
02-20,17.479677239399773,5.11000893705858,0.7138199725272482,-5.583750939000063,8.886250716244477,1.1333338419596355,-6.869123749138557,7.765448107156721,-1.4619868772186173,-2.2029876642865327,5.271083007081678,-19.82127942493828,7.0,5.0,0.8683744305705048
02-21,16.056909544767834,3.2561491982786936,0.7138199725272482,-5.583750939000063,9.652733441682113,1.5272276859371987,-6.839451301538834,7.838477926743767,-1.4619868772186173,-1.8110275540543737,5.045181398840612,-18.56913583228211,7.0,5.0,0.8187622220569564
02-22,15.971512787482359,3.2561491982786936,0.7138199725272482,-4.930472197800978,8.554576387452595,1.9192585601739158,-6.762593955790403,7.838477926743767,-2.197803656548124,-1.1764675963158702,5.9309307804263645,-18.10136721447314,7.0,5.0,0.9180017493463692
02-23,15.971512787482359,3.039074425242145,-0.4572154990572578,-4.797981196721577,9.352942074046416,2.113610576235331,-6.762593955790403,7.759307102381808,-3.1548077884474712,-1.888275140817028,5.580691993551838,-17.534031818973826,6.0,6.0,0.7685194632610276
