,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,30.43000030517578,,,,35.91999816894531,43.040000915527344,44.0,,,47.38999938964844,32.259998321533196,48.4900016784668
01-03,,,34.689998626708984,32.97999954223633,35.9900016784668,42.41999816894531,,,60.63999938964844,46.72000122070313,32.65999984741211,48.43000030517578
01-04,,33.86999893188477,34.459999084472656,32.72999954223633,35.68000030517578,,,51.65999984741211,61.06000137329102,47.11000061035156,32.84000015258789,
01-05,30.399999618530273,33.93000030517578,34.56999969482422,31.809999465942386,,,43.33000183105469,51.849998474121094,60.93000030517578,47.290000915527344,,
01-06,29.79999923706055,33.549999237060554,34.61999893188477,31.45000076293945,,42.400001525878906,43.040000915527344,51.7599983215332,60.70000076293945,,,48.5099983215332
01-07,29.29999923706055,33.040000915527344,34.47999954223633,,35.5,42.86999893188477,44.93999862670898,50.81999969482422,,,33.689998626708984,48.18999862670898
01-08,29.239999771118164,32.830001831054695,,,34.990001678466804,42.59000015258789,45.52999877929688,51.11000061035156,,47.63000106811523,33.59000015258789,47.349998474121094
01-09,29.059999465942386,,,31.82999992370605,35.209999084472656,42.4900016784668,45.4000015258789,,59.75,47.29999923706055,34.18000030517578,47.61999893188477
01-10,,,34.59999847412109,32.400001525878906,35.310001373291016,42.83000183105469,,,60.0099983215332,45.81999969482422,34.47999954223633,47.72999954223633
01-11,,32.93000030517578,34.549999237060554,32.27000045776367,35.220001220703125,,,51.4000015258789,60.1500015258789,45.75,35.040000915527344,
01-12,29.309999465942386,33.31999969482422,34.900001525878906,32.580001831054695,,,45.54999923706055,53.47999954223633,61.56999969482422,45.5099983215332,,
01-13,29.020000457763672,33.81999969482422,34.919998168945305,32.47999954223633,,42.25,45.52999877929688,52.790000915527344,61.72000122070313,,,47.72000122070313
01-14,29.1200008392334,33.650001525878906,34.950000762939446,,35.529998779296875,42.63000106811523,45.58000183105469,53.4900016784668,,,35.040000915527344,47.540000915527344
01-15,29.40999984741211,32.990001678466804,,,35.65999984741211,42.310001373291016,46.09000015258789,52.9900016784668,,,35.529998779296875,47.77999877929688
01-16,29.71999931335449,,,,35.709999084472656,42.849998474121094,46.54999923706055,,,46.43999862670898,35.279998779296875,48.09000015258789
01-17,,,,32.02000045776367,36.11999893188477,41.790000915527344,,,62.09000015258789,46.959999084472656,35.779998779296875,48.02000045776367
01-18,,,35.080001831054695,32.009998321533196,36.290000915527344,,,,62.290000915527344,46.25,35.4900016784668,
01-19,,33.049999237060554,34.84999847412109,32.259998321533196,,,,54.33000183105469,62.2400016784668,47.38999938964844,,
01-20,29.670000076293945,32.86999893188477,35.25,31.75,,,46.93999862670898,54.099998474121094,62.84000015258789,,,
01-21,29.979999542236328,32.61999893188477,35.31999969482422,,,42.099998474121094,47.11000061035156,54.09000015258789,,,,48.56000137329102
01-22,29.989999771118164,32.779998779296875,,,36.43999862670898,42.31999969482422,47.43000030517578,54.6500015258789,,47.6500015258789,35.38999938964844,48.56999969482422
01-23,30.25,,,31.71999931335449,36.36000061035156,41.86000061035156,46.70000076293945,,63.11999893188477,47.56999969482422,35.380001068115234,48.959999084472656
01-24,,,35.060001373291016,31.61000061035156,36.41999816894531,42.290000915527344,,,63.29999923706055,47.099998474121094,34.720001220703125,48.790000915527344
01-25,,32.77000045776367,35.009998321533196,31.71999931335449,36.52999877929688,,,54.61000061035156,63.099998474121094,47.459999084472656,34.240001678466804,
01-26,30.29999923706055,32.759998321533196,35.060001373291016,31.670000076293945,,,46.7599983215332,55.1500015258789,62.61999893188477,47.34000015258789,,
01-27,30.739999771118164,33.049999237060554,34.689998626708984,31.440000534057614,,41.93000030517578,46.54999923706055,55.0,62.58000183105469,,,48.77000045776367
01-28,31.11000061035156,33.52000045776367,34.450000762939446,,36.25,41.97000122070313,45.81999969482422,55.72999954223633,,,34.610000610351555,48.88000106811523
01-29,30.96999931335449,33.110000610351555,,,36.15999984741211,41.099998474121094,46.459999084472656,56.40999984741211,,46.95000076293945,34.490001678466804,48.34000015258789
01-30,30.3700008392334,,,31.56999969482422,36.540000915527344,41.15999984741211,45.7400016784668,,62.38000106811523,46.4000015258789,34.889999389648445,49.02999877929688
01-31,,,34.139999389648445,31.70000076293945,36.709999084472656,41.209999084472656,,,62.22999954223633,46.54999923706055,35.43000030517578,48.38999938964844
02-01,,33.34999847412109,34.299999237060554,31.709999084472656,36.790000915527344,,,56.86000061035156,62.4900016784668,46.77999877929688,35.009998321533196,
02-02,30.729999542236328,33.65999984741211,34.380001068115234,31.84000015258789,,,46.33000183105469,56.31000137329102,63.15999984741211,44.599998474121094,,
02-03,31.29999923706055,33.31999969482422,34.470001220703125,31.899999618530273,,39.88000106811523,46.75,56.290000915527344,63.27999877929688,,,48.86999893188477
02-04,30.8799991607666,32.439998626708984,34.419998168945305,,36.54999923706055,40.04999923706055,47.43000030517578,55.34000015258789,,,35.009998321533196,48.65999984741211
02-05,30.71999931335449,32.470001220703125,,,36.86999893188477,39.84000015258789,47.91999816894531,55.84000015258789,,44.22000122070313,34.959999084472656,49.0
