,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,,20.649999618530273,24.95000076293945,23.5,,,35.720001220703125,25.81999969482422,41.0
01-03,,,20.600000381469727,20.299999237060547,20.43000030517578,25.649999618530273,,,32.959999084472656,35.720001220703125,25.51000022888184,39.43999862670898
01-04,,27.60000038146973,20.600000381469727,20.299999237060547,20.450000762939453,,,28.90999984741211,33.59000015258789,35.720001220703125,25.51000022888184,
01-05,,27.60000038146973,19.36000061035156,19.06999969482422,,,23.51000022888184,28.13999938964844,33.59000015258789,37.06999969482422,,
01-06,,27.60000038146973,18.6200008392334,19.06999969482422,,25.649999618530273,23.51000022888184,27.68000030517578,33.290000915527344,,,39.47000122070313
01-07,,27.60000038146973,18.3700008392334,,20.0,25.649999618530273,23.51000022888184,26.899999618530273,,,25.51000022888184,39.47000122070313
01-08,,25.899999618530273,,,19.850000381469727,26.79999923706055,23.20000076293945,26.899999618530273,,37.06999969482422,25.51000022888184,39.349998474121094
01-09,,,,18.40999984741211,19.59000015258789,26.79999923706055,23.420000076293945,,33.290000915527344,37.20000076293945,25.51000022888184,39.349998474121094
01-10,,,18.76000022888184,18.40999984741211,19.799999237060547,26.79999923706055,,,33.290000915527344,37.20000076293945,27.690000534057614,39.349998474121094
01-11,,25.899999618530273,18.6200008392334,18.799999237060547,19.850000381469727,,,26.649999618530273,33.290000915527344,36.400001525878906,28.75,
01-12,,25.899999618530273,18.950000762939453,19.149999618530273,,,22.899999618530273,26.520000457763672,33.290000915527344,36.84000015258789,,
01-13,,25.899999618530273,19.559999465942386,18.649999618530273,,26.649999618530273,23.01000022888184,26.520000457763672,33.290000915527344,,,39.400001525878906
01-14,,25.899999618530273,19.559999465942386,,20.0,26.96999931335449,23.01000022888184,26.10000038146973,,,28.75,38.75
01-15,,25.899999618530273,,,19.5,27.10000038146973,23.01000022888184,24.979999542236328,,,28.75,38.75
01-16,,,,,19.3799991607666,27.10000038146973,22.32999992370605,,,36.4900016784668,28.75,38.08000183105469
01-17,,,,19.100000381469727,19.950000762939453,26.959999084472656,,,33.290000915527344,36.599998474121094,27.540000915527344,38.150001525878906
01-18,,,20.200000762939453,19.399999618530273,19.799999237060547,,,,34.450000762939446,36.599998474121094,27.540000915527344,
01-19,,25.899999618530273,20.200000762939453,20.3700008392334,,,,24.979999542236328,34.450000762939446,36.599998474121094,,
01-20,,25.899999618530273,20.299999237060547,20.90999984741211,,,23.57999992370605,24.979999542236328,34.450000762939446,,,
01-21,,25.899999618530273,21.049999237060547,,,26.959999084472656,23.85000038146973,25.25,,,,38.5
01-22,,25.899999618530273,,,19.799999237060547,27.29999923706055,24.3799991607666,25.25,,38.02999877929688,27.540000915527344,38.5
01-23,,,,20.15999984741211,19.979999542236328,26.70000076293945,24.989999771118164,,34.450000762939446,39.45000076293945,27.81999969482422,37.68999862670898
01-24,,,21.25,20.18000030517578,21.149999618530273,26.70000076293945,,,34.450000762939446,39.45000076293945,28.84000015258789,37.68999862670898
01-25,,25.899999618530273,21.709999084472656,19.899999618530273,21.049999237060547,,,26.5,34.450000762939446,39.02000045776367,28.84000015258789,
01-26,,24.5,22.350000381469727,20.5,,,24.70000076293945,26.059999465942386,34.450000762939446,39.02000045776367,,
01-27,,24.5,21.600000381469727,19.950000762939453,,26.70000076293945,24.5,26.059999465942386,34.450000762939446,,,37.650001525878906
01-28,,24.5,21.600000381469727,,21.0,26.399999618530273,24.5,26.059999465942386,,,28.84000015258789,37.72999954223633
01-29,,24.5,,,21.200000762939453,26.399999618530273,24.1299991607666,26.670000076293945,,39.02000045776367,28.84000015258789,38.2599983215332
01-30,,,,19.399999618530273,21.200000762939453,26.399999618530273,23.899999618530273,,34.450000762939446,39.02000045776367,28.84000015258789,38.2599983215332
01-31,,,21.600000381469727,19.399999618530273,21.700000762939453,26.399999618530273,,,34.650001525878906,39.02000045776367,28.84000015258789,38.2599983215332
02-01,,24.5,21.549999237060547,20.200000762939453,21.649999618530273,,,26.670000076293945,35.15999984741211,39.02000045776367,28.61000061035156,
02-02,,24.5,21.549999237060547,20.0,,,24.95000076293945,26.670000076293945,35.15999984741211,39.02000045776367,,
02-03,,24.149999618530273,21.549999237060547,20.299999237060547,,25.57999992370605,26.309999465942386,25.38999938964844,35.15999984741211,,,38.2599983215332
02-04,,24.149999618530273,22.0,,20.299999237060547,25.57999992370605,26.75,26.04999923706055,,,29.40999984741211,38.27999877929688
02-05,,22.79999923706055,,,20.700000762939453,25.57999992370605,26.479999542236328,25.35000038146973,,39.02000045776367,29.40999984741211,38.27999877929688
02-06,,,,20.299999237060547,20.549999237060547,25.57999992370605,26.0,,34.799999237060554,33.799999237060554,29.40999984741211,38.43000030517578
02-07,,,21.950000762939453,20.799999237060547,20.549999237060547,25.57999992370605,,,34.799999237060554,33.799999237060554,29.40999984741211,38.43000030517578
02-08,,22.75,22.200000762939453,20.399999618530273,20.88999938964844,,,24.190000534057614,34.799999237060554,33.799999237060554,29.40999984741211,
02-09,,22.75,22.40999984741211,20.350000381469727,,,26.0,23.84000015258789,34.40999984741211,33.799999237060554,,
02-10,,22.75,21.950000762939453,19.899999618530273,,25.57999992370605,26.0,23.84000015258789,34.40999984741211,,,38.459999084472656
02-11,,22.75,21.899999618530273,,20.700000762939453,27.09000015258789,26.920000076293945,23.84000015258789,,,29.40999984741211,38.68000030517578
02-12,,22.25,,,21.049999237060547,27.29999923706055,26.920000076293945,24.09000015258789,,33.290000915527344,29.40999984741211,38.68000030517578
02-13,24.75,,,19.899999618530273,21.850000381469727,26.95000076293945,27.79999923706055,,34.549999237060554,33.290000915527344,29.40999984741211,38.86000061035156
02-14,,,21.75,19.899999618530273,21.649999618530273,27.01000022888184,,,34.049999237060554,33.470001220703125,29.40999984741211,38.86000061035156
02-15,,,21.649999618530273,19.899999618530273,21.350000381469727,,,,34.049999237060554,33.470001220703125,30.3799991607666,
02-16,,23.20000076293945,21.649999618530273,19.899999618530273,,,,25.03000068664551,34.049999237060554,35.68000030517578,,
02-17,24.75,23.20000076293945,21.649999618530273,21.049999237060547,,,27.68000030517578,25.03000068664551,34.299999237060554,,,
