,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,3.7925000190734863,,,,9.050000190734863,5.980000019073486,3.9300000667572017,,,4.099999904632568,4.2100000381469735,7.550000190734862
01-03,,,13.0,8.670000076293945,9.06999969482422,6.190000057220459,,,3.369999885559082,4.099999904632568,4.199999809265137,7.889999866485597
01-04,,14.3149995803833,12.925000190734865,8.75,8.859999656677246,,,1.7999999523162842,3.5999999046325684,4.119999885559082,4.190000057220459,
01-05,3.7925000190734863,14.225000381469727,12.72599983215332,8.359999656677246,,,3.9300000667572017,1.8400000333786009,3.5999999046325684,4.119999885559082,,
01-06,3.7925000190734863,14.307499885559082,12.749500274658205,8.449999809265138,,6.139999866485597,4.0399999618530265,1.8400000333786009,3.5799999237060547,,,8.020000457763674
01-07,3.7925000190734863,14.239999771118164,12.005000114440918,,8.779999732971191,6.0999999046325675,4.119999885559082,1.7999999523162842,,,4.230000019073486,8.0
01-08,3.7925000190734863,13.550000190734865,,,8.800000190734863,6.019999980926514,4.25,1.7999999523162842,,4.349999904632568,4.2100000381469735,8.0
01-09,4.760499954223633,,,8.619999885559082,9.100000381469727,5.9099998474121085,4.0300002098083505,,3.5999999046325684,4.239999771118163,4.239999771118163,7.699999809265138
01-10,,,12.149999618530273,8.710000038146973,9.25,6.070000171661378,,,3.619999885559082,4.199999809265137,4.239999771118163,7.75
01-11,,13.850000381469727,12.350000381469727,8.680000305175781,9.260000228881836,,,1.8500000238418581,3.619999885559082,4.179999828338623,4.380000114440918,
01-12,4.539999961853027,13.850000381469727,12.474499702453613,8.979999542236328,,,3.9500000476837163,1.8500000238418581,3.619999885559082,4.179999828338623,,
01-13,4.539999961853027,13.850000381469727,12.350000381469727,8.529999732971191,,6.190000057220459,4.0,1.9099999666213991,3.619999885559082,,,7.75
01-14,4.539999961853027,13.850000381469727,12.487500190734865,,9.369999885559082,6.440000057220459,3.9500000476837163,1.8799999952316284,,,4.380000114440918,7.75
01-15,4.1649999618530265,13.03950023651123,,,9.210000038146973,6.429999828338622,4.0300002098083505,1.7799999713897705,,,4.460000038146973,7.699999809265138
01-16,4.349999904632568,,,,9.050000190734863,6.4000000953674325,4.099999904632568,,,4.179999828338623,4.420000076293945,7.5999999046325675
01-17,,,,8.470000267028809,9.09000015258789,6.389999866485597,,,3.619999885559082,4.400000095367432,4.570000171661377,8.310000419616701
01-18,,,12.449999809265135,8.5,9.18000030517578,,,,3.7300000190734863,4.25,4.449999809265137,
01-19,,13.227499961853027,12.149999618530273,8.90999984741211,,,,1.8200000524520876,3.7000000476837163,4.369999885559082,,
01-20,3.921499967575073,12.550000190734865,12.399999618530273,9.199999809265137,,,4.110000133514403,1.7799999713897705,3.759999990463257,,,
01-21,3.921499967575073,12.050000190734865,12.0625,,,6.25,4.2199997901916495,1.7799999713897705,,,,8.050000190734862
01-22,3.921499967575073,11.845000267028807,,,9.020000457763672,6.539999961853027,4.239999771118163,1.809999942779541,,4.2800002098083505,4.449999809265137,8.010000228881836
01-23,3.921499967575073,,,9.239999771118164,8.979999542236328,6.21999979019165,4.269999980926514,,3.759999990463257,4.190000057220459,4.449999809265137,8.149999618530272
01-24,,,12.074999809265135,9.100000381469727,9.0,6.050000190734862,,,3.759999990463257,4.619999885559082,4.449999809265137,8.100000381469728
01-25,,11.725000381469727,11.960000038146973,9.100000381469727,9.079999923706056,,,1.7799999713897705,3.759999990463257,4.599999904632568,4.510000228881836,
01-26,3.921499967575073,11.75,11.824999809265135,9.489999771118164,,,4.179999828338623,1.7799999713897705,3.759999990463257,4.739999771118164,,
01-27,3.921499967575073,11.899999618530273,11.850000381469727,9.65999984741211,,6.25,4.320000171661377,1.7899999618530271,3.759999990463257,,,8.100000381469728
01-28,3.921499967575073,11.899999618530273,11.350000381469727,,8.989999771118164,6.139999866485597,4.309999942779541,1.7699999809265137,,,4.510000228881836,8.100000381469728
01-29,3.921499967575073,11.863499641418455,,,9.220000267028807,6.079999923706055,4.130000114440918,1.7799999713897705,,4.699999809265137,4.510000228881836,7.75
01-30,3.921499967575073,,,9.369999885559082,9.010000228881836,6.0900001525878915,4.019999980926514,,3.759999990463257,4.610000133514403,4.559999942779541,7.5
01-31,,,11.050000190734863,9.260000228881836,9.0,5.9000000953674325,,,3.759999990463257,4.610000133514403,4.599999904632568,7.3499999046325675
02-01,,12.545000076293945,11.5,9.869999885559082,9.039999961853027,,,1.7899999618530271,4.079999923706056,4.78000020980835,4.46999979019165,
02-02,3.921499967575073,12.399999618530273,11.399999618530273,9.920000076293944,,,3.920000076293945,1.7999999523162842,4.079999923706056,4.78000020980835,,
02-03,3.921499967575073,12.399999618530273,11.350000381469727,10.289999961853027,,5.699999809265138,3.9800000190734863,1.830000042915344,4.199999809265137,,,7.690000057220459
02-04,4.368500232696533,12.0,10.899999618530273,,8.890000343322754,5.800000190734862,3.7999999523162837,1.919999957084656,,,4.579999923706055,7.630000114440918
02-05,4.375,11.000499725341797,,,8.970000267028809,5.929999828338622,3.900000095367432,1.950000047683716,,4.800000190734863,4.599999904632568,7.929999828338622
02-06,4.765500068664551,,,10.199999809265137,9.029999732971193,6.0,3.7899999618530273,,4.25,4.800000190734863,4.449999809265137,7.6500000953674325
02-07,,,10.6274995803833,10.350000381469727,8.970000267028809,6.079999923706055,,,4.25,4.5,4.360000133514403,7.550000190734862
02-08,,11.000499725341797,11.119999885559082,10.420000076293944,8.899999618530273,,,2.0,4.420000076293945,4.4099998474121085,4.300000190734863,
02-09,4.765500068664551,12.298500061035154,11.0,10.06999969482422,,,3.910000085830689,1.9299999475479128,4.420000076293945,4.309999942779541,,
02-10,4.765500068664551,12.449999809265135,10.739999771118164,9.800000190734863,,5.820000171661378,3.829999923706055,1.9600000381469729,4.46999979019165,,,7.130000114440918
02-11,4.6525001525878915,12.72249984741211,11.16100025177002,,8.869999885559082,6.019999980926514,3.7799999713897705,1.8999999761581419,,,4.300000190734863,7.3499999046325675
02-12,4.144000053405762,12.550000190734865,,,8.880000114440918,5.820000171661378,3.9300000667572017,1.8999999761581419,,4.309999942779541,4.300000190734863,7.3499999046325675
02-13,4.5974998474121085,,,10.15999984741211,8.890000343322754,5.739999771118164,3.9700000286102295,,4.4099998474121085,4.309999942779541,4.2899999618530265,7.3499999046325675
02-14,,,11.574999809265135,10.039999961853027,9.06999969482422,5.820000171661378,,,4.4099998474121085,4.5,4.349999904632568,7.3499999046325675
02-15,,,11.31999969482422,10.399999618530273,8.789999961853027,,,,4.349999904632568,4.5,4.349999904632568,
02-16,,12.712499618530273,11.270000457763672,10.760000228881836,,,,1.9099999666213991,4.349999904632568,4.550000190734863,,
02-17,4.5974998474121085,13.145000457763672,11.270000457763672,10.81999969482422,,,3.9300000667572017,1.9099999666213991,4.349999904632568,,,
02-18,4.110000133514403,13.399999618530273,11.173500061035156,,,5.599999904632568,4.010000228881837,1.950000047683716,,,,7.460000038146973
02-19,3.625,13.425000190734865,,,8.609999656677246,5.679999828338622,3.940000057220459,1.950000047683716,,,4.349999904632568,7.460000038146973
02-20,3.625,,,,8.439999580383299,5.630000114440918,3.9800000190734863,,,4.550000190734863,4.349999904632568,7.630000114440918
02-21,,,,10.829999923706056,8.279999732971191,5.9099998474121085,,,4.349999904632568,4.550000190734863,4.300000190734863,7.8499999046325675
