,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,6.575185775756836,,,,7.504288196563721,10.171526908874512,11.435105323791504,,,16.86678123474121,17.409948348999023,18.360000610351562
01-03,,,7.149799823760986,6.432247161865234,7.592910289764404,10.171526908874512,,,14.436820983886719,16.86678123474121,17.209835052490234,18.360000610351562
01-04,,6.718124866485596,6.932532787322998,6.432247161865234,7.810177326202393,,,13.779302597045898,14.436820983886719,16.86678123474121,17.438535690307617,
01-05,6.575185775756836,6.718124866485596,6.932532787322998,6.432247161865234,,,11.435105323791504,13.779302597045898,14.57975959777832,16.86678123474121,,
01-06,6.575185775756836,6.718124866485596,6.932532787322998,6.432247161865234,,10.171526908874512,11.435105323791504,14.293882369995117,14.722698211669922,,,18.360000610351562
01-07,6.575185775756836,6.718124866485596,6.932532787322998,,7.732990264892578,10.171526908874512,11.435105323791504,14.065179824829102,,,17.438535690307617,18.360000610351562
01-08,6.575185775756836,6.718124866485596,,,7.76157808303833,10.171526908874512,11.435105323791504,14.065179824829102,,16.86678123474121,17.32418441772461,18.360000610351562
01-09,6.861063480377197,,,6.432247161865234,7.76157808303833,10.171526908874512,11.435105323791504,,14.722698211669922,16.86678123474121,17.32418441772461,18.360000610351562
01-10,,,6.932532787322998,6.432247161865234,7.76157808303833,10.005717277526855,,,14.722698211669922,16.86678123474121,17.278444290161133,18.360000610351562
01-11,,6.718124866485596,6.932532787322998,6.432247161865234,7.76157808303833,,,14.065179824829102,14.722698211669922,16.752429962158203,17.295597076416016,
01-12,6.861063480377197,6.718124866485596,6.932532787322998,6.432247161865234,,,11.463693618774414,14.065179824829102,14.722698211669922,17.141223907470703,,
01-13,6.7895941734313965,6.718124866485596,6.932532787322998,6.432247161865234,,10.005717277526855,11.463693618774414,14.065179824829102,14.436820983886719,,,18.360000610351562
01-14,6.618067264556885,6.718124866485596,6.932532787322998,,7.76157808303833,9.862778663635254,11.578044891357422,14.065179824829102,,,17.295597076416016,18.360000610351562
01-15,6.618067264556885,6.718124866485596,,,7.76157808303833,10.0,11.720983505249023,14.065179824829102,,,17.295597076416016,18.360000610351562
01-16,6.618067264556885,,,,7.732990264892578,9.80560302734375,11.720983505249023,,,17.141223907470703,17.209835052490234,18.360000610351562
01-17,,,,6.660949230194092,7.76157808303833,9.80560302734375,,,14.436820983886719,17.141223907470703,17.209835052490234,18.360000610351562
01-18,,,6.932532787322998,6.660949230194092,7.76157808303833,,,,14.436820983886719,18.067466735839844,17.209835052490234,
01-19,,6.7895941734313965,6.932532787322998,6.660949230194092,,,,14.065179824829102,14.436820983886719,18.067466735839844,,
01-20,6.618067264556885,6.7895941734313965,6.932532787322998,6.660949230194092,,,11.720983505249023,14.065179824829102,14.436820983886719,,,
01-21,6.618067264556885,6.932532787322998,6.932532787322998,,,9.80560302734375,11.732418060302734,14.065179824829102,,,,18.5
01-22,6.618067264556885,6.932532787322998,,,7.718696594238281,9.80560302734375,11.440823554992676,14.20811939239502,,18.867923736572266,17.209835052490234,18.5
01-23,6.618067264556885,,,6.660949230194092,7.718696594238281,9.80560302734375,11.440823554992676,,14.436820983886719,18.867923736572266,17.238422393798828,18.5
01-24,,,6.932532787322998,6.660949230194092,7.681532382965088,9.80560302734375,,,14.436820983886719,19.725557327270508,17.238422393798828,18.5
01-25,,6.932532787322998,6.932532787322998,6.660949230194092,7.7672953605651855,,,14.150943756103516,14.779873847961426,19.725557327270508,17.238422393798828,
01-26,6.618067264556885,6.932532787322998,7.518581867218018,6.660949230194092,,,11.0062894821167,14.150943756103516,14.779873847961426,19.725557327270508,,
01-27,6.618067264556885,6.932532787322998,7.43281888961792,6.660949230194092,,9.80560302734375,11.0062894821167,14.150943756103516,14.779873847961426,,,18.5
01-28,6.618067264556885,6.932532787322998,7.43281888961792,,7.76157808303833,9.80560302734375,11.0062894821167,14.150943756103516,,,17.238422393798828,18.5
01-29,6.618067264556885,6.932532787322998,,,8.104631423950195,9.80560302734375,11.0062894821167,14.150943756103516,,19.725557327270508,17.238422393798828,18.5
01-30,6.618067264556885,,,6.660949230194092,8.004573822021484,9.948541641235352,11.0062894821167,,14.779873847961426,18.10177230834961,17.238422393798828,18.399999618530273
01-31,,,7.43281888961792,6.660949230194092,8.004573822021484,10.200114250183105,,,15.008576393127441,18.10177230834961,17.238422393798828,18.399999618530273
02-01,,6.932532787322998,7.43281888961792,6.660949230194092,8.004573822021484,,,14.17953109741211,15.008576393127441,18.582046508789062,17.238422393798828,
02-02,6.618067264556885,6.932532787322998,7.715837478637695,6.660949230194092,,,11.0062894821167,14.17953109741211,15.008576393127441,18.582046508789062,,
02-03,6.618067264556885,6.932532787322998,7.43281888961792,6.660949230194092,,10.291595458984375,11.435105323791504,14.17953109741211,15.008576393127441,,,18.399999618530273
02-04,6.289308071136475,6.932532787322998,7.43281888961792,,8.093195915222168,10.291595458984375,11.1492280960083,14.17953109741211,,,17.238422393798828,18.399999618530273
02-05,6.289308071136475,6.932532787322998,,,8.862207412719727,10.291595458984375,11.435105323791504,14.17953109741211,,18.044597625732422,17.238422393798828,18.399999618530273
02-06,6.289308071136475,,,6.660949230194092,8.862207412719727,10.285877227783203,11.435105323791504,,15.008576393127441,18.010292053222656,17.238422393798828,18.399999618530273
02-07,,,7.43281888961792,6.660949230194092,8.862207412719727,10.285877227783203,,,15.008576393127441,18.010292053222656,17.238422393798828,18.399999618530273
02-08,,6.932532787322998,7.43281888961792,6.660949230194092,8.862207412719727,,,14.17953109741211,15.065752029418945,18.010292053222656,17.238422393798828,
02-09,6.289308071136475,6.932532787322998,7.43281888961792,6.660949230194092,,,11.435105323791504,14.17953109741211,15.065752029418945,18.004573822021484,,
02-10,6.289308071136475,6.932532787322998,7.43281888961792,6.660949230194092,,10.285877227783203,11.292166709899902,14.17953109741211,15.077186584472656,,,18.399999618530273
02-11,6.289308071136475,6.932532787322998,7.43281888961792,,8.862207412719727,10.285877227783203,11.177815437316895,14.17953109741211,,,17.238422393798828,18.399999618530273
02-12,6.289308071136475,6.932532787322998,,,8.862207412719727,10.285877227783203,11.177815437316895,14.17953109741211,,17.924528121948242,17.352773666381836,18.399999618530273
02-13,6.289308071136475,,,6.572327136993408,8.862207412719727,10.285877227783203,11.177815437316895,,15.077186584472656,17.924528121948242,17.352773666381836,18.399999618530273
02-14,,,7.43281888961792,6.575185775756836,8.450543403625488,9.86849594116211,,,15.077186584472656,17.724414825439453,17.295597076416016,18.399999618530273
02-15,,,7.43281888961792,6.575185775756836,8.450543403625488,,,,15.077186584472656,17.724414825439453,17.295597076416016,
02-16,,6.932532787322998,7.43281888961792,6.575185775756836,,,,14.17953109741211,14.979988098144531,17.724414825439453,,
02-17,6.289308071136475,6.932532787322998,7.43281888961792,6.575185775756836,,,11.177815437316895,14.293882369995117,14.979988098144531,,,
