,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,60.47055435180664,,,,16.540502548217773,21.078414916992188,27.78995132446289,,,52.433868408203125,67.57874298095703,70.05397033691406
01-03,,,51.480525970458984,65.78067779541016,16.540502548217773,21.078414916992188,,,49.5738410949707,54.34055709838867,67.57874298095703,70.103271484375
01-04,,65.78067779541016,51.480525970458984,65.78067779541016,16.540502548217773,,,35.03535461425781,50.47951889038086,54.34055709838867,67.57874298095703,
01-05,60.47055435180664,65.78067779541016,51.480525970458984,16.206832885742188,,,27.78995132446289,35.03535461425781,50.47951889038086,54.34055709838867,,
01-06,60.47055435180664,65.78067779541016,51.480525970458984,16.206832885742188,,20.973548889160156,27.78995132446289,35.03535461425781,51.00385665893555,,,70.103271484375
01-07,60.47055435180664,65.78067779541016,51.480525970458984,,16.540502548217773,20.973548889160156,27.78995132446289,34.844688415527344,,,67.57874298095703,70.103271484375
01-08,60.47055435180664,65.78067779541016,,,16.540502548217773,20.973548889160156,27.78995132446289,34.844688415527344,,52.433868408203125,67.57874298095703,70.103271484375
01-09,60.47055435180664,,,16.206832885742188,16.540502548217773,20.973548889160156,27.78995132446289,,51.00385665893555,53.38721466064453,67.57874298095703,70.99065399169922
01-10,,,51.480525970458984,16.206832885742188,19.06686019897461,20.973548889160156,,,51.00385665893555,53.38721466064453,67.57874298095703,70.99065399169922
01-11,,65.78067779541016,51.480525970458984,16.206832885742188,19.06686019897461,,,34.844688415527344,51.00385665893555,51.76652908325195,67.57874298095703,
01-12,60.47055435180664,65.78067779541016,51.480525970458984,16.206832885742188,,,29.076963424682617,34.844688415527344,48.7158317565918,51.76652908325195,,
01-13,56.24723815917969,65.78067779541016,51.480525970458984,16.206832885742188,,20.973548889160156,29.076963424682617,34.844688415527344,48.7158317565918,,,70.99065399169922
01-14,56.24723815917969,65.78067779541016,51.480525970458984,,19.06686019897461,20.973548889160156,29.076963424682617,34.94955825805664,,,67.57874298095703,70.99065399169922
01-15,56.24723815917969,65.78067779541016,,,19.06686019897461,20.973548889160156,29.553634643554688,34.94955825805664,,,67.57874298095703,70.99065399169922
01-16,56.24723815917969,,,,19.06686019897461,20.973548889160156,29.553634643554688,,,51.76652908325195,67.57874298095703,70.99065399169922
01-17,,,,16.206832885742188,19.06686019897461,20.973548889160156,,,48.7158317565918,51.76652908325195,67.57874298095703,70.99065399169922
01-18,,,51.480525970458984,16.206832885742188,19.06686019897461,,,,48.7158317565918,51.76652908325195,67.57874298095703,
01-19,,65.78067779541016,51.480525970458984,16.206832885742188,,,,34.844688415527344,48.7158317565918,51.76652908325195,,
01-20,56.24723815917969,65.78067779541016,51.480525970458984,16.206832885742188,,,29.553634643554688,34.844688415527344,48.7158317565918,,,
01-21,56.24723815917969,65.78067779541016,51.480525970458984,,,20.973548889160156,29.553634643554688,34.844688415527344,,,,70.99065399169922
01-22,56.24723815917969,65.78067779541016,,,19.06686019897461,20.973548889160156,29.553634643554688,34.844688415527344,,53.38721466064453,67.57874298095703,70.99065399169922
01-23,56.24723815917969,,,16.206832885742188,23.833576202392578,20.973548889160156,29.553634643554688,,48.7158317565918,53.38721466064453,67.57874298095703,70.99065399169922
01-24,,,51.480525970458984,16.206832885742188,23.833576202392578,20.973548889160156,,,48.7158317565918,55.29389953613281,67.57874298095703,70.3103256225586
01-25,,65.78067779541016,51.480525970458984,16.206832885742188,23.833576202392578,,,34.844688415527344,48.7158317565918,55.29389953613281,67.57874298095703,
01-26,56.24723815917969,65.78067779541016,51.480525970458984,16.206832885742188,,,28.60029411315918,34.844688415527344,48.7158317565918,57.6772575378418,,
01-27,56.24723815917969,65.78067779541016,51.480525970458984,16.206832885742188,,20.973548889160156,28.60029411315918,34.844688415527344,50.47951889038086,,,70.49766540527344
01-28,56.24723815917969,65.78067779541016,51.480525970458984,,23.833576202392578,20.973548889160156,28.60029411315918,34.844688415527344,,,67.57874298095703,70.99065399169922
01-29,56.24723815917969,65.78067779541016,,,23.833576202392578,20.973548889160156,28.60029411315918,34.844688415527344,,55.3415641784668,67.57874298095703,70.99065399169922
01-30,56.24723815917969,,,16.206832885742188,23.833576202392578,20.973548889160156,28.60029411315918,,50.47951889038086,55.3415641784668,67.57874298095703,70.99065399169922
01-31,,,51.480525970458984,16.206832885742188,23.833576202392578,20.973548889160156,,,51.480525970458984,57.6772575378418,67.57874298095703,70.99065399169922
02-01,,65.78067779541016,51.480525970458984,16.206832885742188,23.833576202392578,,,34.844688415527344,51.480525970458984,57.6772575378418,67.57874298095703,
02-02,56.24723815917969,65.78067779541016,51.480525970458984,16.206832885742188,,,28.60029411315918,34.844688415527344,51.480525970458984,56.29490661621094,,
02-03,56.24723815917969,65.78067779541016,51.480525970458984,16.206832885742188,,20.973548889160156,28.60029411315918,34.844688415527344,51.480525970458984,,,70.99065399169922
02-04,56.24723815917969,65.78067779541016,51.480525970458984,,23.833576202392578,20.973548889160156,28.60029411315918,37.18037796020508,,,67.57874298095703,70.99065399169922
02-05,56.24723815917969,65.78067779541016,,,23.833576202392578,20.973548889160156,28.60029411315918,40.040409088134766,,56.304447174072266,67.57874298095703,70.99065399169922
02-06,56.24723815917969,,,16.206832885742188,23.833576202392578,20.973548889160156,28.60029411315918,,51.480525970458984,58.153926849365234,67.57874298095703,70.99065399169922
