,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,1.3535929918289185,1.5948460102081299,1.4156074523925781,,,2.21378493309021,1.3486778736114502,2.7311108112335205
01-03,,0.7438576817512512,0.813101589679718,1.405511498451233,1.5850614309310913,,,1.8285331726074219,2.2607438564300537,1.4093683958053589,2.8407537937164307
01-04,,0.7367047667503357,0.7983713746070862,1.4092199802398682,,,1.1286414861679077,1.795043706893921,2.254035234451294,1.5172629356384277,
01-05,0.33954450488090515,0.7313405871391296,0.7983713746070862,,,1.3905967473983765,1.1286414861679077,1.8553253412246704,2.300994634628296,,
01-06,0.3436518609523773,0.7259762287139893,0.7954249978065491,,1.5312482118606567,1.3705883026123047,1.1286414861679077,1.8553253412246704,,,2.7909162044525146
01-07,0.33817538619041443,0.7241880893707275,,1.4092199802398682,1.5606006383895874,1.3705883026123047,1.1008425951004028,,,1.5307495594024658,2.7909162044525146
01-08,0.3436518609523773,,,1.386968970298767,1.550816297531128,1.410606026649475,1.1008425951004028,,2.2875776290893555,1.544236183166504,2.7610135078430176
01-09,,,0.7954249978065491,1.386968970298767,1.565492868423462,1.410606026649475,,1.8419290781021118,2.2875776290893555,1.544236183166504,2.7610135078430176
01-10,,0.7188237905502319,0.81015545129776,1.4018033742904663,1.6095227003097534,,,1.8218353986740112,2.280869483947754,1.5240060091018677,2.7610135078430176
01-11,0.3436518609523773,0.7188237905502319,0.8337234258651733,1.3906779289245605,,,1.0508044958114624,1.8285331726074219,2.280869483947754,1.5240060091018677,
01-12,0.3340679109096527,0.7259762287139893,0.8572915196418762,,,1.425612211227417,1.073043704032898,1.8754185438156128,2.280869483947754,,
01-13,0.33954450488090515,0.7241880893707275,0.8337234258651733,,1.5997380018234253,1.425612211227417,1.073043704032898,1.915606141090393,,,3.000235080718994
01-14,0.3368062973022461,0.7206118702888489,,1.386968970298767,1.6290913820266724,1.3355735540390015,1.0897228717803955,,,1.5240060091018677,3.000235080718994
01-15,0.33269888162612915,,,1.3795523643493652,1.6095227003097534,1.3255693912506104,1.0341248512268066,,,1.5846964120864868,2.8407537937164307
01-16,,,,1.398094654083252,1.5801695585250854,1.3655864000320435,,,2.3747873306274414,1.6116702556610107,3.000235080718994
01-17,,,0.8661296367645264,1.4277626276016235,1.5997380018234253,,,1.8553253412246704,2.388204336166382,1.6116702556610107,3.040105104446411
