,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,1.3666666746139526,,,,2.9666666984558105,7.833333492279053,14.380000114440918,,,16.780000686645508,10.270000457763672,10.4399995803833
01-03,,,2.0266666412353516,1.8333333730697632,3.0999999046325684,7.766666889190674,,,21.280000686645508,16.799999237060547,10.449999809265137,10.199999809265137
01-04,,1.9666666984558105,2.0266666412353516,1.8333333730697632,3.0999999046325684,,,19.799999237060547,21.31999969482422,16.799999237060547,10.720000267028809,
01-05,1.5800000429153442,1.9666666984558105,2.0333333015441895,1.8333333730697632,,,14.646666526794434,19.799999237060547,21.280000686645508,16.709999084472656,,
01-06,1.7000000476837158,1.9666666984558105,2.0333333015441895,1.8333333730697632,,7.766666889190674,14.600000381469727,19.626667022705078,21.226667404174805,,,10.4399995803833
01-07,1.7000000476837158,1.9666666984558105,2.0333333015441895,,3.0999999046325684,7.666666507720947,13.713333129882812,19.66666603088379,,,10.600000381469727,10.25
01-08,1.7000000476837158,1.7999999523162842,,,3.366666555404663,7.666666507720947,13.84666633605957,19.66666603088379,,17.020000457763672,10.699999809265137,10.260000228881836
01-09,1.7000000476837158,,,1.7666666507720947,3.366666555404663,7.266666889190674,14.0,,20.933332443237305,17.010000228881836,10.699999809265137,10.399999618530273
01-10,,,2.0,1.7666666507720947,3.6666667461395264,7.266666889190674,,,20.713333129882812,17.09000015258789,10.600000381469727,10.470000267028809
01-11,,1.7666666507720947,2.0,1.7666666507720947,4.0,,,19.606666564941406,20.559999465942383,17.239999771118164,10.59000015258789,
01-12,1.7000000476837158,1.7999999523162842,2.0,1.7666666507720947,,,13.699999809265137,17.579999923706055,20.65333366394043,17.489999771118164,,
01-13,1.7000000476837158,1.7999999523162842,2.0,1.7666666507720947,,7.266666889190674,13.666666984558105,16.906665802001953,20.280000686645508,,,10.329999923706055
01-14,1.440000057220459,1.7999999523162842,2.1600000858306885,,4.0,8.033333778381348,13.546667098999023,17.886667251586914,,,10.520000457763672,10.350000381469727
01-15,1.440000057220459,1.7999999523162842,,,3.886666774749756,7.926666736602783,13.693333625793457,17.899999618530273,,,10.270000457763672,10.109999656677246
01-16,1.7999999523162842,,,,3.866666555404663,7.926666736602783,13.486666679382324,,,17.459999084472656,10.149999618530273,10.329999923706055
01-17,,,,1.7999999523162842,3.626666784286499,7.926666736602783,,,20.33333396911621,17.399999618530273,10.300000190734863,10.140000343322754
