,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,83.17796325683594,113.63347625732422,111.72669219970703,,,81.4000015258789,69.3499984741211,79.95999908447266
01-03,,70.87322235107422,67.14305114746094,81.62076568603516,113.51695251464844,,,77.98999786376953,83.80000305175781,69.3499984741211,79.04000091552734
01-04,,71.7613525390625,66.4769515991211,79.62923431396484,,,82.62712097167969,77.98999786376953,87.5,69.3499984741211,
01-05,,70.32923889160156,66.4769515991211,,,108.8453369140625,82.41525268554688,78.58000183105469,88.51000213623047,,
01-06,,70.95093536376953,66.4769515991211,,113.67584991455078,108.8453369140625,80.96398162841797,78.58000183105469,,,78.62000274658203
01-07,,71.29508209228516,,79.62923431396484,113.67584991455078,108.8453369140625,80.96398162841797,,,69.3499984741211,77.12999725341797
01-08,,,,78.97245788574219,115.70974731445312,108.8453369140625,76.75847625732422,,88.4000015258789,69.3499984741211,76.73999786376953
01-09,,,65.71092987060547,79.03601837158203,116.0487289428711,108.8453369140625,,78.58000183105469,87.55000305175781,75.05000305175781,78.6500015258789
01-10,,69.36338806152344,69.21907043457031,79.03601837158203,115.57203674316406,,,78.58000183105469,87.55000305175781,75.05000305175781,78.55999755859375
01-11,,70.7955093383789,69.21907043457031,76.93856048583984,,,76.76000213623047,78.58000183105469,84.52999877929688,75.05000305175781,
01-12,,71.83906555175781,70.54016876220703,,,108.8453369140625,76.76000213623047,77.8499984741211,84.52999877929688,,
01-13,,71.09525299072266,69.5854263305664,,116.41949462890625,108.8453369140625,76.76000213623047,77.8499984741211,,,79.25
01-14,,69.94068145751953,,76.38771057128906,117.64830780029297,108.8453369140625,76.76000213623047,,,75.05000305175781,76.91000366210938
01-15,,,,76.61016845703125,118.6440658569336,108.8453369140625,69.8499984741211,,,75.05000305175781,76.94000244140625
01-16,,,,77.1716079711914,116.61016845703125,108.8453369140625,,,84.52999877929688,77.25,75.5
01-17,,,69.5854263305664,76.43008422851562,118.28389739990234,,,77.8499984741211,91.1500015258789,77.30999755859375,75.31999969482422
01-18,,70.32923889160156,69.5854263305664,76.43008422851562,,,,77.8499984741211,91.1500015258789,77.30999755859375,
01-19,,69.79635620117188,71.09525299072266,,,,70.48999786376953,77.8499984741211,89.80000305175781,,
01-20,57.517879486083984,67.34288024902344,71.70584869384766,,,108.8453369140625,68.05000305175781,77.8499984741211,,,
01-21,55.686100006103516,67.34288024902344,,,117.72245788574219,108.8453369140625,71.0,,,,73.62999725341797
01-22,54.720252990722656,,,76.43008422851562,120.625,108.8453369140625,74.80000305175781,,88.55000305175781,77.30999755859375,73.58000183105469
01-23,,,71.50601959228516,78.70762634277344,119.49152374267578,108.8453369140625,,77.8499984741211,88.55000305175781,77.30999755859375,72.93000030517578
01-24,,69.35228729248047,71.08415222167969,78.50635528564453,115.30720520019531,,,78.19999694824219,88.55000305175781,77.44000244140625,72.0999984741211
01-25,54.40940856933594,69.35228729248047,71.08415222167969,78.50635528564453,,,74.5999984741211,81.45999908447266,88.55000305175781,79.19000244140625,
01-26,54.575931549072266,70.16271209716797,73.90398406982422,,,108.8453369140625,70.25,81.45999908447266,88.55000305175781,,
01-27,54.575931549072266,70.16271209716797,73.90398406982422,,113.41101837158203,108.8453369140625,72.44999694824219,81.45999908447266,,,69.44000244140625
01-28,51.789405822753906,67.22076416015625,,78.82415008544922,116.11228942871094,108.8453369140625,72.0,,,79.19000244140625,71.5
01-29,52.06694793701172,,,80.4237289428711,115.0953369140625,105.2966079711914,70.41000366210938,,94.1500015258789,79.19000244140625,70.41000366210938
01-30,,,73.90398406982422,77.28813934326172,114.51271057128906,105.2966079711914,,81.45999908447266,94.1500015258789,79.19000244140625,70.75
01-31,,68.3642349243164,73.90398406982422,76.10169219970703,111.88558959960938,,,83.73999786376953,97.1500015258789,79.19000244140625,68.94999694824219
02-01,52.81076431274414,71.82796478271484,76.43517303466797,77.43643951416016,,,73.0,83.73999786376953,97.1500015258789,79.0,
02-02,53.621185302734375,71.5615234375,78.57779693603516,,,105.2966079711914,72.75,83.73999786376953,97.1500015258789,,
02-03,52.9661865234375,71.43940734863281,79.71016693115234,,110.48728942871094,104.91525268554688,74.0,83.73999786376953,,,69.1500015258789
02-04,52.30008316040039,70.78440856933594,,74.78813934326172,111.18643951416016,104.91525268554688,71.0,,,79.0,70.8499984741211
02-05,52.78855895996094,,,74.25847625732422,111.18643951416016,104.91525268554688,70.0,,93.30000305175781,81.94999694824219,72.08000183105469
02-06,,,80.12093353271484,74.74576568603516,111.18643951416016,106.10169219970703,,83.73999786376953,93.30000305175781,81.27999877929688,70.37999725341797
02-07,,70.78440856933594,80.12093353271484,75.21186065673828,110.81568145751953,,,83.73999786376953,93.30000305175781,81.27999877929688,68.37000274658203
02-08,52.1779670715332,71.3949966430664,79.36602020263672,76.36652374267578,,,70.0,83.73999786376953,92.69999694824219,78.41000366210938,
02-09,51.9559326171875,71.3949966430664,79.4437255859375,,,106.10169219970703,66.47000122070312,83.73999786376953,92.69999694824219,,
02-10,53.376949310302734,71.37279510498047,77.76737213134766,,110.41313934326172,106.56779479980469,67.5,83.73999786376953,,,68.73999786376953
02-11,55.50847625732422,70.83991241455078,,75.40254211425781,115.02118682861328,107.95550537109375,63.220001220703125,,,78.41000366210938,70.3499984741211
02-12,53.92093276977539,,,75.40254211425781,115.02118682861328,107.95550537109375,68.1500015258789,,92.69999694824219,78.0,70.36000061035156
02-13,,,79.26609802246094,76.69491577148438,115.02118682861328,107.95550537109375,,83.73999786376953,92.69999694824219,78.0,70.0
02-14,,71.27288055419922,79.76567840576172,75.28601837158203,115.02118682861328,,,83.73999786376953,92.69999694824219,76.4800033569336,69.87000274658203
02-15,,71.27288055419922,81.79728698730469,74.78813934326172,,,,83.73999786376953,92.69999694824219,76.4800033569336,
02-16,55.13101577758789,71.48381042480469,80.65381622314453,,,,68.5,83.73999786376953,90.75,,
02-17,56.107967376708984,70.14051055908203,80.65381622314453,,,111.49364471435547,73.19999694824219,83.73999786376953,,,
02-18,55.75271224975586,70.14051055908203,,,116.69491577148438,112.5,70.25,,,,70.62000274658203
02-19,55.17542266845703,,,76.09110260009766,116.53601837158203,112.5,72.5,,,76.4800033569336,70.0
02-20,,,,75.90042114257812,116.53601837158203,112.5,,,90.75,76.4800033569336,73.2300033569336
02-21,,,82.6854248046875,74.55508422851562,116.51483154296875,,,78.0999984741211,90.75,76.4800033569336,71.06999969482422
02-22,55.17542266845703,67.05423736572266,80.65381622314453,74.2690658569336,,,72.0,78.05000305175781,90.75,82.4000015258789,
02-23,54.84237289428711,66.09949493408203,81.58635711669922,,,112.5,71.5,78.05000305175781,90.44999694824219,,
02-24,53.78771209716797,64.62296295166016,82.16364288330078,,116.51483154296875,112.5,69.41999816894531,78.05000305175781,,,68.01000213623047
02-25,53.29923629760742,65.36678314208984,,73.09322357177734,116.51483154296875,112.5,71.20999908447266,,,82.4000015258789,67.1500015258789
02-26,53.79881286621094,,,72.34110260009766,114.88347625732422,112.5,71.19000244140625,,88.9800033569336,82.4000015258789,66.44999694824219
02-27,,,82.26355743408203,73.2203369140625,116.7796630859375,112.5,,78.05000305175781,88.9800033569336,82.4000015258789,64.08000183105469
02-28,,67.17635345458984,82.26355743408203,73.2203369140625,116.7796630859375,,,78.0999984741211,88.9800033569336,82.23999786376953,65.86000061035156
02-29,,,81.875,,,,72.38999938964844,,,,
03-01,54.242881774902344,67.84246063232422,81.875,72.47881317138672,,,72.38999938964844,78.0999984741211,88.9800033569336,82.23999786376953,
03-02,53.79881286621094,67.94237518310547,81.58635711669922,,,112.5,71.01000213623047,78.0999984741211,88.9800033569336,,64.48999786376953
03-03,55.23093032836914,69.10804748535156,,,112.37287902832031,112.5,71.01000213623047,78.0999984741211,,,64.44000244140625
03-04,55.963645935058594,68.1644058227539,,72.27754211425781,114.95762634277344,111.26058959960938,76.19000244140625,,,82.0,66.69999694824219
03-05,55.963645935058594,,80.0210189819336,73.27330780029297,114.95762634277344,111.26058959960938,,,88.9800033569336,82.0999984741211,64.37999725341797
03-06,,,77.31220245361328,72.86016845703125,116.06991577148438,107.95550537109375,,78.0999984741211,88.9800033569336,81.69999694824219,63.90999984741211
03-07,,67.29847717285156,79.38822174072266,73.86652374267578,114.93643951416016,,76.19000244140625,78.0999984741211,88.83000183105469,81.69999694824219,
03-08,56.341102600097656,67.66483306884766,81.7084732055664,73.88771057128906,,,76.19000244140625,78.0999984741211,88.0,81.69999694824219,
03-09,56.341102600097656,68.0866928100586,81.7084732055664,,,107.95550537109375,76.04000091552734,78.0999984741211,88.0,,58.189998626708984
03-10,57.5955924987793,68.0866928100586,,,114.93643951416016,107.95550537109375,74.5,78.0999984741211,,,60.22999954223633
03-11,57.018306732177734,65.12254333496094,,73.72881317138672,109.33262634277344,104.71398162841797,74.12999725341797,,,81.69999694824219,57.79999923706055
03-12,59.0499153137207,,81.7084732055664,73.4216079711914,109.33262634277344,104.71398162841797,,,90.0999984741211,81.0,50.849998474121094
03-13,,,81.7084732055664,73.00847625732422,109.33262634277344,104.71398162841797,,78.0999984741211,89.47000122070312,81.0,52.61000061035156
03-14,,63.52389907836914,82.95186614990234,73.76058959960938,107.45762634277344,,76.0,71.87999725341797,87.4000015258789,81.0,
03-15,59.0499153137207,62.4470329284668,83.21830749511719,73.8559341430664,,,73.73999786376953,71.87999725341797,87.4000015258789,81.0,
03-16,59.14982986450195,62.058475494384766,83.95101928710938,,,104.71398162841797,71.5,74.58000183105469,87.4000015258789,,50.029998779296875
03-17,60.16008377075195,64.22330474853516,,,108.93008422851562,104.71398162841797,72.1500015258789,76.1500015258789,,,52.7400016784668
03-18,60.282203674316406,66.44364166259766,,74.09957885742188,110.60381317138672,104.71398162841797,74.19000244140625,,,81.0,48.709999084472656
03-19,58.2394905090332,,83.2960205078125,73.8453369140625,110.60381317138672,104.71398162841797,,,85.5999984741211,84.05000305175781,48.779998779296875
03-20,,,81.09788513183594,73.8453369140625,110.1059341430664,104.71398162841797,,75.45999908447266,85.5999984741211,84.05000305175781,42.16999816894531
03-21,,66.44364166259766,81.0645751953125,72.73304748535156,109.96822357177734,,74.19000244140625,75.38999938964844,85.5999984741211,84.05000305175781,
03-22,58.06186294555664,66.66567993164062,80.48728942871094,71.66313934326172,,,75.0999984741211,73.8499984741211,85.5999984741211,84.05000305175781,
03-23,58.06186294555664,66.83220672607422,79.58805084228516,,,104.71398162841797,77.5,76.11000061035156,85.5999984741211,,44.15999984741211
03-24,56.91838836669922,66.41033935546875,,,109.96822357177734,104.71398162841797,77.44999694824219,74.77999877929688,,,44.099998474121094
03-25,57.6177978515625,66.78779602050781,,70.65677642822266,109.96822357177734,104.71398162841797,,,,84.05000305175781,44.91999816894531
03-26,57.78432083129883,,79.58805084228516,72.48941040039062,113.41101837158203,105.45550537109375,,,85.5999984741211,84.05000305175781,45.7400016784668
03-27,,,82.72982788085938,72.48941040039062,113.41101837158203,105.45550537109375,,73.48999786376953,85.5999984741211,84.05000305175781,44.060001373291016
03-28,,66.49915313720703,82.72982788085938,73.99364471435547,114.55508422851562,,77.63999938964844,74.12999725341797,85.5999984741211,84.0,
03-29,58.283897399902344,66.110595703125,81.2311019897461,,,,78.0,76.5,85.5999984741211,84.0,
03-30,58.39491653442383,66.94322204589844,81.2311019897461,,,106.3559341430664,80.16000366210938,78.05000305175781,,,44.5
03-31,58.83898162841797,66.52135467529297,,,115.64618682861328,106.3559341430664,80.26000213623047,78.0999984741211,,,43.709999084472656
04-01,60.89279556274414,68.04228973388672,,73.99364471435547,115.2012710571289,106.3559341430664,80.26000213623047,,,84.0,42.150001525878906
04-02,,,85.48304748535156,73.00847625732422,116.3453369140625,106.3559341430664,,,85.5999984741211,84.0,42.130001068115234
04-03,,,83.59576416015625,73.09322357177734,116.3453369140625,,,78.0999984741211,85.5999984741211,84.0,41.22999954223633
04-04,,69.01923370361328,81.59745788574219,73.09322357177734,114.40677642822266,,78.81999969482422,75.61000061035156,82.9000015258789,84.5,
04-05,60.93720245361328,69.66313934326172,81.59745788574219,74.31143951416016,,,76.0,77.0,86.05000305175781,86.11000061035156,
04-06,61.059322357177734,70.77330780029297,,,,106.3559341430664,74.73999786376953,74.52999877929688,86.05000305175781,,44.599998474121094
04-07,61.02601623535156,69.9850845336914,,,113.2203369140625,108.8453369140625,74.73999786376953,76.0999984741211,,,44.470001220703125
04-08,59.64940643310547,70.22932434082031,,73.69703674316406,113.2203369140625,108.8453369140625,74.73999786376953,,,86.11000061035156,46.650001525878906
04-09,59.64940643310547,,81.59745788574219,74.45974731445312,115.57203674316406,108.8453369140625,,,91.0,88.55999755859375,49.400001525878906
