,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,7.099999904632568,,,,1.600000023841858,5.400000095367432,4.699999809265137,,,3.369999885559082,2.8399999141693115,2.5199999809265137
01-03,,,3.4000000953674316,3.9000000953674316,1.600000023841858,5.400000095367432,,,2.7100000381469727,3.0999999046325684,2.75,2.5299999713897705
01-04,,7.599999904632568,3.5,3.9000000953674316,1.7999999523162842,,,2.809999942779541,2.75,3.0,3.0399999618530273,
01-05,6.800000190734863,7.599999904632568,3.5,3.9000000953674316,,,4.5,2.8399999141693115,2.740000009536743,3.0999999046325684,,
01-06,6.5,7.599999904632568,3.9000000953674316,2.0,,5.400000095367432,4.699999809265137,2.8399999141693115,2.759999990463257,,,2.549999952316284
01-07,6.800000190734863,7.0,3.9000000953674316,,2.5,5.400000095367432,4.900000095367432,2.799999952316284,,,3.049999952316284,2.680000066757202
01-08,6.5,4.5,,,2.5,5.800000190734863,5.099999904632568,2.7899999618530273,,3.1700000762939453,3.049999952316284,2.799999952316284
01-09,6.0,,,2.0,2.5,5.699999809265137,5.0,,2.609999895095825,3.2100000381469727,3.200000047683716,2.7300000190734863
01-10,,,3.9000000953674316,2.5,2.5,5.699999809265137,,,2.569999933242798,5.300000190734863,3.1700000762939453,2.690000057220459
01-11,,4.5,3.799999952316284,2.5,2.799999952316284,,,2.7100000381469727,2.7300000190734863,3.9000000953674316,3.299999952316284,
01-12,6.300000190734863,7.0,3.5999999046325684,2.5,,,5.099999904632568,2.7699999809265137,2.6700000762939453,3.740000009536743,,
01-13,6.300000190734863,6.900000095367432,4.199999809265137,2.5,,5.699999809265137,5.0,2.7699999809265137,2.75,,,2.7200000286102295
01-14,5.900000095367432,5.0,4.199999809265137,,2.799999952316284,5.400000095367432,5.0,2.7699999809265137,,,3.2200000286102295,2.75
01-15,5.900000095367432,5.0,,,2.799999952316284,5.5,5.099999904632568,2.680000066757202,,,3.25,2.7699999809265137
01-16,5.900000095367432,,,,2.299999952316284,5.5,5.0,,,3.4800000190734863,3.25,2.819999933242798
01-17,,,,1.5,2.799999952316284,5.5,,,2.740000009536743,3.509999990463257,3.2699999809265137,2.7699999809265137
01-18,,,4.199999809265137,2.700000047683716,2.799999952316284,,,,2.7799999713897705,3.4700000286102295,3.25,
01-19,,5.0,4.199999809265137,2.700000047683716,,,,2.75,2.740000009536743,3.9800000190734863,,
01-20,5.900000095367432,6.0,4.199999809265137,2.5,,,4.900000095367432,2.759999990463257,2.7100000381469727,,,
01-21,5.599999904632568,6.0,4.0,,,5.199999809265137,4.900000095367432,2.740000009536743,,,,2.7899999618530273
01-22,5.5,4.0,,,2.799999952316284,5.300000190734863,5.0,2.8499999046325684,,3.6700000762939453,3.0799999237060547,2.799999952316284
