,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,,32.00885009765625,24.43231964111328,21.712514877319336,,,40.77687072753906,34.74501419067383,28.897798538208008
01-03,,,36.83964920043945,41.71977615356445,32.291778564453125,24.578718185424805,,,26.64372444152832,40.77687072753906,34.74501419067383,28.897798538208008
01-04,,22.74610710144043,38.212974548339844,42.952152252197266,32.90977096557617,,,18.641584396362305,27.122251510620117,40.77687072753906,36.931766510009766,
01-05,,23.048036575317383,39.139976501464844,42.62593460083008,,,21.191226959228516,19.208724975585938,27.540966033935547,40.77687072753906,,
01-06,,23.383527755737305,39.79231643676758,42.082237243652344,,24.470842361450195,21.451868057250977,19.27448081970215,27.540966033935547,,,28.897798538208008
01-07,,23.24934196472168,37.7323112487793,,33.57988357543945,24.725107192993164,21.238611221313477,18.79775619506836,,,36.931766510009766,28.88832664489746
01-08,,24.014249801635742,,,32.31412124633789,24.309038162231445,21.009559631347656,18.855289459228516,,40.77687072753906,35.35694885253906,28.88832664489746
01-09,,,,42.509944915771484,31.048358917236328,23.700355529785156,21.14383316040039,,27.540966033935547,46.753395080566406,35.35694885253906,28.88832664489746
01-10,,,34.74531555175781,44.83697509765625,31.085590362548828,24.578718185424805,,,27.540966033935547,46.753395080566406,35.35694885253906,29.750240325927734
01-11,,25.530654907226562,33.577980041503906,43.71333312988281,31.271724700927734,,,18.53473472595215,27.822956085205078,48.1272087097168,35.35694885253906,
01-12,,25.866140365600586,34.264644622802734,43.278377532958984,,,20.84369659423828,19.61969566345215,27.822956085205078,48.1272087097168,,
01-13,,26.503572463989258,34.32645034790039,43.387115478515625,,24.201175689697266,21.767803192138672,19.356672286987305,27.822956085205078,,,29.750240325927734
01-14,,27.073898315429688,34.19597625732422,,32.31412124633789,24.270519256591797,21.522953033447266,19.36488914489746,,,35.35694885253906,29.750240325927734
01-15,,27.107450485229492,,,32.649173736572266,24.039369583129883,21.625633239746094,18.690902709960938,,,35.35694885253906,29.750240325927734
01-16,,,,,32.649173736572266,23.977731704711914,21.554550170898438,,,48.1272087097168,35.35694885253906,29.750240325927734
01-17,,,,44.40201187133789,31.50254249572754,24.640356063842773,,,27.822956085205078,48.1272087097168,35.35694885253906,29.750240325927734
