,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,,0.009999999776482582,0.003000000026077032,0.05999999865889549,,,0.009999999776482582,0.009999999776482582,0.014700000174343586
01-03,,,,0.012000000104308128,0.009999999776482582,0.003000000026077032,,,0.03840000182390213,0.009999999776482582,0.009999999776482582,0.014700000174343586
01-04,,2.200000047683716,,0.012000000104308128,0.009999999776482582,,,0.031599998474121094,0.03840000182390213,0.09000000357627869,0.009999999776482582,
01-05,,2.700000047683716,1.149999976158142,0.014999999664723873,,,0.05999999865889549,0.031599998474121094,0.03840000182390213,0.09000000357627869,,
01-06,,2.7100000381469727,,0.014999999664723873,,0.003000000026077032,0.05999999865889549,0.031599998474121094,0.03840000182390213,,,0.014700000174343586
01-07,,2.5,0.07000000029802322,,0.009999999776482582,0.003000000026077032,0.05999999865889549,0.031599998474121094,,,0.009999999776482582,0.012000000104308128
01-08,,2.5999999046325684,,,0.009999999776482582,0.003000000026077032,0.05999999865889549,0.031599998474121094,,0.09000000357627869,0.009999999776482582,0.012000000104308128
01-09,,,,0.014999999664723873,0.009999999776482582,0.003000000026077032,0.05999999865889549,,0.03840000182390213,0.09000000357627869,0.014000000432133675,0.012000000104308128
01-10,,,,0.014999999664723873,0.009999999776482582,0.014999999664723873,,,0.03840000182390213,0.09000000357627869,0.014000000432133675,0.012000000104308128
01-11,,2.7899999618530273,,0.014999999664723873,0.009999999776482582,,,0.031599998474121094,0.03840000182390213,0.09000000357627869,0.014000000432133675,
01-12,,3.799999952316284,,0.014999999664723873,,,0.05999999865889549,0.031599998474121094,0.03840000182390213,0.09000000357627869,,
01-13,,3.5999999046325684,,0.014999999664723873,,0.014999999664723873,0.05999999865889549,0.031599998474121094,0.03840000182390213,,,0.012000000104308128
01-14,,4.0,0.5,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.031599998474121094,,,0.014000000432133675,0.012000000104308128
01-15,,3.5,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.031599998474121094,,,0.014000000432133675,0.012000000104308128
01-16,300.0,,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,,,0.09000000357627869,0.014000000432133675,0.012000000104308128
01-17,,,,0.014999999664723873,0.009999999776482582,0.029999999329447746,,,0.03840000182390213,0.09000000357627869,0.014000000432133675,0.012000000104308128
01-18,,,0.49000000953674316,0.014999999664723873,0.009999999776482582,,,,0.03840000182390213,0.009999999776482582,0.014000000432133675,
01-19,,3.0999999046325684,0.550000011920929,0.014999999664723873,,,,0.031599998474121094,0.03840000182390213,0.009999999776482582,,
01-20,,3.5,0.3499999940395355,0.014999999664723873,,,0.05999999865889549,0.031599998474121094,0.03840000182390213,,,
01-21,,3.75,0.550000011920929,,,0.029999999329447746,0.05999999865889549,0.031599998474121094,,,,0.012000000104308128
01-22,,3.7799999713897705,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.031599998474121094,,0.009999999776482582,0.014000000432133675,0.015599999576807022
01-23,,,,0.017500000074505806,0.009999999776482582,0.029999999329447746,0.05999999865889549,,0.03840000182390213,0.009999999776482582,0.014000000432133675,0.015599999576807022
01-24,,,0.550000011920929,0.017500000074505806,0.009999999776482582,0.029999999329447746,,,0.03840000182390213,0.009999999776482582,0.014000000432133675,0.012000000104308128
01-25,,3.0,,0.017500000074505806,0.009999999776482582,,,0.031599998474121094,0.03840000182390213,0.009999999776482582,0.014000000432133675,
01-26,,3.5,0.550000011920929,0.017500000074505806,,,0.05999999865889549,0.031599998474121094,0.03840000182390213,0.009999999776482582,,
01-27,,3.200000047683716,0.5,0.017500000074505806,,0.029999999329447746,0.05999999865889549,0.031599998474121094,0.03840000182390213,,,0.020999999716877937
01-28,,3.200000047683716,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.031599998474121094,,,0.009999999776482582,0.020999999716877937
01-29,,3.0,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.031599998474121094,,0.009999999776482582,0.009999999776482582,0.020999999716877937
01-30,,,,0.017500000074505806,0.009999999776482582,0.05900000035762787,0.05999999865889549,,0.03840000182390213,0.009999999776482582,0.009999999776482582,0.020999999716877937
01-31,,,0.30000001192092896,0.017500000074505806,0.009999999776482582,0.029999999329447746,,,0.03840000182390213,0.009999999776482582,0.009999999776482582,0.020999999716877937
02-01,,3.0,0.30000001192092896,0.017500000074505806,0.009999999776482582,,,0.03500000014901161,0.03840000182390213,0.009999999776482582,0.009999999776482582,
02-02,,3.0,0.38999998569488525,0.012500000186264515,,,0.05999999865889549,0.03500000014901161,0.03840000182390213,0.009999999776482582,,
02-03,,3.299999952316284,0.30000001192092896,0.02500000037252903,,0.029999999329447746,0.05999999865889549,0.03500000014901161,0.03840000182390213,,,0.020999999716877937
02-04,,2.809999942779541,0.3700000047683716,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.03500000014901161,,,0.009999999776482582,0.020999999716877937
02-05,,2.9000000953674316,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.03500000014901161,,0.009999999776482582,0.009999999776482582,0.020999999716877937
02-06,,,,0.02500000037252903,0.009999999776482582,0.04899999871850014,0.05999999865889549,,0.03840000182390213,0.009999999776482582,0.009999999776482582,0.020999999716877937
02-07,,,0.20000000298023224,0.02500000037252903,0.009999999776482582,0.03999999910593033,,,0.03840000182390213,0.009999999776482582,0.006000000052154064,0.020999999716877937
02-08,,2.859999895095825,,0.02500000037252903,0.009999999776482582,,,0.03500000014901161,0.020099999383091927,0.009999999776482582,0.006000000052154064,
02-09,,2.9000000953674316,0.20000000298023224,0.02500000037252903,,,0.05999999865889549,0.03500000014901161,0.020099999383091927,0.009999999776482582,,
02-10,,2.950000047683716,0.20000000298023224,0.02500000037252903,,0.02199999988079071,0.05999999865889549,0.03500000014901161,0.020099999383091927,,,0.020999999716877937
02-11,,3.0,0.20000000298023224,,0.009999999776482582,0.02199999988079071,0.05999999865889549,0.03500000014901161,,,0.006000000052154064,0.020999999716877937
02-12,,2.9000000953674316,,,0.009999999776482582,0.02199999988079071,0.05999999865889549,0.03500000014901161,,0.009999999776482582,0.006000000052154064,0.020999999716877937
02-13,,,,0.02500000037252903,0.009999999776482582,0.02199999988079071,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.006000000052154064,0.020999999716877937
02-14,,,,0.02500000037252903,0.009999999776482582,0.02199999988079071,,,0.009999999776482582,0.009999999776482582,0.05999999865889549,0.020999999716877937
02-15,,,0.20000000298023224,0.0024999999441206455,0.009999999776482582,,,,0.009999999776482582,0.009999999776482582,0.05000000074505806,
02-16,,2.799999952316284,0.5199999809265137,0.0024999999441206455,,,,0.03500000014901161,0.009999999776482582,0.009999999776482582,,
02-17,,3.299999952316284,,0.0024999999441206455,,,0.05999999865889549,0.03500000014901161,0.009999999776482582,,,
02-18,,3.200000047683716,0.20000000298023224,,,0.02199999988079071,0.05999999865889549,0.03500000014901161,,,,0.020999999716877937
02-19,,3.0999999046325684,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,0.03500000014901161,,,0.05999999865889549,0.019999999552965164
02-20,6000.0,,,,0.009999999776482582,0.029999999329447746,0.05999999865889549,,,0.009999999776482582,0.05999999865889549,0.019999999552965164
02-21,,,,0.0024999999441206455,0.009999999776482582,0.03500000014901161,,,0.009999999776482582,0.009999999776482582,0.05999999865889549,0.019999999552965164
02-22,,2.799999952316284,0.20000000298023224,0.02500000037252903,0.009999999776482582,,,0.03500000014901161,0.009999999776482582,0.009999999776482582,0.05999999865889549,
02-23,,2.9000000953674316,0.20600000023841858,0.07000000029802322,,,0.05999999865889549,0.03500000014901161,0.009999999776482582,0.009999999776482582,,
02-24,2400.0,2.9000000953674316,0.2199999988079071,0.06499999761581421,,0.03500000014901161,0.05999999865889549,0.03500000014901161,0.009999999776482582,,,0.019999999552965164
02-25,,2.75,0.20000000298023224,,0.009999999776482582,0.03500000014901161,0.05999999865889549,0.03500000014901161,,,0.07000000029802322,0.019999999552965164
02-26,,2.690000057220459,,,0.009999999776482582,0.03500000014901161,0.05999999865889549,0.03500000014901161,,0.009999999776482582,0.03999999910593033,0.019999999552965164
02-27,,,,0.08500000089406967,0.009999999776482582,0.03500000014901161,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.019999999552965164
02-28,,,0.20000000298023224,0.08500000089406967,0.009999999776482582,0.03500000014901161,,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.019999999552965164
02-29,,,,0.08500000089406967,,,,0.0989999994635582,,,,
03-01,,2.559999942779541,0.20000000298023224,0.08500000089406967,0.009999999776482582,,,0.0989999994635582,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-02,,2.509999990463257,,0.08500000089406967,,,0.05999999865889549,0.0989999994635582,0.009999999776482582,0.009999999776482582,,0.019999999552965164
03-03,,2.5,0.28999999165534973,,,0.03849999979138374,0.05999999865889549,0.0989999994635582,0.009999999776482582,,,0.019999999552965164
03-04,,2.450000047683716,0.28999999165534973,,0.009999999776482582,0.03849999979138374,0.05999999865889549,0.0989999994635582,,,0.03999999910593033,0.019999999552965164
03-05,,2.5999999046325684,,0.08500000089406967,0.009999999776482582,0.03849999979138374,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.019999999552965164
03-06,,,,0.08500000089406967,0.009999999776482582,0.03849999979138374,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.019999999552965164
03-07,,,,0.08500000089406967,0.009999999776482582,0.03999999910593033,,0.0989999994635582,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-08,,2.799999952316284,,0.05999999865889549,0.009999999776482582,,,0.05000000074505806,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-09,,2.9000000953674316,,0.052000001072883606,,,0.05999999865889549,0.05000000074505806,0.009999999776482582,0.009999999776482582,,0.019999999552965164
03-10,,2.8499999046325684,,,,0.03999999910593033,0.05999999865889549,0.05000000074505806,0.009999999776482582,,,0.01600000075995922
03-11,,2.9000000953674316,,,0.009999999776482582,0.03999999910593033,0.05999999865889549,0.05000000074505806,,,0.04500000178813934,0.01600000075995922
03-12,,3.0,,0.052000001072883606,0.009999999776482582,0.03999999910593033,0.05999999865889549,,,0.009999999776482582,0.04500000178813934,0.01600000075995922
03-13,,,,0.08500000089406967,0.009999999776482582,0.03999999910593033,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.05000000074505806,0.01600000075995922
03-14,,,,0.08500000089406967,0.009999999776482582,0.03999999910593033,,0.05000000074505806,0.009999999776482582,0.009999999776482582,0.05000000074505806,
03-15,,5.0,0.20000000298023224,0.08500000089406967,0.009999999776482582,,,0.05000000074505806,0.009999999776482582,0.009999999776482582,0.04010000079870224,
03-16,,4.5,,0.05299999937415123,,,0.05999999865889549,0.05000000074505806,0.009999999776482582,0.009999999776482582,,0.01600000075995922
03-17,,4.0,,,,0.03400000184774399,0.05999999865889549,0.05000000074505806,0.009999999776482582,,,0.01600000075995922
03-18,,4.400000095367432,,,0.009999999776482582,0.03400000184774399,0.05999999865889549,0.05000000074505806,,,0.04010000079870224,0.01600000075995922
03-19,,4.0,,0.05299999937415123,0.009999999776482582,0.03400000184774399,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.01600000075995922
03-20,,,,0.05299999937415123,0.0020000000949949026,0.03400000184774399,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.01600000075995922
03-21,,,,0.05299999937415123,0.0020000000949949026,0.03400000184774399,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-22,,3.799999952316284,0.20999999344348907,0.05299999937415123,0.0024999999441206455,,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-23,,3.9000000953674316,,0.05299999937415123,,,0.05999999865889549,0.03139999881386757,0.009999999776482582,0.009999999776482582,,0.012000000104308128
03-24,,4.199999809265137,,,,0.03400000184774399,0.05999999865889549,0.03139999881386757,0.009999999776482582,,,0.012000000104308128
03-25,,3.0999999046325684,0.20000000298023224,,0.0024999999441206455,0.03400000184774399,0.05999999865889549,,,,0.03999999910593033,0.012000000104308128
03-26,,3.4200000762939453,,0.05299999937415123,0.0024999999441206455,0.03400000184774399,0.05999999865889549,,,0.009999999776482582,0.05000000074505806,0.012000000104308128
03-27,,,,0.054999999701976776,0.0024999999441206455,0.03400000184774399,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.05000000074505806,0.012000000104308128
03-28,,,,0.054999999701976776,0.0024999999441206455,0.03400000184774399,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-29,,3.200000047683716,0.20000000298023224,0.054999999701976776,,,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
03-30,,3.0,0.20000000298023224,0.054999999701976776,,,0.05999999865889549,0.03139999881386757,0.009999999776482582,,,0.012000000104308128
03-31,,3.0,0.20000000298023224,,,0.03400000184774399,0.05999999865889549,0.03139999881386757,0.009999999776482582,,,0.012000000104308128
04-01,,3.0,,,0.010999999940395355,0.03400000184774399,0.05999999865889549,0.03139999881386757,,,0.03999999910593033,0.012000000104308128
04-02,,,,0.054999999701976776,0.010999999940395355,0.03400000184774399,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.01600000075995922
04-03,,,,0.05000000074505806,0.010999999940395355,0.03400000184774399,,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.01600000075995922
04-04,,,0.20000000298023224,0.05000000074505806,0.010999999940395355,0.03400000184774399,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-05,,2.9000000953674316,0.20000000298023224,0.10000000149011612,0.010999999940395355,,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-06,,2.799999952316284,,,,,0.05999999865889549,0.03139999881386757,0.009999999776482582,0.009999999776482582,,0.01600000075995922
04-07,,2.9000000953674316,0.20000000298023224,,,0.03400000184774399,0.05999999865889549,0.03139999881386757,0.009999999776482582,,,0.01600000075995922
04-08,,2.700000047683716,,,0.010999999940395355,0.03400000184774399,0.05999999865889549,0.03139999881386757,,,0.03999999910593033,0.01600000075995922
04-09,,2.700000047683716,,0.10000000149011612,0.010999999940395355,0.03400000184774399,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.009999999776482582
04-10,,,,0.20000000298023224,0.010999999940395355,0.03400000184774399,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-11,,,,0.20000000298023224,0.010999999940395355,0.03400000184774399,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-12,,2.5,0.20000000298023224,0.20000000298023224,0.010999999940395355,,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-13,,2.5,0.20999999344348907,0.20000000298023224,,,0.05999999865889549,0.03139999881386757,0.009999999776482582,0.009999999776482582,,0.009999999776482582
04-14,,2.5,0.2150000035762787,,,0.03400000184774399,0.05999999865889549,0.03139999881386757,,,,0.009999999776482582
04-15,,2.4000000953674316,0.20000000298023224,,0.010999999940395355,0.03400000184774399,0.05999999865889549,0.03139999881386757,,,0.03999999910593033,0.009999999776482582
04-16,,2.5,,0.20000000298023224,0.010999999940395355,0.02500000037252903,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.009999999776482582
04-17,,,,0.20000000298023224,0.010999999940395355,0.02500000037252903,0.060100000351667404,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.009999999776482582
04-18,,,,0.05000000074505806,0.010999999940395355,,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-19,,2.0999999046325684,0.23000000417232513,0.05000000074505806,0.010999999940395355,,,0.03139999881386757,0.009999999776482582,0.009999999776482582,,
04-20,,2.1500000953674316,0.23000000417232513,0.05000000074505806,,,0.060100000351667404,0.03139999881386757,0.009999999776482582,0.009999999776482582,,0.009999999776482582
04-21,,2.0999999046325684,,,,0.02500000037252903,0.05999999865889549,0.03139999881386757,0.009999999776482582,,,0.01600000075995922
04-22,,2.0999999046325684,,,0.010999999940395355,0.02500000037252903,0.05999999865889549,0.03139999881386757,,,0.03999999910593033,0.01600000075995922
04-23,,2.0999999046325684,,0.05000000074505806,0.010999999940395355,0.02500000037252903,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.01600000075995922
04-24,,,,0.05000000074505806,0.010999999940395355,0.02500000037252903,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.01600000075995922
04-25,,,0.25999999046325684,0.05000000074505806,0.0024999999441206455,0.02500000037252903,,0.03139999881386757,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-26,,2.0999999046325684,,0.05000000074505806,0.0024999999441206455,,,0.029999999329447746,0.009999999776482582,0.009999999776482582,0.03999999910593033,
04-27,,2.190000057220459,,0.05000000074505806,,,0.05999999865889549,0.029999999329447746,0.009999999776482582,0.009999999776482582,,0.01600000075995922
04-28,,2.0,0.25999999046325684,,,0.02500000037252903,0.05999999865889549,0.029999999329447746,0.009999999776482582,,,0.01600000075995922
04-29,,2.0,,,0.0024999999441206455,0.02500000037252903,0.05999999865889549,0.029999999329447746,,,0.03999999910593033,0.009999999776482582
04-30,,1.9500000476837158,,0.05000000074505806,0.0024999999441206455,0.02500000037252903,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.009999999776482582
05-01,,,,0.05000000074505806,0.0024999999441206455,0.02500000037252903,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.009999999776482582
05-02,,,,0.05000000074505806,0.0024999999441206455,0.02500000037252903,,0.029999999329447746,0.009999999776482582,0.009999999776482582,0.03999999910593033,
05-03,,2.0,,0.05000000074505806,0.0024999999441206455,,,0.029999999329447746,0.009999999776482582,0.009999999776482582,0.03999999910593033,
05-04,,2.0,0.20000000298023224,0.05079999938607216,,,0.05999999865889549,0.029999999329447746,0.009999999776482582,0.009999999776482582,,0.009999999776482582
05-05,,1.7999999523162842,0.20000000298023224,,,0.02500000037252903,0.05999999865889549,0.029999999329447746,0.009999999776482582,,,0.009999999776482582
05-06,,1.7000000476837158,,,0.0024999999441206455,0.02500000037252903,0.05999999865889549,0.029999999329447746,,,0.03999999910593033,0.009999999776482582
05-07,,1.850000023841858,,0.05079999938607216,0.0024999999441206455,0.02500000037252903,0.05999999865889549,,,0.009999999776482582,0.03999999910593033,0.009999999776482582
05-08,,,,0.05000000074505806,0.0024999999441206455,0.02500000037252903,0.05999999865889549,,0.009999999776482582,0.009999999776482582,0.03999999910593033,0.009999999776482582
05-09,,,0.20999999344348907,0.05000000074505806,0.0024999999441206455,0.02500000037252903,,0.029999999329447746,0.009999999776482582,0.009999999776482582,0.03999999910593033,
05-10,,1.7999999523162842,0.20000000298023224,0.05000000074505806,0.0024999999441206455,,,0.029999999329447746,0.009999999776482582,0.009999999776482582,0.03999999910593033,
