,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,2.0,,,,5.119999885559082,9.729999542236328,9.420000076293945,,,23.690000534057617,8.680000305175781,23.110000610351562
01-03,,,9.289999961853027,5.789999961853027,5.090000152587891,9.989999771118164,,,9.789999961853027,23.940000534057617,8.359999656677246,23.239999771118164
01-04,,7.340000152587891,8.869999885559082,5.909999847412109,5.260000228881836,,,5.25,10.0,23.6299991607666,9.0,
01-05,1.9900000095367432,7.349999904632568,9.130000114440918,5.909999847412109,,,9.390000343322754,5.03000020980835,10.4399995803833,23.440000534057617,,
01-06,2.0199999809265137,7.349999904632568,8.989999771118164,5.960000038146973,,10.069999694824219,9.300000190734863,5.010000228881836,10.369999885559082,,,21.81999969482422
01-07,2.0299999713897705,7.340000152587891,9.029999732971191,,5.079999923706055,10.239999771118164,9.329999923706055,4.789999961853027,,,9.359999656677246,22.479999542236328
01-08,2.0,7.539999961853027,,,4.800000190734863,10.739999771118164,9.5600004196167,4.730000019073486,,22.809999465942383,9.199999809265137,22.31999969482422
01-09,1.9700000286102295,,,6.0,4.849999904632568,10.710000038146973,9.699999809265137,,11.649999618530273,22.540000915527344,9.390000343322754,22.309999465942383
01-10,,,9.15999984741211,6.050000190734863,4.809999942779541,10.640000343322754,,,11.850000381469727,22.399999618530273,9.430000305175781,21.690000534057617
01-11,,7.690000057220459,9.199999809265137,6.789999961853027,4.809999942779541,,,4.760000228881836,11.920000076293945,22.75,9.300000190734863,
01-12,1.9500000476837158,7.300000190734863,10.279999732971191,6.78000020980835,,,9.399999618530273,5.5,12.15999984741211,23.219999313354492,,
01-13,1.909999966621399,7.480000019073486,11.699999809265137,6.920000076293945,,10.489999771118164,9.350000381469727,5.25,12.180000305175781,,,22.200000762939453
01-14,1.75,7.590000152587891,12.420000076293945,,4.739999771118164,11.729999542236328,9.229999542236328,5.230000019073486,,,9.039999961853027,25.420000076293945
01-15,1.7100000381469727,7.610000133514404,,,4.829999923706055,11.59000015258789,9.149999618530273,4.980000019073486,,,9.050000190734863,24.309999465942383
01-16,1.7300000190734863,,,,4.940000057220459,11.579999923706055,9.40999984741211,,,23.65999984741211,9.199999809265137,25.100000381469727
01-17,,,,6.869999885559082,5.119999885559082,11.420000076293945,,,12.399999618530273,24.979999542236328,9.430000305175781,25.0
01-18,,,12.710000038146973,7.070000171661377,5.269999980926514,,,,12.4399995803833,26.8799991607666,9.729999542236328,
01-19,,7.579999923706055,12.289999961853027,7.269999980926514,,,,4.789999961853027,12.3100004196167,26.670000076293945,,
01-20,1.4800000190734863,7.590000152587891,11.960000038146973,7.46999979019165,,,9.359999656677246,4.989999771118164,12.430000305175781,,,
01-21,1.6299999952316284,7.5,11.850000381469727,,,11.9399995803833,9.25,5.03000020980835,,,,25.309999465942383
01-22,1.4500000476837158,7.28000020980835,,,5.190000057220459,11.920000076293945,9.460000038146973,5.139999866485596,,25.56999969482422,9.329999923706055,24.979999542236328
01-23,1.3600000143051147,,,7.590000152587891,5.179999828338623,12.039999961853027,9.399999618530273,,11.970000267028809,25.350000381469727,9.170000076293945,25.329999923706055
01-24,,,12.5600004196167,7.570000171661377,5.230000019073486,11.579999923706055,,,12.34000015258789,24.09000015258789,9.90999984741211,24.399999618530273
01-25,,7.289999961853027,12.1899995803833,7.860000133514404,5.579999923706055,,,5.039999961853027,12.619999885559082,23.68000030517578,11.0,
01-26,1.2999999523162842,7.199999809265137,13.069999694824219,7.489999771118164,,,9.289999961853027,5.059999942779541,12.489999771118164,24.270000457763672,,
01-27,1.3300000429153442,6.889999866485596,12.960000038146973,7.5,,11.5,9.069999694824219,5.050000190734863,12.670000076293945,,,23.389999389648438
01-28,1.3300000429153442,6.610000133514404,12.039999961853027,,5.699999809265137,11.739999771118164,9.039999961853027,5.050000190734863,,,11.180000305175781,24.260000228881836
01-29,1.190000057220459,6.460000038146973,,,5.550000190734863,11.529999732971191,9.239999771118164,5.159999847412109,,23.040000915527344,11.010000228881836,23.469999313354492
01-30,1.1200000047683716,,,7.409999847412109,5.510000228881836,11.760000228881836,8.800000190734863,,12.529999732971191,22.030000686645508,11.6899995803833,24.0
01-31,,,12.5,7.349999904632568,5.610000133514404,11.430000305175781,,,12.529999732971191,21.690000534057617,11.859999656677246,23.010000228881836
02-01,,6.619999885559082,12.949999809265137,7.5,5.889999866485596,,,5.150000095367432,12.609999656677246,21.209999084472656,12.319999694824219,
02-02,1.5499999523162842,6.699999809265137,12.710000038146973,7.800000190734863,,,9.09000015258789,5.059999942779541,12.789999961853027,20.190000534057617,,
02-03,1.5199999809265137,6.710000038146973,12.5,8.09000015258789,,10.880000114440918,9.449999809265137,4.989999771118164,12.850000381469727,,,23.219999313354492
02-04,1.3700000047683716,6.059999942779541,12.529999732971191,,6.03000020980835,11.380000114440918,9.479999542236328,5.039999961853027,,,12.449999809265137,24.43000030517578
02-05,1.4199999570846558,6.010000228881836,,,5.960000038146973,11.300000190734863,9.720000267028809,4.849999904632568,,19.450000762939453,12.739999771118164,25.1299991607666
02-06,1.4900000095367432,,,7.920000076293945,5.920000076293945,11.34000015258789,10.069999694824219,,12.59000015258789,19.649999618530273,12.789999961853027,24.690000534057617
02-07,,,13.050000190734863,7.829999923706055,5.860000133514404,11.34000015258789,,,12.739999771118164,19.059999465942383,12.420000076293945,23.6200008392334
02-08,,6.0,13.010000228881836,8.079999923706055,6.0,,,4.760000228881836,12.699999809265137,17.239999771118164,12.460000038146973,
02-09,1.5199999809265137,6.099999904632568,12.630000114440918,7.960000038146973,,,10.039999961853027,4.639999866485596,12.720000267028809,17.1299991607666,,
02-10,1.409999966621399,6.230000019073486,12.859999656677246,7.760000228881836,,11.420000076293945,9.920000076293945,4.570000171661377,12.699999809265137,,,24.420000076293945
02-11,1.309999942779541,6.380000114440918,13.079999923706055,,5.949999809265137,11.739999771118164,9.90999984741211,4.610000133514404,,,12.510000228881836,25.1299991607666
02-12,1.340000033378601,6.449999809265137,,,5.949999809265137,11.399999618530273,9.90999984741211,4.559999942779541,,18.06999969482422,12.609999656677246,26.020000457763672
02-13,1.340000033378601,,,7.800000190734863,5.940000057220459,11.720000267028809,9.869999885559082,,12.039999961853027,17.6200008392334,12.609999656677246,26.200000762939453
02-14,,,13.180000305175781,8.850000381469727,6.090000152587891,11.760000228881836,,,12.09000015258789,18.739999771118164,12.5600004196167,25.309999465942383
02-15,,,10.59000015258789,8.569999694824219,6.090000152587891,,,,12.239999771118164,19.079999923706055,12.5,
02-16,,7.050000190734863,10.520000457763672,8.949999809265137,,,,4.650000095367432,12.199999809265137,19.190000534057617,,
02-17,1.2899999618530273,8.84000015258789,10.890000343322754,8.770000457763672,,,9.75,4.820000171661377,12.1899995803833,,,
02-18,1.2699999809265137,8.569999694824219,10.789999961853027,,,11.9399995803833,8.829999923706055,4.769999980926514,,,,25.209999084472656
