,symbol,company,price,ignore,start_yr,ignore_error,adj_up_start_schedule_r_75,adj_up_end_schedule_r_75,adj_ups_r_75,adj_downs_r_75,close_ups_r_75,close_downs_r_75,close_up_start_schedule_r_75,close_up_end_schedule_r_75,close_up_percent_avg_r_75,adj_up_start_schedule_r_60,adj_up_end_schedule_r_60,adj_ups_r_60,adj_downs_r_60,close_ups_r_60,close_downs_r_60,close_up_start_schedule_r_60,close_up_end_schedule_r_60,close_up_percent_avg_r_60,adj_up_start_schedule_r_45,adj_up_end_schedule_r_45,adj_ups_r_45,adj_downs_r_45,close_ups_r_45,close_downs_r_45,close_up_start_schedule_r_45,close_up_end_schedule_r_45,close_up_percent_avg_r_45,adj_up_start_schedule_r_30,adj_up_end_schedule_r_30,adj_ups_r_30,adj_downs_r_30,close_ups_r_30,close_downs_r_30,close_up_start_schedule_r_30,close_up_end_schedule_r_30,close_up_percent_avg_r_30,adj_up_start_schedule_r_15,adj_up_end_schedule_r_15,adj_ups_r_15,adj_downs_r_15,close_ups_r_15,close_downs_r_15,close_up_start_schedule_r_15,close_up_end_schedule_r_15,close_up_percent_avg_r_15
0,HYMTF,Hyundai Motor Co,37.25,False,2009.0,,22-Feb,7-May,6.0,6.0,5.0,5.0,21-Feb,6-May,11.24606132,2-Apr,1-Jun,6.0,5.0,6.0,5.0,2-Apr,1-Jun,8.670275423,16-Mar,30-Apr,4.0,7.0,4.0,7.0,16-Mar,30-Apr,11.35480028,4-Apr,4-May,6.0,5.0,6.0,5.0,4-Apr,4-May,9.381072929,8-Apr,23-Apr,7.0,4.0,7.0,4.0,8-Apr,23-Apr,5.806071526
1,HYPMY,Hypera SA,5.820000172,False,2010.0,,12-Nov,26-Jan,5.0,5.0,5.0,5.0,12-Nov,26-Jan,3.388323175,1-Oct,30-Nov,5.0,5.0,5.0,5.0,1-Oct,30-Nov,4.041390392,22-Dec,5-Feb,6.0,4.0,5.0,5.0,22-Dec,5-Feb,4.722013628,29-Sep,29-Oct,6.0,4.0,6.0,4.0,29-Sep,29-Oct,4.443759465,30-Sep,15-Oct,3.0,7.0,2.0,8.0,30-Sep,15-Oct,5.847444107
2,HYFXF,Hyflux Ltd,0.147499993,False,2009.0,,30-Nov,13-Feb,5.0,5.0,6.0,6.0,30-Nov,13-Feb,15.18623599,21-Nov,20-Jan,5.0,6.0,5.0,6.0,21-Nov,20-Jan,9.310347302,4-Dec,18-Jan,5.0,6.0,5.0,6.0,4-Dec,18-Jan,14.83153431,6-Dec,5-Jan,6.0,5.0,6.0,5.0,6-Dec,5-Jan,12.37685978,23-Mar,7-Apr,6.0,5.0,6.0,5.0,23-Mar,7-Apr,11.03129644
3,HYKCF,Hyduke Energy Services Inc,0.01,False,2010.0,,20-May,3-Aug,2.0,2.0,8.0,8.0,20-May,3-Aug,6.73530548,4-Jun,3-Aug,2.0,8.0,2.0,8.0,4-Jun,3-Aug,8.008032623,19-Jun,3-Aug,2.0,8.0,2.0,8.0,19-Jun,3-Aug,8.008032623,20-Jun,20-Jul,2.0,8.0,2.0,8.0,20-Jun,20-Jul,7.68538782,11-Jul,26-Jul,0.0,10.0,0.0,10.0,11-Jul,26-Jul,5.045891042
4,HYDI,Hydromer Inc,1.25999999,False,2009.0,,21-Feb,6-May,4.0,4.0,7.0,7.0,21-Feb,6-May,22.77943425,23-Mar,22-May,4.0,7.0,4.0,7.0,23-Mar,22-May,18.49851204,26-Mar,10-May,5.0,6.0,5.0,6.0,26-Mar,10-May,20.91492147,3-Jul,2-Aug,5.0,6.0,5.0,6.0,3-Jul,2-Aug,15.55486401,27-Feb,13-Mar,3.0,8.0,3.0,8.0,27-Feb,13-Mar,11.63148389
5,HYHY,Hydrogen Hybrid Technologies Inc,0.034000002,False,2009.0,,25-Mar,8-Jun,7.0,7.0,4.0,4.0,25-Mar,8-Jun,-46.40872996,9-Apr,8-Jun,5.0,6.0,5.0,6.0,9-Apr,8-Jun,17.16269821,31-Dec,14-Feb,8.0,3.0,8.0,3.0,31-Dec,14-Feb,52.29761917,19-Apr,19-May,4.0,7.0,4.0,7.0,19-Apr,19-May,2.0622629669999997,24-Jan,8-Feb,4.0,7.0,4.0,7.0,24-Jan,8-Feb,47.82437359
6,HYEG,Hydrogen Engine Center Inc,0.171499997,False,2009.0,,28-Apr,12-Jul,7.0,7.0,4.0,4.0,28-Apr,12-Jul,22.17296633,23-Apr,22-Jun,6.0,5.0,6.0,5.0,23-Apr,22-Jun,20.65829637,28-Apr,12-Jun,6.0,5.0,6.0,5.0,28-Apr,12-Jun,20.93491582,11-Feb,12-Mar,5.0,6.0,5.0,6.0,11-Feb,12-Mar,10.03423948,10-Mar,25-Mar,5.0,6.0,5.0,6.0,10-Mar,25-Mar,10.74869382
7,H,Hyatt Hotels Corp,69.94000244,False,2009.0,,13-Oct,27-Dec,7.0,7.0,4.0,4.0,13-Oct,27-Dec,8.456911903,30-Oct,29-Dec,7.0,4.0,7.0,4.0,30-Oct,29-Dec,7.939554747000001,19-Oct,3-Dec,7.0,4.0,7.0,4.0,19-Oct,3-Dec,5.7430251729999995,13-Oct,12-Nov,5.0,6.0,5.0,6.0,13-Oct,12-Nov,4.5095201860000005,3-Feb,18-Feb,6.0,5.0,6.0,5.0,3-Feb,18-Feb,2.723978411
8,HBP,Huttig Building Products Inc,3.720000029,False,2009.0,,11-Feb,26-Apr,7.0,7.0,4.0,4.0,11-Feb,26-Apr,15.95174634,13-Nov,12-Jan,7.0,4.0,7.0,4.0,13-Nov,12-Jan,14.25223499,16-Mar,30-Apr,6.0,5.0,6.0,5.0,16-Mar,30-Apr,14.90632304,23-Jul,22-Aug,5.0,6.0,5.0,6.0,23-Jul,22-Aug,7.393213912999999,16-Apr,1-May,7.0,4.0,7.0,4.0,16-Apr,1-May,9.999061074
9,HUSQF,Husqvarna AB,10.23999977,False,2009.0,,23-Mar,6-Jun,4.0,4.0,7.0,7.0,12-Nov,26-Jan,2.864807957,27-Mar,26-May,4.0,7.0,4.0,7.0,29-Jun,28-Aug,4.9992675769999995,6-Apr,21-May,4.0,7.0,4.0,7.0,6-Jul,20-Aug,4.782394246,27-Mar,26-Apr,5.0,6.0,5.0,6.0,17-Jun,17-Jul,2.9366078769999997,7-Apr,22-Apr,4.0,7.0,4.0,7.0,2-Jul,17-Jul,3.449607612
