,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,2.4000000953674316,,,,0.8399999737739563,3.1500000953674316,2.75,,,2.799999952316284,1.5399999618530271,2.0699999332427983
01-03,,,1.1799999475479126,0.5899999737739563,0.8700000047683716,3.059999942779541,,,2.380000114440918,2.8499999046325684,1.4900000095367432,2.0899999141693115
01-04,,1.399999976158142,1.1799999475479126,0.7400000095367432,0.9100000262260436,,,1.8799999952316284,2.3199999332427983,3.1500000953674316,1.440000057220459,
01-05,2.6700000762939453,1.3400000333786009,1.1699999570846558,0.7599999904632568,,,2.690000057220459,1.8799999952316284,2.299999952316284,3.2300000190734863,,
01-06,2.6800000667572017,1.4500000476837158,1.2000000476837158,0.7300000190734863,,3.0799999237060547,2.740000009536743,1.8799999952316284,2.3399999141693115,,,1.9800000190734863
01-07,2.1099998950958248,1.3700000047683716,1.2999999523162842,,1.0199999809265137,2.880000114440918,2.75,1.850000023841858,,,1.3600000143051147,1.940000057220459
01-08,2.25,1.399999976158142,,,0.9499999880790708,2.859999895095825,2.7699999809265137,1.850000023841858,,3.109999895095825,1.3600000143051147,2.009999990463257
01-09,2.190000057220459,,,0.7300000190734863,1.0499999523162842,3.130000114440918,2.619999885559082,,2.369999885559082,2.9800000190734863,1.4900000095367432,2.1400001049041752
01-10,,,1.3200000524520874,0.7900000214576721,0.8899999856948853,2.940000057220459,,,2.369999885559082,2.859999895095825,1.8700000047683718,1.9099999666213991
01-11,,1.309999942779541,1.25,0.7799999713897705,0.8500000238418579,,,1.8799999952316284,2.4600000381469727,2.9000000953674316,1.4199999570846558,
01-12,2.1199998855590816,1.3700000047683716,1.3200000524520874,0.75,,,2.7300000190734863,1.8999999761581416,2.4800000190734863,2.940000057220459,,
01-13,2.0799999237060547,1.350000023841858,1.3600000143051147,0.75,,2.970000028610228,2.619999885559082,1.5499999523162842,2.5199999809265137,,,1.8700000047683718
01-14,2.059999942779541,1.350000023841858,1.3799999952316284,,0.959999978542328,2.7899999618530287,2.609999895095825,1.5199999809265137,,,1.2799999713897705,1.8600000143051147
01-15,1.9299999475479128,1.3400000333786009,,,0.9499999880790708,2.7899999618530287,2.5,1.440000057220459,,,1.2100000381469729,1.850000023841858
01-16,1.7999999523162842,,,,0.9100000262260436,2.7899999618530287,2.450000047683716,,,2.8499999046325684,1.1399999856948853,1.8999999761581416
01-17,,,,0.7799999713897705,0.9800000190734864,2.7799999713897705,,,2.440000057220459,2.8499999046325684,1.0599999427795408,2.0
