,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.11880040913820268,,,,0.5332378149032593,0.5058997869491577,0.5839661955833435,,,0.9003485441207886,0.8054311275482178,0.8610008358955383
01-03,,,0.5148018002510071,0.37510034441947937,0.5398210287094116,0.4987744092941284,,,0.4684545695781708,0.9533101320266724,0.6952142119407654,0.8610008358955383
01-04,,0.3476012051105499,0.5060017704963684,0.37510034441947937,0.5398210287094116,,,0.565930962562561,0.4684545695781708,0.9533101320266724,0.6952142119407654,
01-05,0.11880040913820268,0.3476012051105499,0.5148018002510071,0.37510034441947937,,,0.5839661955833435,0.565930962562561,0.4684545695781708,0.9760080575942992,,
01-06,0.11880040913820268,0.3476012051105499,0.5148018002510071,0.37510034441947937,,0.4702730178833008,0.5839661955833435,0.565930962562561,0.4684545695781708,,,0.8610008358955383
01-07,0.13200046122074127,0.3300011456012726,0.5060017704963684,,0.5398210287094116,0.4702730178833008,0.6344323754310608,0.565930962562561,,,0.6952142119407654,0.8610008358955383
01-08,0.13200046122074127,0.3432011604309082,,,0.552987277507782,0.4702730178833008,0.6344323754310608,0.565930962562561,,0.9760080575942992,0.6952142119407654,0.8610008358955383
01-09,0.13200046122074127,,,0.3700314462184906,0.552987277507782,0.4702730178833008,0.6344323754310608,,0.4684545695781708,0.9760080575942992,0.6952142119407654,0.8610008358955383
01-10,,,0.5060017704963684,0.37510034441947937,0.5924864411354065,0.4702730178833008,,,0.4684545695781708,0.9760080575942992,0.6952142119407654,0.8610008358955383
01-11,,0.33880120515823364,0.5060017704963684,0.37510034441947937,0.612235963344574,,,0.565930962562561,0.4833261370658874,0.9911399483680724,0.6952142119407654,
01-12,0.12760046124458313,0.3300011456012726,0.5060017704963684,0.37510034441947937,,,0.6344323754310608,0.565930962562561,0.4833261370658874,0.9911399483680724,,
01-13,0.12760046124458313,0.3300011456012726,0.5016016960144043,0.37510034441947937,,0.4702730178833008,0.6344323754310608,0.565930962562561,0.4907619953155518,,,0.8610008358955383
01-14,0.12760046124458313,0.33880120515823364,0.5324018597602844,,0.6188191175460815,0.4702730178833008,0.6344323754310608,0.4643536508083344,,,0.6952142119407654,0.8610008358955383
01-15,0.12760046124458313,0.3520011901855469,,,0.5990695953369141,0.4702730178833008,0.6200134754180908,0.4643536508083344,,,0.6952142119407654,0.8610008358955383
01-16,0.12760046124458313,,,,0.6056528687477112,0.4702730178833008,0.6272228956222534,,,0.9835739731788636,0.6952142119407654,0.8523908257484436
01-17,,,,0.37510034441947937,0.5990695953369141,0.4702730178833008,,,0.4907619953155518,0.9835739731788636,0.6952142119407654,0.8523908257484436
01-18,,,0.5324018597602844,0.37510034441947937,0.6188191175460815,,,,0.505633533000946,0.9835739731788636,0.8054311275482178,
01-19,,0.3520011901855469,0.5324018597602844,0.37510034441947937,,,,0.4643536508083344,0.505633533000946,0.9835739731788636,,
01-20,0.12760046124458313,0.356401264667511,0.4972017109394074,0.37510034441947937,,,0.6272228956222534,0.4643536508083344,0.505633533000946,,,
01-21,0.12760046124458313,0.356401264667511,0.4972017109394074,,,0.4702730178833008,0.6272228956222534,0.4643536508083344,,,,0.8523908257484436
01-22,0.12760046124458313,0.3740012645721436,,,0.6319854855537415,0.4702730178833008,0.6272228956222534,0.4643536508083344,,0.9835739731788636,0.8054311275482178,0.8523908257484436
01-23,0.12760046124458313,,,0.3852382302284241,0.6319854855537415,0.4702730178833008,0.6272228956222534,,0.5205051302909851,0.9835739731788636,0.8054311275482178,0.7490707039833069
01-24,,,0.4972017109394074,0.3801693022251129,0.6056528687477112,0.4702730178833008,,,0.5502482652664185,0.9835739731788636,0.8054311275482178,0.7318507432937622
01-25,,0.3740012645721436,0.4972017109394074,0.3801693022251129,0.5727368593215942,,,0.4643536508083344,0.5502482652664185,0.9835739731788636,0.8054311275482178,
01-26,0.09240032732486723,0.3740012645721436,0.4972017109394074,0.3801693022251129,,,0.6272228956222534,0.4643536508083344,0.5502482652664185,0.9835739731788636,,
01-27,0.09240032732486723,0.3740012645721436,0.4972017109394074,0.3801693022251129,,0.4702730178833008,0.6272228956222534,0.4643536508083344,0.5502482652664185,,,0.7318507432937622
01-28,0.09240032732486723,0.3740012645721436,0.47960165143013,,0.5793200135231018,0.4702730178833008,0.6272228956222534,0.4643536508083344,,,0.8054311275482178,0.7318507432937622
01-29,0.09240032732486723,0.3740012645721436,,,0.5793200135231018,0.4702730178833008,0.6272228956222534,0.4643536508083344,,1.1273270845413208,0.8054311275482178,0.7318507432937622
01-30,0.09240032732486723,,,0.3801693022251129,0.5793200135231018,0.4702730178833008,0.6272228956222534,,0.5502482652664185,1.104629397392273,0.8054311275482178,0.7318507432937622
01-31,,,0.440001517534256,0.3801693022251129,0.5793200135231018,0.4702730178833008,,,0.5502482652664185,1.104629397392273,0.8054311275482178,0.7318507432937622
02-01,,0.3740012645721436,0.4664015769958496,0.3801693022251129,0.5793200135231018,,,0.4643536508083344,0.5502482652664185,1.104629397392273,0.8054311275482178,
02-02,0.09240032732486723,0.3784013390541077,0.4664015769958496,0.3801693022251129,,,0.6272228956222534,0.4643536508083344,0.5502482652664185,1.104629397392273,,
02-03,0.09240032732486723,0.387201339006424,0.4664015769958496,0.3801693022251129,,0.4702730178833008,0.6272228956222534,0.4643536508083344,0.5502482652664185,,,0.7318507432937622
02-04,0.09240032732486723,0.387201339006424,0.4664015769958496,,0.5595705509185791,0.4702730178833008,0.6272228956222534,0.4643536508083344,,,0.8054311275482178,0.7490707039833069
02-05,0.09240032732486723,0.387201339006424,,,0.5595705509185791,0.4702730178833008,0.6272228956222534,0.4643536508083344,,1.1575908660888672,0.8054311275482178,0.7404607534408569
02-06,0.09240032732486723,,,0.3801693022251129,0.5595705509185791,0.4702730178833008,0.6200134754180908,,0.5502482652664185,1.0970634222030642,0.8054311275482178,0.7490707039833069
02-07,,,0.4532015919685364,0.3801693022251129,0.5595705509185791,0.4773983657360077,,,0.5279408693313599,1.0970634222030642,0.8054311275482178,0.7490707039833069
02-08,,0.3520011901855469,0.4532015919685364,0.3801693022251129,0.5595705509185791,,,0.4643536508083344,0.5279408693313599,0.9911399483680724,0.8054311275482178,
02-09,0.09240032732486723,0.3520011901855469,0.4312015175819397,0.4207205474376679,,,0.6200134754180908,0.4643536508083344,0.5279408693313599,0.9911399483680724,,
02-10,0.09240032732486723,0.3520011901855469,0.4224014580249785,0.4207205474376679,,0.4773983657360077,0.6200134754180908,0.4643536508083344,0.5279408693313599,,,0.7490707039833069
02-11,0.1232004463672638,0.3520011901855469,0.4224014580249785,,0.5859032869338989,0.4773983657360077,0.6128039956092834,0.4643536508083344,,,0.8054311275482178,0.7490707039833069
