,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,1.5350037813186646,,,,2.6688127517700195,2.668548822402954,2.7103545665740967,,,3.768641471862793,3.807162523269653,4.108764171600342
01-03,,,1.4390658140182495,1.613497614860535,2.6600914001464844,2.694969892501831,,,3.392378091812134,3.8151671886444087,3.816633462905884,4.021550178527832
01-04,,1.325684905052185,1.386736273765564,1.700714349746704,2.625204801559448,,,2.897543907165528,3.3465352058410645,3.768641471862793,3.8829271793365483,
01-05,1.613497614860535,1.308241605758667,1.4565088748931885,1.6571060419082642,,,2.7192702293396,2.9787840843200684,3.300692319869995,3.768641471862793,,
01-06,1.7356007099151611,1.386736273765564,1.5175601243972778,1.7356007099151611,,2.6597416400909424,2.665776014328003,3.032943725585937,3.3740408420562744,,,4.050621032714844
01-07,1.6745493412017822,1.308241605758667,1.4739521741867063,,2.5554323196411133,2.668548822402954,2.7192702293396,2.9697573184967037,,,3.8450448513031006,4.089383125305177
01-08,1.622219443321228,1.4041790962219238,,,2.616483211517334,2.6597416400909424,2.692523717880249,2.9787840843200684,,3.768641471862793,3.854515552520752,4.060311794281007
01-09,1.6658279895782468,,,1.8751459121704104,2.5467100143432617,2.642127513885498,2.674691677093506,,3.3465352058410645,3.722114562988281,3.8829271793365483,4.050621032714844
01-10,,,1.4739521741867063,1.91875422000885,2.5292673110961914,2.6597416400909424,,,3.300692319869995,3.768641471862793,3.854515552520752,4.07000207901001
01-11,,1.4129005670547483,1.4565088748931885,1.8751459121704104,2.5815975666046143,,,2.9697573184967037,3.3465352058410645,3.8151671886444087,3.8829271793365483,
01-12,1.596055269241333,1.3692926168441772,1.4913954734802246,2.005971193313598,,,2.7014384269714355,2.879490852355957,3.3465352058410645,3.768641471862793,,
01-13,1.5524466037750244,1.3954576253890991,1.6658279895782468,1.91875422000885,,2.6597416400909424,2.692523717880249,2.897543907165528,3.392378091812134,,,4.050621032714844
01-14,1.5786114931106567,1.386736273765564,1.622219443321228,,2.5467100143432617,2.6861629486083984,2.665776014328003,2.951704263687134,,,3.854515552520752,4.050621032714844
01-15,1.5786114931106567,1.3431282043457031,,,2.572875499725342,2.7654263973236084,2.7014384269714355,2.7982518672943115,,,3.873456478118897,4.002169132232666
01-16,1.5786114931106567,,,,2.599040508270264,2.8006558418273926,2.7103545665740967,,,3.8151671886444087,3.8923978805541988,4.040931224822998
01-17,,,,1.892590045928955,2.599040508270264,2.7390055656433105,,,3.4382212162017822,3.768641471862793,3.8923978805541988,4.050621032714844
01-18,,,1.6047762632369995,1.8751459121704104,2.6077613830566406,,,,3.4382212162017822,3.768641471862793,3.911338806152344,
01-19,,1.2907987833023071,1.5698897838592532,1.8751459121704104,,,,2.7170119285583496,3.529906749725342,3.768641471862793,,
01-20,1.6047762632369995,1.308241605758667,1.596055269241333,1.814095139503479,,,2.7371013164520264,2.780198574066162,3.66743540763855,,,
01-21,1.5698897838592532,1.2995202541351318,1.5262819528579712,,,2.78304123878479,2.7281854152679443,2.816304922103882,,,,4.089383125305177
01-22,1.6396626234054563,1.282076716423035,,,2.625204801559448,2.747812271118164,2.7192702293396,2.85241174697876,,3.768641471862793,3.8923978805541988,4.060311794281007
01-23,1.4826737642288208,,,1.91875422000885,2.625204801559448,2.915147066116333,2.7014384269714355,,3.4840636253356934,3.768641471862793,3.8923978805541988,4.031240463256837
01-24,,,1.5698897838592532,2.005971193313598,2.5815975666046143,2.9415688514709477,,,3.621592044830322,3.8151671886444087,3.911338806152344,4.011858940124512
01-25,,1.3169634342193604,1.866424560546875,1.962362051010132,2.5379886627197266,,,2.8072781562805176,3.575749635696411,3.8151671886444087,3.873456478118897,
01-26,1.447787165641785,1.3954576253890991,1.9710839986801147,1.962362051010132,,,2.5944507122039795,2.7621448040008545,3.529906749725342,3.9082205295562735,,
01-27,1.4826737642288208,1.308241605758667,2.005971193313598,1.962362051010132,,2.959182977676392,2.6301133632659908,2.816304922103882,3.621592044830322,,,4.002169132232666
01-28,1.5786114931106567,1.3518494367599487,1.8489811420440676,,2.5379886627197266,2.888726234436035,2.647944688796997,2.8343582153320312,,,3.8829271793365483,4.021550178527832
01-29,1.4913954734802246,1.282076716423035,,,2.6077613830566406,2.8799195289611816,2.683727741241455,2.816304922103882,,3.861693859100342,3.9302802085876474,4.011858940124512
01-30,1.596055269241333,,,1.91875422000885,2.599040508270264,2.9064214229583736,2.683727741241455,,3.575749635696411,3.861693859100342,3.920809030532837,3.992478132247925
01-31,,,1.8228164911270144,1.9972485303878784,2.572875499725342,2.8799190521240234,,,3.621592044830322,3.8151671886444087,3.920809030532837,3.9973533153533936
02-01,,1.325684905052185,1.7530437707901,2.005971193313598,2.625204801559448,,,2.87046480178833,3.66743540763855,3.861693859100342,3.9017760753631587,
02-02,1.4913954734802246,1.2995202541351318,1.8053734302520752,1.9274764060974119,,,2.656890630722046,2.8253321647644043,3.635224342346192,3.8290069103240967,,
02-03,1.4913954734802246,1.2995202541351318,1.8228164911270144,2.005971193313598,,2.8092470169067383,2.683727741241455,2.8433849811553955,3.5892093181610107,,,3.9973533153533936
02-04,1.6047762632369995,1.308241605758667,1.8315382003784182,,2.616483211517334,2.80041241645813,2.665836811065674,2.8524401187896733,,,3.9398422241210938,4.016852855682373
02-05,1.6047762632369995,1.2646336555480957,,,2.625204801559448,2.79157829284668,2.683727741241455,2.8614954948425293,,3.875702857971192,3.9303255081176762,4.007102966308594
02-06,1.5786114931106567,,,1.953640699386597,2.616483211517334,2.80041241645813,2.656890630722046,,3.5892093181610107,3.8290069103240967,3.9398422241210938,4.026602268218993
02-07,,,1.779208421707153,1.9710839986801147,2.625204801559448,2.7562408447265625,,,3.5892093181610107,3.9130587577819824,3.9017760753631587,4.026602268218993
02-08,,1.2384687662124634,1.8577030897140503,1.979805827140808,2.572875499725342,,,2.7890517711639404,3.5892093181610107,3.7356171607971187,3.9398422241210938,
02-09,1.5786114931106567,1.2471903562545776,1.8489811420440676,2.0408568382263184,,,2.665836811065674,2.8071634769439697,3.635224342346192,3.7356171607971187,,
02-10,1.6309410333633425,1.2384687662124634,1.8053734302520752,2.005971193313598,,2.8092470169067383,2.638998985290528,2.7799971103668213,3.635224342346192,,,4.036351680755615
02-11,1.6309410333633425,1.2384687662124634,1.8751459121704104,,2.616483211517334,2.8092470169067383,2.647944688796997,2.7437753677368164,,,3.9303255081176762,4.055851459503174
02-12,1.561168193817139,1.2733550071716309,,,2.6077613830566406,2.79157829284668,2.665836811065674,2.770941734313965,,3.7356171607971187,3.9493587017059326,4.046102046966554
02-13,1.6571060419082642,,,2.032134532928467,2.6339268684387207,2.80041241645813,2.7195115089416504,,3.543193817138672,3.875702857971192,3.968392133712769,4.026602268218993
02-14,,,1.840259552001953,2.049578666687012,2.616483211517334,2.773909330368042,,,3.635224342346192,3.8290069103240967,3.977908611297608,4.036351680755615
02-15,,,1.8838683366775515,1.962362051010132,2.65136981010437,,,,3.5892093181610107,3.8290069103240967,3.9493587017059326,
02-16,,1.2995202541351318,1.988526701927185,2.049578666687012,,,,2.770941734313965,3.543193817138672,3.894381046295166,,
02-17,1.6396626234054563,1.308241605758667,1.91875422000885,2.215289354324341,,,2.692673683166504,2.7799971103668213,3.635224342346192,,,
02-18,1.6047762632369995,1.308241605758667,1.892590045928955,,,2.818079948425293,2.665836811065674,2.7618863582611084,,,,4.026602268218993
02-19,1.5262819528579712,1.3344063758850098,,,2.6339268684387207,2.8092470169067383,2.692673683166504,2.7618863582611084,,,3.996941089630127,3.9973533153533936
02-20,1.6047762632369995,,,,2.677535057067871,2.818079948425293,2.638998985290528,,,3.8290069103240967,3.9874250888824463,4.016852855682373
02-21,,,,2.2414536476135254,2.6862564086914062,2.80041241645813,,,3.543193817138672,3.922398090362549,4.015974044799806,4.016852855682373
02-22,,1.3518494367599487,1.9013110399246216,2.2240102291107178,2.6600914001464844,,,2.8252735137939453,3.4511632919311523,3.875702857971192,3.996941089630127,
02-23,1.4303442239761353,1.3344063758850098,1.840259552001953,2.2240102291107178,,,2.6300535202026367,2.770941734313965,3.497178077697754,3.922398090362549,,
02-24,1.3605711460113523,1.3518494367599487,1.8577030897140503,2.293783187866211,,2.8092470169067383,2.621107816696167,2.7799971103668213,3.543193817138672,,,3.9973533153533936
02-25,1.3954576253890991,1.3169634342193604,1.8838683366775515,,2.572875499725342,2.941757678985596,2.6300535202026367,2.8071634769439697,,,4.006458282470703,3.98760437965393
02-26,1.596055269241333,1.3344063758850098,,,2.677535057067871,2.8357481956481934,2.6032156944274902,2.816218852996826,,3.875702857971192,4.0350074768066415,3.977854251861572
02-27,1.6396626234054563,,,2.293783187866211,2.6426479816436768,2.8534164428710938,2.6300535202026367,,3.5892093181610107,3.922398090362549,4.0350074768066415,3.938855648040772
02-28,,,1.9361971616744995,2.267618417739868,2.5815975666046143,2.818079948425293,,,3.497178077697754,3.782312393188477,4.0350074768066415,3.9291059970855713
02-29,,,,2.197845220565796,,,,2.7799971103668213,,,,
03-01,,1.3169634342193604,1.9274764060974119,2.3548352718353267,2.6426479816436768,,,2.770941734313965,3.4511632919311523,3.782312393188477,4.0350074768066415,
03-02,1.543724775314331,1.3518494367599487,1.9361971616744995,2.346113681793213,,,2.612161874771118,2.7799971103668213,3.543193817138672,3.875702857971192,,3.8901073932647705
03-03,1.4565088748931885,1.4826737642288208,1.979805827140808,,,2.8269145488739014,2.612161874771118,2.770941734313965,3.4511632919311523,,,3.8803577423095694
03-04,1.4565088748931885,1.3954576253890991,1.9710839986801147,,2.65136981010437,2.844582319259644,2.6032156944274902,2.7618863582611084,,,4.0350074768066415,3.8803577423095694
03-05,1.4041790962219238,1.3605711460113523,,2.38100004196167,2.65136981010437,2.8534164428710938,2.6300535202026367,,,3.782312393188477,4.025491237640382,3.8706083297729488
03-06,1.3344063758850098,,,2.3548352718353267,2.7473080158233643,2.862250566482544,2.6300535202026367,,3.497178077697754,3.782312393188477,4.025491237640382,3.8511087894439697
