,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.75,,,,1.0399999618530271,1.7100000381469729,1.559999942779541,,,1.0299999713897705,17.459999084472653,3.4300000667572017
01-03,,,5.050000190734863,0.699999988079071,1.0399999618530271,1.6599999666213991,,,0.8700000047683716,1.0700000524520874,17.370000839233402,3.369999885559082
01-04,,11.25,4.650000095367432,0.6700000166893005,0.9700000286102296,,,0.8600000143051147,0.8799999952316284,1.2699999809265137,16.569999694824222,
01-05,0.5249999761581421,11.524999618530273,4.4099998474121085,0.6200000047683716,,,1.6100000143051147,0.8600000143051147,0.9100000262260436,1.1699999570846558,,
01-06,0.5249999761581421,11.925000190734865,4.489999771118164,0.6200000047683716,,1.6299999952316284,1.559999942779541,0.8600000143051147,0.9399999976158142,,,3.259999990463257
01-07,0.75,11.75,4.579999923706055,,0.959999978542328,1.649999976158142,1.5700000524520874,0.8999999761581421,,,17.569999694824222,3.119999885559082
01-08,0.75,11.449999809265135,,,0.9900000095367432,1.649999976158142,1.6299999952316284,0.8199999928474426,,1.2100000381469729,18.290000915527344,2.990000009536743
01-09,0.675000011920929,,,0.5699999928474426,1.0,1.6799999475479126,1.5900000333786009,,0.8700000047683716,1.1599999666213991,18.059999465942386,2.7899999618530287
01-10,,,4.71999979019165,0.5699999928474426,1.0099999904632568,1.7100000381469729,,,0.8600000143051147,1.1100000143051147,18.200000762939453,2.740000009536743
01-11,,11.75,4.78000020980835,0.479999989271164,1.0,,,0.8199999928474426,0.8799999952316284,1.149999976158142,16.809999465942386,
01-12,0.675000011920929,11.25,4.869999885559082,0.5400000214576721,,,1.6699999570846558,0.75,0.9700000286102296,1.1299999952316284,,
01-13,0.5249999761581421,10.975000381469727,4.619999885559082,0.5299999713897705,,1.7200000286102295,1.6599999666213991,0.7699999809265137,0.9100000262260436,,,2.880000114440918
01-14,0.5249999761581421,11.125,4.559999942779541,,0.9900000095367432,1.7300000190734863,1.6399999856948853,0.6899999976158142,,,15.210000038146973,2.7899999618530287
01-15,0.5249999761581421,11.25,,,0.9700000286102296,1.649999976158142,1.600000023841858,0.6899999976158142,,,14.369999885559082,2.75
01-16,0.5249999761581421,,,,0.9100000262260436,1.6699999570846558,1.6399999856948853,,,1.2699999809265137,12.65999984741211,2.690000057220459
