,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,45.38999938964844,,,,56.849998474121094,73.01000213623047,85.62000274658203,,,134.14999389648438,141.92999267578125,252.22999572753903
01-03,,,53.7400016784668,56.56999969482422,56.36000061035156,73.80000305175781,,,124.3499984741211,137.80000305175778,140.80999755859375,255.91000366210938
01-04,,49.58000183105469,52.56000137329102,56.11999893188477,56.56000137329102,,,89.58000183105469,126.5500030517578,136.60000610351562,144.60000610351562,
01-05,45.4000015258789,48.61000061035156,52.41999816894531,56.0,,,84.58999633789062,91.6999969482422,124.8000030517578,137.14999389648438,,
01-06,46.7400016784668,48.5099983215332,52.1500015258789,55.68000030517578,,73.9000015258789,84.4000015258789,90.51000213623048,124.5,,,258.239990234375
01-07,46.4000015258789,47.81999969482422,51.599998474121094,,57.11000061035156,74.13999938964844,86.11000061035156,89.0999984741211,,,143.0800018310547,257.1199951171875
01-08,46.68000030517578,47.599998474121094,,,57.2400016784668,74.25,88.19999694824219,86.8499984741211,,138.25,147.16000366210938,259.5599975585937
01-09,45.9000015258789,,,55.70000076293945,57.52000045776367,77.36000061035156,87.73999786376953,,123.9499969482422,137.80000305175778,148.49000549316406,262.57000732421875
01-10,,,51.9900016784668,56.45000076293945,55.88999938964844,78.31999969482422,,,123.8499984741211,137.69999694824222,148.5500030517578,263.07000732421875
01-11,,47.61000061035156,52.79999923706055,56.459999084472656,57.0099983215332,,,88.13999938964844,123.9499969482422,141.35000610351562,149.6199951171875,
01-12,46.2599983215332,47.77999877929688,53.88000106811523,56.959999084472656,,,86.43000030517578,87.95999908447266,123.6999969482422,137.35000610351562,,
01-13,46.93999862670898,48.1500015258789,52.459999084472656,57.20000076293945,,77.9800033569336,88.5999984741211,86.58000183105469,123.5999984741211,,,265.489990234375
01-14,45.83000183105469,48.63000106811523,52.95000076293945,,56.77000045776367,78.4000015258789,88.0999984741211,87.72000122070312,,,147.77999877929688,264.1099853515625
01-15,47.2599983215332,48.52999877929688,,,56.72999954223633,78.62000274658203,88.44000244140625,87.69999694824219,,,149.1999969482422,267.67001342773443
01-16,45.4000015258789,,,,57.0,78.55999755859375,90.12000274658205,,,137.39999389648438,150.25,269.489990234375
01-17,,,,57.95000076293945,57.31000137329102,78.73999786376953,,,122.3000030517578,138.85000610351562,153.55999755859375,270.6099853515625
01-18,,,52.959999084472656,58.61000061035156,58.22000122070313,,,,123.3000030517578,137.44999694824222,154.92999267578125,
01-19,,49.34000015258789,52.88000106811523,58.97999954223633,,,,86.61000061035156,122.25,139.5,,
01-20,41.43999862670898,48.81999969482422,52.43999862670898,57.65999984741211,,,89.54000091552734,87.91999816894531,123.1999969482422,,,
01-21,42.13999938964844,48.18999862670898,51.63000106811523,,,78.80999755859375,87.62999725341797,84.58999633789062,,,,269.95999145507807
01-22,41.33000183105469,47.40999984741211,,,58.040000915527344,79.06999969482422,87.95999908447266,86.20999908447266,,138.69999694824222,154.17999267578125,269.57000732421875
01-23,40.310001373291016,,,58.02999877929688,57.29999923706055,79.11000061035156,88.29000091552734,,121.3000030517578,139.5,154.82000732421875,271.97000122070307
01-24,,,52.6500015258789,58.2400016784668,57.9900016784668,78.52999877929688,,,123.5,137.75,156.0399932861328,269.48001098632807
01-25,,47.4000015258789,53.56000137329102,59.13000106811523,57.27000045776367,,,83.58999633789062,123.0,138.94999694824222,157.4600067138672,
01-26,41.95000076293945,47.61000061035156,54.59000015258789,59.20000076293945,,,88.18000030517578,84.56999969482422,122.9499969482422,141.60000610351562,,
01-27,42.290000915527344,48.52000045776367,56.040000915527344,59.1500015258789,,77.45999908447266,86.83999633789062,82.3499984741211,122.5,,,267.69000244140625
01-28,43.310001373291016,47.88000106811523,55.36999893188477,,57.16999816894531,77.4000015258789,86.87999725341797,81.76000213623047,,,156.13999938964844,269.3599853515625
01-29,45.81999969482422,47.97000122070313,,,56.06999969482422,76.0199966430664,86.91999816894531,83.06999969482422,,144.0,157.6999969482422,267.17999267578125
01-30,45.1500015258789,,,58.86000061035156,55.27000045776367,74.4000015258789,84.58999633789062,,120.8000030517578,140.64999389648438,158.83999633789062,280.07000732421875
01-31,,,55.4900016784668,58.68999862670898,53.63000106811523,74.0199966430664,,,122.8000030517578,140.55000305175778,167.17999267578125,267.44000244140625
02-01,,48.0099983215332,56.36000061035156,58.93000030517578,54.77000045776367,,,81.58999633789062,123.25,150.4499969482422,168.44000244140625,
02-02,45.91999816894531,47.099998474121094,55.5,59.13000106811523,,,83.73999786376953,80.94999694824219,131.55000305175778,146.8000030517578,,
02-03,45.6500015258789,47.36999893188477,58.040000915527344,59.70000076293945,,72.2300033569336,84.97000122070312,80.72000122070312,130.19999694824222,,,272.51998901367193
02-04,45.56000137329102,46.41999816894531,57.08000183105469,,52.72999954223633,71.5999984741211,84.69999694824219,92.86000061035156,,,172.4199981689453,276.19000244140625
02-05,45.79999923706055,47.06999969482422,,,53.34000015258789,70.62999725341797,85.30999755859375,91.06999969482422,,142.64999389648438,175.32000732421875,274.16000366210943
02-06,46.34000015258789,,,59.040000915527344,53.68000030517578,71.80000305175781,85.26000213623047,,129.44999694824222,143.5500030517578,175.50999450683594,274.32998657226557
02-07,,,56.86000061035156,59.06999969482422,53.45000076293945,71.95999908447266,,,129.30000305175778,146.0500030517578,175.6199951171875,272.0
02-08,,46.4900016784668,57.31999969482422,59.31000137329102,53.7599983215332,,,93.54000091552734,126.1999969482422,142.4499969482422,175.52999877929688,
