,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,14.09514617919922,,,,45.45019912719727,78.67096710205078,104.09404754638672,,,139.98764038085938,148.03607177734375,149.450927734375
01-03,,,36.78399658203125,35.083457946777344,45.24042510986328,79.5557861328125,,,135.25572204589844,144.1763153076172,148.70864868164062,150.27272033691406
01-04,,24.866901397705078,36.51589584350586,35.056121826171875,45.92567443847656,,,97.25799560546876,135.44639587402344,143.13787841796875,150.02610778808594,
01-05,14.146285057067873,24.702259063720703,36.52259826660156,34.591442108154304,,,103.08887481689452,96.80955505371094,134.21945190429688,145.9390411376953,,
01-06,13.353636741638185,24.18201065063477,36.58293533325195,34.905784606933594,,78.62059783935547,100.50846099853516,95.96772003173828,132.17173767089844,,,151.02685546875
01-07,12.471490859985352,24.87348747253418,36.5293083190918,,45.78583908081055,79.8938980102539,102.46629333496094,94.8190689086914,,,151.841064453125,149.73130798339844
01-08,13.264144897460938,24.85372734069824,,,45.21945571899414,79.7716064453125,102.18121337890624,94.52011108398438,,148.8797607421875,152.89137268066406,151.51026916503906
01-09,12.324466705322266,,,35.22694778442383,45.618019104003906,79.4047622680664,101.1835708618164,,130.77069091796878,152.14344787597656,151.7581329345703,149.789306640625
01-10,,,36.56951904296875,35.50713348388672,45.5760498046875,79.44071197509766,,,131.86502075195312,151.8728790283203,154.20884704589844,153.06683349609375
01-11,,24.71542739868164,36.49577713012695,35.87614822387695,45.65296936035156,,,95.83394622802734,131.29716491699222,153.5863494873047,155.91326904296875,
01-12,11.455102920532227,24.45860290527344,35.57081985473633,35.9649772644043,,,101.43109893798828,96.74658966064452,132.45790100097656,151.33689880371094,,
01-13,11.141878128051758,25.12734222412109,36.10033798217773,36.03331756591797,,77.00202941894531,102.5637664794922,95.9209976196289,131.77314758300778,,,153.24085998535156
01-14,10.430559158325195,25.471643447875977,36.11373519897461,,45.47816848754883,76.82217407226562,100.75022888183594,95.76222229003906,,,155.98695373535156,156.9051055908203
01-15,10.97374439239502,25.63716697692871,,,45.54109573364258,75.46018981933594,99.20872497558594,98.19142150878906,,,156.10675048828125,157.23382568359375
01-16,11.60747241973877,,,,44.850547790527344,74.35177612304688,99.82078552246094,,,150.212158203125,155.71060180664062,155.3333282470703
01-17,,,,36.00598907470703,45.37903594970703,74.77194213867188,,,130.6124267578125,148.7799072265625,156.77796936035156,155.36256408691406
01-18,,,36.01990127563477,36.6994743347168,45.25219345092773,,,,132.56646728515622,147.18946838378906,156.36029052734375,
01-19,,25.98808288574219,35.501678466796875,36.569007873535156,,,,98.73123168945312,130.90467834472656,152.7603759765625,,
01-20,10.398225784301758,26.88856506347656,35.62955856323242,36.6719970703125,,,100.2892837524414,97.78653717041016,131.84831237792972,,,
01-21,10.579291343688963,26.87531852722168,35.01710891723633,,,74.4821548461914,99.3144989013672,96.57195281982422,,,,153.910400390625
01-22,11.251811981201172,26.67006874084473,,,45.590415954589844,74.93856048583984,100.81825256347656,98.23902893066406,,151.72352600097656,155.20936584472656,154.69009399414062
01-23,11.38760757446289,,,35.90985107421875,45.10421752929688,74.47490692138672,101.60411834716795,,131.63121032714844,154.21022033691406,155.3393096923828,155.4990234375
01-24,,,35.23920440673828,35.7794075012207,45.39311599731445,73.43892669677734,,,132.47457885742188,151.48626708984375,156.64805603027344,153.7642059326172
01-25,,26.19996452331543,35.29303741455078,36.00598907470703,45.5058708190918,,,96.88949584960938,132.34100341796878,152.99761962890625,156.01687622070312,
01-26,11.491074562072756,26.06754302978516,34.74116897583008,35.9785270690918,,,103.27409362792969,102.21623229980469,133.28462219238278,155.51068115234375,,
01-27,11.943729400634766,25.93511962890625,34.916152954101555,36.02657699584961,,72.38845825195312,102.14817810058594,102.04954528808594,132.48294067382812,,,152.17559814453125
01-28,12.745583534240724,25.034637451171875,33.859512329101555,,45.23106384277344,71.71471405029297,101.64946746826172,103.6689682006836,,,157.65975952148438,152.8773193359375
01-29,11.749735832214355,24.47184181213379,,,45.7595329284668,70.07741546630861,103.93907165527344,104.17704010009766,,156.4069366455078,156.82440185546875,152.91629028320312
01-30,11.361743927001953,,,36.191368103027344,45.23810195922852,70.83808898925781,101.6418914794922,,133.36811828613278,156.17848205566406,154.0398712158203,151.83447265625
01-31,,,34.64695358276367,36.012847900390625,45.67497634887695,71.72919464111328,,,131.99028015136722,155.0713348388672,155.2650604248047,149.04708862304688
02-01,,25.12734222412109,34.579635620117195,36.665138244628906,46.15413665771485,,,105.66949462890624,130.98820495605472,154.56167602539062,155.05157470703125,
02-02,11.601006507873535,24.98829460144043,34.45850372314453,36.5072135925293,,,99.74522399902344,105.328125,130.86294555664062,149.5268096923828,,
02-03,11.872599601745605,24.90221977233887,34.95653915405273,37.57146835327149,,68.90377044677734,100.9013671875,104.41519927978516,132.35769653320312,,,148.27716064453125
02-04,11.523405075073242,24.5181827545166,35.34687805175781,,45.78772735595703,69.36020660400389,102.66958618164062,103.6372299194336,,,157.14923095703125,148.78395080566406
02-05,12.001931190490724,24.3261833190918,,,45.92865371704102,68.5560302734375,102.82826232910156,101.1048355102539,,145.42332458496094,157.94747924804688,152.43875122070312
02-06,12.622720718383787,,,36.48661422729492,46.33030700683594,69.44715118408203,96.87376403808594,,131.48089599609378,146.95223999023438,157.7896728515625,154.46592712402344
02-07,,,35.111331939697266,36.93290710449219,46.30915832519531,70.36720275878906,,,131.67295837402344,149.5883026123047,155.924072265625,154.37820434570312
02-08,,24.18713188171387,35.34015274047852,36.80932235717773,46.3725700378418,,,104.050048828125,133.49337768554688,145.34420776367188,156.6944580078125,
02-09,12.52572536468506,24.922080993652344,35.454566955566406,36.6994743347168,,,94.24412536621094,104.3357925415039,136.19061279296878,145.0103302001953,,
02-10,11.917868614196776,24.994915008544922,35.39398956298828,36.623931884765625,,71.0337142944336,98.40017700195312,104.67715454101562,137.20109558105472,,,156.51260375976562
02-11,12.085994720458984,25.57095718383789,35.2055549621582,,46.16822814941406,71.6784896850586,98.7175521850586,104.10560607910156,,,157.02857971191406,156.3859100341797
02-12,12.551587104797365,25.544471740722656,,,46.06254196166992,70.8598403930664,98.9518051147461,106.16167449951172,,149.31588745117188,156.67588806152344,157.70162963867188
