,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,6.385000228881836,,,,14.265000343322756,10.71500015258789,7.579999923706055,,,6.679999828338622,5.710000038146973,7.760000228881836
01-03,,,11.145000457763672,12.18000030517578,14.210000038146973,10.81999969482422,,,7.320000171661378,6.670000076293945,5.739999771118164,7.690000057220459
01-04,,10.520000457763672,10.845000267028807,12.274999618530273,14.31999969482422,,,6.6500000953674325,7.380000114440918,6.730000019073486,5.869999885559082,
01-05,6.25,10.5,10.920000076293944,12.015000343322756,,,7.420000076293945,6.5900001525878915,7.480000019073486,6.8400001525878915,,
01-06,6.574999809265138,10.449999809265137,11.024999618530273,11.899999618530273,,10.789999961853027,7.5,6.510000228881836,7.449999809265138,,,7.6599998474121085
01-07,6.0900001525878915,10.274999618530273,11.199999809265137,,14.375,10.755000114440918,7.510000228881836,6.369999885559082,,,5.78000020980835,7.940000057220459
01-08,6.369999885559082,10.494999885559082,,,14.585000038146973,10.699999809265137,7.5,6.21999979019165,,6.679999828338622,5.789999961853027,7.869999885559082
01-09,6.449999809265138,,,11.899999618530273,14.43000030517578,10.744999885559082,7.679999828338622,,7.539999961853027,6.6599998474121085,5.940000057220459,7.920000076293945
01-10,,,11.34000015258789,12.15999984741211,14.645000457763672,10.899999618530273,,,7.4000000953674325,6.630000114440918,5.789999961853027,8.029999732971191
01-11,,10.475000381469727,11.25,12.279999732971193,14.670000076293945,,,6.269999980926514,7.449999809265138,6.5900001525878915,5.949999809265138,
01-12,6.355000019073486,10.104999542236328,11.295000076293945,12.324999809265135,,,7.5999999046325675,6.110000133514403,7.449999809265138,6.519999980926514,,
01-13,6.420000076293945,10.204999923706056,11.210000038146973,12.175000190734865,,10.949999809265137,7.619999885559082,6.0,7.4099998474121085,,,8.029999732971191
01-14,6.3499999046325675,10.350000381469727,11.279999732971193,,14.670000076293945,10.854999542236328,7.480000019073486,6.019999980926514,,,5.960000038146973,8.069999694824219
01-15,6.230000019073486,10.3100004196167,,,14.4399995803833,10.795000076293944,7.539999961853027,5.5900001525878915,,,5.809999942779541,8.029999732971191
01-16,6.3499999046325675,,,,14.470000267028807,10.890000343322754,7.579999923706055,,,6.510000228881836,5.860000133514403,8.149999618530272
01-17,,,,12.1899995803833,14.510000228881836,10.875,,,7.380000114440918,6.559999942779541,5.9000000953674325,8.159999847412111
01-18,,,11.364999771118164,12.350000381469727,14.170000076293945,,,,7.360000133514403,6.550000190734862,5.9000000953674325,
01-19,,10.425000190734863,11.470000267028807,12.175000190734865,,,,5.610000133514403,7.3400001525878915,6.630000114440918,,
01-20,5.9650001525878915,10.274999618530273,11.420000076293945,12.244999885559082,,,7.550000190734862,5.550000190734863,7.4099998474121085,,,
01-21,6.0,10.045000076293944,11.609999656677244,,,10.835000038146973,7.619999885559082,5.610000133514403,,,,8.039999961853027
01-22,6.054999828338622,9.699999809265137,,,14.09000015258789,10.729999542236328,7.639999866485597,5.739999771118164,,6.730000019073486,5.860000133514403,8.180000305175781
01-23,6.054999828338622,,,12.289999961853027,14.21500015258789,10.520000457763672,7.550000190734862,,7.4000000953674325,6.670000076293945,5.980000019073486,8.180000305175781
01-24,,,11.380000114440918,12.114999771118164,14.350000381469727,10.390000343322754,,,7.489999771118164,6.710000038146973,5.9099998474121085,8.119999885559082
01-25,,9.850000381469727,11.329999923706055,12.295000076293945,14.279999732971193,,,5.6500000953674325,7.5,6.730000019073486,6.0999999046325675,
01-26,6.005000114440918,9.835000038146973,11.380000114440918,12.375,,,7.550000190734862,5.71999979019165,7.480000019073486,6.800000190734862,,
01-27,5.940000057220459,9.850000381469727,11.095000267028807,12.279999732971193,,10.390000343322754,7.489999771118164,5.789999961853027,7.510000228881836,,,8.010000228881836
01-28,6.0,9.75,11.135000228881836,,14.300000190734865,10.359999656677246,7.510000228881836,5.78000020980835,,,6.03000020980835,8.060000419616701
01-29,5.925000190734862,9.704999923706056,,,14.399999618530273,10.335000038146973,7.489999771118164,5.920000076293945,,6.739999771118164,6.179999828338622,8.100000381469728
01-30,5.699999809265138,,,12.25,14.270000457763672,10.385000228881836,7.489999771118164,,7.3499999046325675,6.739999771118164,6.1599998474121085,8.039999961853027
01-31,,,11.239999771118164,12.274999618530273,14.364999771118164,10.234999656677246,,,7.360000133514403,6.809999942779541,6.0900001525878915,7.920000076293945
02-01,,9.8149995803833,11.585000038146973,12.40999984741211,14.329999923706055,,,5.920000076293945,7.369999885559082,6.78000020980835,6.019999980926514,
02-02,5.880000114440918,9.670000076293944,11.350000381469727,12.4399995803833,,,7.579999923706055,5.869999885559082,7.539999961853027,6.6599998474121085,,
02-03,6.2750000953674325,9.720000267028807,11.420000076293945,12.53499984741211,,10.140000343322754,7.639999866485597,5.809999942779541,7.489999771118164,,,8.020000457763674
02-04,5.800000190734862,9.28499984741211,11.414999961853027,,14.335000038146973,10.265000343322754,7.639999866485597,5.889999866485597,,,6.039999961853027,8.180000305175781
02-05,6.239999771118164,9.395000457763672,,,14.34000015258789,10.135000228881836,7.699999809265138,5.820000171661378,,6.53000020980835,6.130000114440918,8.109999656677246
02-06,6.375,,,12.460000038146973,14.244999885559082,10.44499969482422,7.71999979019165,,7.3499999046325675,6.550000190734862,6.0,8.100000381469728
02-07,,,11.505000114440918,12.5649995803833,14.270000457763672,10.3149995803833,,,7.429999828338622,6.5,5.809999942779541,7.989999771118164
02-08,,9.324999809265137,11.5600004196167,12.475000381469727,14.265000343322756,,,5.820000171661378,7.519999980926514,6.489999771118164,5.829999923706055,
02-09,5.619999885559082,9.524999618530273,11.30500030517578,12.470000267028807,,,7.789999961853027,5.5900001525878915,7.5999999046325675,6.570000171661378,,
02-10,5.349999904632568,9.574999809265137,11.260000228881836,12.324999809265135,,10.350000381469727,7.739999771118164,5.6599998474121085,7.730000019073486,,,7.949999809265138
02-11,5.550000190734863,9.675000190734863,11.220000267028807,,14.154999732971193,10.699999809265137,7.610000133514403,5.78000020980835,,,5.809999942779541,8.079999923706055
