,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,,7.760000228881836,4.449999809265137,2.869999885559082,,,0.6000000238418579,0.30000001192092896,0.4300000071525574
01-03,,,12.34000015258789,10.75,8.010000228881836,4.5900001525878915,,,0.9900000095367432,0.6000000238418579,0.30000001192092896,0.4300000071525574
01-04,,10.5600004196167,12.140000343322756,10.720000267028807,8.050000190734862,,,0.6800000071525574,0.9900000095367432,0.6000000238418579,0.36000001430511475,
01-05,,10.5,12.100000381469727,10.649999618530273,,,2.940000057220459,0.6800000071525574,1.0199999809265137,0.6000000238418579,,
01-06,,10.670000076293944,12.06999969482422,10.649999618530273,,4.829999923706055,2.940000057220459,0.6800000071525574,1.0199999809265137,,,0.4300000071525574
01-07,,10.65999984741211,12.18000030517578,,8.479999542236326,5.0,2.940000057220459,0.6299999952316284,,,0.36000001430511475,0.4300000071525574
01-08,,10.640000343322754,,,8.399999618530272,5.0,2.940000057220459,0.6299999952316284,,0.6000000238418579,0.36000001430511475,0.4300000071525574
01-09,,,,10.720000267028807,8.390000343322754,4.71999979019165,2.940000057220459,,1.0199999809265137,0.6000000238418579,0.36000001430511475,0.41999998688697815
01-10,,,12.170000076293945,10.699999809265137,8.470000267028809,4.71999979019165,,,1.0199999809265137,0.6000000238418579,0.36000001430511475,0.41999998688697815
01-11,,10.579999923706056,12.25,10.68000030517578,8.619999885559082,,,0.6299999952316284,1.0199999809265137,0.6000000238418579,0.36000001430511475,
01-12,,10.550000190734863,12.1899995803833,10.609999656677246,,,2.940000057220459,0.6299999952316284,1.0199999809265137,0.6000000238418579,,
01-13,,10.699999809265137,12.09000015258789,10.510000228881836,,4.699999809265137,2.9200000762939453,0.5899999737739563,1.0900000333786009,,,0.41999998688697815
01-14,,10.720000267028807,12.170000076293945,,8.619999885559082,4.699999809265137,2.9200000762939453,0.5899999737739563,,,0.36000001430511475,0.41999998688697815
01-15,,10.760000228881836,,,8.619999885559082,4.449999809265137,2.9200000762939453,0.5899999737739563,,,0.36000001430511475,0.41999998688697815
01-16,,,,,8.710000038146973,4.429999828338623,2.9200000762939453,,,0.6000000238418579,0.36000001430511475,0.41999998688697815
01-17,,,,10.800000190734863,8.560000419616701,4.46999979019165,,,1.0800000429153442,0.6000000238418579,0.36000001430511475,0.41999998688697815
01-18,,,12.09000015258789,10.9399995803833,8.539999961853027,,,,1.100000023841858,0.6000000238418579,0.36000001430511475,
01-19,,11.0600004196167,12.119999885559082,10.989999771118164,,,,0.5899999737739563,1.100000023841858,0.6000000238418579,,
01-20,,10.899999618530273,12.010000228881836,11.119999885559082,,,2.8299999237060547,0.5899999737739563,1.0399999618530271,,,
01-21,,10.920000076293944,12.09000015258789,,,4.429999828338623,2.8299999237060547,0.5899999737739563,,,,0.41999998688697815
01-22,,10.84000015258789,,,8.579999923706055,4.449999809265137,2.8299999237060547,0.550000011920929,,0.6000000238418579,0.4300000071525574,0.4000000059604645
01-23,,,,11.359999656677244,8.520000457763674,4.449999809265137,2.8299999237060547,,1.0399999618530271,0.6000000238418579,0.4300000071525574,0.4000000059604645
01-24,,,12.039999961853027,11.350000381469727,8.560000419616701,4.449999809265137,,,1.0399999618530271,0.6000000238418579,0.3899999856948853,0.4000000059604645
01-25,,10.760000228881836,12.029999732971193,11.59000015258789,8.460000038146973,,,0.6000000238418579,1.0599999427795408,0.6000000238418579,0.3899999856948853,
01-26,,11.020000457763672,12.0,11.720000267028807,,,2.8299999237060547,0.6000000238418579,1.0599999427795408,0.6000000238418579,,
01-27,,11.020000457763672,12.079999923706055,11.640000343322756,,4.400000095367432,2.8299999237060547,0.6100000143051147,1.0599999427795408,,,0.4000000059604645
01-28,,10.949999809265137,11.989999771118164,,7.559999942779541,4.46999979019165,2.8299999237060547,0.6100000143051147,,,0.3899999856948853,0.4000000059604645
01-29,,10.949999809265137,,,7.71999979019165,4.420000076293945,2.8299999237060547,0.6100000143051147,,0.5799999833106995,0.3899999856948853,0.4000000059604645
01-30,,,,11.640000343322756,7.71999979019165,4.46999979019165,2.6600000858306885,,1.0599999427795408,0.5799999833106995,0.3899999856948853,0.4000000059604645
01-31,,,11.899999618530273,11.25,7.71999979019165,4.579999923706055,,,1.0599999427795408,0.5799999833106995,0.3899999856948853,0.4000000059604645
02-01,,10.8100004196167,12.039999961853027,11.0600004196167,7.699999809265138,,,0.5400000214576721,1.0599999427795408,0.5799999833106995,0.3899999856948853,
02-02,,11.06999969482422,11.899999618530273,11.109999656677246,,,2.5999999046325684,0.5400000214576721,1.0599999427795408,0.5799999833106995,,
02-03,,11.079999923706056,11.869999885559082,11.109999656677246,,4.449999809265137,2.5999999046325684,0.5799999833106995,0.9800000190734864,,,0.4000000059604645
02-04,,10.869999885559082,11.90999984741211,,7.1599998474121085,4.510000228881836,2.6600000858306885,0.5799999833106995,,,0.3899999856948853,0.4000000059604645
02-05,,10.979999542236328,,,7.53000020980835,4.349999904632568,2.6600000858306885,0.6000000238418579,,0.5799999833106995,0.3899999856948853,0.4000000059604645
02-06,,,,11.550000190734865,7.480000019073486,4.349999904632568,2.700000047683716,,0.9399999976158142,0.5799999833106995,0.3899999856948853,0.4000000059604645
02-07,,,11.869999885559082,11.539999961853027,7.480000019073486,4.300000190734863,,,0.9399999976158142,0.5799999833106995,0.3899999856948853,0.3899999856948853
02-08,,10.920000076293944,11.65999984741211,11.520000457763672,7.480000019073486,,,0.5699999928474426,1.0,0.5799999833106995,0.3899999856948853,
02-09,,10.84000015258789,11.81999969482422,11.34000015258789,,,2.700000047683716,0.5699999928474426,1.0199999809265137,0.5799999833106995,,
02-10,,10.920000076293944,11.800000190734865,11.34000015258789,,4.300000190734863,2.700000047683716,0.4900000095367432,1.0099999904632568,,,0.3899999856948853
02-11,,11.050000190734863,11.899999618530273,,7.550000190734862,4.300000190734863,2.700000047683716,0.5099999904632568,,,0.3899999856948853,0.3899999856948853
02-12,,10.989999771118164,,,7.679999828338622,4.329999923706056,2.700000047683716,0.5099999904632568,,0.5799999833106995,0.3899999856948853,0.3700000047683716
02-13,,,,11.270000457763672,7.679999828338622,4.329999923706056,2.700000047683716,,1.0299999713897705,0.5699999928474426,0.3899999856948853,0.3700000047683716
02-14,,,11.989999771118164,11.300000190734865,7.6500000953674325,4.329999923706056,,,0.9700000286102296,0.5699999928474426,0.3899999856948853,0.3700000047683716
02-15,,,11.979999542236328,11.529999732971193,7.690000057220459,,,,0.9700000286102296,0.5699999928474426,0.3899999856948853,
02-16,,11.18000030517578,12.170000076293945,11.529999732971193,,,,0.5099999904632568,1.0099999904632568,0.5699999928474426,,
02-17,,11.100000381469727,12.329999923706055,11.4399995803833,,,2.700000047683716,0.5099999904632568,1.0299999713897705,,,
02-18,,11.130000114440918,12.34000015258789,,,4.239999771118163,2.6600000858306885,0.5199999809265137,,,,0.3700000047683716
02-19,,11.140000343322754,,,7.690000057220459,4.239999771118163,2.6600000858306885,0.5199999809265137,,,0.3899999856948853,0.3700000047683716
02-20,,,,,7.519999980926514,4.230000019073486,2.6600000858306885,,,0.5400000214576721,0.3899999856948853,0.36000001430511475
02-21,,,,11.550000190734865,7.5,4.170000076293944,,,1.0499999523162842,0.5400000214576721,0.3899999856948853,0.36000001430511475
02-22,,11.130000114440918,12.100000381469727,11.550000190734865,7.5,,,0.5199999809265137,1.0499999523162842,0.4900000095367432,0.3899999856948853,
02-23,,10.949999809265137,12.0,11.470000267028807,,,2.6600000858306885,0.5199999809265137,1.1200000047683716,0.479999989271164,,
02-24,,10.920000076293944,12.050000190734865,11.649999618530273,,4.2100000381469735,2.6700000762939453,0.5400000214576721,0.9900000095367432,,,0.36000001430511475
02-25,,10.8100004196167,12.09000015258789,,7.440000057220459,4.2100000381469735,2.6700000762939453,0.5299999713897705,,,0.3899999856948853,0.33000001311302185
02-26,,10.93000030517578,,,7.449999809265138,4.2100000381469735,2.6700000762939453,0.5299999713897705,,0.5,0.3700000047683716,0.30000001192092896
02-27,,,,11.699999809265135,7.440000057220459,4.179999828338623,2.690000057220459,,0.8399999737739563,0.5,0.3799999952316284,0.30000001192092896
02-28,,,12.239999771118164,11.699999809265135,7.440000057220459,4.179999828338623,,,0.8500000238418579,0.5,0.3799999952316284,0.30000001192092896
02-29,,,,11.390000343322756,,,,0.5299999713897705,,,,
03-01,,11.010000228881836,12.220000267028807,11.270000457763672,7.440000057220459,,,0.5299999713897705,0.8899999856948853,0.5,0.3799999952316284,
03-02,,11.079999923706056,12.539999961853027,11.229999542236328,,,2.859999895095825,0.550000011920929,0.9300000071525574,0.4900000095367432,,0.30000001192092896
03-03,,11.220000267028807,12.640000343322756,,,4.139999866485597,2.859999895095825,0.6299999952316284,0.8799999952316284,,,0.30000001192092896
03-04,,11.210000038146973,12.59000015258789,,7.440000057220459,4.139999866485597,2.859999895095825,0.699999988079071,,,0.3799999952316284,0.30000001192092896
03-05,,11.279999732971193,,11.050000190734863,7.170000076293945,4.139999866485597,2.720000028610229,,,0.4900000095367432,0.36000001430511475,0.30000001192092896
03-06,,,,11.119999885559082,7.25,4.139999866485597,2.720000028610229,,0.8399999737739563,0.4900000095367432,0.36000001430511475,0.30000001192092896
03-07,,,12.859999656677244,11.18000030517578,7.25,4.139999866485597,,0.699999988079071,0.8399999737739563,0.4900000095367432,0.3400000035762787,
03-08,,11.350000381469727,12.329999923706055,11.020000457763672,7.25,,,0.7099999785423279,0.8399999737739563,0.479999989271164,0.3400000035762787,
