,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,40.68937301635742,,,,57.687503814697266,77.29048919677734,94.41046142578125,,,60.33000183105469,37.220001220703125,30.6200008392334
01-03,,,51.30460739135742,55.526893615722656,57.43257522583008,76.41793823242188,,,75.0,59.939998626708984,36.599998474121094,29.790000915527344
01-04,,43.85433578491211,51.10154724121094,54.86168670654297,58.19031524658203,,,78.9000015258789,76.94999694824219,59.7400016784668,37.459999084472656,
01-05,39.25394058227539,44.015384674072266,50.86347198486328,54.819671630859375,,,93.78653717041016,78.47000122070312,75.97000122070312,60.5099983215332,,
01-06,39.95415496826172,44.61756896972656,50.562374114990234,54.07744598388672,,76.24485778808594,93.1406021118164,78.27999877929688,76.94999694824219,,,29.290000915527344
01-07,38.686763763427734,45.317787170410156,50.625396728515625,,57.652103424072266,76.12227630615234,94.32971954345703,75.91000366210938,,,37.13999938964844,28.8700008392334
01-08,39.0928955078125,45.88495635986328,,,58.48774337768555,75.89873504638672,96.44371032714844,74.48999786376953,,60.849998474121094,37.869998931884766,28.850000381469727
01-09,38.224632263183594,,,54.658626556396484,58.64353942871094,76.28813171386719,97.11167907714844,,75.83999633789062,60.47999954223633,37.599998474121094,28.59000015258789
01-10,,,50.135250091552734,54.756649017333984,59.096778869628906,76.80733489990234,,,75.33000183105469,59.56999969482422,37.7400016784668,28.010000228881836
01-11,,45.42281723022461,50.450340270996094,54.54658889770508,58.73560333251953,,,73.36000061035156,75.44000244140625,60.29999923706055,38.7599983215332,
01-12,37.2723388671875,44.785621643066406,50.83546447753906,54.56059265136719,,,96.71529388427734,73.97000122070312,75.5999984741211,59.709999084472656,,
01-13,35.388763427734375,45.3107795715332,50.940494537353516,53.60129928588867,,75.71122741699219,96.26754760742188,73.63999938964844,75.55000305175781,,,28.030000686645508
01-14,32.608917236328125,44.99568557739258,50.975502014160156,,59.34463119506836,76.41793823242188,95.84915924072266,74.55999755859375,,,38.400001525878906,28.68000030517578
01-15,31.670635223388672,44.54054260253906,,,60.385643005371094,77.17512512207031,95.23990631103516,72.41999816894531,,,38.939998626708984,29.34000015258789
01-16,33.17608642578125,,,,60.102378845214844,76.89387512207031,96.22350311279297,,,62.02000045776367,38.97999954223633,29.8700008392334
01-17,,,,54.26650619506836,61.037166595458984,76.38909149169922,,,76.7300033569336,60.959999084472656,38.58000183105469,29.06999969482422
01-18,,,50.57638168334961,54.72164535522461,61.9436149597168,,,,76.86000061035156,59.97999954223633,39.06999969482422,
01-19,,45.05170440673828,50.55537414550781,54.93170928955078,,,,72.2699966430664,76.11000061035156,58.25,,
01-20,31.831684112548828,44.80662536621094,50.98950958251953,55.02973556518555,,,95.14448547363281,69.83999633789062,76.77999877929688,,,
01-21,32.98004150390625,42.586952209472656,50.84246063232422,,,76.67032623291016,94.96831512451172,70.55000305175781,,,,28.280000686645508
01-22,32.45487594604492,41.72569274902344,,,62.19856262207031,76.92993927001953,96.75199890136719,71.69000244140625,,58.81999969482422,38.380001068115234,27.170000076293945
01-23,32.2728271484375,,,54.86868667602539,62.120662689208984,75.90592193603516,95.67298889160156,,76.62999725341797,58.0099983215332,38.43000030517578,27.280000686645508
01-24,,,52.37593460083008,55.120758056640625,61.971946716308594,73.59831237792969,,,78.62000274658203,59.5099983215332,38.45000076293945,27.1200008392334
01-25,,41.39659118652344,52.51597213745117,55.40785217285156,61.97902297973633,,,71.87999725341797,79.5999984741211,59.02000045776367,39.25,
01-26,30.837379455566406,40.353275299072266,52.79606246948242,55.708946228027344,,,96.392333984375,72.1500015258789,79.69999694824219,58.93000030517578,,
01-27,34.289432525634766,40.20622634887695,52.64200973510742,54.78466033935547,,72.595947265625,94.99034881591797,71.12999725341797,78.55999755859375,,,26.469999313354492
01-28,34.60452651977539,39.786109924316406,51.59169387817383,,61.78781509399414,73.69927215576172,93.81590270996094,72.0199966430664,,,39.459999084472656,26.5
01-29,34.87060546875,38.86181640625,,,62.3897590637207,68.99752807617188,93.58834838867188,74.01000213623047,,57.43000030517578,39.27000045776367,26.010000228881836
01-30,33.35114288330078,,,54.58160400390625,62.49598693847656,68.51437377929688,93.96269989013672,,78.02999877929688,56.68000030517578,39.150001525878906,26.389999389648438
01-31,,,50.93349838256836,54.00041961669922,61.617855072021484,68.14659118652344,,,78.83999633789062,56.459999084472656,39.45000076293945,25.81999969482422
02-01,,39.13490676879883,48.32169723510742,53.720333099365234,62.34727096557617,,,73.48999786376953,77.69000244140625,55.25,39.61000061035156,
02-02,32.79096984863281,40.47230911254883,46.34009552001953,53.279197692871094,,,94.88758087158203,71.33999633789062,76.11000061035156,53.459999084472656,,
02-03,33.862300872802734,40.423301696777344,47.18034744262695,53.33521270751953,,66.74040222167969,96.54647827148438,81.41999816894531,76.58000183105469,,,29.270000457763672
02-04,33.407161712646484,39.36597442626953,47.18034744262695,,62.333106994628906,68.08169555664062,97.508056640625,76.19000244140625,,,39.81999969482422,30.5
02-05,34.450477600097656,39.27494812011719,,,62.72260665893555,67.8653564453125,98.71919250488281,74.6500015258789,,51.880001068115234,39.779998779296875,31.709999084472656
02-06,36.48809814453125,,,52.81707000732422,63.090850830078125,68.65860748291016,97.94847106933594,,76.0199966430664,52.7599983215332,39.72999954223633,31.700000762939453
02-07,,,47.327392578125,53.34922790527344,62.63053894042969,68.39177703857422,,,76.38999938964844,52.459999084472656,41.70000076293945,30.479999542236328
02-08,,39.04386901855469,47.614479064941406,53.3912353515625,62.481815338134766,,,73.91999816894531,76.48999786376953,49.45000076293945,42.34000015258789,
02-09,36.84520721435547,39.27494812011719,47.817535400390625,53.783355712890625,,,97.12635040283203,73.9000015258789,76.37000274658203,50.119998931884766,,
02-10,34.49949645996094,38.49771499633789,47.78953552246094,53.30720901489258,,69.44462585449219,97.80900573730469,74.36000061035156,77.75,,,38.869998931884766
02-11,32.79096984863281,38.49771499633789,49.02191925048828,,62.4747428894043,68.49996185302734,98.17601776123047,72.25,,,42.779998779296875,36.61000061035156
02-12,33.190093994140625,38.36466598510742,,,62.89257049560547,67.82930755615234,99.14493560791016,75.36000061035156,,50.97999954223633,43.720001220703125,34.66999816894531
02-13,33.078060150146484,,,53.49626922607422,63.13334655761719,69.43740844726562,101.65530395507812,,77.55000305175781,50.15999984741211,44.63999938964844,34.220001220703125
02-14,,,48.86785888671875,53.74834442138672,64.47179412841797,70.11526489257812,,,77.79000091552734,54.47999954223633,44.95000076293945,33.63999938964844
02-15,,,48.2936897277832,54.37853240966797,64.4006576538086,,,,78.0999984741211,54.290000915527344,45.02000045776367,
02-16,,38.78479766845703,48.50375747680664,55.09275817871094,,,,76.36000061035156,77.80000305175781,53.459999084472656,,
02-17,31.047441482543945,39.18391418457031,48.678802490234375,54.72164535522461,,,100.60919952392578,77.23999786376953,80.0199966430664,,,
02-18,31.08945655822754,39.520015716552734,48.846866607666016,,,69.93405151367188,100.60919952392578,75.7699966430664,,,,33.34000015258789
02-19,31.01243782043457,39.63905334472656,,,65.57429504394531,69.68035125732422,99.07688903808594,75.12000274658203,,,44.72999954223633,33.61000061035156
02-20,29.787057876586914,,,,65.1902084350586,69.89781951904297,98.93692779541016,,,52.58000183105469,45.630001068115234,34.36000061035156
02-21,,,,54.728641510009766,64.86299133300781,69.09323120117188,,,80.56999969482422,51.97999954223633,45.630001068115234,34.029998779296875
02-22,,39.91213607788086,47.89456558227539,54.36454391479492,65.09062194824219,,,76.87999725341797,81.70999908447266,51.72999954223633,46.310001373291016,
02-23,28.134557723999023,39.24694061279297,46.921268463134766,54.56059265136719,,,99.5262680053711,76.43000030517578,76.2699966430664,51.75,,
02-24,28.9818115234375,39.66706466674805,46.59917449951172,54.14746856689453,,69.23094177246094,99.78411102294922,76.5999984741211,74.69000244140625,,,33.70000076293945
02-25,28.75775146484375,40.619354248046875,47.93657684326172,,64.17304992675781,69.55713653564453,99.76937866210938,77.4000015258789,,,45.72999954223633,32.11000061035156
