,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,20.93000030517578,,,,13.359999656677246,17.829999923706055,9.789999961853027,,,10.020000457763672,7.949999809265137,7.019999980926514
01-03,,,31.690000534057617,26.209999084472656,13.449999809265137,17.6200008392334,,,9.529999732971191,10.109999656677246,8.109999656677246,7.130000114440918
01-04,,23.579999923706055,31.65999984741211,26.5,13.729999542236328,,,3.5299999713897705,9.479999542236328,10.109999656677246,8.539999961853027,
01-05,21.639999389648438,23.639999389648438,31.790000915527344,26.18000030517578,,,8.930000305175781,3.25,9.390000343322754,9.970000267028809,,
01-06,23.420000076293945,24.010000228881836,31.43000030517578,25.479999542236328,,17.479999542236328,8.850000381469727,3.009999990463257,9.239999771118164,,,7.300000190734863
01-07,22.139999389648438,23.81999969482422,31.290000915527344,,13.569999694824219,17.540000915527344,8.619999885559082,2.8299999237060547,,,8.670000076293945,7.230000019073486
01-08,22.299999237060547,24.010000228881836,,,13.4399995803833,17.549999237060547,8.789999961853027,2.7799999713897705,,10.0,8.710000038146973,6.929999828338623
01-09,21.25,,,25.34000015258789,13.260000228881836,17.40999984741211,8.600000381469727,,8.880000114440918,10.399999618530273,8.899999618530273,6.840000152587891
01-10,,,31.219999313354492,25.5,13.1899995803833,17.549999237060547,,,8.880000114440918,10.300000190734863,9.010000228881836,6.760000228881836
01-11,,24.0,32.08000183105469,24.889999389648438,13.15999984741211,,,2.450000047683716,8.890000343322754,10.609999656677246,9.039999961853027,
01-12,20.6299991607666,23.450000762939453,32.43000030517578,24.219999313354492,,,8.25,2.4000000953674316,8.979999542236328,10.880000114440918,,
01-13,21.90999984741211,23.59000015258789,32.75,24.530000686645508,,17.469999313354492,8.130000114440918,2.2899999618530273,9.229999542236328,,,6.71999979019165
01-14,21.420000076293945,23.639999389648438,32.93000030517578,,13.130000114440918,17.34000015258789,8.619999885559082,2.440000057220459,,,9.020000457763672,6.730000019073486
01-15,21.579999923706055,23.690000534057617,,,13.289999961853027,17.760000228881836,8.390000343322754,2.299999952316284,,,9.1899995803833,6.559999942779541
01-16,22.110000610351562,,,,13.279999732971191,18.020000457763672,9.050000190734863,,,10.930000305175781,9.149999618530273,6.489999771118164
01-17,,,,23.68000030517578,13.319999694824219,18.229999542236328,,,9.34000015258789,11.119999885559082,9.239999771118164,6.460000038146973
01-18,,,32.93000030517578,23.139999389648438,13.350000381469727,,,,9.0600004196167,10.850000381469727,9.369999885559082,
01-19,,23.75,32.22999954223633,23.149999618530273,,,,2.1600000858306885,9.210000038146973,10.789999961853027,,
01-20,20.899999618530273,23.3799991607666,31.649999618530273,23.139999389648438,,,8.579999923706055,2.200000047683716,9.100000381469727,,,
01-21,21.889999389648438,22.700000762939453,32.27000045776367,,,18.440000534057617,9.079999923706055,2.390000104904175,,,,6.079999923706055
01-22,20.920000076293945,22.15999984741211,,,13.600000381469727,18.479999542236328,9.100000381469727,2.6700000762939453,,11.0600004196167,8.670000076293945,5.730000019073486
01-23,21.780000686645508,,,23.360000610351562,13.399999618530273,18.270000457763672,9.210000038146973,,8.869999885559082,11.350000381469727,8.479999542236328,5.550000190734863
01-24,,,32.209999084472656,23.389999389648438,13.449999809265137,18.059999465942383,,,9.430000305175781,11.460000038146973,8.670000076293945,5.449999809265137
01-25,,22.559999465942383,31.59000015258789,23.799999237060547,13.34000015258789,,,2.450000047683716,9.5600004196167,11.65999984741211,8.699999809265137,
01-26,22.09000015258789,22.350000381469727,31.829999923706055,23.43000030517578,,,9.5600004196167,2.759999990463257,9.319999694824219,11.649999618530273,,
01-27,22.420000076293945,21.709999084472656,31.709999084472656,23.670000076293945,,17.709999084472656,9.890000343322754,2.8299999237060547,9.0600004196167,,,5.199999809265137
01-28,22.649999618530273,21.149999618530273,31.770000457763672,,13.390000343322754,18.149999618530273,9.229999542236328,3.1500000953674316,,,8.579999923706055,5.25
01-29,21.850000381469727,21.290000915527344,,,13.520000457763672,18.18000030517578,9.180000305175781,3.1700000762939453,,11.569999694824219,8.619999885559082,5.159999847412109
01-30,20.65999984741211,,,23.780000686645508,13.510000228881836,18.270000457763672,9.800000190734863,,8.619999885559082,11.239999771118164,8.880000114440918,5.159999847412109
01-31,,,32.25,23.81999969482422,13.449999809265137,18.079999923706055,,,8.930000305175781,11.359999656677246,8.65999984741211,5.099999904632568
02-01,,21.829999923706055,32.25,23.829999923706055,13.199999809265137,,,3.0799999237060547,9.199999809265137,11.279999732971191,8.609999656677246,
02-02,20.219999313354492,22.5,32.189998626708984,24.040000915527344,,,10.279999732971191,2.799999952316284,9.369999885559082,10.920000076293945,,
02-03,20.469999313354492,22.34000015258789,32.2599983215332,24.219999313354492,,17.65999984741211,11.300000190734863,3.140000104904175,9.300000190734863,,,5.019999980926514
02-04,20.739999771118164,21.6299991607666,32.2400016784668,,13.079999923706055,18.530000686645508,10.680000305175781,3.2100000381469727,,,8.600000381469727,4.889999866485596
02-05,20.889999389648438,21.40999984741211,,,13.600000381469727,19.010000228881836,11.289999961853027,3.190000057220459,,10.760000228881836,8.5,5.239999771118164
02-06,20.959999084472656,,,23.940000534057617,13.699999809265137,19.389999389648438,11.09000015258789,,8.930000305175781,10.829999923706055,8.449999809265137,5.190000057220459
02-07,,,32.119998931884766,24.209999084472656,13.510000228881836,19.459999084472656,,,8.569999694824219,10.529999732971191,8.020000457763672,5.110000133514404
02-08,,21.0,31.68000030517578,23.959999084472656,13.529999732971191,,,3.0399999618530273,8.510000228881836,10.069999694824219,7.940000057220459,
02-09,20.84000015258789,21.149999618530273,31.200000762939453,23.600000381469727,,,11.380000114440918,2.8499999046325684,8.8100004196167,9.989999771118164,,
02-10,19.700000762939453,21.350000381469727,31.1200008392334,23.450000762939453,,19.209999084472656,10.869999885559082,2.759999990463257,9.40999984741211,,,5.110000133514404
02-11,19.31999969482422,21.670000076293945,31.239999771118164,,13.229999542236328,19.3799991607666,10.829999923706055,2.690000057220459,,,7.840000152587891,5.070000171661377
02-12,19.25,21.68000030517578,,,13.239999771118164,19.559999465942383,11.079999923706055,2.880000114440918,,10.300000190734863,8.079999923706055,5.21999979019165
02-13,19.5,,,23.5,13.300000190734863,19.809999465942383,11.630000114440918,,9.380000114440918,10.170000076293945,8.239999771118164,5.340000152587891
02-14,,,31.260000228881836,23.559999465942383,13.1899995803833,19.639999389648438,,,9.609999656677246,10.539999961853027,8.34000015258789,5.260000228881836
02-15,,,30.850000381469727,23.719999313354492,12.600000381469727,,,,9.510000228881836,10.619999885559082,8.520000457763672,
02-16,,22.200000762939453,31.100000381469727,24.040000915527344,,,,2.890000104904175,9.4399995803833,10.5600004196167,,
02-17,18.18000030517578,22.270000457763672,31.079999923706055,24.200000762939453,,,11.600000381469727,3.2100000381469727,9.359999656677246,,,
02-18,17.459999084472656,22.43000030517578,30.559999465942383,,,19.850000381469727,11.149999618530273,3.0,,,,5.25
02-19,17.56999969482422,22.299999237060547,,,12.609999656677246,19.860000610351562,10.789999961853027,2.950000047683716,,,8.470000267028809,5.369999885559082
02-20,16.8700008392334,,,,12.350000381469727,19.829999923706055,10.789999961853027,,,10.470000267028809,8.670000076293945,5.260000228881836
02-21,,,,24.3799991607666,12.210000038146973,19.309999465942383,,,9.569999694824219,10.239999771118164,8.520000457763672,5.039999961853027
02-22,,22.190000534057617,31.3799991607666,24.40999984741211,12.720000267028809,,,2.9200000762939453,9.020000457763672,10.470000267028809,8.8100004196167,
02-23,15.380000114440918,21.719999313354492,32.38999938964844,24.639999389648438,,,10.100000381469727,2.630000114440918,9.020000457763672,11.470000267028809,,
02-24,16.25,21.979999542236328,31.959999084472656,23.959999084472656,,19.920000076293945,10.100000381469727,2.7799999713897705,8.729999542236328,,,4.71999979019165
02-25,16.670000076293945,22.030000686645508,31.739999771118164,,12.859999656677246,20.139999389648438,10.390000343322754,2.700000047683716,,,8.930000305175781,4.5
02-26,17.190000534057617,22.31999969482422,,,13.09000015258789,19.729999542236328,10.229999542236328,2.7899999618530273,,11.609999656677246,9.050000190734863,4.360000133514404
02-27,16.829999923706055,,,23.829999923706055,13.319999694824219,19.579999923706055,10.119999885559082,,8.770000457763672,11.5,9.039999961853027,4.230000019073486
02-28,,,32.68000030517578,23.959999084472656,13.5600004196167,19.81999969482422,,,8.8100004196167,11.050000190734863,8.819999694824219,4.340000152587891
02-29,,,,24.0,,,,2.890000104904175,,,,
03-01,,22.790000915527344,32.220001220703125,24.3799991607666,13.770000457763672,,,3.049999952316284,9.170000076293945,10.869999885559082,8.729999542236328,
03-02,14.619999885559082,23.040000915527344,32.279998779296875,24.09000015258789,,,10.140000343322754,3.2799999713897705,8.850000381469727,10.899999618530273,,4.320000171661377
03-03,13.859999656677246,23.209999084472656,32.36000061035156,,,19.6299991607666,10.420000076293945,3.5399999618530273,8.779999732971191,,,4.230000019073486
03-04,14.399999618530273,23.110000610351562,32.45000076293945,,13.600000381469727,19.59000015258789,10.510000228881836,3.7799999713897705,,,8.84000015258789,4.230000019073486
03-05,13.649999618530273,23.329999923706055,,23.860000610351562,13.710000038146973,19.40999984741211,10.329999923706055,,,11.149999618530273,8.680000305175781,4.03000020980835
03-06,13.34000015258789,,,23.350000381469727,13.770000457763672,19.43000030517578,10.180000305175781,,8.970000267028809,11.020000457763672,8.470000267028809,3.4800000190734863
03-07,,,32.16999816894531,23.06999969482422,14.170000076293945,19.200000762939453,,3.9100000858306885,9.050000190734863,10.760000228881836,8.3100004196167,
03-08,,23.270000457763672,32.029998779296875,23.350000381469727,14.390000343322754,,,3.5299999713897705,8.420000076293945,10.869999885559082,8.229999542236328,
03-09,13.279999732971191,23.239999771118164,31.43000030517578,23.700000762939453,,,9.770000457763672,3.5999999046325684,8.130000114440918,11.0600004196167,,2.140000104904175
03-10,14.109999656677246,23.3700008392334,30.700000762939453,,,19.0,9.40999984741211,3.5199999809265137,8.289999961853027,,,2.0999999046325684
03-11,13.880000114440918,23.420000076293945,30.459999084472656,,14.550000190734863,18.75,9.770000457763672,3.619999885559082,,,8.229999542236328,1.9500000476837158
03-12,15.119999885559082,23.540000915527344,,23.360000610351562,14.550000190734863,18.639999389648438,9.529999732971191,,,10.949999809265137,8.359999656677246,1.649999976158142
03-13,15.239999771118164,,,23.59000015258789,14.289999961853027,18.68000030517578,9.300000190734863,,8.199999809265137,10.960000038146973,8.449999809265137,2.0
03-14,,,30.700000762939453,23.229999542236328,14.670000076293945,18.75,,3.5,8.039999961853027,10.899999618530273,8.380000114440918,
03-15,,23.399999618530273,29.530000686645508,23.5,15.010000228881836,,,3.450000047683716,8.369999885559082,10.850000381469727,8.180000305175781,
03-16,15.869999885559082,23.56999969482422,29.90999984741211,23.75,,,9.319999694824219,3.700000047683716,8.239999771118164,10.989999771118164,,1.7300000190734863
03-17,16.40999984741211,23.6299991607666,30.829999923706055,,,18.90999984741211,9.460000038146973,3.880000114440918,8.079999923706055,,,1.5700000524520874
03-18,16.979999542236328,23.3799991607666,31.020000457763672,,14.869999885559082,19.079999923706055,10.069999694824219,3.690000057220459,,,8.510000228881836,1.4199999570846558
03-19,17.25,23.079999923706055,,23.709999084472656,14.789999961853027,18.950000762939453,9.640000343322754,,,10.710000038146973,8.289999961853027,1.4800000190734863
03-20,16.8700008392334,,,23.239999771118164,14.75,19.059999465942383,9.880000114440918,,8.0600004196167,11.020000457763672,8.75,1.4199999570846558
03-21,,,31.729999542236328,23.229999542236328,14.640000343322754,19.549999237060547,,3.700000047683716,7.610000133514404,12.050000190734863,8.970000267028809,
03-22,,23.229999542236328,31.540000915527344,22.809999465942383,14.609999656677246,,,3.7100000381469727,7.460000038146973,11.65999984741211,8.710000038146973,
03-23,18.229999542236328,23.639999389648438,31.6299991607666,23.059999465942383,,,9.9399995803833,3.559999942779541,7.550000190734863,11.460000038146973,,1.2999999523162842
03-24,17.799999237060547,23.25,31.6200008392334,,,19.260000228881836,10.229999542236328,3.7200000286102295,7.489999771118164,,,1.409999966621399
03-25,17.489999771118164,23.059999465942383,31.5,,14.539999961853027,19.229999542236328,10.380000114440918,,,,8.6899995803833,1.5099999904632568
03-26,18.049999237060547,22.950000762939453,,23.209999084472656,14.869999885559082,19.25,10.529999732971191,,,11.529999732971191,8.75,1.4700000286102295
03-27,17.350000381469727,,,23.06999969482422,14.729999542236328,19.690000534057617,10.09000015258789,,7.639999866485596,11.210000038146973,8.539999961853027,1.3200000524520874
03-28,,,31.479999542236328,22.700000762939453,14.609999656677246,19.8799991607666,,3.640000104904175,7.920000076293945,11.029999732971191,8.489999771118164,
03-29,,23.25,31.649999618530273,22.459999084472656,,,,3.7300000190734863,8.199999809265137,11.260000228881836,8.40999984741211,
03-30,16.18000030517578,23.31999969482422,31.780000686645508,22.420000076293945,,,10.210000038146973,3.8299999237060547,8.0,,,1.3200000524520874
03-31,16.3700008392334,23.709999084472656,31.65999984741211,,,20.030000686645508,10.140000343322754,3.930000066757202,8.050000190734863,,,1.4800000190734863
04-01,17.309999465942383,24.1299991607666,31.799999237060547,,14.449999809265137,19.989999771118164,10.4399995803833,3.869999885559082,,,8.65999984741211,1.4900000095367432
04-02,18.239999771118164,,,22.690000534057617,14.579999923706055,19.969999313354492,10.710000038146973,,,10.960000038146973,8.399999618530273,1.7200000286102295
04-03,18.40999984741211,,,22.110000610351562,13.90999984741211,19.989999771118164,,,7.960000038146973,11.170000076293945,8.229999542236328,1.8200000524520874
04-04,,,31.84000015258789,21.059999465942383,13.4399995803833,19.719999313354492,,3.700000047683716,8.029999732971191,11.149999618530273,8.420000076293945,
04-05,,24.440000534057617,31.93000030517578,20.700000762939453,13.680000305175781,,,3.569999933242798,7.989999771118164,11.510000228881836,8.680000305175781,
04-06,18.639999389648438,24.440000534057617,31.950000762939453,,,,11.199999809265137,3.9200000762939453,8.0,11.020000457763672,,1.8700000047683716
04-07,17.809999465942383,24.0,32.0099983215332,,,20.040000915527344,11.420000076293945,3.9000000953674316,7.829999923706055,,,1.9700000286102295
04-08,18.110000610351562,23.899999618530273,32.33000183105469,,13.859999656677246,20.540000915527344,10.890000343322754,4.199999809265137,,,9.0600004196167,2.0399999618530273
04-09,18.559999465942383,23.81999969482422,,19.829999923706055,14.239999771118164,21.06999969482422,11.239999771118164,,,10.949999809265137,8.989999771118164,2.130000114440918
04-10,,,,19.31999969482422,14.039999961853027,20.989999771118164,11.579999923706055,,8.020000457763672,11.420000076293945,9.100000381469727,
04-11,,,31.690000534057617,19.09000015258789,14.149999618530273,21.15999984741211,,4.340000152587891,8.149999618530273,11.699999809265137,8.989999771118164,
04-12,,23.829999923706055,30.670000076293945,19.34000015258789,13.899999618530273,,,4.809999942779541,8.09000015258789,11.649999618530273,9.170000076293945,
04-13,18.700000762939453,23.829999923706055,30.670000076293945,18.760000228881836,,,11.430000305175781,4.849999904632568,7.840000152587891,11.84000015258789,,2.1700000762939453
04-14,18.459999084472656,23.989999771118164,30.65999984741211,,,21.059999465942383,11.739999771118164,4.829999923706055,,,,2.0
04-15,18.850000381469727,23.93000030517578,30.770000457763672,,13.210000038146973,21.15999984741211,12.65999984741211,4.590000152587891,,,9.09000015258789,1.8899999856948853
04-16,19.030000686645508,23.530000686645508,,18.520000457763672,13.40999984741211,21.56999969482422,12.710000038146973,,,11.449999809265137,8.949999809265137,1.6799999475479126
04-17,19.270000457763672,,,18.459999084472656,12.760000228881836,21.889999389648438,12.720000267028809,,7.880000114440918,11.699999809265137,8.890000343322754,1.840000033378601
04-18,,,30.34000015258789,18.020000457763672,12.899999618530273,,,4.889999866485596,7.989999771118164,12.079999923706055,8.960000038146973,
04-19,,23.40999984741211,30.729999542236328,18.09000015258789,12.869999885559082,,,5.269999980926514,7.710000038146973,11.819999694824219,,
04-20,17.68000030517578,24.139999389648438,31.020000457763672,18.049999237060547,,,12.880000114440918,5.179999828338623,7.519999980926514,11.699999809265137,,1.8200000524520874
04-21,17.90999984741211,24.3700008392334,31.190000534057617,,,21.959999084472656,12.479999542236328,5.139999866485596,7.5,,,1.8600000143051147
04-22,18.079999923706055,24.420000076293945,,,12.8100004196167,22.059999465942383,12.369999885559082,5.449999809265137,,,9.619999885559082,2.0
04-23,18.899999618530273,24.6299991607666,,17.829999923706055,12.760000228881836,22.030000686645508,12.75,,,11.890000343322754,9.710000038146973,2.2100000381469727
04-24,19.670000076293945,,,17.6299991607666,13.050000190734863,21.899999618530273,12.4399995803833,,7.460000038146973,12.010000228881836,9.470000267028809,2.1500000953674316
