,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.7099999785423279,,,,5.449999809265137,11.779999732971191,14.75,,,12.800000190734863,11.460000038146973,9.529999732971191
01-03,,,6.5,4.599999904632568,5.409999847412109,11.770000457763672,,,13.149999618530273,12.600000381469727,11.220000267028809,9.699999809265137
01-04,,2.700000047683716,6.429999828338623,4.630000114440918,5.349999904632568,,,13.020000457763672,13.399999618530273,13.300000190734863,11.59000015258789,
01-05,0.7200000286102295,2.4200000762939453,6.510000228881836,4.489999771118164,,,15.029999732971191,12.859999656677246,13.449999809265137,12.800000190734863,,
01-06,0.75,2.3499999046325684,6.599999904632568,4.599999904632568,,11.739999771118164,15.0,12.609999656677246,13.300000190734863,,,9.649999618530273
01-07,0.8100000023841858,2.6500000953674316,6.5,,5.349999904632568,11.699999809265137,15.300000190734863,12.149999618530273,,,12.619999885559082,9.579999923706055
01-08,0.800000011920929,2.450000047683716,,,5.289999961853027,11.670000076293945,15.779999732971191,11.510000228881836,,13.0,12.65999984741211,9.819999694824219
01-09,0.8500000238418579,,,4.570000171661377,5.349999904632568,10.890000343322754,16.010000228881836,,13.0,13.050000190734863,12.789999961853027,9.600000381469727
01-10,,,6.690000057220459,4.650000095367432,5.300000190734863,10.609999656677246,,,13.25,12.75,12.529999732971191,9.520000457763672
01-11,,2.5999999046325684,7.03000020980835,4.53000020980835,5.349999904632568,,,11.520000457763672,13.350000381469727,12.899999618530273,12.5600004196167,
01-12,0.949999988079071,2.5299999713897705,6.949999809265137,4.599999904632568,,,15.760000228881836,11.800000190734863,13.25,13.0,,
01-13,0.8999999761581421,2.619999885559082,6.849999904632568,4.550000190734863,,10.65999984741211,15.420000076293945,12.979999542236328,13.649999618530273,,,9.1899995803833
01-14,1.1200000047683716,2.619999885559082,6.769999980926514,,5.309999942779541,10.890000343322754,15.25,13.119999885559082,,,12.010000228881836,9.079999923706055
01-15,1.1399999856948853,2.5399999618530273,,,5.300000190734863,11.199999809265137,15.029999732971191,12.710000038146973,,,11.989999771118164,9.0600004196167
01-16,0.949999988079071,,,,5.260000228881836,11.039999961853027,15.529999732971191,,,12.800000190734863,12.100000381469727,9.170000076293945
01-17,,,,4.409999847412109,5.389999866485596,11.520000457763672,,,13.199999809265137,13.100000381469727,11.779999732971191,8.970000267028809
01-18,,,6.230000019073486,4.429999828338623,5.420000076293945,,,,13.149999618530273,12.699999809265137,11.680000305175781,
01-19,,2.5199999809265137,5.320000171661377,4.400000095367432,,,,13.079999923706055,13.100000381469727,13.050000190734863,,
01-20,0.949999988079071,2.390000104904175,5.400000095367432,4.400000095367432,,,15.289999961853027,12.949999809265137,13.100000381469727,,,
01-21,0.7300000190734863,2.309999942779541,5.360000133514404,,,11.640000343322754,15.489999771118164,12.869999885559082,,,,9.0
01-22,0.8100000023841858,2.2799999713897705,,,5.449999809265137,11.800000190734863,16.190000534057617,12.9399995803833,,13.149999618530273,11.760000228881836,8.899999618530273
01-23,0.7599999904632568,,,4.420000076293945,5.409999847412109,11.670000076293945,16.139999389648438,,13.149999618530273,13.050000190734863,11.770000457763672,8.949999809265137
01-24,,,5.900000095367432,4.510000228881836,5.519999980926514,11.489999771118164,,,13.25,13.0,11.680000305175781,8.949999809265137
01-25,,2.359999895095825,5.730000019073486,4.510000228881836,5.46999979019165,,,12.84000015258789,13.300000190734863,13.149999618530273,11.5600004196167,
01-26,0.699999988079071,2.7200000286102295,6.010000228881836,4.519999980926514,,,16.31999969482422,13.029999732971191,13.199999809265137,13.149999618530273,,
01-27,0.6700000166893005,2.6600000858306885,6.340000152587891,4.579999923706055,,11.510000228881836,16.260000228881836,12.75,13.25,,,8.9399995803833
01-28,0.7400000095367432,2.5299999713897705,5.960000038146973,,5.440000057220459,11.899999618530273,15.630000114440918,11.829999923706055,,,11.619999885559082,8.949999809265137
01-29,0.5099999904632568,2.430000066757202,,,5.460000038146973,11.739999771118164,15.800000190734863,12.100000381469727,,13.0,11.630000114440918,8.989999771118164
01-30,0.5,,,4.659999847412109,5.53000020980835,11.9399995803833,15.239999771118164,,13.149999618530273,12.699999809265137,11.75,8.899999618530273
01-31,,,6.190000057220459,4.670000076293945,5.489999771118164,11.890000343322754,,,13.199999809265137,12.850000381469727,11.15999984741211,8.800000190734863
02-01,,2.740000009536743,6.340000152587891,4.829999923706055,5.539999961853027,,,12.510000228881836,13.199999809265137,13.0,11.449999809265137,
02-02,0.550000011920929,2.690000057220459,6.289999961853027,4.829999923706055,,,16.100000381469727,11.989999771118164,13.100000381469727,12.699999809265137,,
02-03,0.6600000262260437,2.690000057220459,5.980000019073486,4.829999923706055,,11.869999885559082,16.219999313354492,12.100000381469727,13.149999618530273,,,9.0
02-04,0.6499999761581421,2.609999895095825,5.809999942779541,,5.53000020980835,11.710000038146973,15.989999771118164,12.119999885559082,,,11.109999656677246,9.300000190734863
02-05,0.5799999833106995,2.5,,,5.510000228881836,11.859999656677246,15.930000305175781,11.300000190734863,,12.350000381469727,11.069999694824219,9.260000228881836
02-06,0.6000000238418579,,,4.880000114440918,5.550000190734863,11.699999809265137,15.899999618530273,,13.0,12.399999618530273,11.1899995803833,9.130000114440918
02-07,,,5.679999828338623,4.900000095367432,5.599999904632568,11.779999732971191,,,13.0,12.5,11.170000076293945,9.029999732971191
02-08,,2.6500000953674316,5.78000020980835,4.889999866485596,5.75,,,11.640000343322754,12.899999618530273,12.550000190734863,11.34000015258789,
02-09,0.5699999928474426,2.5999999046325684,5.75,4.96999979019165,,,15.729999542236328,11.3100004196167,12.800000190734863,12.850000381469727,,
02-10,0.5600000023841858,2.3499999046325684,5.75,4.869999885559082,,11.829999923706055,15.789999961853027,11.279999732971191,13.050000190734863,,,9.119999885559082
02-11,0.5699999928474426,2.700000047683716,5.860000133514404,,5.909999847412109,12.399999618530273,15.789999961853027,11.039999961853027,,,11.460000038146973,8.880000114440918
02-12,0.6000000238418579,2.680000066757202,,,5.849999904632568,12.239999771118164,15.979999542236328,11.069999694824219,,12.800000190734863,11.5,8.8100004196167
02-13,0.6000000238418579,,,4.679999828338623,5.880000114440918,12.239999771118164,15.829999923706055,,13.199999809265137,12.699999809265137,11.550000190734863,8.850000381469727
02-14,,,5.96999979019165,4.699999809265137,5.909999847412109,12.09000015258789,,,13.100000381469727,12.300000190734863,11.550000190734863,8.529999732971191
02-15,,,5.829999923706055,4.679999828338623,5.909999847412109,,,,13.050000190734863,12.699999809265137,11.9399995803833,
02-16,,2.5399999618530273,5.800000190734863,4.679999828338623,,,,11.550000190734863,12.949999809265137,12.449999809265137,,
02-17,0.6000000238418579,2.609999895095825,5.659999847412109,4.789999961853027,,,15.819999694824219,11.65999984741211,13.0,,,
02-18,0.47999998927116394,2.569999933242798,5.610000133514404,,,11.9399995803833,15.5600004196167,12.020000457763672,,,,8.550000190734863
02-19,0.33000001311302185,2.5399999618530273,,,5.880000114440918,11.920000076293945,15.449999809265137,12.119999885559082,,,12.680000305175781,8.520000457763672
02-20,0.4000000059604645,,,,5.639999866485596,11.869999885559082,15.520000457763672,,,12.0,12.460000038146973,8.550000190734863
02-21,,,,4.800000190734863,5.690000057220459,12.039999961853027,,,12.949999809265137,12.050000190734863,12.800000190734863,8.949999809265137
02-22,,2.440000057220459,5.71999979019165,4.849999904632568,5.650000095367432,,,12.260000228881836,13.0,12.0,12.829999923706055,
02-23,0.4099999964237213,2.690000057220459,5.599999904632568,4.849999904632568,,,15.229999542236328,12.260000228881836,13.25,12.100000381469727,,
02-24,0.49000000953674316,2.4200000762939453,5.590000152587891,4.920000076293945,,11.170000076293945,15.460000038146973,12.329999923706055,13.050000190734863,,,8.770000457763672
02-25,0.4699999988079071,2.5899999141693115,5.5,,5.829999923706055,11.15999984741211,15.619999885559082,12.430000305175781,,,12.609999656677246,8.5
02-26,0.4699999988079071,2.559999942779541,,,5.710000038146973,11.600000381469727,15.5600004196167,12.510000228881836,,12.050000190734863,12.289999961853027,9.010000228881836
02-27,0.4399999976158142,,,4.809999942779541,5.699999809265137,11.859999656677246,15.5,,13.0,12.300000190734863,11.90999984741211,8.609999656677246
02-28,,,5.829999923706055,4.829999923706055,5.78000020980835,11.729999542236328,,,13.0,12.149999618530273,12.199999809265137,8.489999771118164
02-29,,,,4.809999942779541,,,,12.600000381469727,,,,
03-01,,2.6500000953674316,6.070000171661377,4.800000190734863,5.849999904632568,,,13.069999694824219,13.350000381469727,12.550000190734863,12.149999618530273,
03-02,0.41999998688697815,2.680000066757202,6.139999866485596,5.28000020980835,,,15.710000038146973,13.100000381469727,13.550000190734863,12.850000381469727,,8.520000457763672
03-03,0.4099999964237213,2.569999933242798,6.150000095367432,,,11.949999809265137,15.579999923706055,13.449999809265137,13.25,,,8.010000228881836
03-04,0.4099999964237213,2.5399999618530273,6.150000095367432,,5.889999866485596,11.850000381469727,15.539999961853027,13.300000190734863,,,11.880000114440918,7.75
03-05,0.41999998688697815,2.569999933242798,,5.369999885559082,6.010000228881836,11.65999984741211,15.640000343322754,,,13.350000381469727,11.770000457763672,7.619999885559082
03-06,0.4099999964237213,,,5.610000133514404,5.900000095367432,11.979999542236328,15.470000267028809,,13.100000381469727,13.350000381469727,11.539999961853027,7.320000171661377
03-07,,,5.889999866485596,5.5,5.989999771118164,11.6899995803833,,13.6899995803833,12.899999618530273,13.199999809265137,11.649999618530273,
03-08,,2.680000066757202,6.0,5.510000228881836,6.090000152587891,,,13.390000343322754,13.050000190734863,13.149999618530273,11.359999656677246,
03-09,0.46000000834465027,2.5899999141693115,6.0,5.900000095367432,,,15.75,12.890000343322754,12.699999809265137,13.199999809265137,,7.079999923706055
03-10,0.46000000834465027,2.5999999046325684,5.880000114440918,,,11.800000190734863,15.720000267028809,12.880000114440918,12.75,,,6.840000152587891
03-11,0.5699999928474426,2.609999895095825,5.800000190734863,,6.199999809265137,11.9399995803833,15.729999542236328,12.899999618530273,,,11.729999542236328,6.409999847412109
03-12,0.49000000953674316,2.559999942779541,,5.989999771118164,6.139999866485596,12.770000457763672,15.949999809265137,,,13.5,11.869999885559082,6.159999847412109
03-13,0.49000000953674316,,,6.0,6.010000228881836,12.569999694824219,16.139999389648438,,12.680000305175781,13.350000381469727,11.800000190734863,7.260000228881836
03-14,,,5.800000190734863,5.849999904632568,5.989999771118164,12.600000381469727,,12.729999542236328,12.25,13.399999618530273,11.510000228881836,
03-15,,2.5999999046325684,5.75,5.659999847412109,6.050000190734863,,,12.5600004196167,12.350000381469727,13.300000190734863,11.649999618530273,
03-16,0.5099999904632568,2.5999999046325684,5.559999942779541,5.659999847412109,,,16.139999389648438,12.579999923706055,12.600000381469727,13.449999809265137,,6.099999904632568
03-17,0.5400000214576721,2.6500000953674316,5.519999980926514,,,12.569999694824219,16.040000915527344,12.460000038146973,12.949999809265137,,,7.300000190734863
03-18,0.4699999988079071,2.549999952316284,5.440000057220459,,6.179999828338623,12.5,16.15999984741211,12.600000381469727,,,11.789999961853027,6.360000133514404
03-19,0.5,2.549999952316284,,5.75,6.059999942779541,12.40999984741211,16.15999984741211,,,13.850000381469727,11.729999542236328,6.179999828338623
03-20,0.46000000834465027,,,5.760000228881836,6.110000133514404,12.510000228881836,16.75,,12.800000190734863,13.949999809265137,11.989999771118164,6.0
03-21,,,5.849999904632568,5.739999771118164,6.170000076293945,12.59000015258789,,12.739999771118164,12.550000190734863,14.149999618530273,11.899999618530273,
03-22,,2.890000104904175,5.650000095367432,5.900000095367432,6.110000133514404,,,12.619999885559082,12.550000190734863,14.0,11.529999732971191,
03-23,0.47999998927116394,2.8299999237060547,5.829999923706055,5.710000038146973,,,16.90999984741211,12.100000381469727,12.75,13.850000381469727,,5.889999866485596
03-24,0.5600000023841858,2.609999895095825,5.849999904632568,,,12.579999923706055,16.6299991607666,11.970000267028809,12.75,,,6.400000095367432
03-25,0.8999999761581421,2.559999942779541,5.710000038146973,,6.059999942779541,12.579999923706055,16.239999771118164,,,,11.550000190734863,6.5
03-26,0.800000011920929,2.690000057220459,,5.940000057220459,6.139999866485596,13.220000267028809,16.450000762939453,,,13.75,11.649999618530273,6.269999980926514
03-27,0.8500000238418579,,,5.940000057220459,6.039999961853027,13.34000015258789,16.59000015258789,,12.649999618530273,13.449999809265137,11.510000228881836,5.679999828338623
03-28,,,5.539999961853027,5.880000114440918,6.170000076293945,13.140000343322754,,11.899999618530273,13.0,13.600000381469727,11.5600004196167,
03-29,,2.6700000762939453,5.769999980926514,5.96999979019165,,,,12.0,12.75,13.699999809265137,11.170000076293945,
03-30,0.7900000214576721,2.619999885559082,5.650000095367432,5.920000076293945,,,16.8700008392334,11.90999984741211,12.850000381469727,,,6.099999904632568
03-31,0.6399999856948853,2.640000104904175,5.550000190734863,,,13.399999618530273,17.3799991607666,11.770000457763672,12.899999618530273,,,5.949999809265137
04-01,0.75,2.630000114440918,5.550000190734863,,6.170000076293945,14.09000015258789,17.190000534057617,11.710000038146973,,,11.510000228881836,5.119999885559082
04-02,0.7599999904632568,,,6.03000020980835,6.099999904632568,14.079999923706055,17.100000381469727,,,13.649999618530273,11.670000076293945,5.449999809265137
04-03,0.75,,,5.730000019073486,6.099999904632568,14.130000114440918,,,12.899999618530273,13.600000381469727,11.779999732971191,4.75
04-04,,,5.679999828338623,5.809999942779541,6.110000133514404,14.039999961853027,,11.050000190734863,12.949999809265137,13.75,12.09000015258789,
04-05,,2.8299999237060547,5.539999961853027,5.800000190734863,6.110000133514404,,,11.210000038146973,12.649999618530273,13.949999809265137,12.399999618530273,
04-06,0.6899999976158142,2.8499999046325684,5.230000019073486,,,,16.989999771118164,11.220000267028809,12.949999809265137,13.850000381469727,,5.429999828338623
04-07,0.6899999976158142,2.930000066757202,5.360000133514404,,,14.079999923706055,17.030000686645508,10.920000076293945,13.050000190734863,,,5.510000228881836
04-08,0.7300000190734863,2.990000009536743,5.360000133514404,,6.099999904632568,14.579999923706055,17.3799991607666,10.960000038146973,,,12.029999732971191,5.800000190734863
04-09,0.7400000095367432,3.0,,5.78000020980835,6.070000171661377,14.899999618530273,17.43000030517578,,,13.949999809265137,11.869999885559082,6.199999809265137
04-10,,,,5.739999771118164,6.139999866485596,14.930000305175781,17.479999542236328,,12.850000381469727,14.300000190734863,12.069999694824219,
04-11,,,5.230000019073486,5.510000228881836,6.159999847412109,14.699999809265137,,10.949999809265137,13.0,14.25,11.75,
04-12,,3.190000057220459,5.199999809265137,5.610000133514404,6.170000076293945,,,10.960000038146973,12.850000381469727,14.050000190734863,11.609999656677246,
04-13,0.6299999952316284,3.4000000953674316,5.110000133514404,5.230000019073486,,,17.40999984741211,11.15999984741211,12.800000190734863,14.100000381469727,,6.309999942779541
04-14,0.699999988079071,3.380000114440918,5.010000228881836,,,14.949999809265137,17.280000686645508,11.0600004196167,,,,6.03000020980835
04-15,0.699999988079071,3.6500000953674316,5.099999904632568,,6.019999980926514,14.460000038146973,17.360000610351562,10.90999984741211,,,11.90999984741211,6.079999923706055
04-16,0.75,4.159999847412109,,5.96999979019165,6.079999923706055,15.119999885559082,17.299999237060547,,,14.199999809265137,11.949999809265137,6.949999809265137
04-17,0.8100000023841858,,,6.019999980926514,6.010000228881836,15.010000228881836,17.239999771118164,,13.100000381469727,14.25,11.720000267028809,7.349999904632568
04-18,,,5.21999979019165,6.0,6.0,,,10.899999618530273,13.050000190734863,14.25,11.5,
04-19,,4.03000020980835,5.25,5.989999771118164,6.079999923706055,,,10.979999542236328,13.100000381469727,13.399999618530273,,
04-20,0.6600000262260437,4.139999866485596,5.489999771118164,5.909999847412109,,,18.75,11.0,13.199999809265137,12.949999809265137,,7.730000019073486
04-21,0.75,4.300000190734863,5.510000228881836,,,14.989999771118164,18.93000030517578,11.0,13.149999618530273,,,7.630000114440918
04-22,0.9300000071525574,4.650000095367432,,,5.980000019073486,15.25,18.3799991607666,11.15999984741211,,,11.350000381469727,7.559999942779541
04-23,0.8100000023841858,4.550000190734863,,5.940000057220459,6.039999961853027,15.09000015258789,17.889999389648438,,,13.350000381469727,11.600000381469727,7.340000152587891
04-24,0.8899999856948853,,,6.010000228881836,6.050000190734863,14.779999732971191,18.75,,12.949999809265137,13.350000381469727,11.729999542236328,7.550000190734863
04-25,,,5.53000020980835,5.860000133514404,5.75,14.710000038146973,,11.3100004196167,13.399999618530273,13.25,11.529999732971191,
04-26,,4.449999809265137,5.400000095367432,5.829999923706055,5.730000019073486,,,11.899999618530273,13.449999809265137,13.25,11.760000228881836,
04-27,0.8799999952316284,4.349999904632568,5.429999828338623,5.760000228881836,,,19.170000076293945,11.989999771118164,14.149999618530273,13.100000381469727,,7.539999961853027
04-28,0.9900000095367432,3.8499999046325684,5.519999980926514,,,14.619999885559082,18.290000915527344,11.75,13.350000381469727,,,7.610000133514404
04-29,0.9900000095367432,3.9000000953674316,5.46999979019165,,5.71999979019165,14.550000190734863,18.420000076293945,11.930000305175781,,,12.100000381469727,8.949999809265137
04-30,0.9399999976158142,3.8499999046325684,,5.840000152587891,5.739999771118164,14.720000267028809,17.989999771118164,,,13.25,12.039999961853027,8.550000190734863
05-01,0.9800000190734863,,,5.869999885559082,5.739999771118164,14.569999694824219,18.299999237060547,,12.600000381469727,13.199999809265137,11.8100004196167,7.800000190734863
05-02,,,5.590000152587891,5.71999979019165,5.840000152587891,14.5600004196167,,11.930000305175781,12.649999618530273,13.350000381469727,11.84000015258789,
05-03,,4.25,5.510000228881836,5.71999979019165,5.809999942779541,,,11.630000114440918,12.25,13.300000190734863,12.050000190734863,
05-04,1.100000023841858,4.130000114440918,5.550000190734863,5.800000190734863,,,18.040000915527344,11.239999771118164,12.25,13.350000381469727,,7.789999961853027
05-05,1.149999976158142,3.7300000190734863,5.570000171661377,,,14.649999618530273,18.059999465942383,10.989999771118164,12.25,,,7.409999847412109
05-06,1.1399999856948853,3.9600000381469727,5.659999847412109,,5.920000076293945,14.829999923706055,18.0,10.770000457763672,,,11.829999923706055,7.650000095367432
