,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,3.00685715675354,,,,6.264935493469238,5.7637410163879395,7.159926891326904,,,19.09000015258789,30.0,33.75
01-03,,,4.082000255584717,4.1701979637146,6.264935493469238,5.7637410163879395,,,12.136155128479004,19.09000015258789,30.0,33.5
01-04,,3.9153120517730713,4.198629379272461,4.176624298095703,6.443933963775635,,,9.801939010620117,13.154573440551758,19.09000015258789,31.0,
01-05,2.3457746505737305,3.838541269302368,4.198629379272461,4.176624298095703,,,6.8377299308776855,9.486902236938477,13.154573440551758,19.09000015258789,,
01-06,2.580352783203125,3.791625738143921,4.100660800933838,4.176624298095703,,5.7637410163879395,6.8377299308776855,9.801939010620117,13.154573440551758,,,33.5
01-07,2.878905773162842,3.7660350799560547,4.100660800933838,,6.443933963775635,5.7637410163879395,7.159926891326904,9.801939010620117,,,31.0,33.5
01-08,3.11348295211792,3.7660350799560547,,,6.443933963775635,5.7637410163879395,7.159926891326904,9.307905197143555,,19.09000015258789,31.0,32.75
01-09,2.878905773162842,,,4.208752155303955,6.443933963775635,5.7637410163879395,7.159926891326904,,13.154573440551758,19.09000015258789,31.0,33.0
01-10,,,3.494191884994507,4.497902870178223,6.443933963775635,5.7637410163879395,,,13.154573440551758,19.09000015258789,31.0,32.0
01-11,,3.7660350799560547,2.5891547203063965,4.497902870178223,6.443933963775635,,,9.307905197143555,13.154573440551758,19.09000015258789,31.0,
01-12,2.878905773162842,3.7660350799560547,2.5611634254455566,4.497902870178223,,,7.159926891326904,9.307905197143555,12.602931022644043,19.09000015258789,,
01-13,2.686978578567505,3.9110472202301025,2.5611634254455566,4.497902870178223,,5.7637410163879395,7.338924407958984,9.5943021774292,14.580360412597656,,,32.0
01-14,2.7296290397644043,4.051793098449707,2.6124801635742188,,6.443933963775635,5.7637410163879395,7.338924407958984,9.5943021774292,,,31.0,32.0
01-15,2.9428811073303223,4.051793098449707,,,6.443933963775635,5.7637410163879395,7.338924407958984,9.307905197143555,,,31.0,32.0
