,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,19.559999465942383,,,,40.849998474121094,58.15999984741211,62.209999084472656,,,116.19000244140625,124.19000244140625,145.88999938964844
01-03,,,29.700000762939453,33.84000015258789,40.90999984741211,58.97999954223633,,,88.88999938964844,116.33999633789062,121.2300033569336,145.72000122070312
01-04,,23.850000381469727,29.299999237060547,32.970001220703125,41.0,,,76.52999877929688,89.73999786376953,118.63999938964844,124.04000091552734,
01-05,19.350000381469727,23.469999313354492,29.5,32.939998626708984,,,61.630001068115234,77.6500015258789,90.55999755859375,119.77999877929688,,
01-06,19.6299991607666,23.43000030517578,29.350000381469727,32.59000015258789,,58.900001525878906,61.40999984741211,77.70999908447266,90.8499984741211,,,146.72999572753906
01-07,19.489999771118164,23.40999984741211,29.420000076293945,,41.06999969482422,59.18000030517578,61.95000076293945,76.87999725341797,,,123.81999969482422,146.47999572753906
01-08,19.6200008392334,23.200000762939453,,,40.880001068115234,59.790000915527344,63.22999954223633,76.44999694824219,,119.81999969482422,125.91999816894531,146.7100067138672
01-09,19.450000762939453,,,32.7599983215332,41.27000045776367,59.77000045776367,62.540000915527344,,90.20999908447266,121.0199966430664,126.33999633789062,148.6199951171875
01-10,,,29.510000228881836,33.0,41.150001525878906,59.790000915527344,,,89.5,122.33000183105469,126.12999725341797,145.50999450683594
01-11,,23.020000457763672,29.639999389648438,33.09000015258789,41.04999923706055,,,76.7300033569336,89.27999877929688,122.68000030517578,126.7300033569336,
01-12,18.969999313354492,22.920000076293945,29.68000030517578,33.189998626708984,,,63.0,77.9000015258789,89.2699966430664,123.37999725341797,,
01-13,19.079999923706055,23.25,29.68000030517578,32.790000915527344,,58.470001220703125,63.5099983215332,75.77999877929688,90.54000091552734,,,147.19000244140625
01-14,18.3700008392334,23.43000030517578,30.600000381469727,,41.2599983215332,59.09000015258789,63.18000030517578,77.12000274658203,,,126.44000244140625,147.07000732421875
01-15,18.670000076293945,23.200000762939453,,,41.150001525878906,59.13999938964844,62.52000045776367,74.52999877929688,,,128.8000030517578,148.64999389648438
01-16,18.969999313354492,,,,41.130001068115234,59.040000915527344,63.529998779296875,,,123.7300033569336,130.0500030517578,149.27000427246094
01-17,,,,33.209999084472656,41.209999084472656,58.36000061035156,,,90.19000244140625,124.79000091552734,129.5,149.47000122070312
01-18,,,31.06999969482422,33.630001068115234,41.41999816894531,,,,90.1500015258789,124.43000030517578,130.8699951171875,
01-19,,23.520000457763672,30.549999237060547,33.900001525878906,,,,75.62000274658203,90.25,125.1500015258789,,
01-20,18.149999618530273,23.170000076293945,30.229999542236328,33.91999816894531,,,63.09000015258789,75.13999938964844,90.7699966430664,,,
01-21,18.549999237060547,22.889999389648438,30.079999923706055,,,58.779998779296875,63.20000076293945,76.55000305175781,,,,149.61000061035156
01-22,18.200000762939453,22.440000534057617,,,41.869998931884766,59.380001068115234,64.75,78.31999969482422,,125.31999969482422,129.52999877929688,149.61000061035156
01-23,17.90999984741211,,,33.869998931884766,41.68000030517578,59.220001220703125,64.13999938964844,,91.02999877929688,126.0,130.2899932861328,152.41000366210938
01-24,,,30.190000534057617,34.20000076293945,41.689998626708984,57.4900016784668,,,91.19999694824219,125.1500015258789,131.14999389648438,151.25
01-25,,22.3799991607666,30.149999618530273,34.5,41.5099983215332,,,77.37999725341797,90.69999694824219,125.55000305175781,132.4499969482422,
01-26,17.969999313354492,22.170000076293945,30.200000762939453,34.40999984741211,,,64.01000213623047,77.9800033569336,89.69999694824219,126.52999877929688,,
