,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,42.349998474121094,,,,19.690000534057617,21.700000762939453,25.579999923706055,,,18.649999618530273,11.880000114440918,7.119999885559082
01-03,,,49.900001525878906,40.2599983215332,20.030000686645508,21.75,,,10.75,19.299999237060547,11.930000305175781,7.309999942779541
01-04,,36.86000061035156,49.349998474121094,40.0,20.799999237060547,,,7.880000114440918,10.75,19.450000762939453,12.550000190734863,
01-05,44.459999084472656,36.33000183105469,48.9900016784668,39.95000076293945,,,25.329999923706055,7.590000152587891,10.600000381469727,19.549999237060547,,
01-06,46.2400016784668,36.36000061035156,49.08000183105469,39.939998626708984,,21.950000762939453,24.100000381469727,7.590000152587891,10.279999732971191,,,7.480000019073486
01-07,41.0,37.029998779296875,49.5,,21.31999969482422,21.940000534057617,23.799999237060547,7.820000171661377,,,12.720000267028809,7.389999866485596
01-08,42.0,36.61000061035156,,,20.979999542236328,21.760000228881836,24.56999969482422,7.730000019073486,,18.260000228881836,12.180000305175781,7.269999980926514
01-09,40.900001525878906,,,39.650001525878906,21.520000457763672,21.260000228881836,24.06999969482422,,10.399999618530273,17.75,12.279999732971191,7.179999828338623
01-10,,,49.95000076293945,40.060001373291016,21.520000457763672,21.209999084472656,,,10.100000381469727,17.600000381469727,13.220000267028809,7.0
01-11,,37.689998626708984,50.0,39.56999969482422,21.489999771118164,,,9.170000076293945,10.25,18.0,12.369999885559082,
01-12,41.099998474121094,37.790000915527344,50.040000915527344,39.75,,,24.200000762939453,8.699999809265137,10.0,18.0,,
01-13,39.75,38.0,49.0,39.95000076293945,,20.950000762939453,23.770000457763672,8.079999923706055,10.25,,,7.300000190734863
01-14,39.0,38.84000015258789,49.36000061035156,,21.670000076293945,21.809999465942383,23.6299991607666,8.369999885559082,,,12.649999618530273,7.329999923706055
01-15,38.439998626708984,39.880001068115234,,,21.670000076293945,21.940000534057617,23.299999237060547,7.639999866485596,,,12.869999885559082,7.400000095367432
01-16,38.79999923706055,,,,22.25,22.3799991607666,23.520000457763672,,,17.899999618530273,12.970000267028809,7.5
01-17,,,,39.279998779296875,22.899999618530273,22.290000915527344,,,10.039999961853027,18.100000381469727,13.020000457763672,7.550000190734863
01-18,,,48.54999923706055,39.95000076293945,23.360000610351562,,,,10.149999618530273,18.200000762939453,12.949999809265137,
01-19,,40.06999969482422,48.2599983215332,38.0099983215332,,,,6.659999847412109,12.100000381469727,18.200000762939453,,
01-20,38.06999969482422,40.4900016784668,48.54999923706055,36.9900016784668,,,23.1299991607666,6.800000190734863,12.199999809265137,,,
01-21,39.150001525878906,40.470001220703125,50.13999938964844,,,21.979999542236328,24.0,6.860000133514404,,,,7.769999980926514
01-22,37.5,38.720001220703125,,,23.829999923706055,22.15999984741211,24.0,7.190000057220459,,18.75,13.039999961853027,8.039999961853027
01-23,38.0,,,37.0,23.8700008392334,22.520000457763672,23.3700008392334,,12.100000381469727,19.25,13.09000015258789,8.220000267028809
01-24,,,49.5,37.75,24.229999542236328,23.0,,,12.0,19.5,12.949999809265137,7.809999942779541
01-25,,38.40999984741211,47.5099983215332,39.45000076293945,24.600000381469727,,,7.059999942779541,12.449999809265137,19.100000381469727,13.100000381469727,
01-26,35.380001068115234,39.029998779296875,47.47999954223633,40.5,,,23.65999984741211,6.829999923706055,14.050000190734863,19.010000228881836,,
01-27,36.5,38.380001068115234,47.77000045776367,41.099998474121094,,22.600000381469727,24.229999542236328,6.989999771118164,13.899999618530273,,,7.53000020980835
01-28,34.79999923706055,38.20000076293945,48.5,,24.649999618530273,22.739999771118164,25.299999237060547,7.239999771118164,,,12.850000381469727,7.769999980926514
01-29,34.9900016784668,38.619998931884766,,,24.59000015258789,22.790000915527344,25.139999389648438,8.0,,19.149999618530273,13.229999542236328,7.739999771118164
01-30,34.25,,,41.34000015258789,24.940000534057617,22.719999313354492,23.229999542236328,,13.800000190734863,17.93000030517578,13.1899995803833,7.699999809265137
01-31,,,49.599998474121094,41.47999954223633,24.389999389648438,22.75,,,13.050000190734863,15.600000381469727,13.130000114440918,7.550000190734863
02-01,,39.04999923706055,49.220001220703125,43.0,24.260000228881836,,,7.849999904632568,12.649999618530273,15.670000076293945,12.960000038146973,
02-02,34.11000061035156,38.959999084472656,47.77000045776367,42.75,,,23.59000015258789,7.349999904632568,12.75,15.569999694824219,,
02-03,34.900001525878906,40.0,47.650001525878906,42.61000061035156,,22.700000762939453,24.559999465942383,7.25,13.5,,,7.550000190734863
02-04,33.95000076293945,39.9900016784668,47.7400016784668,,23.8700008392334,22.700000762939453,23.75,7.5,,,12.880000114440918,7.630000114440918
02-05,34.029998779296875,38.849998474121094,,,23.25,22.520000457763672,23.81999969482422,7.349999904632568,,14.949999809265137,12.880000114440918,7.840000152587891
02-06,35.0,,,42.810001373291016,23.200000762939453,22.34000015258789,23.540000915527344,,13.300000190734863,15.649999618530273,12.640000343322754,7.420000076293945
02-07,,,47.400001525878906,42.900001525878906,22.549999237060547,22.579999923706055,,,13.199999809265137,15.949999809265137,12.399999618530273,7.329999923706055
02-08,,38.349998474121094,47.27000045776367,42.7599983215332,22.559999465942383,,,7.349999904632568,13.300000190734863,14.850000381469727,12.350000381469727,
02-09,34.099998474121094,38.72999954223633,47.310001373291016,42.70000076293945,,,23.549999237060547,6.989999771118164,13.149999618530273,15.449999809265137,,
02-10,33.599998474121094,38.79999923706055,47.2400016784668,42.189998626708984,,22.40999984741211,23.760000228881836,6.920000076293945,12.949999809265137,,,7.300000190734863
02-11,33.400001525878906,39.47999954223633,47.29999923706055,,22.6200008392334,22.190000534057617,24.440000534057617,6.860000133514404,,,12.270000457763672,7.329999923706055
02-12,30.0,40.54999923706055,,,22.950000762939453,22.5,24.65999984741211,7.269999980926514,,15.100000381469727,12.289999961853027,7.159999847412109
02-13,29.0,,,42.0,23.1299991607666,22.84000015258789,24.010000228881836,,13.149999618530273,15.149999618530273,12.079999923706055,7.150000095367432
02-14,,,46.5,41.75,23.040000915527344,22.5,,,13.300000190734863,15.59000015258789,11.649999618530273,7.170000076293945
02-15,,,47.86000061035156,41.40999984741211,23.40999984741211,,,,13.300000190734863,15.0,11.569999694824219,
02-16,,41.29999923706055,46.599998474121094,41.75,,,,7.079999923706055,13.270000457763672,14.949999809265137,,
02-17,28.5,41.959999084472656,46.06999969482422,41.95000076293945,,,24.959999084472656,7.420000076293945,13.300000190734863,,,
02-18,24.540000915527344,41.56999969482422,46.06999969482422,,,23.18000030517578,25.739999771118164,7.409999847412109,,,,7.050000190734863
02-19,26.0,41.619998931884766,,,22.0,23.5,26.0,7.699999809265137,,,11.600000381469727,6.949999809265137
02-20,23.5,,,,23.020000457763672,23.889999389648438,25.889999389648438,,,15.300000190734863,11.6899995803833,7.070000171661377
02-21,,,,42.59000015258789,23.389999389648438,23.68000030517578,,,12.149999618530273,15.100000381469727,11.949999809265137,7.170000076293945
02-22,,42.189998626708984,47.11000061035156,42.599998474121094,23.450000762939453,,,7.210000038146973,11.100000381469727,15.449999809265137,12.0600004196167,
02-23,20.0,41.5099983215332,48.470001220703125,42.70000076293945,,,24.8700008392334,7.320000171661377,11.25,15.850000381469727,,
02-24,18.239999771118164,42.790000915527344,47.08000183105469,43.099998474121094,,23.5,25.760000228881836,7.380000114440918,11.25,,,6.769999980926514
02-25,22.850000381469727,42.27000045776367,46.540000915527344,,23.93000030517578,23.450000762939453,25.739999771118164,6.980000019073486,,,12.050000190734863,6.369999885559082
02-26,23.489999771118164,42.36000061035156,,,24.059999465942383,22.639999389648438,25.209999084472656,6.880000114440918,,15.600000381469727,12.039999961853027,6.289999961853027
02-27,22.770000457763672,,,42.599998474121094,24.100000381469727,23.0,25.030000686645508,,11.100000381469727,15.550000190734863,11.770000457763672,6.010000228881836
02-28,,,46.72999954223633,42.79999923706055,24.09000015258789,23.18000030517578,,,10.800000190734863,15.25,11.670000076293945,5.96999979019165
02-29,,,,42.95000076293945,,,,6.650000095367432,,,,
03-01,,42.400001525878906,46.5099983215332,43.0,24.010000228881836,,,6.739999771118164,10.970000267028809,15.0,11.670000076293945,
03-02,19.0,42.41999816894531,46.04999923706055,43.0,,,25.010000228881836,6.550000190734863,10.850000381469727,15.0,,6.150000095367432
03-03,19.5,42.16999816894531,46.11000061035156,,,23.739999771118164,24.969999313354492,6.699999809265137,10.949999809265137,,,6.010000228881836
03-04,21.010000228881836,41.810001373291016,46.58000183105469,,24.200000762939453,23.280000686645508,24.510000228881836,7.059999942779541,,,11.649999618530273,5.949999809265137
03-05,19.34000015258789,41.70000076293945,,43.189998626708984,24.0,23.5,24.450000762939453,,,15.399999618530273,11.59000015258789,5.769999980926514
03-06,20.5,,,41.0,24.0,24.0,24.5,,11.25,14.850000381469727,11.5,5.650000095367432
03-07,,,47.5,42.630001068115234,23.15999984741211,24.010000228881836,,7.480000019073486,11.210000038146973,14.850000381469727,11.5,
03-08,,42.15999984741211,47.060001373291016,43.0,22.950000762939453,,,7.420000076293945,11.050000190734863,15.0,11.449999809265137,
03-09,20.209999084472656,42.470001220703125,47.5099983215332,42.72999954223633,,,24.540000915527344,7.570000171661377,11.050000190734863,15.539999961853027,,5.28000020980835
03-10,23.0,42.72999954223633,46.70000076293945,,,24.799999237060547,24.420000076293945,8.0,11.199999809265137,,,5.409999847412109
03-11,23.149999618530273,42.650001525878906,46.79999923706055,,22.600000381469727,24.229999542236328,23.75,7.440000057220459,,,11.5,5.28000020980835
03-12,23.0,42.380001068115234,,43.099998474121094,22.860000610351562,24.030000686645508,23.1299991607666,,,15.239999771118164,11.800000190734863,5.78000020980835
03-13,23.389999389648438,,,42.61000061035156,22.68000030517578,24.100000381469727,22.75,,11.210000038146973,15.25,11.699999809265137,6.579999923706055
03-14,,,46.0,42.7400016784668,22.75,24.059999465942383,,7.639999866485596,11.449999809265137,15.100000381469727,11.430000305175781,
03-15,,42.47999954223633,47.18000030517578,42.279998779296875,22.93000030517578,,,7.619999885559082,11.300000190734863,14.920000076293945,11.470000267028809,
03-16,26.68000030517578,42.400001525878906,47.33000183105469,41.7599983215332,,,21.1200008392334,7.610000133514404,11.649999618530273,15.0,,5.420000076293945
03-17,24.950000762939453,40.560001373291016,46.650001525878906,,,24.219999313354492,19.979999542236328,7.679999828338623,11.649999618530273,,,4.900000095367432
03-18,25.0,39.459999084472656,47.36000061035156,,23.6200008392334,24.489999771118164,18.020000457763672,7.579999923706055,,,11.5,4.0
03-19,26.75,37.79999923706055,,42.279998779296875,23.690000534057617,24.25,18.110000610351562,,,15.199999809265137,12.430000305175781,4.150000095367432
03-20,26.670000076293945,,,42.45000076293945,23.65999984741211,24.15999984741211,19.229999542236328,,12.600000381469727,15.149999618530273,12.520000457763672,4.440000057220459
03-21,,,48.0,42.70000076293945,23.200000762939453,24.399999618530273,,7.429999828338623,13.050000190734863,15.149999618530273,12.869999885559082,
03-22,,39.0,48.5,42.45000076293945,23.299999237060547,,,7.46999979019165,12.850000381469727,15.130000114440918,12.859999656677246,
03-23,26.610000610351562,41.0,48.63999938964844,42.0,,,20.15999984741211,7.099999904632568,12.5,15.25,,3.9200000762939453
03-24,25.5,42.0099983215332,48.97999954223633,,,25.43000030517578,20.149999618530273,7.0,12.25,,,4.03000020980835
03-25,26.350000381469727,41.93000030517578,49.75,,23.5,24.8700008392334,20.579999923706055,,,,12.770000457763672,6.650000095367432
03-26,28.25,42.47999954223633,,41.880001068115234,23.0,25.25,20.489999771118164,,,15.380000114440918,12.800000190734863,7.070000171661377
03-27,25.200000762939453,,,39.79999923706055,24.25,24.899999618530273,21.59000015258789,,12.850000381469727,15.239999771118164,12.670000076293945,6.53000020980835
03-28,,,49.63999938964844,39.36000061035156,24.649999618530273,25.450000762939453,,7.739999771118164,12.850000381469727,15.350000381469727,12.5600004196167,
03-29,,41.959999084472656,49.650001525878906,38.79999923706055,,,,7.909999847412109,13.350000381469727,15.029999732971191,12.5,
03-30,25.0,41.2599983215332,49.45000076293945,39.029998779296875,,,22.149999618530273,8.079999923706055,13.149999618530273,,,5.039999961853027
03-31,26.299999237060547,41.540000915527344,49.599998474121094,,,25.860000610351562,21.030000686645508,8.210000038146973,13.25,,,4.840000152587891
04-01,27.0,42.11000061035156,49.06999969482422,,24.290000915527344,25.709999084472656,20.09000015258789,8.199999809265137,,,12.670000076293945,4.75
04-02,27.0,,,38.25,24.510000228881836,25.350000381469727,20.520000457763672,,,14.949999809265137,12.489999771118164,4.460000038146973
04-03,28.0,,,38.40999984741211,24.010000228881836,26.25,,,13.25,14.550000190734863,12.59000015258789,4.480000019073486
04-04,,,48.86000061035156,38.279998779296875,24.0,26.469999313354492,,8.329999923706055,13.600000381469727,14.550000190734863,12.09000015258789,
04-05,,42.84000015258789,48.86000061035156,39.709999084472656,24.040000915527344,,,8.399999618530273,13.449999809265137,14.649999618530273,12.100000381469727,
04-06,28.649999618530273,43.0,49.20000076293945,,,,21.049999237060547,8.489999771118164,13.699999809265137,14.550000190734863,,5.099999904632568
04-07,28.0,42.81999969482422,49.20000076293945,,,26.329999923706055,21.350000381469727,8.5,13.899999618530273,,,5.090000152587891
04-08,28.020000457763672,43.29999923706055,48.880001068115234,,24.719999313354492,26.739999771118164,21.93000030517578,8.800000190734863,,,12.170000076293945,4.889999866485596
04-09,28.0,43.5,,39.220001220703125,24.200000762939453,26.5,21.25,,,14.699999809265137,12.770000457763672,5.260000228881836
04-10,,,,38.529998779296875,24.299999237060547,26.040000915527344,22.309999465942383,,13.859999656677246,14.800000190734863,12.84000015258789,
