,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,,,,,63.840301513671875,39.00019836425781,37.440101623535156,,,36.000099182128906,15.840100288391113,52.800201416015625
01-03,,,63.840301513671875,63.840301513671875,63.840301513671875,38.292198181152344,,,34.20009994506836,36.7776985168457,16.320100784301758,54.00019836425781
01-04,,73.80030059814453,63.840301513671875,63.840301513671875,63.840301513671875,,,54.24020004272461,34.20009994506836,37.68009948730469,18.600099563598633,
01-05,,73.80030059814453,63.840301513671875,63.840301513671875,,,37.440101623535156,54.24020004272461,35.04010009765625,37.20009994506836,,
01-06,,73.80030059814453,63.840301513671875,63.840301513671875,,38.292198181152344,37.440101623535156,54.24020004272461,36.000099182128906,,,54.00019836425781
01-07,,73.80030059814453,63.840301513671875,,63.840301513671875,38.292198181152344,37.440101623535156,54.24020004272461,,,18.600099563598633,51.960201263427734
01-08,,73.80030059814453,,,63.840301513671875,38.292198181152344,37.440101623535156,54.24020004272461,,38.640201568603516,19.320100784301758,51.00019836425781
01-09,,,,63.840301513671875,63.840301513671875,38.292198181152344,37.440101623535156,,36.000099182128906,37.56019973754883,19.680099487304688,51.00019836425781
01-10,,,63.840301513671875,63.840301513671875,63.840301513671875,38.292198181152344,,,36.96009826660156,39.8390007019043,19.680099487304688,51.60020065307617
01-11,,73.80030059814453,63.840301513671875,63.840301513671875,63.840301513671875,,,54.24020004272461,36.2401008605957,37.56019973754883,19.680099487304688,
01-12,,73.80030059814453,63.840301513671875,63.840301513671875,,,37.440101623535156,54.24020004272461,36.12009811401367,38.28020095825195,,
01-13,,73.80030059814453,63.840301513671875,63.840301513671875,,38.292198181152344,37.440101623535156,54.24020004272461,35.52009963989258,,,53.60419845581055
01-14,,73.80030059814453,63.840301513671875,,63.840301513671875,38.292198181152344,37.440101623535156,54.24020004272461,,,19.680099487304688,53.640201568603516
01-15,,73.80030059814453,,,63.840301513671875,38.292198181152344,37.440101623535156,54.24020004272461,,,19.440099716186523,55.56019973754883
01-16,,,,,63.840301513671875,38.292198181152344,37.440101623535156,,,39.120201110839844,19.440099716186523,53.07619857788086
01-17,,,,63.840301513671875,63.840301513671875,38.292198181152344,,,36.480098724365234,38.520198822021484,19.440099716186523,52.3202018737793
01-18,,,63.840301513671875,63.840301513671875,63.840301513671875,,,,36.000099182128906,30.000099182128906,17.052099227905273,
01-19,,73.80030059814453,63.840301513671875,63.840301513671875,,,,54.24020004272461,36.600101470947266,25.800100326538086,,
01-20,,73.80030059814453,63.840301513671875,63.840301513671875,,,37.440101623535156,54.24020004272461,36.000099182128906,,,
01-21,,73.80030059814453,63.840301513671875,,,38.292198181152344,37.440101623535156,54.24020004272461,,,,52.3202018737793
01-22,,73.80030059814453,,,63.840301513671875,38.292198181152344,37.440101623535156,54.24020004272461,,25.800100326538086,17.052099227905273,52.3202018737793
01-23,,,,63.840301513671875,63.840301513671875,38.292198181152344,37.440101623535156,,36.90010070800781,26.88010025024414,17.280099868774414,52.3202018737793
01-24,,,63.840301513671875,63.840301513671875,63.840301513671875,38.292198181152344,,,36.36009979248047,27.36009979248047,19.20009994506836,51.24020004272461
01-25,,73.80030059814453,63.840301513671875,63.840301513671875,63.840301513671875,,,54.24020004272461,37.68009948730469,27.000099182128906,19.20009994506836,
