,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,37.88999938964844,,,,33.02000045776367,39.15999984741211,58.2400016784668,,,85.80000305175781,66.83000183105469,80.66999816894531
01-03,,,35.7599983215332,21.209999084472656,33.43000030517578,39.150001525878906,,,72.75,86.4000015258789,65.5,79.62000274658203
01-04,,51.91999816894531,35.68000030517578,21.030000686645508,33.619998931884766,,,39.70000076293945,73.44999694824219,88.4000015258789,68.33999633789062,
01-05,38.189998626708984,51.790000915527344,36.31999969482422,21.09000015258789,,,57.0,39.150001525878906,73.69999694824219,88.30000305175781,,
01-06,37.970001220703125,51.040000915527344,36.75,21.229999542236328,,38.75,54.33000183105469,37.63999938964844,73.5999984741211,,,78.22000122070312
01-07,34.689998626708984,51.77000045776367,36.22999954223633,,33.060001373291016,39.810001373291016,54.84000015258789,36.040000915527344,,,68.66000366210938,78.0
01-08,34.029998779296875,51.70000076293945,,,32.95000076293945,39.58000183105469,58.04999923706055,35.130001068115234,,88.0999984741211,68.56999969482422,78.94999694824219
01-09,32.439998626708984,,,21.59000015258789,33.209999084472656,39.16999816894531,56.79999923706055,,72.1500015258789,88.25,69.58000183105469,79.75
01-10,,,36.5,22.290000915527344,34.34000015258789,39.310001373291016,,,70.5999984741211,89.94999694824219,70.2699966430664,79.66999816894531
01-11,,50.5099983215332,35.869998931884766,22.020000457763672,33.9900016784668,,,35.66999816894531,72.05000305175781,90.8499984741211,70.06999969482422,
01-12,31.649999618530273,50.43000030517578,36.220001220703125,22.3799991607666,,,55.84000015258789,35.34000015258789,69.5,91.9000015258789,,
01-13,31.979999542236328,51.099998474121094,36.470001220703125,22.280000686645508,,39.119998931884766,55.869998931884766,33.880001068115234,69.30000305175781,,,81.68000030517578
01-14,29.790000915527344,51.29999923706055,37.65999984741211,,34.0,39.63999938964844,53.689998626708984,34.290000915527344,,,69.11000061035156,81.8499984741211
01-15,29.610000610351562,49.189998626708984,,,34.31999969482422,40.630001068115234,52.66999816894531,33.91999816894531,,,69.1500015258789,80.69000244140625
01-16,29.479999542236328,,,,34.66999816894531,40.189998626708984,52.15999984741211,,,91.4000015258789,70.37000274658203,83.43000030517578
01-17,,,,22.239999771118164,35.209999084472656,39.720001220703125,,,68.1500015258789,92.0,70.95999908447266,83.8499984741211
