,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,6.570000171661377,,,,13.289999961853027,11.1899995803833,6.179999828338623,,,2.4200000762939453,2.4800000190734863,1.100000023841858
01-03,,,19.530000686645508,6.869999885559082,13.199999809265137,11.609999656677246,,,2.549999952316284,2.4700000286102295,2.4600000381469727,1.090000033378601
01-04,,8.1899995803833,19.170000076293945,6.659999847412109,12.479999542236328,,,3.059999942779541,2.549999952316284,2.4700000286102295,2.4800000190734863,
01-05,6.300000190734863,8.130000114440918,19.739999771118164,6.510000228881836,,,6.179999828338623,2.9100000858306885,2.5799999237060547,2.5,,
01-06,6.449999809265137,7.949999809265137,19.530000686645508,6.71999979019165,,11.3100004196167,6.150000095367432,2.8499999046325684,2.490000009536743,,,1.149999976158142
01-07,5.789999961853027,8.039999961853027,19.6200008392334,,12.329999923706055,10.40999984741211,6.239999771118164,2.640000104904175,,,2.4600000381469727,1.2100000381469727
01-08,5.940000057220459,8.279999732971191,,,12.359999656677246,8.640000343322754,6.179999828338623,2.609999895095825,,2.569999933242798,2.4600000381469727,1.2699999809265137
01-09,5.610000133514404,,,6.809999942779541,12.869999885559082,8.579999923706055,6.210000038146973,,2.490000009536743,2.609999895095825,2.4600000381469727,1.3799999952316284
01-10,,,19.799999237060547,6.539999961853027,12.6899995803833,8.520000457763672,,,2.490000009536743,2.509999990463257,2.4600000381469727,1.409999966621399
01-11,,8.25,20.489999771118164,6.659999847412109,13.5,,,2.700000047683716,2.3399999141693115,2.630000114440918,2.4600000381469727,
01-12,5.489999771118164,8.130000114440918,20.399999618530273,6.78000020980835,,,6.210000038146973,2.880000114440918,2.369999885559082,2.5999999046325684,,
01-13,5.730000019073486,8.3100004196167,20.280000686645508,6.869999885559082,,8.34000015258789,6.059999942779541,2.700000047683716,2.4000000953674316,,,1.4199999570846558
01-14,5.579999923706055,8.460000038146973,20.25,,12.449999809265137,8.550000190734863,6.090000152587891,2.7899999618530273,,,2.4600000381469727,1.3700000047683716
01-15,5.639999866485596,8.25,,,13.109999656677246,8.550000190734863,5.96999979019165,2.7300000190734863,,,2.490000009536743,1.309999942779541
01-16,5.909999847412109,,,,13.140000343322754,9.09000015258789,5.909999847412109,,,2.619999885559082,2.509999990463257,1.2899999618530273
01-17,,,,6.570000171661377,13.229999542236328,8.9399995803833,,,2.3399999141693115,2.6700000762939453,2.5,1.2599999904632568
01-18,,,19.709999084472656,6.599999904632568,13.350000381469727,,,,2.369999885559082,2.75,2.490000009536743,
01-19,,8.609999656677246,18.239999771118164,6.510000228881836,,,,2.700000047683716,2.309999942779541,2.7899999618530273,,
01-20,5.489999771118164,8.3100004196167,17.670000076293945,6.929999828338623,,,5.789999961853027,2.7300000190734863,2.4000000953674316,,,
01-21,6.03000020980835,8.100000381469727,18.270000457763672,,,9.119999885559082,5.699999809265137,2.7300000190734863,,,,1.2100000381469727
