,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,3.683333396911621,,,,10.649999618530273,8.75,6.0,,,13.880000114440918,8.949999809265137,8.600000381469727
01-03,,,11.256667137145996,9.369999885559082,10.649999618530273,8.479999542236328,,,9.050000190734863,13.880000114440918,8.949999809265137,8.600000381469727
01-04,,9.236666679382324,11.256667137145996,9.369999885559082,10.649999618530273,,,7.050000190734863,9.15999984741211,14.65999984741211,8.949999809265137,
01-05,3.683333396911621,9.516666412353516,11.256667137145996,9.369999885559082,,,6.0,7.050000190734863,9.15999984741211,14.569999694824219,,
01-06,3.683333396911621,9.516666412353516,11.256667137145996,9.369999885559082,,8.430000305175781,6.0,7.050000190734863,9.170000076293945,,,8.600000381469727
01-07,3.683333396911621,9.516666412353516,11.256667137145996,,10.649999618530273,8.3100004196167,5.96999979019165,7.050000190734863,,,8.949999809265137,8.600000381469727
01-08,3.683333396911621,9.516666412353516,,,10.649999618530273,8.369999885559082,5.96999979019165,6.940000057220459,,14.140000343322754,8.949999809265137,8.600000381469727
01-09,3.683333396911621,,,9.369999885559082,10.649999618530273,8.399999618530273,5.96999979019165,,9.170000076293945,14.609999656677246,8.949999809265137,8.600000381469727
01-10,,,11.256667137145996,9.369999885559082,10.729999542236328,8.859999656677246,,,9.170000076293945,14.550000190734863,9.15999984741211,8.920000076293945
01-11,,9.516666412353516,11.683333396911621,7.300000190734863,10.729999542236328,,,6.940000057220459,8.850000381469727,14.420000076293945,9.15999984741211,
01-12,4.449999809265137,9.516666412353516,11.683333396911621,7.300000190734863,,,6.179999828338623,7.03000020980835,8.850000381469727,14.420000076293945,,
01-13,4.449999809265137,9.786666870117188,11.683333396911621,7.300000190734863,,8.710000038146973,6.039999961853027,7.03000020980835,8.850000381469727,,,8.920000076293945
01-14,4.449999809265137,9.786666870117188,11.916666984558105,,10.729999542236328,8.819999694824219,6.039999961853027,7.03000020980835,,,9.15999984741211,8.920000076293945
01-15,5.429999828338623,9.786666870117188,,,10.850000381469727,9.020000457763672,6.039999961853027,7.03000020980835,,,9.15999984741211,8.920000076293945
01-16,4.2166666984558105,,,,10.890000343322754,8.9399995803833,6.320000171661377,,,14.420000076293945,9.15999984741211,8.920000076293945
01-17,,,,7.300000190734863,11.039999961853027,8.949999809265137,,,8.850000381469727,14.739999771118164,9.15999984741211,8.920000076293945
01-18,,,11.916666984558105,7.300000190734863,11.100000381469727,,,,8.720000267028809,14.520000457763672,9.15999984741211,
01-19,,9.786666870117188,11.916666984558105,7.300000190734863,,,,7.739999771118164,8.720000267028809,14.520000457763672,,
01-20,4.2166666984558105,9.786666870117188,11.916666984558105,8.5,,,6.420000076293945,7.610000133514404,8.720000267028809,,,
01-21,4.2166666984558105,9.786666870117188,11.916666984558105,,,8.930000305175781,6.510000228881836,7.610000133514404,,,,8.920000076293945
01-22,4.2166666984558105,9.786666870117188,,,11.229999542236328,9.069999694824219,6.510000228881836,7.849999904632568,,14.520000457763672,9.15999984741211,8.920000076293945
01-23,4.2166666984558105,,,8.5,11.640000343322754,8.960000038146973,6.329999923706055,,8.720000267028809,14.520000457763672,9.15999984741211,8.920000076293945
01-24,,,11.553333282470703,8.5,11.6899995803833,8.84000015258789,,,8.720000267028809,14.520000457763672,9.15999984741211,8.920000076293945
01-25,,9.149999618530273,11.483333587646484,8.5,11.970000267028809,,,7.849999904632568,8.720000267028809,14.520000457763672,9.15999984741211,
01-26,4.2166666984558105,9.149999618530273,11.483333587646484,8.5,,,6.409999847412109,7.849999904632568,8.720000267028809,14.520000457763672,,
01-27,4.2166666984558105,9.149999618530273,11.483333587646484,8.5,,8.850000381469727,6.309999942779541,8.199999809265137,8.720000267028809,,,8.920000076293945
01-28,4.2166666984558105,9.149999618530273,11.483333587646484,,12.020000457763672,9.5,6.449999809265137,8.199999809265137,,,9.15999984741211,8.920000076293945
01-29,4.2166666984558105,9.390000343322754,,,9.90999984741211,9.1899995803833,6.550000190734863,8.199999809265137,,14.520000457763672,9.15999984741211,8.920000076293945
01-30,4.2166666984558105,,,8.5,9.859999656677246,9.399999618530273,6.550000190734863,,8.720000267028809,14.520000457763672,9.15999984741211,8.920000076293945
