,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.7152385711669922,,,,6.269999980926514,6.489999771118164,7.5999999046325675,,,12.300000190734865,9.770000457763672,7.03000020980835
01-03,,,2.026949167251587,3.0958480834960938,6.139999866485597,6.5900001525878915,,,14.899999618530273,12.350000381469727,9.479999542236328,7.0900001525878915
01-04,,1.9319359064102173,2.0401453971862797,3.032505989074707,6.0999999046325675,,,11.489999771118164,14.899999618530273,12.550000190734865,9.890000343322754,
01-05,0.7046815752983093,1.8659545183181765,2.0480632781982417,3.04042387008667,,,7.46999979019165,11.510000228881836,14.600000381469727,12.699999809265135,,
01-06,0.7469096183776855,1.786776781082153,2.0216705799102783,2.95068907737732,,6.309999942779541,7.199999809265138,11.5600004196167,14.25,,,6.949999809265138
01-07,0.7548273801803589,1.7946946620941162,2.0454239845275883,,6.170000076293945,6.4000000953674325,7.489999771118164,11.449999809265135,,,10.529999732971193,6.71999979019165
01-08,0.7733022570610046,1.7630234956741333,,,6.25,6.489999771118164,7.96999979019165,11.149999618530273,,12.449999809265135,10.020000457763672,6.679999828338622
01-09,0.7891377806663513,,,2.9269356727600098,6.170000076293945,6.369999885559082,7.989999771118164,,14.300000190734865,12.899999618530273,9.93000030517578,6.75
01-10,,,2.037506103515625,2.937492847442627,6.170000076293945,6.28000020980835,,,15.0,13.199999809265135,9.84000015258789,6.789999961853027
01-11,,1.7207953929901123,2.0454239845275883,2.940132141113281,6.070000171661378,,,11.270000457763672,15.300000190734865,13.25,9.739999771118164,
01-12,0.7785807251930237,1.6917635202407837,2.037506103515625,2.9427711963653564,,,8.039999961853027,11.75,14.899999618530273,13.25,,
01-13,0.7759414911270142,1.7128775119781494,2.0163919925689697,2.9137394428253174,,6.119999885559082,8.159999847412111,11.529999732971193,15.050000190734865,,,5.889999866485597
01-14,0.6862066984176636,1.710238337516785,2.019031524658203,,6.010000228881836,6.190000057220459,8.319999694824219,12.4399995803833,,,9.510000228881836,5.800000190734862
01-15,0.6255038380622864,1.7260738611221311,,,6.010000228881836,6.389999866485597,8.140000343322754,12.279999732971193,,,9.479999542236328,5.46999979019165
01-16,0.6862066984176636,,,,6.019999980926514,6.389999866485597,8.109999656677246,,,13.199999809265135,9.199999809265137,5.539999961853027
01-17,,,,2.9269356727600098,5.96999979019165,6.3499999046325675,,,14.899999618530273,13.149999618530273,8.989999771118164,5.389999866485597
01-18,,,1.9820818901062007,2.9427711963653564,5.989999771118164,,,,15.300000190734865,13.050000190734865,8.659999847412111,
01-19,,1.7524664402008057,1.924018144607544,2.921657085418701,,,,13.109999656677244,15.0,13.449999809265135,,
01-20,0.7178778052330017,1.760384202003479,1.924018144607544,2.95068907737732,,,7.829999923706055,13.18000030517578,14.899999618530273,,,
01-21,0.7680237293243408,1.73135244846344,1.9266574382781985,,,6.449999809265138,7.71999979019165,12.829999923706055,,,,5.110000133514403
01-22,0.7469096183776855,1.7155168056488037,,,5.96999979019165,6.4000000953674325,8.060000419616701,13.050000190734865,,13.350000381469727,9.010000228881836,4.989999771118164
01-23,0.7548273801803589,,,2.908461093902588,5.579999923706055,6.480000019073486,7.980000019073486,,14.949999809265135,13.300000190734865,9.489999771118164,4.980000019073486
01-24,,,1.8976255655288696,2.9612460136413574,5.869999885559082,6.269999980926514,,,14.850000381469727,13.199999809265135,9.220000267028807,4.789999961853027
01-25,,1.7128775119781494,1.8870686292648315,2.995556354522705,5.9099998474121085,,,13.149999618530273,14.850000381469727,13.199999809265135,9.279999732971193,
01-26,0.8076125383377075,1.7155168056488037,1.8949862718582156,2.984999418258667,,,8.0,13.31999969482422,14.949999809265135,13.0,,
01-27,0.8234480619430542,1.7260738611221311,1.8712331056594849,3.0773732662200928,,6.019999980926514,8.109999656677246,12.789999961853027,14.600000381469727,,,4.760000228881836
01-28,0.8313658833503723,1.6970419883728027,1.8342833518981931,,6.1599998474121085,6.170000076293945,8.0,13.039999961853027,,,9.020000457763672,5.110000133514403
01-29,0.8340051174163818,1.6653709411621094,,,6.170000076293945,6.239999771118164,8.430000305175781,13.359999656677244,,12.850000381469727,9.010000228881836,4.800000190734863
01-30,0.8498406410217285,,,3.050980806350708,6.210000038146973,6.389999866485597,7.960000038146973,,14.550000190734865,12.699999809265135,8.859999656677246,4.710000038146973
01-31,,,1.8474797010421755,2.984999418258667,6.269999980926514,6.0900001525878915,,,14.350000381469727,12.449999809265135,8.630000114440918,4.539999961853027
02-01,,1.6627317667007446,1.918739676475525,3.014031171798706,6.4000000953674325,,,13.970000267028807,14.449999809265135,12.350000381469727,8.479999542236326,
02-02,0.86567622423172,1.6495354175567627,1.9002647399902344,3.0166704654693604,,,8.090000152587889,13.899999618530273,15.0,12.649999618530273,,
02-03,0.8841509819030762,1.7181562185287476,1.9081826210021973,3.0351452827453613,,5.75,8.199999809265138,13.31999969482422,14.899999618530273,,,4.670000076293945
02-04,0.8260873556137085,1.689124345779419,1.8791507482528689,,6.179999828338622,5.789999961853027,8.170000076293945,12.9399995803833,,,9.09000015258789,4.710000038146973
02-05,0.8340051174163818,1.6970419883728027,,,6.199999809265138,5.75,8.210000038146973,12.270000457763672,,12.399999618530273,9.15999984741211,5.0
02-06,0.8445621728897095,,,3.02194881439209,6.190000057220459,5.920000076293945,8.119999885559082,,15.300000190734865,12.600000381469727,8.829999923706055,4.829999923706055
02-07,,,1.9108217954635618,3.008752584457397,6.0999999046325675,5.9000000953674325,,,15.350000381469727,12.649999618530273,8.930000305175781,4.800000190734863
02-08,,1.6680102348327637,1.9398536682128904,3.069455623626709,6.079999923706055,,,12.5,15.550000190734865,12.449999809265135,9.010000228881836,
02-09,0.8340051174163818,1.6838457584381104,1.9451321363449097,3.085290908813477,,,7.940000057220459,12.640000343322756,15.899999618530273,12.600000381469727,,
02-10,0.8445621728897095,1.6917635202407837,1.9451321363449097,3.0588986873626713,,5.889999866485597,8.039999961853027,12.5,15.800000190734865,,,4.730000019073486
02-11,0.8472014069557191,1.7234346866607666,1.9002647399902344,,6.019999980926514,5.989999771118164,7.889999866485597,12.59000015258789,,,9.140000343322754,4.960000038146973
02-12,0.8524799346923828,1.7049598693847656,,,5.96999979019165,5.8499999046325675,7.9000000953674325,12.65999984741211,,12.850000381469727,9.109999656677246,5.099999904632568
02-13,0.8234480619430542,,,3.180304288864136,5.8400001525878915,6.139999866485597,7.929999828338622,,15.75,12.850000381469727,9.029999732971193,5.110000133514403
02-14,,,1.9002647399902344,3.2172539234161377,5.829999923706055,6.139999866485597,,,15.899999618530273,12.899999618530273,9.050000190734863,5.099999904632568
02-15,,,1.918739676475525,3.2462859153747563,5.869999885559082,,,,15.949999809265135,12.899999618530273,9.289999961853027,
02-16,,1.741909384727478,1.9108217954635618,3.272678136825561,,,,12.8100004196167,16.450000762939453,12.899999618530273,,
02-17,0.781220018863678,1.7735804319381714,1.984721064567566,3.2436463832855225,,,7.920000076293945,12.90999984741211,16.649999618530273,,,
02-18,0.7917770147323608,1.8474797010421755,1.9108217954635618,,,6.309999942779541,8.149999618530272,12.460000038146973,,,,4.980000019073486
