,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.023000000044703484,,,,0.023800000548362732,0.0608999989926815,0.013899999670684338,,,0.016100000590085983,0.012000000104308128,0.00570000009611249
01-03,,,0.02449999935925007,0.023399999365210533,0.023499999195337296,0.06499999761581421,,,0.023000000044703484,0.016100000590085983,0.012000000104308128,0.0071000000461936
01-04,,0.027000000700354576,0.027000000700354576,0.023499999195337296,0.024000000208616257,,,0.020899999886751175,0.024399999529123306,0.017500000074505806,0.011900000274181366,
01-05,0.026000000536441803,0.02800000086426735,0.026000000536441803,0.023900000378489494,,,0.01209999993443489,0.02199999988079071,0.023000000044703484,0.016699999570846558,,
01-06,0.024000000208616257,0.02800000086426735,0.029999999329447746,0.023499999195337296,,0.06400000303983688,0.012299999594688416,0.023000000044703484,0.02199999988079071,,,0.005799999926239252
01-07,0.02500000037252903,0.026000000536441803,0.02800000086426735,,0.02500000037252903,0.06300000101327896,0.014499999582767487,0.02199999988079071,,,0.00989999994635582,0.005400000140070915
01-08,0.026000000536441803,0.02500000037252903,,,0.028999999165534973,0.05999999865889549,0.015399999916553497,0.022199999541044235,,0.018300000578165054,0.00989999994635582,0.006300000008195639
01-09,0.02500000037252903,,,0.024399999529123306,0.030400000512599945,0.05999999865889549,0.01510000042617321,,0.024000000208616257,0.01769999973475933,0.011500000022351742,0.009499999694526196
01-10,,,0.026000000536441803,0.024000000208616257,0.028999999165534973,0.05849999934434891,,,0.025499999523162842,0.01769999973475933,0.01140000019222498,0.009200000204145908
01-11,,0.02250000089406967,0.026900000870227814,0.023499999195337296,0.027899999171495438,,,0.02199999988079071,0.02800000086426735,0.017400000244379044,0.009999999776482582,
01-12,0.02500000037252903,0.02500000037252903,0.026000000536441803,0.023499999195337296,,,0.014499999582767487,0.019999999552965164,0.028999999165534973,0.017100000753998756,,
01-13,0.026000000536441803,0.02500000037252903,0.02500000037252903,0.024399999529123306,,0.057500001043081284,0.014999999664723873,0.02160000056028366,0.02500000037252903,,,0.007300000172108412
01-14,0.026000000536441803,0.026000000536441803,0.02500000037252903,,0.02800000086426735,0.05739999935030937,0.014800000004470348,0.0215000007301569,,,0.010200000368058681,0.007499999832361937
01-15,0.024000000208616257,0.026000000536441803,,,0.029899999499320984,0.07000000029802322,0.015799999237060547,0.02070000022649765,,,0.009800000116229057,0.007499999832361937
01-16,0.02500000037252903,,,,0.028999999165534973,0.05900000035762787,0.01590000092983246,,,0.01600000075995922,0.009999999776482582,0.005499999970197678
01-17,,,,0.02199999988079071,0.027000000700354576,0.05900000035762787,,,0.024700000882148743,0.016499999910593033,0.010700000450015068,0.0044999998062849045
01-18,,,0.02500000037252903,0.02290000021457672,0.027899999171495438,,,,0.026499999687075615,0.016699999570846558,0.012000000104308128,
01-19,,0.024000000208616257,0.02500000037252903,0.024000000208616257,,,,0.019200000911951065,0.026499999687075615,0.01730000041425228,,
01-20,0.023000000044703484,0.024000000208616257,0.02500000037252903,0.023000000044703484,,,0.014000000432133675,0.020400000736117363,0.027300000190734863,,,
