,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
01-02,0.3100000023841858,,,,0.7200000286102295,0.8899999856948853,0.8999999761581421,,,1.100000023841858,0.9399999976158142,0.8299999833106995
01-03,,,1.4700000286102295,0.6899999976158142,0.7200000286102295,0.8899999856948853,,,0.5699999928474426,1.100000023841858,0.9399999976158142,0.8299999833106995
01-04,,0.8700000047683716,1.4700000286102295,0.6899999976158142,0.7200000286102295,,,0.8799999952316284,0.5699999928474426,1.100000023841858,0.9399999976158142,
01-05,0.3100000023841858,0.8700000047683716,1.4700000286102295,0.6899999976158142,,,0.8999999761581421,0.8799999952316284,0.5699999928474426,1.100000023841858,,
01-06,0.3499999940395355,0.8999999761581421,1.4700000286102295,0.6899999976158142,,0.8899999856948853,0.8999999761581421,0.8799999952316284,0.5699999928474426,,,0.8399999737739563
01-07,0.3499999940395355,0.8600000143051147,1.4700000286102295,,0.7200000286102295,0.8899999856948853,0.8999999761581421,0.699999988079071,,,0.9399999976158142,0.8399999737739563
01-08,0.3499999940395355,0.8799999952316284,,,0.7200000286102295,0.8899999856948853,0.8999999761581421,0.699999988079071,,1.100000023841858,0.9399999976158142,0.8399999737739563
01-09,0.36000001430511475,,,0.6899999976158142,0.7200000286102295,0.949999988079071,0.8999999761581421,,0.5699999928474426,1.100000023841858,0.9399999976158142,0.8399999737739563
01-10,,,1.4700000286102295,0.6899999976158142,0.7200000286102295,0.949999988079071,,,0.5799999833106995,1.100000023841858,0.9399999976158142,0.8399999737739563
01-11,,0.8799999952316284,1.4700000286102295,0.6899999976158142,0.7200000286102295,,,0.699999988079071,0.5799999833106995,1.100000023841858,0.9399999976158142,
01-12,0.3199999928474426,0.8500000238418579,1.4700000286102295,0.6899999976158142,,,0.8999999761581421,0.699999988079071,0.5799999833106995,1.100000023841858,,
01-13,0.3199999928474426,0.8500000238418579,1.649999976158142,0.6899999976158142,,0.949999988079071,0.8999999761581421,0.699999988079071,0.5799999833106995,,,1.0
01-14,0.3199999928474426,0.8500000238418579,1.5700000524520874,,0.7200000286102295,0.949999988079071,0.8999999761581421,0.699999988079071,,,0.9399999976158142,1.0
01-15,0.3199999928474426,0.8500000238418579,,,0.7200000286102295,0.949999988079071,0.8999999761581421,0.699999988079071,,,0.9399999976158142,1.0
01-16,0.3199999928474426,,,,0.7200000286102295,0.949999988079071,0.8999999761581421,,,1.100000023841858,0.9399999976158142,1.0
01-17,,,,0.6899999976158142,0.7200000286102295,0.949999988079071,,,0.5799999833106995,1.100000023841858,0.9399999976158142,1.0
01-18,,,1.5399999618530273,0.6899999976158142,0.7200000286102295,,,,0.5799999833106995,1.100000023841858,0.9700000286102295,
01-19,,0.8399999737739563,1.5399999618530273,0.6899999976158142,,,,0.699999988079071,0.5600000023841858,1.100000023841858,,
01-20,0.3199999928474426,0.8199999928474426,1.5399999618530273,0.6899999976158142,,,0.8999999761581421,0.699999988079071,0.5600000023841858,,,
01-21,0.2800000011920929,0.800000011920929,1.5399999618530273,,,0.949999988079071,0.8999999761581421,0.699999988079071,,,,1.0
01-22,0.2800000011920929,0.7900000214576721,,,0.7200000286102295,0.949999988079071,0.8999999761581421,0.699999988079071,,1.100000023841858,0.9700000286102295,1.0
01-23,0.2800000011920929,,,0.6899999976158142,0.7200000286102295,0.949999988079071,0.8999999761581421,,0.5600000023841858,1.100000023841858,0.9700000286102295,1.0
01-24,,,1.5399999618530273,0.6899999976158142,0.7200000286102295,0.949999988079071,,,0.5600000023841858,1.100000023841858,0.9700000286102295,1.0
01-25,,0.800000011920929,1.5399999618530273,0.8700000047683716,0.7200000286102295,,,0.699999988079071,0.5600000023841858,1.100000023841858,0.9700000286102295,
01-26,0.2800000011920929,0.7599999904632568,1.5499999523162842,0.8700000047683716,,,0.8999999761581421,0.699999988079071,0.5600000023841858,1.100000023841858,,
01-27,0.2800000011920929,0.7300000190734863,1.5499999523162842,0.8700000047683716,,0.949999988079071,0.8999999761581421,0.699999988079071,0.5600000023841858,,,1.0
01-28,0.2800000011920929,0.75,1.5499999523162842,,0.7200000286102295,0.949999988079071,0.8999999761581421,0.699999988079071,,,0.9700000286102295,1.0
01-29,0.28999999165534973,0.75,,,0.7200000286102295,0.949999988079071,0.8999999761581421,0.699999988079071,,1.100000023841858,0.9700000286102295,1.0
01-30,0.27000001072883606,,,0.8700000047683716,0.7200000286102295,0.949999988079071,0.8999999761581421,,0.5600000023841858,1.100000023841858,0.9700000286102295,1.0
01-31,,,1.5499999523162842,0.8700000047683716,0.7200000286102295,0.949999988079071,,,0.5600000023841858,1.100000023841858,0.9700000286102295,1.0
02-01,,0.75,1.5499999523162842,0.8700000047683716,0.7200000286102295,,,0.699999988079071,0.5600000023841858,1.100000023841858,0.9700000286102295,
02-02,0.27000001072883606,0.7200000286102295,1.5499999523162842,0.8999999761581421,,,0.8999999761581421,0.699999988079071,0.5600000023841858,1.100000023841858,,
02-03,0.25999999046325684,0.7300000190734863,1.4900000095367432,0.8999999761581421,,0.949999988079071,0.8999999761581421,0.699999988079071,0.5600000023841858,,,1.0
02-04,0.30000001192092896,0.7300000190734863,1.4900000095367432,,0.7200000286102295,0.949999988079071,0.8999999761581421,0.699999988079071,,,0.9700000286102295,1.0
02-05,0.30000001192092896,0.7300000190734863,,,0.7200000286102295,0.949999988079071,0.9200000166893005,0.699999988079071,,1.100000023841858,0.9700000286102295,0.7200000286102295
02-06,0.30000001192092896,,,0.8999999761581421,0.7200000286102295,0.949999988079071,0.9200000166893005,,0.5600000023841858,1.100000023841858,0.9700000286102295,0.7200000286102295
02-07,,,1.4900000095367432,0.8999999761581421,0.7200000286102295,0.8700000047683716,,,0.5600000023841858,1.100000023841858,0.9700000286102295,0.7200000286102295
02-08,,0.7300000190734863,1.4900000095367432,1.0299999713897705,0.7200000286102295,,,0.699999988079071,0.5600000023841858,1.100000023841858,0.9700000286102295,
02-09,0.28999999165534973,0.7300000190734863,1.4900000095367432,1.100000023841858,,,0.8999999761581421,0.699999988079071,0.5799999833106995,1.100000023841858,,
02-10,0.28999999165534973,0.7300000190734863,1.4900000095367432,1.100000023841858,,0.8700000047683716,0.8999999761581421,0.699999988079071,0.5799999833106995,,,0.7200000286102295
02-11,0.28999999165534973,0.7300000190734863,1.4900000095367432,,0.7200000286102295,0.8700000047683716,0.8999999761581421,0.699999988079071,,,0.9700000286102295,0.7200000286102295
02-12,0.30000001192092896,0.7300000190734863,,,0.7200000286102295,0.9200000166893005,0.8999999761581421,0.699999988079071,,1.100000023841858,0.9700000286102295,0.7200000286102295
02-13,0.30000001192092896,,,1.100000023841858,0.7200000286102295,0.9200000166893005,0.8999999761581421,,0.5799999833106995,1.100000023841858,0.9700000286102295,0.7200000286102295
02-14,,,1.4900000095367432,1.100000023841858,0.7200000286102295,0.9200000166893005,,,0.5799999833106995,1.100000023841858,0.9700000286102295,1.0299999713897705
02-15,,,1.4900000095367432,1.100000023841858,0.7200000286102295,,,,0.5799999833106995,1.100000023841858,0.9700000286102295,
02-16,,0.7300000190734863,1.4900000095367432,1.100000023841858,,,,0.699999988079071,0.6399999856948853,1.100000023841858,,
02-17,0.30000001192092896,0.7300000190734863,1.4900000095367432,1.100000023841858,,,0.8999999761581421,0.699999988079071,0.6399999856948853,,,
02-18,0.30000001192092896,0.7300000190734863,1.4900000095367432,,,0.9200000166893005,0.8999999761581421,0.699999988079071,,,,1.0299999713897705
02-19,0.25999999046325684,0.7300000190734863,,,0.7200000286102295,0.9200000166893005,0.8999999761581421,0.699999988079071,,,0.9700000286102295,1.0299999713897705
02-20,0.25999999046325684,,,,0.7200000286102295,0.9200000166893005,0.8999999761581421,,,1.100000023841858,0.9700000286102295,1.0299999713897705
02-21,,,,1.100000023841858,0.7200000286102295,0.9200000166893005,,,0.6399999856948853,1.100000023841858,0.9700000286102295,1.0299999713897705
02-22,,0.7200000286102295,1.4900000095367432,1.100000023841858,0.7200000286102295,,,0.699999988079071,0.6399999856948853,1.100000023841858,0.9700000286102295,
02-23,0.25999999046325684,0.7200000286102295,1.4900000095367432,1.100000023841858,,,0.8999999761581421,0.699999988079071,0.6399999856948853,1.100000023841858,,
02-24,0.25999999046325684,0.7200000286102295,1.4900000095367432,1.100000023841858,,0.9200000166893005,0.8999999761581421,0.699999988079071,0.6399999856948853,,,1.0299999713897705
02-25,0.25999999046325684,0.7599999904632568,1.4900000095367432,,0.7200000286102295,0.9200000166893005,0.8999999761581421,0.699999988079071,,,0.9700000286102295,1.0299999713897705
02-26,0.25999999046325684,0.7900000214576721,,,0.7200000286102295,0.9200000166893005,0.8999999761581421,0.699999988079071,,1.100000023841858,0.9700000286102295,1.0299999713897705
02-27,0.25999999046325684,,,1.100000023841858,0.7200000286102295,0.9200000166893005,0.8999999761581421,,0.6399999856948853,1.100000023841858,0.9700000286102295,1.0299999713897705
